日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-02-10,1027.545,1054.196,996.803,1012.678,466159470,12747829100.0
2023-02-13,1013.543,1047.638,1010.993,1046.689,544975740,13382274600.0
2023-02-14,1043.879,1048.956,1024.146,1026.229,410773230,10024663300.0
2023-02-15,1032.008,1063.609,1029.587,1053.331,473247040,11696336500.0
2023-02-16,1037.45,1042.819,994.415,999.61,534617730,12371322400.0
2023-02-17,1000.627,1006.6,968.919,969.728,380876140,8589513200.0
2023-02-20,968.234,991.284,963.005,990.248,303796220,6892770600.0
2023-02-21,988.036,1000.501,977.421,985.682,285120180,6525102700.0
2023-02-22,976.018,991.427,973.059,983.236,214298660,4879146400.0
2023-02-23,981.1,983.572,969.452,973.721,304291360,6284390700.0
2023-02-24,977.868,1011.71,977.781,1003.477,342235230,8122548700.0
2023-02-27,998.032,1010.593,992.681,996.275,318288660,7064832700.0
2023-02-28,1016.647,1034.672,1003.675,1020.393,388974340,9413572500.0
2023-03-01,1016.676,1056.97,1015.63,1051.292,563455310,12315128400.0
2023-03-02,1051.035,1096.07,1050.854,1088.729,828987690,14936507000.0
2023-03-03,1073.613,1088.347,1060.475,1071.596,851806040,13545003000.0
2023-03-06,1067.245,1086.477,1066.229,1069.019,686501240,11412131200.0
2023-03-07,1063.462,1066.683,1025.487,1025.894,613619620,10495633300.0
2023-03-08,1025.516,1053.685,1025.516,1053.238,507364620,8407224200.0
2023-03-09,1051.701,1067.691,1037.361,1061.791,617565690,9787500800.0
2023-03-10,1049.659,1062.548,1041.942,1043.713,549908780,9542675700.0
2023-03-13,1038.303,1062.834,1036.478,1062.044,565236280,10360642200.0
2023-03-14,1062.464,1066.564,1037.881,1053.645,647301190,11364161400.0
2023-03-15,1058.611,1061.778,1032.708,1034.19,483516570,8770103200.0
2023-03-16,1025.711,1036.15,1016.14,1016.565,503985550,8208161400.0
2023-03-17,1026.128,1064.895,1026.077,1056.532,710860090,12562809000.0
2023-03-20,1058.06,1088.824,1058.06,1073.403,874427770,16229158000.0
2023-03-21,1071.56,1085.409,1060.291,1085.238,539733030,10407711600.0
2023-03-22,1084.643,1149.925,1081.073,1149.925,958082510,20901898000.0
2023-03-23,1145.571,1181.075,1145.514,1179.304,1327808950,29664535000.0
2023-03-24,1173.412,1190.638,1163.504,1189.5,1291295340,27115387000.0
2023-03-27,1188.7,1211.819,1180.284,1207.505,1305063590,28530660000.0
2023-03-28,1192.813,1198.887,1172.317,1173.614,1059517370,23618023000.0
2023-03-29,1174.582,1242.291,1174.582,1229.398,1146446240,24666272000.0
2023-03-30,1226.555,1230.517,1191.974,1207.799,1184575160,23083866000.0
2023-03-31,1202.341,1231.155,1185.768,1230.429,1024713150,21837063000.0
2023-04-03,1241.555,1309.615,1241.555,1308.287,1708361900,36340674000.0
2023-04-04,1309.21,1340.734,1309.163,1327.859,1802297500,41095495000.0
2023-04-06,1305.685,1382.35,1305.685,1357.548,1783420700,45072124000.0
2023-04-07,1362.273,1380.777,1334.178,1380.777,1547552500,34950951000.0
2023-04-10,1384.188,1419.411,1342.674,1351.555,1734376100,41320283000.0
2023-04-11,1347.997,1374.212,1323.231,1366.154,1356461800,33972271000.0
2023-04-12,1352.249,1402.288,1334.808,1400.812,1342738500,33578563000.0
2023-04-13,1394.004,1396.168,1325.747,1330.719,1563109500,36913426000.0
2023-04-14,1330.712,1342.82,1298.48,1337.493,1191565450,29205264000.0
2023-04-17,1326.201,1326.338,1295.453,1303.515,1114568220,25017953000.0
2023-04-18,1303.477,1391.205,1303.477,1374.529,1646858700,41679203000.0
2023-04-19,1372.958,1429.956,1370.956,1393.634,1723998400,41927422000.0
2023-04-20,1396.144,1462.571,1396.144,1462.571,1681771200,43988069000.0
2023-04-21,1456.57,1456.57,1393.605,1396.569,1877251500,46851435000.0
2023-04-24,1391.139,1451.598,1391.139,1436.847,1575083400,42960613000.0
