日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1378.797,1392.867,1376.293,1392.46,760361930,7171920700.0
2020-01-03,1396.855,1401.159,1388.461,1395.658,803624740,7193227100.0
2020-01-06,1387.649,1405.949,1378.111,1399.487,892885620,8440792200.0
2020-01-07,1399.56,1425.922,1399.56,1423.017,914252710,9237240600.0
2020-01-08,1415.519,1421.838,1397.387,1399.427,982441490,8708377600.0
2020-01-09,1408.467,1422.396,1408.467,1421.696,785466840,7790256000.0
2020-01-10,1427.963,1430.17,1414.632,1423.871,771902550,7166560200.0
2020-01-13,1422.628,1431.822,1409.425,1431.822,767945120,7633445100.0
2020-01-14,1433.146,1435.78,1425.896,1426.621,798806310,7725275700.0
2020-01-15,1422.198,1423.006,1408.278,1413.106,636951700,6155186300.0
2020-01-16,1413.505,1417.868,1401.508,1404.39,611452010,6377327500.0
2020-01-17,1408.75,1412.717,1399.177,1399.625,566942090,5868835400.0
2020-01-20,1403.726,1427.364,1400.326,1427.364,763730650,7617268900.0
2020-01-21,1435.7,1444.989,1434.171,1437.299,1122102350,10435289100.0
2020-01-22,1437.206,1437.291,1412.341,1431.394,1231012940,10381519800.0
2020-01-23,1417.474,1426.848,1376.841,1387.026,1362403600,12103510100.0
2020-02-03,1293.323,1297.88,1286.991,1294.641,655409050,8048297900.0
2020-02-04,1236.561,1312.705,1236.561,1305.11,1733263200,15387306000.0
2020-02-05,1307.551,1348.685,1307.551,1345.528,1427348500,13980407000.0
2020-02-06,1358.766,1400.135,1349.459,1396.429,1674555100,17117555000.0
2020-02-07,1405.175,1416.198,1382.786,1402.598,2023545800,20232071000.0
2020-02-10,1414.436,1414.436,1388.634,1401.717,1369303600,14356058000.0
2020-02-11,1396.706,1397.175,1371.953,1382.244,1126351960,11207145400.0
2020-02-12,1374.392,1403.098,1374.06,1402.579,1125054700,10859280600.0
2020-02-13,1401.396,1402.436,1371.115,1375.645,1185540170,11559533900.0
2020-02-14,1376.521,1382.804,1363.999,1373.408,973537210,9519334200.0
2020-02-17,1381.312,1413.485,1381.312,1413.485,1131192540,11862244000.0
2020-02-18,1420.527,1437.714,1413.044,1437.714,1306667930,13292974800.0
2020-02-19,1435.679,1437.241,1423.46,1425.968,1203798840,12357033000.0
2020-02-20,1431.101,1443.45,1415.476,1441.564,1110952840,11459254700.0
2020-02-21,1446.258,1468.967,1443.279,1460.036,1532700700,15069654000.0
2020-02-24,1464.772,1496.012,1461.561,1492.481,1823673700,17657505000.0
2020-02-25,1466.513,1493.514,1434.499,1492.513,2229851900,20511924000.0
2020-02-26,1472.487,1489.819,1456.491,1462.428,1869899000,16548500000.0
2020-02-27,1466.422,1479.335,1440.599,1473.352,1362164900,12546556600.0
2020-02-28,1441.357,1459.506,1416.808,1417.538,1535992000,15909250000.0
2020-03-02,1428.178,1466.141,1427.521,1462.705,1623731600,16204188000.0
2020-03-03,1471.766,1491.801,1457.88,1466.399,1559035600,15986743000.0
2020-03-04,1453.861,1475.08,1450.554,1475.08,1383143500,13134554700.0
2020-03-05,1488.836,1500.562,1481.535,1499.561,1493997600,14448095000.0
2020-03-06,1485.839,1517.46,1483.999,1506.179,1407480800,12943619700.0
2020-03-09,1489.68,1500.719,1482.779,1483.967,1653648400,15994931000.0
2020-03-10,1462.09,1505.234,1437.289,1505.234,1757653800,16983084000.0
2020-03-11,1509.788,1528.632,1501.76,1501.76,1509169700,13972856000.0
2020-03-12,1489.793,1495.772,1473.145,1487.209,1532588500,15245079000.0
2020-03-13,1411.478,1482.124,1411.478,1467.126,1823897700,17788733000.0
2020-03-16,1483.311,1495.415,1426.35,1431.905,1695008600,16351810000.0
2020-03-17,1428.899,1439.47,1367.929,1411.868,1319040000,13018747300.0
2020-03-18,1422.043,1434.481,1383.566,1383.566,1247547070,13248438200.0
2020-03-19,1378.174,1387.942,1349.295,1382.498,1349397600,12220698800.0
2020-03-20,1392.072,1411.048,1387.597,1410.824,1258029450,11808470200.0
2020-03-23,1377.969,1398.327,1363.449,1367.432,1280426770,13589375000.0
2020-03-24,1387.25,1391.164,1352.85,1386.317,1252962140,12859156500.0
2020-03-25,1408.342,1429.745,1400.125,1428.91,1294998330,13463323000.0
2020-03-26,1421.376,1434.427,1416.318,1420.009,1312196010,16237857000.0
2020-03-27,1431.078,1433.891,1411.067,1411.703,1152786710,14912443000.0
2020-03-30,1396.041,1396.041,1371.673,1376.733,1079208630,15200354000.0
2020-03-31,1384.184,1387.016,1360.052,1360.532,859820690,11332331700.0
2020-04-01,1354.88,1368.585,1345.07,1347.372,787795540,10708017100.0
2020-04-02,1343.974,1380.263,1341.838,1380.232,923118160,12805723000.0
2020-04-03,1383.84,1396.775,1381.643,1387.998,1166611410,14971802000.0
2020-04-07,1408.283,1428.951,1403.975,1425.452,1176207200,15203777000.0
2020-04-08,1423.969,1439.272,1419.9,1433.191,1200832250,14125439000.0
2020-04-09,1436.931,1458.89,1436.026,1454.217,1286173930,15817384000.0
2020-04-10,1453.416,1457.693,1421.995,1426.529,1193874440,13047087300.0
2020-04-13,1418.829,1429.496,1412.776,1419.282,907878890,10878656400.0
2020-04-14,1423.703,1441.929,1417.959,1441.929,1068509340,12233709300.0
2020-04-15,1443.243,1453.631,1438.71,1442.141,959985030,11298584000.0
2020-04-16,1438.305,1450.014,1432.056,1445.542,1192084920,11365434200.0
2020-04-17,1451.758,1453.677,1433.356,1433.405,1319747520,17799959000.0
2020-04-20,1439.677,1453.483,1431.865,1452.265,1091818160,15332738000.0
2020-04-21,1448.357,1448.357,1429.727,1442.629,1256883840,14596253000.0
2020-04-22,1429.897,1456.761,1426.855,1456.514,1085353850,12781006400.0
2020-04-23,1457.842,1467.08,1454.62,1458.537,1214649540,14728978000.0
2020-04-24,1456.117,1456.678,1413.741,1416.365,1068373730,12515768000.0
2020-04-27,1415.44,1417.586,1396.82,1402.902,956959390,9636088800.0
2020-04-28,1398.31,1400.209,1332.584,1367.649,1031662210,10216198800.0
2020-04-29,1364.369,1378.829,1362.8,1370.553,824067790,8167832300.0
2020-04-30,1367.056,1392.228,1367.056,1387.933,912594740,9149488600.0
2020-05-06,1382.539,1412.635,1381.224,1412.635,960376950,10702453700.0
2020-05-07,1412.483,1418.245,1407.926,1410.031,1024943440,11294217000.0
2020-05-08,1413.498,1425.45,1410.967,1419.554,1018869480,10242824200.0
2020-05-11,1421.379,1424.085,1409.965,1419.821,980791420,10761485000.0
2020-05-12,1419.265,1423.749,1404.421,1418.428,976873830,10473113600.0
2020-05-13,1412.192,1427.545,1407.515,1426.359,872558250,8710891900.0
2020-05-14,1425.687,1425.862,1412.604,1412.909,959483650,9282866300.0
2020-05-15,1418.994,1421.824,1407.723,1414.414,901697340,8585593400.0
2020-05-18,1412.317,1412.317,1391.98,1394.221,936387190,8385541100.0
2020-05-19,1406.837,1412.905,1405.184,1412.64,728033380,7113640100.0
