日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1536.304,1568.948,1536.304,1562.349,229118840,5157981100.0
2020-01-03,1561.639,1568.671,1546.098,1566.673,196610950,4177568700.0
2020-01-06,1558.6,1579.553,1554.15,1568.832,188164580,4341971900.0
2020-01-07,1575.43,1653.955,1575.43,1647.209,349988960,8967140500.0
2020-01-08,1640.944,1640.944,1592.361,1596.159,251183640,6408061800.0
2020-01-09,1609.093,1622.124,1596.869,1604.344,147018090,3700338400.0
2020-01-10,1608.176,1608.692,1569.623,1577.502,152252060,3812963600.0
2020-01-13,1576.787,1592.008,1572.429,1592.008,129202040,3246561100.0
2020-01-14,1591.47,1597.7,1580.714,1589.564,121232097,2983838600.0
2020-01-15,1593.274,1596.673,1571.837,1576.374,115669521,2827579000.0
2020-01-16,1583.1,1583.334,1559.799,1561.108,117131167,2714053800.0
2020-01-17,1562.299,1567.124,1543.637,1544.384,101303237,2383402500.0
2020-01-20,1544.605,1550.891,1527.231,1550.891,120163376,2908492700.0
2020-01-21,1547.784,1548.999,1505.859,1506.875,140303110,3291910100.0
2020-01-22,1492.467,1492.467,1435.186,1465.92,174169030,4062632400.0
2020-01-23,1450.624,1450.624,1388.958,1403.001,168448370,3758652400.0
2020-02-03,1262.788,1264.662,1262.788,1262.788,68867982,1618358900.0
2020-02-04,1153.103,1235.805,1153.103,1233.243,257427130,4797189800.0
2020-02-05,1242.788,1301.629,1241.589,1277.939,207133950,4159354800.0
2020-02-06,1297.363,1339.899,1282.107,1336.422,228557620,4624562100.0
2020-02-07,1331.009,1353.902,1312.022,1336.836,181570210,3582760400.0
2020-02-10,1323.973,1430.826,1318.568,1429.678,311989880,6164280700.0
2020-02-11,1428.47,1430.807,1383.808,1385.556,223277850,4375110500.0
2020-02-12,1386.396,1416.707,1384.193,1398.946,161737350,3288268100.0
2020-02-13,1396.606,1406.234,1376.66,1393.925,157304460,3188871100.0
2020-02-14,1389.057,1414.388,1387.658,1404.948,187267970,4167025500.0
2020-02-17,1417.102,1454.606,1414.863,1442.495,226087190,4712601200.0
2020-02-18,1443.38,1459.483,1427.143,1458.962,204830310,4302416200.0
2020-02-19,1467.224,1537.595,1467.224,1523.87,379096740,7793091100.0
2020-02-20,1556.407,1578.398,1523.484,1537.123,368766150,8543041900.0
2020-02-21,1522.726,1548.302,1508.37,1528.727,273003610,6480721200.0
2020-02-24,1521.635,1564.939,1514.019,1558.433,268560130,6091776100.0
2020-02-25,1526.105,1561.897,1507.767,1549.877,289344050,6993554800.0
2020-02-26,1537.822,1599.221,1537.822,1576.312,405028730,9500710500.0
