日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,895.144,907.675,893.561,907.531,4985962800,52420947000.0
2020-01-03,909.34,919.158,908.555,917.594,5231120700,57321788000.0
2020-01-06,920.984,937.497,920.725,930.735,6748311500,71574302000.0
2020-01-07,930.06,941.075,930.06,941.075,5773533500,62101408000.0
2020-01-08,941.632,952.09,937.73,944.168,7536032200,79453012000.0
2020-01-09,943.375,949.802,942.866,949.802,6491104800,70024817000.0
2020-01-10,950.156,950.811,936.153,940.345,5212918900,57587116000.0
2020-01-13,939.641,951.154,933.754,951.154,4830817200,57614461000.0
2020-01-14,953.545,955.256,948.693,949.075,4920949200,56957117000.0
2020-01-15,947.785,948.917,938.24,946.07,4615263800,50637584000.0
2020-01-16,947.573,951.671,943.21,944.815,4700485600,56665484000.0
2020-01-17,946.104,948.696,939.22,941.372,4302312500,53527498000.0
2020-01-20,940.724,952.87,936.468,952.859,4750192300,58494515000.0
2020-01-21,950.581,950.581,940.488,940.653,5064031300,60695377000.0
2020-01-22,935.026,948.553,920.888,944.197,4982394700,61254181000.0
2020-01-23,935.275,945.599,903.651,912.339,5723998000,69166189000.0
2020-02-03,823.916,826.263,822.957,824.182,2160293000,27229908000.0
2020-02-04,764.789,813.817,764.789,809.484,7004921700,70885886000.0
2020-02-05,812.917,843.41,812.917,832.893,6359299100,67921227000.0
2020-02-06,834.271,858.636,830.001,855.738,6350635400,68972542000.0
2020-02-07,859.443,873.007,853.678,872.994,7113579800,87496755000.0
2020-02-10,874.929,890.291,873.532,890.246,6977343600,84230741000.0
2020-02-11,891.561,891.561,879.262,883.444,6168890600,71482682000.0
2020-02-12,880.572,904.578,880.202,904.536,6249998600,77069077000.0
2020-02-13,904.888,910.133,895.373,897.545,7193743400,90686409000.0
2020-02-14,894.609,909.216,892.429,900.51,6203234100,82725962000.0
2020-02-17,907.466,943.678,907.466,943.678,7748561700,97621862000.0
2020-02-18,949.908,970.825,949.664,970.825,8702829800,111460756000.0
2020-02-19,969.617,980.963,964.11,965.283,9197209000,122692677000.0
2020-02-20,967.633,981.551,957.839,981.203,8501245500,106800263000.0
2020-02-21,981.21,1003.582,981.022,996.462,9774656900,126284345000.0
2020-02-24,995.646,1019.204,992.649,1016.371,9966874000,130402911000.0
2020-02-25,991.216,1021.02,968.029,1019.171,11872652800,149896400000.0
2020-02-26,1003.332,1025.372,992.494,996.089,11815004800,141949620000.0
2020-02-27,1000.192,1007.22,978.021,995.744,9160244300,111574739000.0
2020-02-28,957.245,968.695,930.405,930.817,9702832400,109825997000.0
2020-03-02,941.789,977.807,941.789,973.619,8343882400,95728493000.0
2020-03-03,991.061,1010.398,977.732,986.963,9596410100,115377834000.0
2020-03-04,978.725,997.289,973.228,994.04,7806332700,89436827000.0
2020-03-05,1009.25,1012.476,998.513,1009.617,9051051200,102235701000.0
2020-03-06,996.228,1017.15,993.949,1008.887,8232780400,86732019000.0
2020-03-09,991.516,999.106,966.443,966.443,8934369600,97333241000.0
2020-03-10,949.903,999.023,942.952,999.023,9156724400,101045350000.0
2020-03-11,1003.41,1021.87,993.513,993.513,9683686800,114737288000.0
