日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-04-23,1029.142,1072.993,1023.336,1057.513,423627410,6625980700.0
2024-04-24,1057.754,1105.501,1057.754,1101.566,1716881400,21109779000.0
2024-04-25,1091.07,1095.632,1077.57,1082.582,1757748000,22081941000.0
2024-04-26,1075.117,1130.425,1075.117,1117.562,2163785300,27927704000.0
2024-04-29,1117.987,1143.548,1117.987,1143.548,2187640300,28219740000.0
2024-04-30,1144.328,1144.328,1110.074,1115.295,1996818500,25500360000.0
2024-05-06,1122.221,1127.815,1116.677,1122.328,1871532300,22588402000.0
2024-05-07,1120.597,1165.79,1118.719,1164.923,2368903500,30249780000.0
2024-05-08,1156.536,1156.536,1137.726,1142.915,2036278100,26554092000.0
2024-05-09,1138.633,1154.418,1135.022,1154.076,1750950900,23980316000.0
2024-05-10,1154.352,1163.663,1127.482,1129.707,1806066600,23878810000.0
2024-05-13,1112.411,1112.411,1085.016,1089.557,1592638300,19727372000.0
2024-05-14,1090.079,1101.495,1081.993,1092.27,1154057220,14671835000.0
2024-05-15,1088.222,1106.832,1079.133,1088.51,1243364870,16133981000.0
2024-05-16,1091.545,1107.851,1087.097,1091.74,1298669930,17239563000.0
2024-05-17,1097.526,1128.615,1088.921,1128.615,1624849300,22393439000.0
2024-05-20,1122.297,1138.411,1118.437,1136.155,1641248500,22941499000.0
2024-05-21,1128.827,1128.827,1105.667,1109.877,1326711900,16977011000.0
2024-05-22,1106.56,1117.178,1100.063,1113.904,1238969310,17107612000.0
2024-05-23,1114.733,1121.664,1099.956,1100.391,1628917700,21163305000.0
2024-05-24,1091.527,1093.347,1068.631,1068.631,1527525500,19136714000.0
2024-05-27,1064.65,1066.995,1039.607,1065.052,1351502900,15751766000.0
2024-05-28,1058.929,1074.196,1047.852,1055.771,1221780380,14749448000.0
2024-05-29,1062.492,1074.144,1044.909,1051.046,1285254180,14441269000.0
2024-05-30,1042.389,1066.547,1032.943,1058.644,1351385300,16186619000.0
2024-05-31,1057.492,1088.447,1057.492,1084.999,1501342700,19182582000.0
2024-06-03,1085.224,1090.753,1058.053,1067.719,1530858900,19543307000.0
2024-06-04,1059.274,1059.274,1031.766,1046.295,1384079900,16867337000.0
2024-06-05,1040.501,1058.745,1037.524,1037.716,1270784340,15751407000.0
2024-06-06,1035.877,1039.604,975.902,980.47,1716848600,18649295000.0
2024-06-07,990.851,1000.669,975.951,989.182,1130575830,13072205000.0
2024-06-11,984.274,1009.599,968.421,1007.963,1033713700,11998862800.0
2024-06-12,1006.076,1027.791,1006.076,1023.006,1051518640,12323805400.0
2024-06-13,1023.346,1034.002,1015.206,1025.513,990687750,12619300700.0
2024-06-14,1023.133,1024.135,1012.582,1022.642,943131680,11949607100.0
2024-06-17,1018.732,1024.4,1014.574,1017.598,946806290,11720743400.0
