日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1266.695,1301.707,1247.363,1289.778,641924660,5532059700.0
2020-01-03,1317.276,1389.67,1317.276,1388.38,724020270,5330773800.0
2020-01-06,1427.32,1471.585,1425.17,1461.259,924325720,6306549200.0
2020-01-07,1449.351,1495.356,1430.498,1466.208,990869200,9622296800.0
2020-01-08,1469.208,1485.738,1422.597,1422.597,1006145800,9595835300.0
2020-01-09,1432.585,1445.367,1416.871,1433.703,1373618300,12289118600.0
2020-01-10,1431.83,1437.782,1397.656,1403.962,978851540,8331270700.0
2020-01-13,1403.436,1416.141,1391.568,1415.255,729239890,6592461600.0
2020-01-14,1420.676,1467.037,1412.299,1440.932,1154813240,10922786800.0
2020-01-15,1414.708,1415.783,1382.501,1383.716,707954730,6366895300.0
2020-01-16,1383.361,1408.286,1381.581,1391.757,652563810,6514580900.0
2020-01-17,1385.053,1393.233,1373.839,1383.202,545393580,4992378100.0
2020-01-20,1378.211,1378.502,1354.465,1371.03,578222890,5082710900.0
2020-01-21,1360.611,1362.974,1338.735,1339.88,490962770,4128468000.0
2020-01-22,1334.883,1337.867,1322.104,1331.108,516024340,4515147000.0
2020-01-23,1309.742,1323.005,1260.534,1273.631,612459470,4599085600.0
2020-02-03,1150.287,1154.454,1147.674,1148.755,185632810,1311716730.0
2020-02-04,1065.43,1149.851,1065.43,1149.851,853413130,4899510200.0
2020-02-05,1142.741,1214.716,1142.741,1189.145,870699560,5812146200.0
2020-02-06,1211.689,1247.39,1202.197,1247.39,913756590,6414360700.0
2020-02-07,1245.673,1247.223,1207.934,1230.521,739645320,5153839700.0
2020-02-10,1224.735,1346.107,1224.155,1345.737,901946540,6817303600.0
2020-02-11,1390.419,1390.419,1295.62,1297.767,1400380300,10713805000.0
2020-02-12,1267.407,1364.8,1265.121,1337.943,1296026260,10190018700.0
2020-02-13,1327.743,1392.627,1312.939,1360.257,1490478200,11746294400.0
2020-02-14,1345.764,1382.921,1333.296,1363.472,1166792310,9383498500.0
2020-02-17,1395.461,1462.936,1395.461,1443.476,1412193500,12133041700.0
2020-02-18,1418.52,1433.172,1410.943,1431.131,1248449260,10271478800.0
2020-02-19,1418.11,1418.11,1380.972,1381.323,963308730,7892775900.0
2020-02-20,1379.506,1394.485,1360.42,1392.558,765943290,6177692100.0
2020-02-21,1381.248,1405.08,1373.749,1391.619,725625250,5912572200.0
2020-02-24,1392.377,1454.923,1382.566,1437.865,1122909730,9544066000.0
2020-02-25,1401.251,1413.802,1359.683,1409.205,910129340,7614492600.0
2020-02-26,1429.214,1451.448,1397.551,1400.508,1094479080,9106750100.0
2020-02-27,1393.839,1406.614,1371.294,1387.876,735238990,5843158500.0
2020-02-28,1345.039,1361.069,1303.367,1309.107,753270310,5702982500.0
2020-03-02,1317.048,1361.548,1317.048,1357.569,602940760,4617258300.0
2020-03-03,1371.259,1408.159,1362.278,1400.36,874111870,7132061700.0
2020-03-04,1384.24,1409.1,1378.228,1408.053,838632590,6884772100.0
2020-03-05,1409.777,1469.43,1401.958,1450.53,1098224280,9480835100.0
2020-03-06,1436.218,1469.554,1432.856,1439.035,1094421750,9607099600.0
2020-03-09,1412.318,1429.278,1383.2,1384.845,985802820,8121385700.0
2020-03-10,1360.423,1400.148,1322.162,1398.762,846400530,6367595600.0
2020-03-11,1396.027,1461.784,1389.275,1423.637,1144574740,8059557800.0
2020-03-12,1387.183,1389.759,1352.405,1363.791,810496530,5467992800.0
2020-03-13,1297.154,1424.302,1294.431,1417.039,1135936260,7370205500.0
2020-03-16,1442.532,1468.372,1377.321,1378.023,1416335800,8741098100.0
2020-03-17,1370.155,1393.136,1316.767,1353.88,941567310,5722431300.0
2020-03-18,1363.264,1390.263,1332.833,1334.955,971497230,6364296600.0
2020-03-19,1325.814,1342.797,1304.836,1342.087,805974080,5519464900.0
2020-03-20,1348.821,1381.75,1335.318,1375.975,826693490,5912013500.0
2020-03-23,1331.583,1415.563,1329.092,1382.894,1117482590,8445702800.0
2020-03-24,1399.482,1402.352,1355.436,1394.235,987670290,7330306100.0
2020-03-25,1399.617,1461.959,1387.075,1461.959,1302087360,9965979500.0
2020-03-26,1436.187,1551.693,1432.025,1529.794,1768641900,13984430000.0
2020-03-27,1523.806,1536.992,1473.53,1475.232,1418619100,10598096700.0
2020-03-30,1483.868,1569.056,1483.868,1522.446,1682944900,13197356700.0
2020-03-31,1499.099,1626.186,1488.871,1626.186,1822792000,14934706000.0
2020-04-01,1613.444,1626.73,1563.455,1573.803,1703032000,13546554000.0
2020-04-02,1551.787,1560.159,1508.064,1547.836,1458336000,11543230700.0
2020-04-03,1539.744,1612.103,1534.517,1580.285,1385594000,11277125500.0
2020-04-07,1588.231,1681.71,1577.795,1676.248,1735253300,14079670000.0
2020-04-08,1679.581,1704.957,1636.201,1647.157,1745320400,14458753000.0
2020-04-09,1659.754,1678.907,1612.968,1666.865,1653192600,12774830500.0
2020-04-10,1651.93,1679.413,1607.414,1619.313,1405940700,11516849600.0
2020-04-13,1604.802,1606.544,1559.968,1565.061,847604940,6132574300.0
2020-04-14,1557.36,1601.239,1556.988,1598.444,1158974420,9093624200.0
2020-04-15,1582.329,1635.032,1566.596,1592.988,1448961000,12207885300.0
2020-04-16,1587.093,1615.732,1573.618,1594.999,1217994730,10508915900.0
2020-04-17,1586.503,1591.193,1558.644,1558.644,1009034240,8441461100.0
2020-04-20,1573.947,1608.451,1573.947,1590.919,979379560,8327805500.0
2020-04-21,1576.521,1608.824,1548.17,1586.244,1189445910,9921684500.0
2020-04-22,1565.299,1691.752,1560.861,1689.976,1878283000,16341495000.0
2020-04-23,1701.37,1780.205,1689.782,1716.041,2554816900,22867821000.0
2020-04-24,1709.992,1712.649,1633.851,1661.04,1723047800,14982168000.0
2020-04-27,1654.367,1680.548,1632.481,1635.997,1262581120,10585071100.0
2020-04-28,1621.595,1670.707,1546.049,1648.473,1579010100,13762848000.0
2020-04-29,1626.605,1649.896,1595.605,1596.227,1043403010,9428941400.0
2020-04-30,1595.8,1617.901,1592.999,1605.745,851852150,7531202100.0
2020-05-06,1596.514,1665.752,1594.666,1665.752,1131345800,10135444800.0
2020-05-07,1664.567,1734.831,1654.469,1708.945,1480926000,14172470000.0
2020-05-08,1709.399,1722.868,1693.105,1714.722,1247446850,11514757900.0
2020-05-11,1711.793,1753.114,1711.567,1738.346,1235831250,11193185400.0
2020-05-12,1726.996,1745.233,1706.046,1745.154,1201972760,10644192900.0
2020-05-13,1735.659,1746.356,1720.972,1731.203,1168529310,10188112600.0
2020-05-14,1710.015,1717.628,1677.807,1681.694,1029868500,8983234100.0
2020-05-15,1684.846,1725.621,1684.846,1714.135,961892550,8410185500.0
2020-05-18,1717.2,1788.445,1709.63,1786.092,1450868800,13138089500.0
2020-05-19,1782.823,1801.892,1755.25,1795.219,1252104360,11097814900.0
2020-05-20,1797.869,1839.792,1785.353,1793.13,1310971780,11466305400.0
2020-05-21,1786.191,1787.47,1721.816,1724.892,1240937060,11059192900.0
2020-05-22,1706.665,1756.447,1694.561,1704.131,941021460,7733680600.0
2020-05-25,1696.631,1728.39,1679.312,1719.595,763941200,6299707800.0
2020-05-26,1713.946,1741.918,1703.875,1741.782,775532830,6106119900.0
2020-05-27,1738.9,1780.813,1733.752,1742.124,1060846940,8950122100.0
2020-05-28,1734.839,1742.15,1684.205,1706.441,964960490,7915199100.0
2020-05-29,1691.735,1724.899,1687.808,1712.545,843513720,6327311800.0
2020-06-01,1708.126,1748.378,1706.201,1748.378,992464310,7518840100.0
2020-06-02,1759.529,1767.52,1737.844,1745.991,1160519800,8659178400.0
2020-06-03,1740.597,1747.148,1729.663,1747.148,955399350,7199516400.0
2020-06-04,1746.299,1766.281,1739.385,1753.059,882932830,6942725700.0
2020-06-05,1745.096,1745.146,1690.161,1696.451,939108930,7340873600.0
2020-06-08,1697.76,1702.698,1684.072,1696.503,657073480,5015674300.0
2020-06-09,1690.584,1691.885,1677.743,1690.648,658580590,4795529300.0
2020-06-10,1687.718,1714.504,1682.243,1698.603,681661440,5021332000.0
2020-06-11,1692.16,1694.758,1669.257,1680.404,764932120,5720066300.0
2020-06-12,1646.518,1669.789,1642.103,1660.564,578424450,4229846300.0
2020-06-15,1662.133,1693.735,1662.066,1679.7,841664540,6213964400.0
2020-06-16,1678.522,1684.673,1666.185,1684.673,565320550,4235491100.0
2020-06-17,1683.603,1717.882,1670.744,1712.423,1063024220,8763967300.0
2020-06-18,1700.888,1723.064,1694.084,1695.27,819692250,6776506300.0
2020-06-19,1697.858,1705.169,1690.718,1699.785,813252880,6784750100.0
2020-06-22,1701.467,1742.451,1691.032,1728.198,1150941980,10897804000.0
2020-06-23,1717.615,1723.279,1700.076,1700.076,997458360,9230507500.0
2020-06-24,1701.472,1703.22,1662.761,1663.444,711542860,6037504200.0
2020-06-29,1663.064,1704.366,1663.064,1687.928,823763410,7434796200.0
2020-06-30,1689.759,1706.038,1682.006,1705.22,718497020,6543252600.0
2020-07-01,1702.528,1718.149,1698.059,1709.405,740973770,6529580300.0
2020-07-02,1707.934,1727.282,1700.114,1726.559,792512120,6626032400.0
2020-07-03,1724.645,1740.872,1720.6,1738.702,814035700,6679168900.0
2020-07-06,1745.364,1800.316,1744.934,1800.069,1318073830,11080027900.0
2020-07-07,1811.714,1851.905,1778.379,1821.809,1577966800,14100446000.0
2020-07-08,1814.944,1843.613,1810.607,1843.613,1234824160,10784097000.0
2020-07-09,1847.353,1907.273,1846.53,1907.221,1666453300,15295600000.0
2020-07-10,1898.688,1906.4,1869.566,1876.712,1426632900,12835191500.0
2020-07-13,1906.768,2018.368,1906.768,2018.122,1929075400,17817620000.0
2020-07-14,2047.054,2058.101,1954.846,2021.892,2178883300,22315546000.0
2020-07-15,2010.142,2018.412,1961.0,1962.702,1553223200,15770686000.0
2020-07-16,1949.302,1953.261,1846.622,1848.27,1245001280,11416833600.0
2020-07-17,1852.082,1892.179,1842.631,1872.644,865744870,7944805500.0
2020-07-20,1893.446,1940.737,1880.145,1940.737,997026940,9024631600.0
2020-07-21,1939.808,1963.314,1932.043,1939.374,928663200,8550414400.0
2020-07-22,1934.273,1984.155,1926.448,1983.773,1196066150,11450155200.0
2020-07-23,1978.751,1985.009,1952.038,1976.448,1166964990,11916279600.0
2020-07-24,1960.496,2006.853,1926.927,1929.924,1371658200,14116786000.0
2020-07-27,1958.11,2004.082,1958.11,1977.027,1328818650,13360659300.0
2020-07-28,1961.157,1976.557,1940.117,1966.57,1206105010,11853642000.0
2020-07-29,1949.972,1982.453,1926.99,1982.379,993068210,9661122300.0
2020-07-30,1979.031,2053.31,1979.031,2021.596,1689743300,16978750000.0
2020-07-31,2005.592,2018.167,1987.059,2013.402,1248290150,12389139000.0
2020-08-03,2021.588,2075.281,2019.278,2071.004,1418385000,14931565000.0
2020-08-04,2090.323,2151.346,2081.45,2087.209,1914214600,21815895000.0
2020-08-05,2070.674,2166.363,2056.885,2161.458,1740656000,18365581000.0
2020-08-06,2157.586,2166.041,2111.341,2140.04,1493749100,16831407000.0
2020-08-07,2144.379,2160.379,2109.213,2130.865,1568915800,16329127000.0
2020-08-10,2108.313,2148.842,2092.179,2135.749,1291680650,13286363300.0
2020-08-11,2117.947,2180.174,2109.272,2127.284,1607718200,16992326000.0
