日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1087.907,1095.289,1084.744,1094.125,408994390,3967215800.0
2020-01-03,1095.631,1098.454,1089.828,1096.106,346319570,3172684000.0
2020-01-06,1090.174,1108.28,1085.512,1099.663,434971110,3866071300.0
2020-01-07,1099.43,1111.89,1099.43,1111.89,419878350,3873179900.0
2020-01-08,1106.499,1108.676,1088.243,1090.597,401359180,3496647700.0
2020-01-09,1099.511,1113.339,1099.511,1113.339,509923510,4933271400.0
2020-01-10,1113.108,1114.945,1106.086,1112.496,387341600,3719533000.0
2020-01-13,1111.68,1122.534,1106.334,1122.307,388545120,3774361300.0
2020-01-14,1124.277,1127.369,1120.408,1121.64,390771030,3728004300.0
2020-01-15,1120.204,1121.461,1108.004,1111.876,312279600,3011281100.0
2020-01-16,1115.072,1115.222,1106.995,1110.067,375056830,3631442400.0
2020-01-17,1116.114,1120.194,1108.001,1108.651,399612930,3715411900.0
2020-01-20,1107.042,1116.406,1103.876,1115.845,414411650,4347449000.0
2020-01-21,1112.876,1112.876,1093.584,1094.075,440252070,4504648300.0
2020-01-22,1086.899,1094.635,1071.414,1089.881,353655970,3516681700.0
2020-01-23,1079.751,1083.59,1042.556,1049.031,484124840,5687603400.0
2020-02-03,953.048,958.004,952.33,955.663,269404740,3607158300.0
2020-02-04,899.019,946.052,899.019,942.767,641649430,6111796200.0
2020-02-05,949.101,972.478,946.219,962.299,504471470,6136316100.0
2020-02-06,972.529,991.812,961.856,988.443,586381500,7305627800.0
2020-02-07,985.821,994.213,975.162,993.907,498776670,5571870300.0
2020-02-10,993.284,1027.704,990.523,1026.504,552779010,5621522700.0
2020-02-11,1025.586,1028.659,1016.548,1017.109,466801030,4715365100.0
2020-02-12,1011.494,1025.889,1009.922,1025.636,410079400,5077665300.0
2020-02-13,1021.776,1022.676,1006.642,1007.361,444407620,5048009400.0
2020-02-14,1004.954,1014.787,1000.473,1008.495,397412870,4677817600.0
2020-02-17,1013.208,1041.182,1013.016,1041.182,567554240,7247705900.0
2020-02-18,1042.997,1050.126,1034.045,1050.126,524421630,6244058000.0
2020-02-19,1048.753,1058.286,1045.283,1045.724,561205430,6575189100.0
