日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-02-14,993.463,993.463,982.395,989.378,214611360,2335926500.0
2022-02-15,980.131,981.227,960.919,968.363,176791620,1829598100.0
2022-02-16,968.598,979.908,968.598,974.475,147364290,1613123700.0
2022-02-17,973.717,987.429,970.098,974.75,202977450,2205835300.0
2022-02-18,964.327,976.046,961.489,975.429,149095610,1791135500.0
2022-02-21,976.456,990.783,973.013,990.779,168470840,2059148900.0
2022-02-22,984.797,989.547,969.339,972.536,185593890,2325711300.0
2022-02-23,975.286,980.563,969.233,980.119,137574080,1658321700.0
2022-02-24,975.723,980.177,934.328,944.637,225696130,2453446300.0
2022-02-25,951.844,968.962,951.83,959.967,157079220,1903507900.0
2022-02-28,956.832,959.17,942.222,949.254,129039389,1624239800.0
2022-03-01,952.512,960.098,951.189,959.609,135279940,1756765800.0
2022-03-02,956.215,961.588,953.877,960.061,148987600,1750905900.0
2022-03-03,961.779,965.081,956.475,960.916,145980900,1711943000.0
2022-03-04,956.287,963.242,949.459,954.021,178623140,2279798100.0
2022-03-07,950.21,950.754,933.387,937.922,227468380,3046175900.0
2022-03-08,937.942,938.379,900.454,905.019,203929160,2422878300.0
2022-03-09,905.627,912.998,856.305,887.143,211691310,2449078900.0
2022-03-10,900.628,913.335,900.301,904.895,211656680,2488300100.0
2022-03-11,895.246,913.841,881.972,912.605,178957240,1926702700.0
2022-03-14,906.085,906.085,880.07,880.07,151499560,1656144800.0
2022-03-15,874.03,877.486,833.23,833.23,185828320,1989193200.0
2022-03-16,848.422,870.384,830.148,867.952,223732870,2431544400.0
2022-03-17,876.607,888.487,874.916,878.789,231082620,2658358300.0
2022-03-18,877.838,894.153,872.293,890.574,192457750,2040197500.0
2022-03-21,895.147,907.039,888.935,905.334,215307550,2360997900.0
2022-03-22,901.555,907.862,889.762,903.068,158597590,1768561500.0
2022-03-23,904.67,905.706,895.348,897.952,139400540,1537555800.0
2022-03-24,894.407,895.287,886.872,887.608,133831296,1554246300.0
2022-03-25,888.801,903.102,888.801,893.399,128743386,1394581300.0
2022-03-28,888.73,889.98,873.336,880.899,136183620,1438589700.0
