日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-08-10,1012.762,1043.339,1003.429,1017.303,340688860,5212239000.0
2023-08-11,1013.306,1068.115,1012.859,1044.119,515967100,10448777700.0
2023-08-14,1032.497,1043.648,1014.742,1043.473,421517230,9241027600.0
2023-08-15,1037.095,1053.757,1020.465,1038.787,377764130,7449856900.0
2023-08-16,1041.555,1068.237,1026.752,1027.236,428917700,8464515900.0
2023-08-17,1017.829,1021.483,1004.132,1012.336,373167510,6777852400.0
2023-08-18,1010.286,1010.286,975.949,975.949,357980290,6483034100.0
2023-08-21,972.905,980.682,962.402,962.402,250100350,5044669400.0
2023-08-22,963.983,966.436,934.449,951.52,282100990,5929260700.0
2023-08-23,948.765,950.248,930.585,930.978,214255800,4362115700.0
2023-08-24,929.686,939.259,914.916,933.269,202820830,4461717200.0
2023-08-25,927.644,938.727,917.352,919.492,213503260,4602045000.0
2023-08-28,967.351,968.271,917.41,920.623,264084040,6146238800.0
2023-08-29,917.767,958.416,916.29,958.389,229446240,5177224200.0
2023-08-30,957.798,977.254,957.334,967.54,213303540,4642671200.0
2023-08-31,965.73,991.556,958.425,982.831,300175470,5466782000.0
2023-09-01,979.196,983.384,970.046,972.15,210616160,4045743500.0
2023-09-04,975.378,977.517,967.545,975.071,199396390,4418812200.0
2023-09-05,972.811,976.402,962.699,966.066,179722580,3619378800.0
2023-09-06,963.687,965.449,955.74,959.906,169902660,3321793700.0
2023-09-07,957.408,958.279,939.758,939.841,157577400,3077318500.0
2023-09-08,941.228,951.505,940.24,942.229,122825163,2603639100.0
2023-09-11,942.945,985.433,942.675,983.967,331063270,6684553900.0
2023-09-12,987.209,1027.432,987.167,1021.842,497356200,7969817500.0
2023-09-13,1015.089,1015.089,988.774,999.549,477016440,6153116700.0
2023-09-14,999.088,1016.651,997.476,1008.548,499729910,6585586800.0
2023-09-15,1001.77,1040.258,999.968,1026.769,606974940,9197460200.0
2023-09-18,1024.219,1041.362,1023.509,1041.248,540685430,8218079800.0
2023-09-19,1040.44,1073.748,1033.799,1041.107,622461150,9453928600.0
2023-09-20,1042.031,1070.172,1038.594,1057.633,744846630,10069929000.0
2023-09-21,1052.185,1052.185,1035.9,1040.117,685248860,9795024500.0
2023-09-22,1037.58,1070.207,1029.137,1066.202,908315800,12027985200.0
2023-09-25,1062.67,1123.03,1062.67,1112.861,1062593280,17563785000.0
2023-09-26,1108.042,1124.619,1100.882,1109.29,1194419220,15980619000.0
2023-09-27,1112.504,1157.43,1112.504,1154.002,1289956340,19396231000.0
2023-09-28,1148.392,1157.655,1127.886,1135.18,1303976340,19165990000.0
