日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-07-29,1029.872,1057.198,1028.281,1044.737,581512980,10340362100.0
2022-08-01,1057.911,1075.075,1045.454,1071.946,1478043300,17152964000.0
2022-08-02,1050.493,1090.612,1030.355,1075.986,1558540300,18973034000.0
2022-08-03,1076.569,1089.432,1017.371,1025.791,1536753200,18761003000.0
2022-08-04,1013.048,1031.086,988.941,1031.086,1455472600,15116215000.0
2022-08-05,1028.236,1030.758,993.987,1001.8,1505544400,13699627000.0
2022-08-08,993.295,1025.697,990.057,1022.742,1195754770,12201045600.0
2022-08-09,1021.069,1037.607,1019.72,1027.995,1022649920,10948960300.0
2022-08-10,1023.137,1051.665,1016.198,1050.603,1076681460,12984025200.0
2022-08-11,1047.231,1047.529,1025.447,1027.116,1076826880,13677128000.0
2022-08-12,1039.973,1064.671,1028.169,1029.26,1001511310,13906595000.0
2022-08-15,1013.107,1035.754,1010.488,1033.069,846162800,10649473700.0
2022-08-16,1029.121,1045.96,1023.283,1045.96,973350570,11105165500.0
2022-08-17,1041.053,1050.856,1035.206,1048.676,894437860,12581208100.0
2022-08-18,1045.664,1073.751,1043.825,1068.611,991467700,13042165300.0
2022-08-19,1065.749,1065.749,1018.995,1019.42,1053605380,13328730600.0
2022-08-22,1009.208,1012.037,994.764,1003.747,687485670,8014201600.0
2022-08-23,998.836,1014.229,997.251,1006.592,720602810,8099049600.0
2022-08-24,1004.822,1004.912,957.003,957.003,801508260,9191417500.0
2022-08-25,958.253,959.415,926.047,936.054,640771540,6847749600.0
2022-08-26,936.122,942.471,920.093,922.275,522941660,5542236000.0
2022-08-29,907.336,932.075,902.454,931.165,476918730,5798417200.0
2022-08-30,931.514,937.632,910.816,916.902,422379510,4974594800.0
2022-08-31,915.077,916.713,881.245,884.048,472452280,5600232300.0
2022-09-01,885.875,895.335,871.274,874.782,389825520,4413788300.0
2022-09-02,876.41,897.519,876.41,897.388,485123400,5171607200.0
2022-09-05,898.549,901.571,886.513,891.387,380073950,4534778900.0
2022-09-06,894.615,912.116,886.35,912.116,552509720,6039619600.0
2022-09-07,909.24,932.675,906.581,928.797,576512990,6714014700.0
2022-09-08,931.008,934.353,910.569,912.3,472249760,5834154100.0
2022-09-09,910.747,912.18,896.116,904.685,308315970,3870080600.0
2022-09-13,906.609,914.755,900.078,914.469,355890630,4378069900.0
2022-09-14,898.749,907.703,892.883,899.376,343169700,4380541500.0
2022-09-15,904.221,904.777,853.538,864.621,468124970,5602930400.0
2022-09-16,862.894,872.95,849.587,849.587,320081980,3989113300.0
2022-09-19,848.215,860.21,844.631,850.43,345393070,4070955700.0
2022-09-20,855.684,885.443,855.684,883.775,676187490,6791282800.0
2022-09-21,878.305,889.109,873.354,885.488,862460410,6792394400.0
2022-09-22,878.746,894.729,874.934,882.348,651801150,5876932600.0
2022-09-23,880.784,884.254,847.65,854.187,610986320,6170946400.0
2022-09-26,847.061,859.07,838.831,845.871,507510340,4933757100.0
2022-09-27,849.234,861.26,841.03,858.177,529204640,5037231700.0
2022-09-28,854.873,856.577,825.372,825.372,469611870,4579085300.0
2022-09-29,834.499,837.939,816.548,821.746,477926190,4353544100.0
2022-09-30,819.996,821.193,800.795,801.138,379606910,3563026600.0
2022-10-10,795.763,797.904,766.035,768.732,388699340,4337555400.0
2022-10-11,768.574,778.804,763.723,778.438,307841910,3069109500.0
2022-10-12,778.711,810.224,769.571,810.224,456100160,4076254200.0
2022-10-13,805.43,819.216,801.291,810.719,371785460,3581953500.0
2022-10-14,816.192,832.364,814.409,828.668,403101510,3905053200.0
2022-10-17,825.958,855.788,823.893,855.274,562713210,5345722100.0
2022-10-18,860.41,861.176,849.133,851.703,503712750,5037819100.0
2022-10-19,849.494,861.829,845.77,849.194,494055350,4824056000.0
2022-10-20,845.47,854.287,831.408,845.087,419635990,4575876700.0
2022-10-21,845.886,851.855,837.21,844.003,320150590,3370881000.0
2022-10-24,847.725,865.066,842.231,846.785,471924160,5168628200.0
2022-10-25,841.279,867.154,828.771,865.776,709093270,7125895100.0
2022-10-26,862.908,878.992,856.908,876.8,638610810,7090919000.0
2022-10-27,872.325,885.15,858.448,858.448,493347320,5112915800.0
2022-10-28,853.419,855.239,819.857,823.353,501994360,5070544000.0
2022-10-31,813.863,836.801,813.863,830.217,341322050,4114280600.0
2022-11-01,831.884,858.349,831.884,858.349,444853490,4475960600.0
2022-11-02,855.937,881.522,855.556,876.131,541643170,5821678300.0
2022-11-03,869.844,880.205,868.273,876.502,409170970,4184427400.0
2022-11-04,877.02,893.102,876.729,891.567,576445660,5754896900.0
2022-11-07,891.351,894.527,880.777,885.538,404371850,4270466100.0
2022-11-08,884.774,884.774,871.767,878.04,302495340,3361731900.0
2022-11-09,878.46,889.104,873.528,881.518,452586480,3773249000.0
2022-11-10,877.119,880.119,866.405,869.739,504668810,5595393100.0
2022-11-11,883.72,887.623,868.767,869.007,498223150,6120730100.0
2022-11-14,870.173,875.141,854.125,857.56,405990610,4728456100.0
2022-11-15,856.319,885.697,851.176,885.697,532283850,5716038900.0
2022-11-16,887.824,887.824,874.442,875.962,435551900,4793741000.0
2022-11-17,873.663,873.663,862.027,871.268,372135420,4463275200.0
2022-11-18,871.369,882.215,865.845,866.969,412989570,4736580500.0
2022-11-21,866.449,887.543,861.637,887.543,543375830,5665366700.0
2022-11-22,887.245,889.174,869.217,871.641,561320640,5353085700.0
2022-11-23,864.763,865.347,846.248,861.025,498444020,4922549300.0
2022-11-24,861.302,870.474,858.053,860.846,400153390,4152187500.0
2022-11-25,859.57,859.57,843.124,843.793,325651540,3426725400.0
2022-11-28,835.366,836.848,828.223,836.61,296995720,3276745000.0
2022-11-29,836.371,848.054,836.371,847.717,327087040,3346129700.0
2022-11-30,846.744,860.135,842.574,855.141,459330540,4475318100.0
2022-12-01,860.98,867.244,855.238,857.087,436183820,4688534500.0
2022-12-02,855.088,861.366,853.659,858.474,351381950,3401489100.0
2022-12-05,861.496,863.548,853.908,862.439,343470780,3485430200.0
2022-12-06,859.465,867.046,851.767,864.039,363450810,4146458200.0
2022-12-07,862.009,865.217,855.454,858.098,315966620,3689907400.0
2022-12-08,856.164,858.607,850.291,850.934,257108420,2843268400.0
2022-12-09,850.574,853.345,845.541,846.553,265978870,2990324500.0
2022-12-12,846.274,853.326,841.696,846.118,302893610,3841665600.0
2022-12-13,843.527,845.976,833.98,834.278,280172140,3288964200.0
2022-12-14,834.198,850.647,834.198,839.115,610285340,4831132200.0
2022-12-15,836.131,856.448,833.637,855.869,763402200,6541529400.0
2022-12-16,851.904,851.904,833.383,835.255,485450550,4805167800.0
2022-12-19,835.153,838.432,816.852,819.952,451444200,4389849100.0
2022-12-20,818.285,833.782,816.233,831.497,617917950,4926411400.0
2022-12-21,832.793,832.848,811.201,815.57,950502290,5836167200.0
2022-12-22,817.15,817.622,795.005,796.72,761961850,5013569200.0
2022-12-23,790.349,795.812,781.209,785.969,547668190,4069923800.0
2022-12-26,784.905,809.365,784.74,808.843,536811620,4075914500.0
2022-12-27,811.52,816.339,801.035,810.272,445455200,3347311100.0
2022-12-28,807.071,807.071,789.637,791.176,468458190,3542635500.0
2022-12-29,790.781,796.931,787.733,788.058,419301270,2813012900.0
2022-12-30,792.348,796.817,789.255,790.915,341646310,2979324900.0
2023-01-03,791.207,814.738,790.041,813.352,489106760,3703569500.0
2023-01-04,813.868,819.343,808.873,819.343,674409460,4369361800.0
2023-01-05,821.415,830.232,820.077,827.812,932679960,6372716800.0
2023-01-06,825.544,841.404,825.544,833.186,690252590,5587920900.0
2023-01-09,836.286,842.738,834.741,838.756,645537190,5035737700.0
2023-01-10,838.592,839.401,831.508,837.268,464992910,4065287100.0
2023-01-11,837.409,839.083,826.251,826.473,387998380,3327673400.0
2023-01-12,829.641,840.389,829.348,837.075,604213400,4704240100.0
2023-01-13,837.028,839.85,832.055,836.703,438442590,3496579000.0
2023-01-16,837.144,849.772,834.735,845.108,400285000,3779553500.0
2023-01-17,849.489,854.814,846.503,850.019,384967150,3504159900.0
2023-01-18,850.946,860.471,849.165,857.406,425522470,3989493200.0
2023-01-19,857.736,858.569,851.023,857.866,346006880,3387258100.0
2023-01-20,873.533,880.864,871.509,872.787,482386180,5581461200.0
2023-01-30,886.126,899.486,885.987,895.33,746777860,7186314700.0
2023-01-31,893.334,913.957,891.17,913.839,939818610,7882436300.0
2023-02-01,912.617,932.158,912.575,932.158,1020929490,8772482400.0
2023-02-02,935.198,935.198,923.595,928.297,865256490,8321584200.0
2023-02-03,924.643,926.578,910.242,922.082,651259440,6170114500.0
2023-02-06,916.876,919.257,911.515,916.916,558882780,5284092800.0
2023-02-07,917.369,951.878,916.825,951.878,964163040,11893703100.0
2023-02-08,949.244,949.244,935.706,938.462,675889150,8112279600.0
2023-02-09,935.112,949.967,933.749,949.768,568714930,6927658100.0
2023-02-10,947.544,951.924,938.539,945.23,507502320,5953931800.0
2023-02-13,944.229,956.163,942.306,956.101,531729210,5940894800.0
2023-02-14,956.922,956.922,945.708,950.093,448782050,5208023000.0
2023-02-15,950.777,953.502,949.176,950.821,435132260,5047236300.0
2023-02-16,949.653,949.825,913.032,918.304,653945630,7538122200.0
2023-02-17,919.65,928.162,912.081,912.16,483524450,5138203800.0
2023-02-20,913.541,930.014,910.269,930.014,407738260,4677790800.0
2023-02-21,931.32,942.245,930.928,941.072,445857800,5472314800.0
2023-02-22,936.958,946.226,935.338,943.527,385030460,4795022600.0
2023-02-23,944.298,947.683,940.001,946.039,424166820,5072840000.0
2023-02-24,946.234,946.27,931.793,936.108,327924020,3984520400.0
2023-02-27,931.567,934.993,925.074,928.514,422324170,4461298500.0
2023-02-28,929.401,932.698,921.39,931.403,315674240,3400884900.0
2023-03-01,931.199,939.931,926.837,939.897,373391090,4079668600.0
2023-03-02,941.861,947.708,932.375,932.928,502911420,6313205900.0
