日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-12-09,1005.284,1014.935,1004.075,1005.695,759346430,19519394000.0
2021-12-10,998.641,1023.462,995.675,1021.911,875817270,27141702000.0
2021-12-13,1023.789,1023.789,1009.467,1016.519,745906140,20820541000.0
2021-12-14,1011.46,1012.184,999.373,1004.403,812984600,26528443000.0
2021-12-15,1002.492,1006.36,987.304,989.225,681620020,24562497000.0
2021-12-16,989.956,996.844,983.313,996.518,646434570,20531058000.0
2021-12-17,995.609,995.609,981.085,981.432,707414230,25365973000.0
2021-12-20,978.844,984.359,955.685,956.445,820151820,31359642000.0
2021-12-21,953.272,962.855,949.345,962.855,604164110,24419270000.0
2021-12-22,963.596,972.212,957.65,970.802,768940420,22841337000.0
2021-12-23,973.281,973.281,962.77,963.938,664554000,22021635000.0
2021-12-24,963.146,963.963,921.828,924.297,818396130,34415091000.0
2021-12-27,923.957,941.137,922.215,931.843,604042950,21611017000.0
2021-12-28,935.06,949.61,931.312,949.411,651492030,25669784000.0
2021-12-29,946.954,949.948,941.331,942.019,623303630,24862813000.0
2021-12-30,941.884,947.662,937.491,937.95,552031230,22097954000.0
2021-12-31,939.952,948.913,938.976,947.395,556763740,22098220000.0
2022-01-04,957.0,957.0,922.873,930.771,695169940,30881137000.0
2022-01-05,929.499,929.499,905.406,910.787,738523340,27570761000.0
2022-01-06,905.103,928.084,902.551,924.134,702678930,25227702000.0
2022-01-07,926.828,927.167,898.614,898.793,762670990,26646349000.0
2022-01-10,891.1,901.647,885.828,892.294,540971650,21546298000.0
2022-01-11,892.411,899.214,880.117,881.972,534123660,18528235000.0
2022-01-12,892.608,905.633,892.582,904.854,628424510,29376350000.0
2022-01-13,905.351,905.981,887.136,887.936,637046660,28498696000.0
2022-01-14,883.701,894.699,880.84,887.277,574724190,23001056000.0
2022-01-17,885.745,901.529,880.717,900.716,561795890,24276470000.0
2022-01-18,899.134,902.689,892.266,894.902,527969500,19915982000.0
2022-01-19,890.682,892.799,866.967,875.011,574791670,24421958000.0
2022-01-20,872.832,875.849,849.634,850.539,508365090,16787995000.0
2022-01-21,849.54,856.84,841.296,848.774,467629120,17287035000.0
2022-01-24,845.109,863.63,843.453,857.496,535399160,22650924000.0
2022-01-25,853.568,866.211,832.784,832.975,589604610,18232084000.0
2022-01-26,833.256,844.378,825.54,837.824,488421940,18428630000.0
2022-01-27,839.934,840.64,809.2,809.2,575598960,23360919000.0
2022-01-28,814.828,824.229,791.418,816.065,545557220,28229600000.0
2022-02-07,828.403,835.606,819.839,824.124,533961130,23772942000.0
2022-02-08,823.354,825.789,807.271,825.789,492018770,23720289000.0
2022-02-09,825.191,839.478,822.749,838.638,497993450,18475362000.0
2022-02-10,841.102,841.152,821.636,827.672,470049560,26238806000.0
2022-02-11,828.582,847.809,823.41,830.981,607718080,28075180000.0
2022-02-14,821.506,840.456,816.223,828.751,591999390,23828357000.0
2022-02-15,829.088,837.462,822.405,836.839,547531980,21801346000.0
2022-02-16,840.467,849.94,839.479,847.218,626892830,20944959000.0
2022-02-17,845.144,871.058,842.411,864.969,860393860,29860255000.0
2022-02-18,857.577,864.139,853.798,864.034,628153250,21172865000.0
2022-02-21,863.769,870.767,859.044,870.252,604974190,23579432000.0
2022-02-22,868.743,875.466,858.557,872.716,706868920,25868305000.0
2022-02-23,875.3,893.845,875.24,893.803,851527510,28267690000.0
2022-02-24,887.193,905.293,863.717,880.585,1111048520,33281684000.0
2022-02-25,891.731,898.822,884.796,887.065,719333910,26379185000.0
2022-02-28,886.063,897.817,878.578,897.233,752523970,25343428000.0
2022-03-01,900.058,901.8,884.394,893.424,649457720,24177968000.0
2022-03-02,887.744,894.324,883.139,890.753,570344990,20447680000.0
2022-03-03,893.99,894.504,878.624,879.942,590421740,17572917000.0
2022-03-04,874.829,882.408,864.32,866.7,623105530,24145433000.0
2022-03-07,863.422,863.593,842.244,846.545,626105240,26148622000.0
2022-03-08,856.365,860.618,816.595,822.725,1068579570,34378915000.0
2022-03-09,821.211,823.671,772.074,808.106,1002243940,29889732000.0
2022-03-10,830.014,843.211,826.759,835.17,896917710,33659769000.0
2022-03-11,818.593,830.503,801.925,828.219,708881680,24144602000.0
2022-03-14,817.792,819.747,802.83,802.83,578911980,21274518000.0
2022-03-15,797.3,806.348,766.219,766.219,825118720,28784871000.0
2022-03-16,780.461,801.705,751.333,800.922,901336960,35947570000.0
2022-03-17,811.84,829.216,811.84,813.117,854353960,35912685000.0
2022-03-18,807.921,819.515,805.972,817.933,666242800,22525019000.0
2022-03-21,824.526,840.579,822.972,833.039,882140200,26158418000.0
2022-03-22,836.191,843.748,828.892,835.695,745603090,20191152000.0
2022-03-23,842.665,844.451,830.495,833.477,639899470,16197325000.0
2022-03-24,830.709,832.002,819.448,823.579,577091110,16694354000.0
2022-03-25,823.605,831.43,816.416,817.202,595534210,18503112000.0
2022-03-28,807.147,811.398,796.444,800.648,700069970,20793780000.0
2022-03-29,803.337,806.468,789.29,794.145,556515350,17019303000.0
2022-03-30,799.03,819.534,796.696,819.113,697636620,22704042000.0
2022-03-31,815.252,815.252,797.81,801.055,607499410,18052060000.0
2022-04-01,793.996,805.802,791.599,800.519,503465030,14402084000.0
2022-04-06,797.48,797.974,788.016,794.844,506707450,13668849000.0
2022-04-07,792.178,794.153,777.301,777.301,545110150,15993598000.0
2022-04-08,777.503,779.248,759.581,771.317,594245200,16041823000.0
2022-04-11,766.887,766.887,727.759,731.863,747329910,25174522000.0
2022-04-12,729.106,747.193,726.939,746.555,582558190,16520707000.0
2022-04-13,743.029,743.253,729.568,731.541,486603570,14517691000.0
2022-04-14,739.323,741.364,727.334,731.081,436562600,14396386000.0
2022-04-15,725.719,725.819,706.578,715.269,507588390,18542972000.0
2022-04-18,710.265,720.122,699.058,719.885,423665270,13048156100.0
2022-04-19,719.996,731.967,716.813,720.481,390009700,13544023000.0
2022-04-20,722.527,722.684,703.124,705.743,485584460,20229227000.0
2022-04-21,702.524,705.612,672.429,674.389,570776020,17706799000.0
2022-04-22,671.545,676.613,662.185,668.348,434964440,15601079000.0
2022-04-25,657.063,657.063,612.114,612.114,678086980,19660165000.0
2022-04-26,613.631,616.787,587.588,589.921,636803400,16517220000.0
2022-04-27,580.188,630.396,578.696,630.066,765843100,24827252000.0
2022-04-28,624.987,640.037,621.619,631.067,690098160,24489562000.0
2022-04-29,637.964,661.802,636.439,660.985,715235210,27157318000.0
2022-05-05,656.923,678.797,655.761,672.979,827676140,37234165000.0
2022-05-06,656.518,669.067,653.537,660.757,650747010,20621709000.0
2022-05-09,658.933,671.019,658.094,666.742,552184490,14539683000.0
2022-05-10,655.663,680.932,654.36,680.459,625193740,21373876000.0
2022-05-11,682.824,713.541,682.824,693.68,932452930,31283709000.0
2022-05-12,688.867,698.044,685.343,693.722,593026120,16345235000.0
2022-05-13,698.228,702.534,691.129,702.248,679622690,15657323000.0
2022-05-16,710.907,716.931,703.804,705.062,742327130,17268512000.0
2022-05-17,704.651,721.996,702.351,720.503,896697760,23177057000.0
2022-05-18,719.946,734.5,718.099,728.073,782895730,18483987000.0
2022-05-19,717.25,734.959,715.881,734.959,744432810,20274255000.0
2022-05-20,739.334,748.339,733.914,747.26,854178100,24036132000.0
2022-05-23,749.033,760.61,746.781,759.73,856384930,23920903000.0
2022-05-24,760.095,763.082,729.669,729.727,1009708350,26987015000.0
2022-05-25,729.54,738.916,724.922,738.916,687258690,19530215000.0
2022-05-26,739.253,747.792,727.311,744.359,657722970,17664064000.0
2022-05-27,748.133,755.261,735.507,741.534,682440930,20414387000.0
2022-05-30,746.293,752.901,740.051,752.484,662672460,18402657000.0
2022-05-31,753.913,757.056,739.97,756.547,700952020,21208843000.0
2022-06-01,754.307,769.102,753.263,766.568,928255930,26875037000.0
2022-06-02,763.294,784.439,761.735,782.081,1073654170,26638849000.0
2022-06-06,783.986,813.17,783.913,809.418,1290608680,35552730000.0
2022-06-07,810.332,811.165,793.688,800.511,940479990,24563527000.0
2022-06-08,802.867,808.524,782.696,802.448,941241840,38139704000.0
2022-06-09,798.546,799.71,781.97,786.272,786018550,24393090000.0
2022-06-10,784.339,812.55,782.66,810.473,1044246980,31845130000.0
2022-06-13,808.522,830.563,807.406,825.846,1291503290,34614772000.0
2022-06-14,816.561,826.939,799.246,826.906,1350992000,32513003000.0
2022-06-15,828.613,835.217,818.344,818.344,1458410600,44245859000.0
2022-06-16,816.796,827.451,815.494,819.412,1016195730,32484684000.0
2022-06-17,812.638,842.075,812.137,840.816,1300635700,40868903000.0
2022-06-20,847.978,862.31,846.305,858.746,1235630060,37654613000.0
2022-06-21,858.233,858.529,840.723,849.659,1319344280,36174077000.0
2022-06-22,853.21,866.957,850.258,851.59,1172321610,32942938000.0
2022-06-23,856.455,878.132,846.114,878.132,1607624200,42031117000.0
2022-06-24,882.513,894.987,876.667,892.746,1925314700,46053529000.0
2022-06-27,897.412,903.945,889.853,897.093,1814262500,48968518000.0
2022-06-28,894.625,911.992,889.862,911.648,1687302100,46810188000.0
2022-06-29,908.095,910.489,871.576,871.8,1646004600,41882518000.0
2022-06-30,871.014,882.522,868.404,874.044,1155421700,31220002000.0
2022-07-01,870.778,887.187,867.798,880.327,1170843190,36146266000.0
2022-07-04,878.918,899.508,870.861,899.508,1417294100,41196172000.0
2022-07-05,902.944,911.582,889.357,904.337,1522410900,44000799000.0
2022-07-06,899.214,900.024,879.668,889.059,1173613320,36890430000.0
2022-07-07,889.734,915.791,882.366,914.074,1491345200,47139836000.0
2022-07-08,921.138,927.219,902.435,903.241,1434220800,44705020000.0
2022-07-11,903.463,903.463,873.061,883.566,1508946400,43364620000.0
2022-07-12,883.826,886.8,861.768,861.768,1293510850,41731184000.0
2022-07-13,860.778,877.941,851.051,877.078,1159767390,43312919000.0
2022-07-14,872.274,908.859,870.645,901.399,1442182200,46507986000.0
2022-07-15,896.529,904.14,886.191,886.191,1501323800,41619619000.0
2022-07-18,890.338,910.453,890.338,910.39,1527776400,42312250000.0
2022-07-19,912.762,925.413,905.975,916.835,1516057300,39765657000.0
2022-07-20,919.981,922.593,912.124,919.209,1421040600,33361568000.0
2022-07-21,916.78,923.586,909.063,911.053,1538811900,35705320000.0
2022-07-22,918.429,937.106,918.429,929.486,1721606800,37132985000.0
2022-07-25,940.804,948.985,914.613,914.672,2110085900,39696721000.0
2022-07-26,909.589,921.45,899.931,919.488,1763958900,41165959000.0
2022-07-27,916.014,935.492,914.173,933.315,1801464200,36214736000.0
2022-07-28,937.222,939.683,929.209,931.955,1738614500,37843378000.0
2022-07-29,937.133,943.565,931.564,932.132,1565932600,35050188000.0
2022-08-01,933.032,964.28,928.973,964.278,1753029800,48586296000.0
2022-08-02,949.032,949.032,916.459,921.385,2187657100,47341046000.0
2022-08-03,926.36,942.184,904.775,908.718,1850483600,44934977000.0
2022-08-04,913.555,917.219,896.193,910.663,1443824000,33904715000.0
2022-08-05,910.152,917.25,898.942,915.554,1319810510,35133787000.0
2022-08-08,911.941,929.436,908.465,929.436,1257713500,32810048000.0
2022-08-09,929.89,943.306,926.731,938.278,1480077400,38294808000.0
2022-08-10,937.074,942.771,932.868,938.787,1366740800,35736245000.0
2022-08-11,940.834,954.099,936.391,954.076,1666899500,40355429000.0
2022-08-12,948.834,956.426,943.023,943.216,1429323800,33425454000.0
2022-08-15,940.603,960.48,939.661,960.48,1388417400,42036938000.0
2022-08-16,962.024,969.722,958.949,969.445,1450100600,40938189000.0
2022-08-17,969.182,970.166,953.343,963.235,1610523300,43161303000.0
2022-08-18,960.28,971.908,959.982,969.894,1550543000,39049411000.0
2022-08-19,969.942,970.283,949.808,949.937,1377741300,36610486000.0
2022-08-22,947.343,963.242,935.9,963.143,1365860100,47612000000.0
2022-08-23,960.109,974.891,960.058,974.891,1337660910,40914262000.0
2022-08-24,978.261,979.024,937.533,938.363,1651709800,52569390000.0
2022-08-25,942.527,944.352,909.61,923.101,1373585000,42109218000.0
2022-08-26,922.762,945.259,921.171,927.563,1431131600,39821432000.0
2022-08-29,912.959,929.206,909.081,925.845,1308337450,31533659000.0
2022-08-30,923.978,924.3,906.733,910.178,1113221420,29388228000.0
2022-08-31,906.123,906.136,866.255,868.866,1435272800,41218818000.0
2022-09-01,869.037,874.734,854.857,857.209,1018537440,27742120000.0
2022-09-02,861.185,871.419,852.245,865.187,1002530590,24960962000.0
2022-09-05,863.817,873.919,862.357,870.821,948585050,22647937000.0
2022-09-06,877.863,900.448,872.233,900.448,1218067770,39414958000.0
2022-09-07,893.973,908.293,892.684,905.417,1227368420,34073992000.0
2022-09-08,906.538,906.916,890.616,891.03,1081426690,29770394000.0
2022-09-09,894.393,894.887,881.694,891.476,1065647690,28125640000.0
2022-09-13,891.59,894.93,882.727,890.452,907749900,23320459000.0
2022-09-14,873.533,880.733,867.177,873.733,1040779250,31161710000.0
2022-09-15,877.855,879.103,833.265,842.76,1331323870,37990538000.0
2022-09-16,837.742,837.915,818.414,818.494,1068750930,26625028000.0
2022-09-19,817.463,832.309,815.484,820.859,922719260,23889643000.0
2022-09-20,828.684,847.776,828.684,838.833,940743910,31396532000.0
2022-09-21,833.32,846.524,827.051,842.945,856206610,21767845000.0
2022-09-22,836.6,851.074,834.818,841.496,800323740,21167808000.0
2022-09-23,840.695,843.931,817.553,825.091,889234490,23654046000.0
2022-09-26,818.498,830.43,811.301,813.007,880670490,25202575000.0
2022-09-27,816.217,823.164,804.917,822.547,807563750,22396475000.0
2022-09-28,819.295,819.295,783.219,783.219,946560440,24792102000.0
2022-09-29,791.225,794.9,776.409,781.169,863581900,22115779000.0
2022-09-30,780.379,781.717,762.437,762.445,756293620,20236882000.0
2022-10-10,763.736,769.967,744.903,748.143,707802800,17570053000.0
2022-10-11,751.623,768.701,751.62,763.838,750273700,23109173000.0
2022-10-12,764.51,787.342,748.678,787.292,968437020,28143670000.0
2022-10-13,782.619,792.998,779.957,784.035,912981280,22638027000.0
2022-10-14,791.104,807.068,788.649,802.403,1086166750,28869955000.0
2022-10-17,797.778,809.771,796.006,809.293,933386480,26147720000.0
2022-10-18,813.874,826.785,808.469,818.899,1081226340,25676979000.0
2022-10-19,817.398,831.112,815.173,817.29,1182571200,28860956000.0
2022-10-20,809.965,815.471,793.356,804.443,1034733870,27222688000.0
2022-10-21,804.998,813.772,798.472,801.413,843777770,19896004000.0
2022-10-24,803.906,816.301,786.558,792.623,1061597370,26513654000.0
2022-10-25,785.721,798.471,770.822,790.155,1015725080,24884989000.0
2022-10-26,789.693,803.978,784.48,794.224,987490560,26064890000.0
2022-10-27,794.655,802.886,784.399,784.642,975737880,25709018000.0
2022-10-28,778.117,778.117,745.849,748.311,1041551190,28139765000.0
2022-10-31,743.304,763.696,743.304,756.689,908370520,23998404000.0
2022-11-01,758.747,785.459,758.747,785.459,1065606800,32014977000.0
2022-11-02,782.994,800.243,781.856,795.924,1071015370,27428777000.0
2022-11-03,789.247,804.793,788.259,799.758,879159010,24503168000.0
2022-11-04,804.333,838.941,804.294,836.383,1558191900,44664618000.0
2022-11-07,839.779,848.95,837.363,845.911,1334510460,34888684000.0
2022-11-08,845.637,849.032,834.646,843.432,974507270,26452859000.0
2022-11-09,845.163,845.67,836.078,836.078,840797790,22175202000.0
2022-11-10,830.191,830.795,819.245,823.143,948670680,25185005000.0
2022-11-11,843.094,845.984,828.857,829.04,1132853950,30744184000.0
2022-11-14,831.851,832.525,810.17,813.969,1041320970,29002897000.0
2022-11-15,813.981,835.642,810.365,835.642,1090867170,26614756000.0
2022-11-16,833.65,834.607,823.346,826.207,946943760,22459632000.0
2022-11-17,822.265,822.265,809.752,818.03,862568400,21849656000.0
2022-11-18,817.708,821.141,807.264,808.492,926725200,23526105000.0
2022-11-21,804.707,819.493,800.409,819.418,840737810,18383814000.0
2022-11-22,819.902,820.477,804.71,807.268,828758360,18253441000.0
2022-11-23,807.126,813.685,795.606,811.591,823382680,17299164000.0
2022-11-24,813.429,828.987,813.359,823.03,1033267670,21518596000.0
2022-11-25,818.77,818.827,806.559,806.907,887212450,17111521000.0
2022-11-28,794.069,805.85,792.761,803.783,1063070230,19886174000.0
2022-11-29,805.91,814.378,802.883,813.782,1029080250,19745754000.0
2022-11-30,815.507,825.016,812.756,816.486,1224235080,25444315000.0
2022-12-01,826.495,831.838,824.813,826.018,1203309020,29837830000.0
2022-12-02,823.553,827.971,821.331,824.887,1085142730,20545185000.0
2022-12-05,827.882,829.496,821.538,826.358,1061873170,21443914000.0
2022-12-06,823.437,832.136,817.294,827.845,1118032030,25171478000.0
2022-12-07,824.471,838.183,823.509,828.486,1225575230,33003826000.0
2022-12-08,827.077,830.253,818.985,824.337,1042042740,22098460000.0
2022-12-09,823.66,826.565,816.579,819.533,1096528730,22372178000.0
2022-12-12,815.16,815.16,803.041,804.979,887597190,18711540000.0
2022-12-13,803.79,807.387,796.752,797.085,783429740,17799480000.0
2022-12-14,797.359,801.773,792.522,794.223,617302540,14205203000.0
2022-12-15,794.022,807.581,791.471,806.877,745116020,21761880000.0
2022-12-16,801.296,802.739,784.137,787.999,790271820,19185996000.0
2022-12-19,787.921,797.982,776.1,779.783,815742640,22089932000.0
2022-12-20,777.939,781.488,771.731,777.342,636060150,15848195000.0
2022-12-21,777.883,781.624,767.796,770.898,645167080,13634661000.0
2022-12-22,774.321,774.907,751.635,754.025,740814640,16342296000.0
2022-12-23,748.355,755.273,743.726,749.268,512860600,11830800500.0
2022-12-26,748.159,765.661,748.159,765.356,565022630,14558686000.0
2022-12-27,766.224,768.933,759.059,767.402,584958840,13032901600.0
2022-12-28,764.66,764.66,754.31,756.419,568496260,18245133000.0
2022-12-29,754.73,758.764,749.075,749.075,582621490,14327459000.0
2022-12-30,753.969,756.746,750.123,751.004,625384150,15983013000.0
2023-01-03,750.173,767.144,747.613,765.956,730341880,17450271000.0
2023-01-04,764.871,767.068,757.837,762.168,691447560,19802503000.0
2023-01-05,764.589,776.832,761.905,774.633,789209420,28159805000.0
2023-01-06,772.216,786.341,771.913,778.976,865150580,25756027000.0
2023-01-09,782.89,789.001,780.864,782.902,756699520,20594636000.0
2023-01-10,782.836,786.968,775.765,785.359,744541880,23449981000.0
2023-01-11,784.738,787.287,777.328,778.195,822878390,18291715000.0
2023-01-12,780.28,791.327,780.28,784.643,840758480,20562529000.0
2023-01-13,787.193,792.876,782.178,787.534,736177310,23444869000.0
2023-01-16,786.315,795.297,784.354,791.845,765521520,22688033000.0
2023-01-17,792.872,796.244,788.903,791.929,644181780,16017432000.0
2023-01-18,793.698,800.525,792.14,795.657,562172110,15302431000.0
2023-01-19,796.182,796.949,791.437,796.713,545532090,15336343000.0
2023-01-20,797.939,807.505,797.791,807.473,760780750,22844720000.0
2023-01-30,824.624,832.66,821.67,822.689,1199836160,35831242000.0
2023-01-31,819.373,829.32,818.122,829.32,983405570,21937807000.0
2023-02-01,830.972,841.773,830.972,841.773,1094972520,24992767000.0
2023-02-02,843.267,843.267,835.896,837.696,979255420,23686366000.0
2023-02-03,839.792,839.792,822.555,833.785,899628720,21988327000.0
2023-02-06,834.716,838.149,829.882,833.061,939800790,19312136000.0
2023-02-07,836.57,841.855,833.907,841.528,1156422110,18851577000.0
2023-02-08,844.435,854.733,843.789,847.271,1327471620,28584385000.0
2023-02-09,845.748,852.14,842.348,852.14,1071380010,22109633000.0
2023-02-10,850.374,851.363,839.892,842.889,1052230800,22218343000.0
2023-02-13,842.625,849.55,841.201,849.519,982557090,22380050000.0
2023-02-14,851.373,852.294,845.645,850.726,926309210,21677782000.0
2023-02-15,849.672,852.57,845.791,847.304,915374310,18734161000.0
2023-02-16,847.625,848.227,818.863,824.617,1275172090,25674980000.0
2023-02-17,825.031,830.451,816.587,816.709,893792810,24196060000.0
2023-02-20,815.252,821.083,805.669,821.083,817493570,23429922000.0
2023-02-21,822.71,832.131,821.374,829.986,922697920,23226348000.0
2023-02-22,826.545,831.542,824.929,828.135,728658970,17850556000.0
2023-02-23,828.457,832.806,824.62,828.547,688213390,15734315000.0
2023-02-24,828.374,828.503,817.177,821.917,584338700,14663206000.0
