日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1205.24,1221.789,1200.583,1220.144,330838270,3896975500.0
2020-01-03,1230.006,1235.061,1220.405,1229.941,254867760,3199700000.0
2020-01-06,1232.531,1248.118,1227.748,1243.055,241717650,3141365900.0
2020-01-07,1253.998,1288.725,1253.741,1283.722,308048210,3895119600.0
2020-01-08,1288.927,1303.391,1286.361,1293.87,482848650,5184871000.0
2020-01-09,1308.245,1317.662,1298.15,1305.711,1004545080,8828523100.0
2020-01-10,1316.151,1319.461,1293.824,1302.489,801318480,7012599900.0
2020-01-13,1289.784,1311.0,1285.306,1311.0,615879760,5710231300.0
2020-01-14,1309.428,1319.879,1305.175,1312.273,729331880,6331348900.0
2020-01-15,1306.873,1313.208,1297.829,1300.066,513386320,4646605800.0
2020-01-16,1297.761,1306.583,1293.771,1301.366,472550480,4392632400.0
2020-01-17,1303.481,1311.305,1293.934,1304.759,432443940,4273708900.0
2020-01-20,1316.824,1325.52,1299.097,1318.743,476644910,4818983900.0
2020-01-21,1329.487,1346.216,1325.912,1335.631,504724760,5401253100.0
2020-01-22,1337.318,1338.395,1291.0,1306.459,468623530,4867907300.0
2020-01-23,1297.128,1310.55,1249.96,1264.414,529928910,5161921800.0
2020-02-03,1173.768,1211.9,1165.469,1183.29,262702230,3618491500.0
2020-02-04,1144.624,1213.448,1144.624,1210.564,636323610,6102904400.0
2020-02-05,1217.83,1274.564,1213.695,1274.213,674630900,6777336900.0
2020-02-06,1285.702,1341.723,1285.702,1337.656,707712990,7417099100.0
2020-02-07,1328.458,1345.209,1287.83,1305.01,628575530,7382653200.0
2020-02-10,1301.185,1352.469,1298.253,1352.029,531738200,6242060700.0
2020-02-11,1354.58,1354.58,1317.819,1326.307,801839820,7613019200.0
2020-02-12,1319.696,1348.439,1317.034,1338.518,774799400,7276671800.0
2020-02-13,1336.313,1350.169,1314.431,1338.564,884259110,8525400800.0
2020-02-14,1341.969,1356.96,1334.37,1346.134,742227940,7421246000.0
2020-02-17,1373.277,1394.417,1373.277,1394.417,673782990,6611227000.0
2020-02-18,1407.026,1407.026,1381.0,1397.223,784298300,9797421900.0
2020-02-19,1401.571,1407.892,1380.79,1381.612,714750830,8342404900.0
2020-02-20,1371.854,1390.605,1351.8,1372.843,565384840,6434875600.0
