日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-04,998.116,1001.37,977.803,981.782,916291970,17163412000.0
2022-03-07,991.492,1011.065,984.097,989.984,997481770,16724918000.0
2022-03-08,982.867,983.284,937.759,948.942,1137784460,21223305000.0
2022-03-09,945.149,948.118,880.774,920.505,1100900120,18359409000.0
2022-03-10,933.616,945.245,923.892,937.91,929299560,16666252000.0
2022-03-11,928.262,956.646,915.893,953.421,954885360,17509866000.0
2022-03-14,945.315,957.006,924.017,924.21,830450490,13985550000.0
2022-03-15,914.307,915.954,866.985,868.495,1348830100,16725897000.0
2022-03-16,884.765,893.934,843.627,890.001,1229044480,19327916000.0
2022-03-17,895.731,912.271,889.89,891.929,1195126080,20108960000.0
2022-03-18,888.189,907.289,885.84,904.788,893684860,13163382500.0
2022-03-21,908.825,933.108,908.572,929.462,1079115960,15801911000.0
2022-03-22,926.966,932.063,919.005,923.033,904518500,14011228000.0
2022-03-23,925.135,930.092,917.573,923.471,857453220,12393288000.0
2022-03-24,919.803,939.035,913.748,931.407,1112828860,16712686000.0
2022-03-25,930.917,950.944,930.575,936.428,1137605060,18943134000.0
2022-03-28,937.467,945.601,922.612,937.957,1270369560,18996241000.0
2022-03-29,936.745,992.858,934.769,984.289,1945298100,25900227000.0
2022-03-30,967.66,974.73,962.853,971.306,1910517600,25267320000.0
2022-03-31,965.459,975.793,953.899,958.108,1648542300,22922624000.0
2022-04-01,956.468,966.15,954.043,955.271,1461766900,19537647000.0
2022-04-06,948.814,966.702,948.631,965.575,1344592000,16985812000.0
2022-04-07,962.937,977.059,951.389,964.423,1602365300,24167234000.0
2022-04-08,963.288,1009.691,962.417,993.241,2444485300,33538014000.0
2022-04-11,991.169,1006.887,980.086,996.86,2860294800,38932863000.0
2022-04-12,984.71,992.234,968.709,987.887,2650516400,32160257000.0
2022-04-13,980.744,998.924,980.188,981.238,2399880700,30898212000.0
2022-04-14,977.273,1010.515,963.291,1005.386,2625682900,31697428000.0
2022-04-15,1003.76,1009.789,970.748,973.019,2802158300,33276229000.0
2022-04-18,962.414,979.775,954.445,969.643,1856413600,22038897000.0
2022-04-19,971.316,1002.325,969.437,1002.325,2303045300,27308101000.0
2022-04-20,996.802,1007.288,979.38,986.993,2331500700,26130927000.0
2022-04-21,983.546,985.106,920.808,924.855,2681601100,30854665000.0
2022-04-22,899.519,907.054,882.889,891.997,1825982500,19843841000.0
2022-04-25,869.544,869.544,817.69,817.69,2126072800,23129769000.0
2022-04-26,815.114,820.446,777.618,781.252,1901652000,19416152000.0
2022-04-27,768.804,820.113,761.972,820.113,2024192500,21792732000.0
2022-04-28,816.132,829.586,801.741,812.652,1729708400,23560871000.0
2022-04-29,820.333,845.492,816.599,841.393,1663643600,21343154000.0
2022-05-05,840.31,876.908,839.38,868.823,1717806200,24533421000.0
2022-05-06,846.023,877.175,842.766,860.096,1719257200,22665452000.0
2022-05-09,858.148,871.349,858.148,871.349,1247391440,16070956000.0
2022-05-10,856.283,873.666,845.633,873.666,1534089900,20166999000.0
2022-05-11,872.336,893.073,870.182,871.121,1825632400,26237344000.0
2022-05-12,864.782,875.111,851.436,864.124,1401159600,18484611000.0
2022-05-13,866.5,888.871,866.5,878.414,1484533700,18940179000.0
2022-05-16,890.041,914.423,890.041,908.321,1795406100,22643031000.0
2022-05-17,909.127,910.935,895.944,910.935,1835187900,27802055000.0
2022-05-18,906.837,909.811,897.863,901.019,1531482100,22246800000.0
2022-05-19,885.874,907.492,884.623,906.869,1651221500,24465953000.0
2022-05-20,910.431,922.355,908.618,921.982,1944672500,26839839000.0
2022-05-23,921.673,954.595,921.673,954.19,2024126100,33586029000.0
2022-05-24,953.036,954.966,905.118,905.787,2071027000,33807282000.0
2022-05-25,905.196,921.198,900.946,919.815,1419486800,23149954000.0
2022-05-26,921.261,928.093,899.54,923.148,1510769400,23985564000.0
2022-05-27,925.091,939.254,918.808,929.183,1791379900,27066512000.0
2022-05-30,933.868,941.198,922.057,939.649,1614375200,25337871000.0
2022-05-31,938.499,950.073,937.977,948.084,1678278700,24892080000.0
2022-06-01,943.367,953.62,936.396,944.528,1643817900,27328058000.0
2022-06-02,940.571,942.147,932.47,939.845,1379312500,21726805000.0
2022-06-06,936.233,965.579,936.233,965.579,1902666800,34296879000.0
2022-06-07,966.941,968.073,951.799,963.65,1926331000,29586277000.0
2022-06-08,963.438,976.389,945.225,976.389,2382348300,36963651000.0
2022-06-09,978.199,995.067,970.414,985.842,2551718300,33519133000.0
2022-06-10,975.887,1004.391,972.546,1001.094,2462677100,36284427000.0
2022-06-13,994.14,1022.155,992.909,1012.976,3064788500,43062200000.0
2022-06-14,999.772,1010.651,978.584,1010.651,2755711400,38525144000.0
2022-06-15,1011.553,1013.324,984.828,984.828,2396918700,37622144000.0
2022-06-16,983.598,989.975,968.403,974.629,2009134000,31317533000.0
2022-06-17,968.715,982.076,964.353,980.636,1740070000,29415173000.0
2022-06-20,983.078,984.803,962.378,968.991,1773282900,28213484000.0
2022-06-21,967.422,968.395,944.162,954.413,1634965900,23477991000.0
2022-06-22,953.511,959.583,942.52,943.887,1637826400,22671203000.0
2022-06-23,944.644,954.296,925.974,954.242,1874148900,28538614000.0
2022-06-24,954.012,967.131,950.865,965.567,1770896700,25783847000.0
2022-06-27,967.033,984.233,964.555,982.08,2306905300,35051666000.0
2022-06-28,985.736,994.645,980.719,994.645,2128354100,34591058000.0
2022-06-29,990.994,994.251,969.241,969.241,2052500200,31860439000.0
2022-06-30,973.297,983.275,972.571,977.946,1745997300,25381402000.0
2022-07-01,979.444,1005.764,979.298,998.114,2082889000,34877742000.0
2022-07-04,1001.794,1011.406,1001.481,1011.302,2144849900,38123257000.0
2022-07-05,1011.411,1033.17,1006.718,1033.144,2730843700,43100919000.0
2022-07-06,1025.877,1025.933,989.514,996.532,2705092100,41680670000.0
2022-07-07,994.496,1012.574,986.871,1006.283,2368591100,35242615000.0
2022-07-08,1010.066,1011.802,992.661,994.703,2123943200,33615580000.0
2022-07-11,990.317,990.317,967.578,975.469,1941524200,32779058000.0
2022-07-12,974.413,974.564,954.23,957.472,1553592400,30551943000.0
2022-07-13,956.569,967.192,951.251,967.192,1610067700,29094088000.0
2022-07-14,964.789,970.341,955.957,963.662,1621124400,29396988000.0
2022-07-15,959.587,963.517,943.846,943.846,1547421900,25880445000.0
2022-07-18,944.704,963.815,944.647,963.815,1494819000,25710285000.0
2022-07-19,964.029,979.67,961.848,974.881,1475856900,24459687000.0
2022-07-20,975.483,983.147,972.858,983.131,1310110770,22619703000.0
2022-07-21,981.151,981.261,958.129,958.129,1857950500,30133860000.0
2022-07-22,958.016,962.312,942.827,953.445,1286210360,21008861000.0
2022-07-25,952.306,957.735,942.055,944.574,990677220,16637243000.0
2022-07-26,945.675,957.551,940.712,957.551,957179150,19962736000.0
2022-07-27,955.864,956.775,949.68,953.109,902638760,15426307000.0
2022-07-28,957.133,959.431,950.749,952.633,1043169700,16820146000.0
2022-07-29,953.761,956.653,944.248,945.451,1119778190,15075509000.0
2022-08-01,942.425,948.784,935.175,948.478,1102073550,19222113000.0
2022-08-02,939.141,939.141,896.122,905.861,1725405300,22511578000.0
2022-08-03,905.852,924.339,896.97,899.048,1234694360,17790838000.0
