日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1073.921,1096.33,1072.435,1094.561,7143527700,67855591000.0
2020-01-03,1098.336,1110.019,1093.859,1108.826,6973094600,66799340000.0
2020-01-06,1100.694,1127.577,1095.658,1116.246,7750740300,78110843000.0
2020-01-07,1118.867,1143.188,1118.867,1142.659,8005672800,78895576000.0
2020-01-08,1133.366,1141.58,1116.846,1118.945,8205501800,78201693000.0
2020-01-09,1132.833,1150.602,1132.833,1149.057,7650622500,79611210000.0
2020-01-10,1156.237,1157.799,1140.934,1145.529,6847924100,74171704000.0
2020-01-13,1142.336,1158.89,1134.318,1158.89,6532034100,70551422000.0
2020-01-14,1161.373,1162.469,1150.803,1151.498,6642846000,69904632000.0
2020-01-15,1148.876,1161.481,1146.255,1159.559,6884396800,73428025000.0
2020-01-16,1159.152,1160.548,1149.542,1152.505,6591331900,71719303000.0
2020-01-17,1154.566,1161.798,1146.818,1150.283,6692662500,71765535000.0
2020-01-20,1149.423,1160.028,1140.952,1160.028,6190147400,69984091000.0
2020-01-21,1154.638,1154.638,1135.908,1135.908,5746306400,65107242000.0
2020-01-22,1127.868,1144.51,1110.883,1139.112,5654020400,65060296000.0
2020-01-23,1122.011,1133.012,1080.339,1091.05,6641841700,74715418000.0
2020-02-03,987.732,994.637,987.732,991.116,2501764900,29226961000.0
2020-02-04,924.3,988.255,924.3,983.718,8671544200,82497145000.0
2020-02-05,989.087,1029.034,989.087,1014.059,7274230200,76078794000.0
2020-02-06,1019.359,1056.332,1014.33,1051.912,7943455600,85098279000.0
2020-02-07,1056.916,1083.908,1052.405,1083.506,8380139400,91605712000.0
2020-02-10,1086.493,1100.536,1080.572,1098.021,8208540400,91718799000.0
2020-02-11,1099.51,1099.87,1077.712,1082.394,6597935400,71044891000.0
2020-02-12,1078.681,1112.672,1077.735,1112.41,7338371400,82957006000.0
2020-02-13,1117.15,1126.376,1101.752,1104.116,8313189200,92582832000.0
2020-02-14,1098.586,1117.596,1090.798,1100.293,7245198200,84564419000.0
2020-02-17,1108.006,1143.553,1108.006,1143.553,8615836100,95265070000.0
2020-02-18,1145.579,1174.835,1144.257,1174.835,9353345300,105147134000.0
2020-02-19,1169.615,1174.933,1155.946,1155.946,8614568000,99091225000.0
2020-02-20,1156.09,1181.326,1144.522,1180.799,9405918800,108829075000.0
2020-02-21,1182.728,1221.752,1182.127,1209.993,11293651300,135610820000.0
2020-02-24,1209.338,1240.439,1205.677,1235.398,11703574000,140727560000.0
2020-02-25,1201.402,1235.277,1168.186,1231.259,12766858900,151716150000.0
2020-02-26,1208.683,1226.913,1187.516,1191.661,12282298100,133841455000.0
2020-02-27,1198.455,1220.491,1177.378,1205.008,9880552500,116306745000.0
2020-02-28,1157.903,1175.559,1121.48,1121.99,10948769300,120167259000.0
2020-03-02,1134.771,1178.299,1131.384,1173.261,9071806000,103757313000.0
2020-03-03,1196.808,1225.435,1180.225,1194.513,10750071900,127694348000.0
2020-03-04,1187.498,1210.092,1181.414,1207.914,9252670500,106427830000.0
2020-03-05,1228.937,1232.153,1206.914,1220.24,10600737600,117808496000.0
2020-03-06,1201.951,1218.201,1199.139,1208.565,8360825500,87156762000.0
2020-03-09,1186.548,1192.222,1146.48,1146.48,8962426900,96824185000.0
2020-03-10,1129.935,1185.777,1121.089,1185.777,8633965200,94438457000.0
2020-03-11,1190.66,1203.166,1163.821,1164.267,7966805900,86143792000.0
2020-03-12,1143.133,1158.198,1132.226,1145.622,6406998800,68348943000.0
2020-03-13,1084.966,1146.677,1084.966,1137.487,8037925400,84149553000.0
2020-03-16,1149.273,1151.215,1072.938,1076.156,7766175500,83529881000.0
2020-03-17,1088.755,1097.816,1036.335,1079.628,6510500900,68373191000.0
2020-03-18,1090.028,1105.761,1057.529,1057.529,6941014300,75813889000.0
2020-03-19,1056.104,1078.796,1039.209,1074.195,6749629000,69993629000.0
2020-03-20,1084.548,1088.422,1064.247,1083.728,5763321400,60120871000.0
2020-03-23,1052.719,1068.739,1031.689,1035.844,5453247900,55490168000.0
2020-03-24,1058.562,1065.443,1029.289,1064.986,6353341400,64178222000.0
2020-03-25,1086.236,1088.773,1074.393,1086.26,6314324700,65152662000.0
2020-03-26,1077.861,1087.377,1069.823,1071.488,5263767500,54717355000.0
2020-03-27,1084.344,1085.674,1059.354,1060.456,4870814200,53145358000.0
2020-03-30,1043.589,1043.589,1011.87,1022.247,5174032600,52777164000.0
2020-03-31,1033.372,1034.615,1014.015,1015.452,4417609500,44492751000.0
2020-04-01,1011.374,1029.048,1008.517,1010.796,4420198700,43862962000.0
2020-04-02,1006.097,1041.835,1005.826,1041.835,4655381600,48544068000.0
2020-04-03,1039.073,1041.725,1024.311,1029.896,4174846200,44058795000.0
2020-04-07,1052.065,1075.806,1052.065,1075.806,6185717300,63694256000.0
2020-04-08,1075.936,1087.943,1074.386,1082.416,5907137400,58941775000.0
2020-04-09,1091.016,1102.506,1090.857,1100.433,6221936900,63860383000.0
2020-04-10,1099.693,1099.693,1062.035,1066.205,6340301600,65494447000.0
2020-04-13,1054.431,1054.431,1040.792,1045.023,4614775700,43539113000.0
2020-04-14,1051.472,1069.617,1050.824,1069.617,4725854800,49347235000.0
2020-04-15,1070.683,1075.765,1059.706,1060.323,5734362700,57896686000.0
2020-04-16,1055.433,1090.017,1054.75,1088.764,6421071400,63807843000.0
2020-04-17,1096.959,1105.784,1084.435,1084.616,8274219300,85217070000.0
2020-04-20,1082.659,1102.847,1080.083,1102.847,7084250300,68163437000.0
2020-04-21,1097.858,1107.682,1091.294,1105.576,7686931100,76851412000.0
2020-04-22,1092.369,1113.753,1090.325,1112.87,6833185300,65599745000.0
2020-04-23,1113.813,1114.653,1097.468,1103.711,7649880000,72695432000.0
2020-04-24,1097.759,1100.395,1071.264,1075.42,7180528600,67319928000.0
2020-04-27,1072.726,1076.537,1061.21,1061.855,5804695000,55653170000.0
2020-04-28,1056.573,1057.074,999.672,1029.198,6978582400,68638807000.0
2020-04-29,1018.299,1031.073,1017.91,1019.05,5041046200,48944472000.0
2020-04-30,1021.689,1053.344,1021.688,1049.751,6193211200,65902953000.0
2020-05-06,1037.329,1071.8,1037.2,1071.8,6342804400,70935145000.0
2020-05-07,1072.025,1073.627,1058.447,1058.726,6085532000,61907695000.0
2020-05-08,1064.854,1083.75,1064.854,1077.012,7040154700,73480432000.0
2020-05-11,1080.569,1085.113,1064.449,1072.409,6371140800,67807529000.0
2020-05-12,1070.093,1070.34,1047.526,1065.712,5838754800,61258166000.0
2020-05-13,1060.345,1072.033,1057.712,1070.819,5497197500,59085106000.0
2020-05-14,1065.818,1079.898,1064.874,1068.8,6699235500,68357436000.0
2020-05-15,1074.996,1083.421,1072.084,1075.859,6398572800,69453543000.0
2020-05-18,1074.361,1074.704,1051.967,1054.573,6772111600,77002846000.0
2020-05-19,1062.258,1067.882,1059.03,1067.882,5566749000,66924005000.0
2020-05-20,1064.09,1064.09,1048.887,1053.477,5885604800,66596207000.0
2020-05-21,1054.584,1055.986,1033.962,1036.089,5427640700,59084516000.0
2020-05-22,1033.739,1035.56,1011.188,1017.199,4824556400,51360409000.0
2020-05-25,1014.239,1016.637,1003.046,1008.804,3637968400,39972288000.0
2020-05-26,1012.666,1034.002,1012.657,1033.87,4264181000,47192142000.0
2020-05-27,1033.906,1033.971,1019.247,1022.552,4503551400,48693943000.0
2020-05-28,1021.891,1024.989,1001.539,1019.47,4623370600,48890702000.0
2020-05-29,1016.037,1029.764,1013.436,1025.373,4671788900,47525665000.0
2020-06-01,1034.166,1065.098,1034.166,1064.596,6437786100,67586208000.0
2020-06-02,1070.919,1073.741,1064.299,1070.124,7342423700,68761922000.0
2020-06-03,1072.271,1079.636,1066.899,1070.664,6903512900,68301527000.0
2020-06-04,1070.974,1072.193,1063.364,1069.702,6004315300,57719107000.0
2020-06-05,1070.37,1074.713,1063.519,1071.998,5748851800,53510707000.0
2020-06-08,1076.37,1077.839,1066.729,1068.251,5383988000,56630169000.0
2020-06-09,1069.158,1080.088,1064.307,1079.632,6166456800,60188322000.0
2020-06-10,1076.442,1076.442,1064.363,1071.305,5423522100,52559955000.0
2020-06-11,1070.903,1085.57,1065.152,1070.295,5912376100,63555296000.0
2020-06-12,1046.743,1072.051,1044.034,1068.478,6251809200,63537443000.0
2020-06-15,1067.451,1086.704,1067.424,1071.935,6988737000,73463497000.0
2020-06-16,1082.768,1091.153,1078.658,1091.153,6548757500,65614603000.0
2020-06-17,1092.356,1098.218,1083.497,1098.218,7009760800,69061726000.0
2020-06-18,1095.357,1099.857,1090.407,1095.886,7024182400,70714025000.0
2020-06-19,1092.854,1100.434,1089.561,1097.87,6361868900,67649911000.0
2020-06-22,1098.307,1106.11,1097.578,1101.353,6299299900,71751061000.0
2020-06-23,1101.452,1105.19,1093.888,1103.437,6001249400,73319059000.0
2020-06-24,1101.98,1105.104,1096.27,1098.534,5401732600,66351164000.0
2020-06-29,1096.274,1096.967,1083.597,1087.025,6003751000,69803590000.0
2020-06-30,1092.226,1112.571,1092.226,1111.235,5755466700,73944418000.0
2020-07-01,1115.192,1115.715,1101.985,1114.54,7208519500,87161323000.0
2020-07-02,1113.566,1131.207,1108.239,1130.609,9036292400,96328376000.0
2020-07-03,1131.941,1148.725,1128.724,1148.015,9423388400,110443133000.0
2020-07-06,1156.53,1199.27,1156.53,1198.178,11870994600,136965150000.0
2020-07-07,1209.806,1237.057,1192.437,1213.783,13268044800,156733450000.0
2020-07-08,1216.355,1250.556,1208.753,1250.325,12088890800,151965660000.0
2020-07-09,1253.022,1289.682,1251.701,1285.294,13651052000,175169620000.0
2020-07-10,1282.424,1296.182,1268.952,1272.498,12105205800,157715470000.0
2020-07-13,1277.158,1312.743,1277.158,1312.743,12537326800,155703440000.0
2020-07-14,1312.824,1314.294,1271.826,1296.594,13055638200,170268100000.0
2020-07-15,1299.332,1302.245,1242.91,1247.381,11554278600,143292200000.0
2020-07-16,1251.48,1261.261,1192.309,1195.44,10271045300,130903017000.0
2020-07-17,1195.475,1206.723,1171.954,1187.03,7642601400,98887710000.0
2020-07-20,1197.484,1225.482,1187.435,1225.482,7622795800,96525047000.0
