日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1516.587,1529.766,1506.776,1529.4,2184492200,23294843000.0
2020-01-03,1530.319,1536.227,1521.377,1529.675,2247662700,22630098000.0
2020-01-06,1523.425,1542.392,1517.226,1533.796,2309353600,24333976000.0
2020-01-07,1535.155,1558.777,1535.155,1558.777,1899986300,21865286000.0
2020-01-08,1553.802,1559.407,1535.556,1537.728,3398092800,28320186000.0
2020-01-09,1552.363,1577.02,1552.363,1577.02,2303899600,25917141000.0
2020-01-10,1579.968,1583.295,1570.589,1579.483,1776185900,20269322000.0
2020-01-13,1580.382,1594.043,1566.711,1594.043,1873496500,21555362000.0
2020-01-14,1596.849,1599.97,1590.695,1591.63,1922651700,22216357000.0
2020-01-15,1589.793,1596.073,1579.799,1588.742,1692148300,19343163000.0
2020-01-16,1588.856,1594.887,1581.59,1590.259,1421754300,19406700000.0
2020-01-17,1592.437,1607.709,1591.311,1597.73,1401881000,19311503000.0
2020-01-20,1620.561,1646.121,1612.392,1646.06,2345110400,30968496000.0
2020-01-21,1669.822,1688.927,1665.757,1675.582,2691631800,35954860000.0
2020-01-22,1685.409,1685.409,1644.347,1667.703,2942438400,34743853000.0
2020-01-23,1672.938,1693.367,1631.634,1654.441,3249864100,41320616000.0
2020-02-03,1590.304,1648.196,1582.511,1637.401,2002726200,37036907000.0
2020-02-04,1624.964,1713.142,1618.918,1701.523,4455295700,56316179000.0
2020-02-05,1704.446,1780.155,1700.922,1780.127,4078404100,56635569000.0
2020-02-06,1787.819,1869.276,1783.668,1841.082,4546557600,63444645000.0
2020-02-07,1858.812,1879.753,1793.074,1825.241,4200247700,58378551000.0
2020-02-10,1836.814,1836.814,1769.311,1795.619,3650886100,49843999000.0
2020-02-11,1781.265,1782.713,1746.58,1771.731,2713841200,35646144000.0
2020-02-12,1757.235,1795.115,1757.235,1794.564,2915328500,36704228000.0
2020-02-13,1798.247,1799.516,1754.871,1769.555,3032559400,38061725000.0
2020-02-14,1773.622,1787.715,1751.334,1763.249,2668621400,33787889000.0
2020-02-17,1778.504,1826.753,1778.061,1826.546,3274866300,39939819000.0
2020-02-18,1840.48,1850.225,1824.652,1850.225,3922029100,46036727000.0
2020-02-19,1842.712,1842.712,1809.249,1809.249,3285568700,41049303000.0
2020-02-20,1811.76,1824.756,1793.886,1822.651,4155815000,44211612000.0
2020-02-21,1820.726,1849.49,1819.366,1840.944,4093554000,46024900000.0
2020-02-24,1855.27,1897.459,1855.27,1895.532,4370917500,52401778000.0
2020-02-25,1877.976,1937.994,1865.34,1934.215,5249039300,64548046000.0
2020-02-26,1917.286,1924.943,1856.548,1859.944,5004174200,58472359000.0
2020-02-27,1864.811,1872.803,1824.741,1855.023,3217270900,39371658000.0
2020-02-28,1822.096,1858.712,1813.393,1822.146,4401876500,52114271000.0
2020-03-02,1843.881,1877.7,1830.756,1876.155,4217628800,49316570000.0
2020-03-03,1894.525,1927.158,1894.525,1904.645,4210889100,53970520000.0
2020-03-04,1893.54,1903.31,1863.284,1892.061,3141390200,39361909000.0
2020-03-05,1909.216,1915.657,1896.338,1914.295,3061673000,40805585000.0
2020-03-06,1902.428,1956.957,1900.111,1949.415,3359736100,42784578000.0
2020-03-09,1943.474,1967.902,1933.578,1942.002,3873925300,50217936000.0
2020-03-10,1905.609,1931.612,1854.073,1926.003,4194009000,53073584000.0
2020-03-11,1923.88,1956.336,1917.626,1924.891,3458914000,43565715000.0
2020-03-12,1921.266,1932.657,1880.165,1889.75,3763957400,46673918000.0
2020-03-13,1782.491,1860.296,1782.491,1841.839,4056356200,49749017000.0
2020-03-16,1863.084,1885.627,1789.245,1795.49,4002563000,49942051000.0
2020-03-17,1794.041,1805.894,1703.255,1760.525,3323459800,39494022000.0
2020-03-18,1768.502,1795.33,1735.9,1735.9,3100432600,39837046000.0
2020-03-19,1732.437,1740.523,1676.858,1715.209,3192341900,40132225000.0
2020-03-20,1732.982,1753.061,1725.336,1751.444,2627240500,32891033000.0
2020-03-23,1725.492,1755.383,1692.951,1696.597,3034456100,36169085000.0
2020-03-24,1720.704,1727.692,1669.395,1719.677,2625338500,32192627000.0
2020-03-25,1753.778,1786.469,1743.681,1784.046,2769186400,35188410000.0
2020-03-26,1780.796,1832.855,1770.199,1823.501,2887139400,42390947000.0
2020-03-27,1848.232,1849.825,1811.109,1813.375,2715885400,42062074000.0
2020-03-30,1804.897,1827.665,1776.48,1783.269,3168609100,43056136000.0
2020-03-31,1784.218,1787.372,1757.465,1759.515,2455678200,34994635000.0
2020-04-01,1749.058,1771.704,1740.048,1743.799,2758508700,33661047000.0
2020-04-02,1739.421,1776.448,1726.459,1776.448,2553164400,33601756000.0
2020-04-03,1777.273,1811.289,1776.584,1798.513,2438374500,37107613000.0
2020-04-07,1829.261,1860.625,1821.825,1856.825,2820272500,41789689000.0
2020-04-08,1851.881,1860.049,1837.756,1849.431,2780220300,41920138000.0
2020-04-09,1850.113,1895.653,1846.012,1893.605,2594200000,40904687000.0
2020-04-10,1886.867,1908.188,1852.623,1854.961,2731172900,39441718000.0
2020-04-13,1844.405,1871.547,1836.071,1855.626,2046406300,30071798000.0
2020-04-14,1859.815,1884.807,1841.441,1884.807,2220065400,33736570000.0
2020-04-15,1884.574,1916.542,1883.958,1908.292,2699701200,39812307000.0
