日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-11-16,1026.073,1066.328,1023.909,1063.037,373432920,7655448300.0
2020-11-17,1063.024,1076.249,1061.957,1068.522,469688480,6467617500.0
2020-11-18,1073.345,1085.779,1049.447,1057.322,583408920,7417522500.0
2020-11-19,1045.23,1053.678,1038.574,1050.387,338402630,4668538500.0
2020-11-20,1037.638,1037.884,1027.146,1032.248,329538740,3657252000.0
2020-11-23,1029.079,1029.487,1016.119,1018.706,318599850,4667171500.0
2020-11-24,1013.321,1016.072,1000.041,1000.716,293249030,4246381600.0
2020-11-25,1003.88,1004.113,986.132,986.132,284328210,3783715900.0
2020-11-26,986.011,991.509,982.876,987.382,196570800,2650632000.0
2020-11-27,988.539,988.851,972.202,982.27,179056360,2504435200.0
2020-11-30,981.029,986.713,973.56,974.412,203773040,3108260000.0
2020-12-01,971.812,995.8,971.812,994.714,219609850,3256113400.0
2020-12-02,990.546,991.281,981.927,985.867,193821480,2969484100.0
2020-12-03,985.717,1003.614,981.197,998.598,208049140,3121359900.0
2020-12-04,994.378,1007.53,990.081,1006.428,197206930,2608107200.0
2020-12-07,1004.475,1018.874,1001.031,1012.122,265272740,3467077300.0
2020-12-08,1012.866,1025.358,1012.098,1023.769,238383140,3121681400.0
2020-12-09,1026.822,1028.027,1008.41,1009.455,265112590,3766681700.0
2020-12-10,1004.8,1036.489,1003.163,1024.462,313717630,3837094200.0
2020-12-11,1021.427,1048.307,1004.008,1048.307,542358700,6049696600.0
2020-12-14,1061.409,1097.119,1054.193,1089.394,635122970,6841052600.0
2020-12-15,1090.67,1092.416,1079.142,1084.735,831227660,9566142800.0
2020-12-16,1070.967,1076.673,1057.751,1071.156,689851240,7541690900.0
2020-12-17,1062.723,1067.547,1045.464,1056.432,611452490,9028498900.0
2020-12-18,1052.267,1062.069,1050.429,1051.558,551475570,8733034500.0
2020-12-21,1044.468,1060.382,1035.551,1058.788,590985470,9152298600.0
2020-12-22,1048.56,1050.377,1026.773,1029.039,589926340,8832824000.0
2020-12-23,1019.928,1024.019,1010.434,1016.91,541914970,8154137900.0
2020-12-24,1015.549,1016.636,997.277,999.497,459807610,7163119100.0
2020-12-25,992.336,1003.138,989.141,994.059,407410680,6186060900.0
2020-12-28,990.631,1006.991,979.432,1004.527,509706270,7731233600.0
2020-12-29,1001.996,1009.3,991.973,992.555,450578890,6912693300.0
2020-12-30,989.674,1017.761,989.229,1008.708,470998480,6574411900.0
2020-12-31,1012.748,1032.601,1012.748,1015.82,542875760,8890107000.0
2021-01-04,1005.978,1019.349,1000.544,1016.848,701429330,18639817000.0
2021-01-05,1011.856,1025.682,1006.009,1018.007,647250510,13230383800.0
2021-01-06,1017.741,1020.641,1001.414,1011.073,599381860,10788256600.0
