日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,671.838,678.487,666.707,677.217,395382810,6365425100.0
2020-01-03,676.415,683.11,675.305,679.085,250121280,4192379600.0
2020-01-06,675.519,681.47,672.933,677.017,266323990,4488631300.0
2020-01-07,677.612,685.148,677.423,685.107,248741630,4245557900.0
2020-01-08,683.05,684.382,673.747,675.993,253561070,4007973000.0
2020-01-09,680.199,691.54,680.199,691.343,246704490,4413243800.0
2020-01-10,691.793,694.599,689.435,693.242,249251890,3993567800.0
2020-01-13,693.752,694.647,686.951,694.647,218585840,3751518700.0
2020-01-14,695.743,696.131,692.854,693.488,195720150,3327719400.0
2020-01-15,692.99,695.473,688.821,693.598,210432710,3443963200.0
2020-01-16,692.308,693.158,686.272,687.403,183049140,3002925200.0
2020-01-17,688.741,692.782,686.443,689.71,211440390,3513141400.0
2020-01-20,698.38,709.649,693.841,709.649,414390510,8258851400.0
2020-01-21,719.173,732.407,719.173,729.217,660023330,10333371900.0
2020-01-22,733.881,733.881,713.246,720.424,465211650,7510304200.0
2020-01-23,721.783,728.73,699.143,709.025,471832210,7240653400.0
2020-02-03,695.461,710.357,692.748,696.669,748397970,11854395500.0
2020-02-04,695.537,714.899,686.494,708.846,644850750,9622433100.0
2020-02-05,712.011,738.097,703.658,738.083,643209370,10795377900.0
2020-02-06,741.43,779.199,735.29,766.438,1104203940,17193456000.0
2020-02-07,772.902,781.471,746.913,754.462,869119290,13470929000.0
2020-02-10,754.54,754.54,728.872,734.795,571821630,8681987400.0
2020-02-11,731.816,732.142,715.954,727.089,436879100,6580219800.0
2020-02-12,724.591,731.726,720.197,727.33,349975920,5890693000.0
2020-02-13,730.053,730.053,711.57,717.434,449538270,7020146000.0
2020-02-14,720.239,723.747,708.776,713.083,307806930,5106497900.0
2020-02-17,715.45,727.047,715.347,727.047,356048900,5898779900.0
2020-02-18,735.896,735.896,723.457,730.994,531103300,8558277700.0
2020-02-19,730.072,730.072,716.175,716.222,424440730,6747393500.0
2020-02-20,716.046,718.462,705.927,717.981,371874300,5974696500.0
2020-02-21,716.739,722.214,712.855,720.868,391235350,6818094200.0
2020-02-24,721.411,723.976,716.196,720.427,377432770,6629058100.0
2020-02-25,710.369,724.172,703.998,720.458,465286570,7607668600.0
2020-02-26,713.805,714.173,704.983,705.398,359272400,5968094000.0
2020-02-27,706.939,713.565,702.53,712.263,267874020,4511154700.0
2020-02-28,701.927,708.868,686.295,687.243,348430070,5619325100.0
2020-03-02,691.223,702.302,690.243,700.859,267473900,4399453000.0
2020-03-03,707.368,717.379,706.748,712.105,349864850,6281643700.0
2020-03-04,709.309,712.764,703.36,712.764,254192580,4253403900.0
2020-03-05,717.8,730.986,717.202,730.734,364212790,6754289000.0
2020-03-06,727.257,738.584,726.321,733.308,329257470,5971953900.0
2020-03-09,727.339,731.026,720.101,722.714,396397220,6432859500.0
2020-03-10,713.06,722.494,699.001,721.757,369758670,6092082600.0
2020-03-11,722.447,723.533,715.357,715.594,253425710,4238537700.0
2020-03-12,708.8,709.542,693.379,695.164,272533530,4592153400.0
2020-03-13,667.514,686.781,663.98,680.241,326411060,5468526000.0
2020-03-16,688.775,698.689,671.005,673.005,345137540,5881196400.0
2020-03-17,676.536,680.711,649.046,668.593,369308880,6105005200.0
2020-03-18,672.761,681.917,661.768,661.768,317178740,5415927200.0
2020-03-19,660.112,666.322,644.933,658.523,320316910,5137889400.0
2020-03-20,666.488,685.532,666.488,684.737,330093360,5433712700.0
2020-03-23,679.045,689.176,676.048,678.97,409496880,6787706000.0
2020-03-24,685.922,692.074,679.392,691.443,356496990,6372284000.0
2020-03-25,701.731,712.851,699.952,711.882,368496130,6826042200.0
2020-03-26,711.105,723.634,709.245,719.568,417645790,8309270400.0
