日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-11-19,1027.125,1076.35,1027.125,1076.295,877805790,15597658000.0
2024-11-20,1090.562,1107.431,1078.58,1102.591,1100307010,18464901000.0
2024-11-21,1103.713,1121.534,1101.402,1110.83,1158390070,20203780000.0
2024-11-22,1103.497,1118.237,1080.089,1080.089,1196692870,21340875000.0
2024-11-25,1078.627,1082.039,1042.808,1067.219,1248730220,21979966000.0
2024-11-26,1063.793,1066.44,1028.885,1028.885,1052892770,18779189000.0
2024-11-27,1015.315,1046.481,993.462,1046.411,1190778960,21529007000.0
2024-11-28,1048.137,1052.537,1027.621,1028.725,911471860,15866591000.0
2024-11-29,1028.989,1053.755,1013.481,1041.171,1001458350,17652906000.0
2024-12-02,1039.937,1068.583,1039.937,1066.689,1092070600,21257606000.0
2024-12-03,1065.873,1075.649,1054.835,1071.002,1106007770,17588903000.0
2024-12-04,1072.615,1073.747,1051.052,1055.605,1095009920,16480854000.0
2024-12-05,1049.502,1073.064,1049.502,1068.915,860073490,13891238000.0
2024-12-06,1068.892,1077.243,1052.953,1068.863,868513750,15990020000.0
2024-12-09,1068.405,1072.485,1043.338,1053.28,748242610,12410981900.0
2024-12-10,1087.495,1088.948,1063.707,1065.087,1053812970,21200582000.0
2024-12-11,1060.365,1083.621,1058.486,1083.621,1017793620,18674311000.0
2024-12-12,1083.79,1090.177,1073.096,1090.149,917662020,17406506000.0
2024-12-13,1082.973,1090.444,1072.402,1075.569,1010201070,19913055000.0
2024-12-16,1073.354,1075.098,1050.123,1055.791,830273460,15821137000.0
2024-12-17,1051.174,1056.542,1025.728,1027.334,806433090,14581637000.0
2024-12-18,1027.549,1046.996,1011.455,1036.028,725976080,13921694000.0
2024-12-19,1020.809,1049.791,1019.254,1046.293,779672820,17778193000.0
2024-12-20,1044.14,1076.996,1042.975,1064.373,771871410,17517991000.0
2024-12-23,1064.117,1070.416,1015.386,1015.58,734542620,15404620000.0
2024-12-24,1021.566,1030.778,1002.251,1025.399,626858930,12412451500.0
2024-12-25,1022.439,1022.439,995.19,1007.032,674236070,13869134000.0
2024-12-26,1004.094,1041.913,1002.301,1035.783,703897320,17901702000.0
2024-12-27,1037.737,1052.053,1029.804,1034.081,702888870,16497545000.0
2024-12-30,1038.925,1045.711,1020.748,1036.065,846576090,18929038000.0
2024-12-31,1034.213,1035.465,992.002,992.002,755240450,16393271000.0
2025-01-02,991.428,998.791,953.081,964.159,690883290,14713371000.0
2025-01-03,966.44,971.484,940.368,941.68,785421680,15202245000.0
2025-01-06,937.16,942.578,912.529,922.068,652135880,11892157500.0
2025-01-07,922.546,952.931,922.546,952.821,645975650,13392659000.0
2025-01-08,946.798,952.336,914.004,945.259,717303110,13833898000.0
2025-01-09,940.68,967.027,940.68,958.407,603453930,11441959600.0
2025-01-10,955.622,963.779,929.559,929.559,650002240,13303137700.0
2025-01-13,912.472,935.91,904.986,929.08,476054110,9354860700.0
2025-01-14,933.03,980.986,926.364,980.955,755317240,15373239000.0
2025-01-15,980.041,983.687,966.294,969.456,603483080,11906227500.0
2025-01-16,977.502,991.521,967.109,977.795,592966380,12667583700.0
2025-01-17,971.486,990.265,967.008,983.418,629440370,12478574200.0
2025-01-20,988.344,996.545,983.003,990.109,620692350,14292043000.0
2025-01-21,994.979,1000.82,978.096,1000.604,620469510,15219184000.0
2025-01-22,994.856,1001.754,988.625,992.821,620232330,17322268000.0
2025-01-23,1002.819,1016.678,980.56,980.56,646981360,14711476000.0
2025-01-24,978.227,999.975,978.227,999.214,552276750,13562435000.0
2025-01-27,1002.467,1004.454,967.566,967.566,447339630,10078083600.0
2025-02-05,980.963,995.138,977.17,988.894,592669140,14440274000.0
2025-02-06,988.436,1040.819,986.581,1040.766,1000033220,23455345000.0
2025-02-07,1042.218,1071.189,1040.329,1058.735,1271516660,29980015000.0
2025-02-10,1065.427,1078.871,1060.395,1078.826,1235515810,23492671000.0
