日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-11-19,1005.046,1033.346,1001.984,1033.346,333179080,3671642500.0
2024-11-20,1029.682,1066.678,1028.852,1062.422,355136480,4303410200.0
2024-11-21,1061.844,1082.3,1058.31,1075.517,375009200,4468114200.0
2024-11-22,1071.781,1084.646,1031.252,1033.357,523928550,6162504400.0
2024-11-25,1037.17,1053.724,1024.309,1053.724,568778040,10689695400.0
2024-11-26,1048.577,1049.676,1024.533,1025.099,494993240,8151554700.0
2024-11-27,1018.65,1040.534,991.905,1040.533,475340590,8550417200.0
2024-11-28,1041.25,1052.188,1033.572,1035.473,573880700,9252529600.0
2024-11-29,1031.692,1055.726,1023.626,1049.384,612628060,10554038400.0
2024-12-02,1049.534,1068.911,1046.748,1068.373,574104720,8906639000.0
2024-12-03,1070.474,1075.316,1053.123,1070.269,604371140,8951590200.0
2024-12-04,1067.334,1077.955,1056.146,1061.735,668739610,9239157900.0
2024-12-05,1057.63,1075.605,1056.724,1074.907,554135810,7937820100.0
2024-12-06,1075.707,1081.341,1059.614,1074.407,579581330,9362248500.0
2024-12-09,1072.905,1075.712,1049.903,1059.482,767176320,11185506000.0
2024-12-10,1090.815,1092.583,1067.971,1069.326,1130557710,16198472000.0
2024-12-11,1068.385,1079.592,1068.052,1079.372,820154510,13420924600.0
2024-12-12,1078.922,1088.619,1072.033,1088.316,917188850,15324170000.0
2024-12-13,1080.817,1087.332,1072.733,1072.775,973834100,16999854000.0
2024-12-16,1073.448,1082.044,1063.933,1068.932,900282500,12832335200.0
2024-12-17,1069.671,1075.948,1047.823,1051.242,1019855390,13332861800.0
2024-12-18,1053.57,1074.475,1041.904,1066.136,841463400,10907998800.0
2024-12-19,1055.645,1087.797,1049.822,1083.925,1161174760,13707930000.0
2024-12-20,1075.631,1096.637,1072.722,1087.159,1147331130,16170216000.0
2024-12-23,1079.821,1083.19,1033.153,1034.964,878874380,11786924100.0
2024-12-24,1036.505,1051.848,1029.024,1045.664,1396034700,16373948000.0
2024-12-25,1039.299,1039.299,1008.041,1019.338,1095802870,13047293600.0
2024-12-26,1017.14,1057.193,1017.041,1052.018,1019063740,13221877200.0
2024-12-27,1050.776,1067.627,1046.652,1053.12,1012933920,13375198100.0
2024-12-30,1051.952,1053.824,1031.915,1042.915,862177370,11066553000.0
2024-12-31,1043.67,1051.674,1007.517,1007.517,922666270,11344913100.0
2025-01-02,1002.632,1011.119,971.115,982.434,841792510,10459705300.0
2025-01-03,985.831,987.957,931.587,933.357,820684030,9762265400.0
2025-01-06,930.022,937.286,908.875,924.351,638368520,7127718200.0
2025-01-07,925.642,950.332,922.421,950.01,638456790,7183987200.0
2025-01-08,945.457,954.176,914.11,947.78,733321670,8542291400.0
2025-01-09,944.76,963.804,942.2,954.679,670159330,8683625700.0
2025-01-10,951.424,961.996,920.198,920.198,682430980,8873785700.0
2025-01-13,910.656,931.388,896.227,923.135,567682000,6918435100.0
2025-01-14,927.063,976.086,927.063,976.086,992290980,14565352000.0
2025-01-15,974.628,979.617,965.487,969.513,731901980,11256196300.0
2025-01-16,974.644,994.807,966.688,976.496,792534880,12396078700.0
2025-01-17,968.496,981.061,963.002,977.204,604096430,9009348400.0
2025-01-20,988.027,995.841,979.583,988.968,562466600,8093696000.0
2025-01-21,992.612,996.391,976.312,985.75,609461870,8489104800.0
2025-01-22,983.772,991.648,978.126,984.311,628658830,9356715500.0
2025-01-23,995.65,1014.109,985.59,986.136,826278830,11829007200.0
2025-01-24,978.079,1004.772,977.704,1003.246,752189260,11523365200.0
2025-01-27,1015.07,1017.138,983.087,983.087,715746650,10613530300.0
2025-02-05,997.765,1011.299,995.897,1008.847,935293330,16398268000.0
2025-02-06,1005.557,1038.022,1000.359,1038.022,1134431370,18519283000.0
2025-02-07,1038.479,1073.097,1038.251,1060.837,1668180000,26753968000.0
2025-02-10,1072.241,1090.673,1069.688,1090.523,1712139800,26828968000.0
2025-02-11,1091.126,1094.328,1079.297,1085.113,1586021900,24352230000.0
2025-02-12,1098.348,1132.913,1098.348,1132.745,1529893000,24122418000.0
2025-02-13,1141.469,1154.405,1123.778,1137.53,1719821100,29887348000.0
2025-02-14,1131.472,1153.685,1123.251,1144.473,1965732600,33989196000.0
2025-02-17,1156.847,1161.647,1140.451,1150.364,1640969100,28912138000.0
2025-02-18,1148.548,1164.512,1117.475,1120.776,1382452900,23506140000.0
2025-02-19,1118.738,1151.502,1116.66,1151.502,1180215360,20803826000.0
2025-02-20,1149.943,1162.323,1145.172,1162.282,999492560,17114476000.0
2025-02-21,1183.279,1209.158,1177.426,1200.024,1605908900,26354969000.0
2025-02-24,1202.774,1223.7,1196.641,1211.677,1786513400,33343668000.0
2025-02-25,1182.529,1221.247,1180.055,1206.636,1565252200,28324867000.0
2025-02-26,1211.931,1235.039,1210.974,1226.032,1213731860,22360882000.0
2025-02-27,1224.871,1234.965,1192.301,1210.737,1219701880,23183092000.0
2025-02-28,1202.395,1203.518,1149.247,1153.168,1242198050,21859612000.0
2025-03-03,1160.446,1180.622,1146.165,1157.122,980720620,16854771000.0
2025-03-04,1145.368,1174.316,1145.368,1173.935,966245900,16763773000.0
2025-03-05,1176.638,1186.865,1165.517,1186.718,1012560730,19114267000.0
2025-03-06,1193.692,1219.158,1193.692,1213.733,1264165770,23374601000.0
2025-03-07,1205.407,1220.0,1193.818,1205.016,1021693690,18715134000.0
2025-03-10,1203.23,1204.542,1186.869,1197.845,759441380,13708382000.0
2025-03-11,1180.012,1203.601,1180.012,1203.534,763988610,12853274200.0
2025-03-12,1209.692,1235.024,1207.631,1220.118,1152385430,18498004000.0
2025-03-13,1215.497,1218.851,1191.969,1205.153,1179007080,20034765000.0
2025-03-14,1199.956,1214.644,1182.518,1213.706,1113806950,18367779000.0
2025-03-17,1216.186,1229.17,1207.64,1221.203,1457720000,26458905000.0
2025-03-18,1226.281,1243.997,1225.71,1232.969,1331177340,23663251000.0
2025-03-19,1227.141,1235.191,1215.869,1222.548,1262505900,19803676000.0
2025-03-20,1214.813,1233.785,1209.073,1219.125,1128175130,18342421000.0
2025-03-21,1212.925,1213.486,1185.893,1189.063,1128011220,17840181000.0
2025-03-24,1187.794,1188.452,1127.613,1158.828,1003215180,14779874000.0
2025-03-25,1157.774,1162.326,1144.734,1149.373,876022150,11831305900.0
2025-03-26,1147.469,1164.49,1147.469,1154.268,723051640,9412362700.0
2025-03-27,1157.633,1161.518,1141.692,1145.025,796101960,11738725800.0
2025-03-28,1139.435,1144.626,1121.138,1121.138,679145100,9667594400.0
2025-03-31,1105.206,1114.029,1087.588,1110.817,683007550,9953696800.0
2025-04-01,1114.015,1128.467,1114.015,1120.387,680735110,8589762900.0
2025-04-02,1117.491,1123.666,1111.418,1113.76,556945090,7610701200.0
2025-04-03,1097.378,1117.63,1092.579,1099.551,569094100,7822963300.0
2025-04-07,1016.24,1028.065,939.761,944.881,875674390,10964384700.0
2025-04-08,935.712,969.769,920.402,941.279,965982500,11779044900.0
2025-04-09,924.01,981.474,875.95,975.051,1058015160,13621541000.0
2025-04-10,999.472,1021.397,998.9,999.8,903244760,12642238800.0
2025-04-11,990.357,1022.242,990.357,1011.049,739459000,9897698600.0
2025-04-14,1030.831,1038.049,1025.279,1029.253,666680780,9002608000.0
2025-04-15,1033.16,1035.489,1018.337,1026.47,583401200,7917202700.0
2025-04-16,1019.284,1025.404,988.821,1002.148,611897030,7644855200.0
2025-04-17,998.803,1015.043,996.749,1004.269,549954650,6841657200.0
