日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-10-25,1044.281,1081.361,1044.096,1073.502,628479910,13493656000.0
2023-10-26,1072.891,1132.881,1069.885,1106.542,1029884110,20690741000.0
2023-10-27,1099.66,1100.236,1075.898,1085.228,1081320870,20124165000.0
2023-10-30,1080.59,1128.206,1080.59,1122.177,1122024610,21248319000.0
2023-10-31,1124.037,1125.626,1094.532,1107.737,1067534960,21100017000.0
2023-11-01,1107.42,1111.1,1085.545,1085.647,786365110,15352757000.0
2023-11-02,1089.76,1098.742,1069.259,1069.259,858165470,18134123000.0
2023-11-03,1071.542,1098.147,1071.465,1094.913,846634510,17895766000.0
2023-11-06,1100.702,1127.911,1100.702,1125.054,963752650,19935271000.0
2023-11-07,1122.941,1150.51,1120.572,1147.607,1073905230,21742880000.0
2023-11-08,1163.299,1189.83,1156.265,1173.038,1493295000,32026306000.0
2023-11-09,1170.497,1184.099,1160.226,1172.677,1255995920,26927704000.0
2023-11-10,1162.951,1170.413,1148.436,1157.228,984167090,23366140000.0
2023-11-13,1168.429,1225.208,1168.429,1221.67,1454642300,33583944000.0
2023-11-14,1235.858,1268.333,1235.081,1268.333,1595686000,38269297000.0
2023-11-15,1291.676,1296.83,1274.228,1277.036,1445116400,35517122000.0
2023-11-16,1272.39,1307.444,1265.135,1292.15,1578524800,36818914000.0
2023-11-17,1283.449,1296.73,1266.657,1289.091,1298299600,30529343000.0
2023-11-20,1289.448,1306.627,1284.265,1296.203,1202762330,29434080000.0
2023-11-21,1293.772,1296.049,1252.467,1258.519,1192944560,27658656000.0
2023-11-22,1256.239,1277.156,1242.886,1242.9,945465300,21511173000.0
2023-11-23,1233.927,1249.095,1211.761,1249.095,871039200,20748913000.0
2023-11-24,1249.241,1249.618,1203.367,1207.228,833688130,19132625000.0
2023-11-27,1202.706,1230.957,1202.523,1216.348,605205610,14877086000.0
2023-11-28,1211.94,1221.354,1195.793,1212.24,582229200,14504374000.0
2023-11-29,1207.561,1216.05,1197.07,1202.756,608266540,13429907000.0
2023-11-30,1197.164,1202.155,1175.917,1195.361,660087890,15026990000.0
2023-12-01,1195.062,1239.849,1193.26,1238.208,779603670,21039087000.0
2023-12-04,1242.511,1269.619,1242.511,1243.651,859945990,24867010000.0
2023-12-05,1239.442,1239.801,1189.535,1189.535,720845470,18706020000.0
2023-12-06,1183.393,1201.491,1178.942,1186.669,571928670,14295209000.0
2023-12-07,1185.893,1217.043,1184.331,1214.586,647209620,15852479000.0
2023-12-08,1212.945,1250.221,1212.945,1240.267,933139250,22181345000.0
2023-12-11,1235.145,1254.873,1227.535,1253.09,802640130,19468080000.0
2023-12-12,1250.415,1273.52,1250.253,1261.497,783360470,20109324000.0
2023-12-13,1258.177,1262.685,1241.003,1241.015,604803570,14966713000.0
2023-12-14,1243.987,1252.351,1221.28,1222.205,587206690,15336689000.0
2023-12-15,1225.355,1231.584,1209.428,1216.1,596570800,14653212000.0
2023-12-18,1214.714,1227.282,1190.57,1193.832,508120070,12466590400.0
2023-12-19,1191.28,1208.455,1182.164,1200.646,524467840,13933482000.0
2023-12-20,1202.343,1202.565,1161.866,1162.062,542294080,12992490900.0
2023-12-21,1152.963,1181.203,1142.015,1171.132,570532050,13739365000.0
2023-12-22,1167.227,1169.085,1124.513,1129.646,580682500,13255557000.0
2023-12-25,1128.245,1141.145,1115.018,1124.703,351195940,8672903700.0
2023-12-26,1125.125,1125.633,1086.08,1092.075,415457540,9486262100.0
2023-12-27,1097.872,1116.49,1097.872,1113.421,446500140,11238271600.0
2023-12-28,1109.329,1135.086,1096.099,1127.494,520681740,12781933900.0
2023-12-29,1124.909,1157.325,1124.343,1156.323,592156280,14741830000.0
2024-01-02,1156.055,1157.687,1137.973,1137.973,459386540,11604474400.0
2024-01-03,1135.561,1144.249,1118.1,1130.976,522337600,13072064900.0
2024-01-04,1128.65,1141.545,1120.391,1125.706,700219370,16207181000.0
2024-01-05,1126.262,1129.353,1095.49,1104.354,574174440,12640211400.0
2024-01-08,1099.835,1099.835,1073.121,1073.121,468560730,9853761300.0
2024-01-09,1078.314,1087.323,1059.029,1069.348,449686570,9325268700.0
2024-01-10,1063.572,1063.794,1036.436,1039.502,457656690,9732654400.0
2024-01-11,1040.295,1095.616,1040.295,1091.384,691705560,15594720000.0
2024-01-12,1089.164,1092.619,1064.764,1065.694,618175080,13419869700.0
2024-01-15,1063.308,1077.501,1055.061,1066.984,486610740,11314430500.0
2024-01-16,1067.274,1067.964,1041.537,1063.871,489288520,11420342100.0
2024-01-17,1060.665,1065.61,1036.509,1036.509,523742950,11411299900.0
2024-01-18,1029.098,1047.479,1011.768,1047.212,754759410,15673512000.0
2024-01-19,1042.795,1043.513,1013.444,1013.444,585673970,13051155900.0
2024-01-22,1014.983,1018.49,939.234,948.604,646589810,13287946300.0
2024-01-23,946.885,971.825,940.908,965.309,595961550,13502556000.0
2024-01-24,969.29,972.966,929.682,970.01,576396100,12486556800.0
2024-01-25,968.474,1008.495,958.616,1007.535,692135160,14107884000.0
2024-01-26,1003.966,1011.475,981.736,983.731,640983690,12502543700.0
2024-01-29,989.387,998.168,945.878,945.878,516031100,10059708000.0
2024-01-30,939.363,951.009,911.235,912.374,460485120,9503553600.0
2024-01-31,906.874,908.143,850.821,852.33,615181580,11144744800.0
2024-02-01,845.102,874.985,833.355,848.458,607781520,11982578100.0
2024-02-02,851.964,866.162,774.628,803.925,654922260,11228173800.0
2024-02-05,797.132,797.595,711.084,720.921,748063690,11678599700.0
2024-02-06,704.242,769.646,681.484,751.679,775263760,12424450100.0
2024-02-07,752.525,783.8,743.212,754.448,832255000,13842869000.0
2024-02-08,761.467,822.364,760.418,821.967,791115530,13514312000.0
2024-02-19,858.389,878.33,853.714,878.186,860498190,16187832000.0
2024-02-20,878.789,889.653,866.058,886.312,786280500,13352479400.0
2024-02-21,873.314,921.317,870.059,892.438,845214390,16810814000.0
2024-02-22,909.652,939.851,909.652,939.851,963721830,19820342000.0
2024-02-23,955.61,981.763,941.981,981.763,1018054580,20495327000.0
2024-02-26,983.227,1011.277,969.01,992.922,1021211410,22607186000.0
2024-02-27,982.577,1042.712,979.778,1042.712,1092757700,24685565000.0
2024-02-28,1042.44,1056.854,952.279,953.155,1278427990,28495757000.0
2024-02-29,942.473,1011.787,942.473,1011.787,923662070,23489453000.0
2024-03-01,1016.561,1049.428,1010.389,1045.628,1087442190,26579886000.0
2024-03-04,1055.116,1064.056,1026.278,1061.701,1071976450,26263140000.0
2024-03-05,1048.713,1073.243,1040.261,1051.005,1086111780,29618037000.0
2024-03-06,1040.079,1061.202,1032.145,1050.551,797734030,22489808000.0
2024-03-07,1052.091,1057.854,1012.851,1012.851,830203260,23090152000.0
2024-03-08,1016.32,1035.286,1006.54,1032.047,611252410,17298866000.0
2024-03-11,1024.758,1065.39,1019.826,1065.39,929459170,24619528000.0
2024-03-12,1067.743,1081.48,1058.091,1077.368,1093603970,25612151000.0
2024-03-13,1085.252,1102.574,1077.799,1085.549,1057217490,25548171000.0
2024-03-14,1071.032,1080.972,1049.471,1068.722,799375190,20042903000.0
2024-03-15,1068.098,1082.777,1056.261,1082.644,677091040,18074522000.0
2024-03-18,1087.772,1108.495,1082.858,1108.495,834480960,22884753000.0
2024-03-19,1105.492,1125.728,1100.952,1110.982,938469570,26205885000.0
2024-03-20,1107.337,1142.267,1106.825,1139.296,965575010,24643620000.0
2024-03-21,1144.572,1153.564,1132.316,1137.762,892176270,22786464000.0
2024-03-22,1134.032,1147.606,1109.717,1136.776,978050980,22278877000.0
2024-03-25,1138.328,1143.754,1091.925,1091.925,917190860,23505825000.0
2024-03-26,1083.491,1102.601,1053.079,1064.319,844768060,23085114000.0
2024-03-27,1059.625,1060.291,999.064,999.064,745748390,16768261000.0
2024-03-28,996.596,1051.691,996.596,1040.184,865441950,21822644000.0
2024-03-29,1033.617,1039.364,1012.172,1039.219,614622690,15380663000.0
2024-04-01,1047.137,1063.5,1046.753,1063.5,634663910,14520332000.0
2024-04-02,1059.85,1059.856,1027.499,1033.981,573696410,13223787000.0
2024-04-03,1028.365,1028.422,991.446,999.274,512842440,11418531700.0
2024-04-08,997.098,1005.665,980.633,987.634,751602600,15418632000.0
2024-04-09,982.436,991.147,969.947,983.95,606970320,12823900500.0
2024-04-10,980.544,980.876,948.049,959.697,693580690,14453679000.0
2024-04-11,951.331,980.276,951.331,961.884,641382880,13706917000.0
2024-04-12,961.119,973.976,948.2,948.788,568137990,11452069400.0
2024-04-15,940.846,948.208,896.821,913.42,637635750,12404301200.0
2024-04-16,904.032,906.943,850.087,850.223,624807170,11541172400.0
2024-04-17,862.767,908.163,862.767,907.302,584481020,11759604300.0
2024-04-18,903.315,924.913,887.453,905.415,559113070,11166159900.0
2024-04-19,897.758,905.284,882.788,889.497,456594540,9176439300.0
2024-04-22,878.299,895.97,857.008,883.283,403020200,7401245900.0
2024-04-23,889.428,900.087,887.134,892.596,383280060,8098972700.0
2024-04-24,892.654,930.57,892.654,930.57,511919700,9965756400.0
2024-04-25,926.683,936.633,919.135,925.644,393440700,7356077600.0
2024-04-26,929.727,965.039,929.727,958.109,766909160,14155581000.0
2024-04-29,961.06,990.22,961.06,985.142,760073160,14597372000.0
2024-04-30,987.557,988.194,959.003,968.665,633413770,11678977200.0
2024-05-06,983.129,989.231,970.289,973.499,545370340,10244244600.0
2024-05-07,974.302,982.872,962.741,969.771,488497350,9178228900.0
2024-05-08,963.011,963.011,937.421,938.659,560822100,9428024300.0
2024-05-09,939.394,952.404,939.394,947.239,393613980,7217701900.0
2024-05-10,948.686,951.678,921.628,923.8,426153280,7544578300.0
2024-05-13,919.987,919.987,898.737,902.191,380548950,6645605700.0
2024-05-14,908.707,924.373,905.441,923.687,383794400,7266084000.0
2024-05-15,919.153,924.869,910.878,912.084,366451670,6364046000.0
2024-05-16,916.728,927.188,914.463,916.724,389596430,6966225800.0
2024-05-17,917.719,932.903,910.684,932.881,399229090,7315198400.0
2024-05-20,931.023,944.294,922.09,937.523,482216370,8612924300.0
2024-05-21,939.126,939.126,922.635,924.949,425618930,7970469500.0
2024-05-22,923.479,932.408,917.289,931.277,368059680,7124923300.0
2024-05-23,932.712,933.675,909.03,911.854,412986660,7718829400.0
2024-05-24,911.207,916.844,893.566,893.602,434899990,7658425000.0
2024-05-27,893.878,899.266,877.023,899.226,371062930,6368064800.0
2024-05-28,895.427,901.18,881.48,881.557,294809180,5237517800.0
2024-05-29,880.042,891.372,874.693,879.896,269519170,4751489400.0
2024-05-30,875.445,884.887,865.201,878.041,256431820,4636023700.0
2024-05-31,879.683,899.969,879.683,896.727,382084470,7084067300.0
2024-06-03,896.224,896.79,875.117,882.716,396865090,6328231100.0
2024-06-04,878.944,879.176,853.548,865.562,321576030,5312840500.0
2024-06-05,866.655,875.192,861.139,861.139,317641190,5284535400.0
2024-06-06,863.083,869.059,820.561,823.138,540121490,8073869400.0
2024-06-07,833.271,844.466,822.142,832.738,390641920,6732242000.0
2024-06-11,828.724,848.659,815.856,848.445,358510070,5981045600.0
2024-06-12,848.372,865.551,847.809,860.039,341613460,6439532900.0
2024-06-13,863.09,873.585,857.071,865.806,377590700,7468667100.0
2024-06-14,864.335,874.491,857.69,872.611,440839860,9022784200.0
2024-06-17,869.998,871.696,859.384,864.703,396527900,7934972800.0
2024-06-18,864.529,889.362,863.557,888.218,543393140,10248674800.0
2024-06-19,894.102,900.506,887.719,891.4,554735860,9031857700.0
2024-06-20,889.669,892.374,870.219,870.355,514203790,8409042500.0
2024-06-21,866.338,872.069,853.043,865.532,389021030,6353446900.0
2024-06-24,857.685,862.275,832.346,833.739,578186730,9359039600.0
2024-06-25,832.655,838.728,809.142,816.936,501304310,7951097500.0
2024-06-26,817.144,866.961,810.378,866.285,578124650,10843619500.0
2024-06-27,861.311,865.16,844.653,845.064,436319260,7912787700.0
2024-06-28,844.782,864.127,842.524,844.935,442987660,7885456300.0
2024-07-01,841.269,845.557,825.397,842.103,465454820,6803874800.0
2024-07-02,848.204,867.705,848.204,855.544,509022860,7888600800.0
2024-07-03,851.736,852.435,833.051,834.028,372152430,6271701400.0
2024-07-04,835.638,842.321,813.122,814.693,344693150,5532821300.0
2024-07-05,811.514,827.294,799.75,821.377,334550700,5162315000.0
2024-07-08,814.9,814.9,789.135,791.271,370592360,6055044400.0
2024-07-09,790.419,813.693,779.339,811.989,424832670,6746868500.0
2024-07-10,807.416,823.2,805.7,810.772,401034420,5747412300.0
2024-07-11,825.765,834.681,819.917,831.319,428632350,6680130400.0
2024-07-12,828.149,831.311,818.876,819.014,324968190,5181336600.0
2024-07-15,817.733,817.733,801.016,802.882,307638000,4555651000.0
2024-07-16,800.306,821.457,795.179,817.335,394003560,6881956900.0
2024-07-17,816.468,823.361,802.907,802.907,357574830,6096066200.0
2024-07-18,795.205,798.455,775.957,794.299,363746950,5821982800.0
2024-07-19,791.383,813.387,789.715,808.988,337684210,5828786300.0
2024-07-22,819.211,829.251,814.297,823.951,512379210,8517805600.0
2024-07-23,821.38,827.471,808.504,808.577,503173960,7003264200.0
2024-07-24,805.84,811.977,791.699,792.387,401494270,5716182200.0
2024-07-25,786.855,802.57,781.361,793.381,347830630,4615892300.0
2024-07-26,791.893,807.211,791.893,804.742,329102050,4360574600.0
2024-07-29,806.509,816.38,798.431,811.548,400515920,4828261900.0
2024-07-30,808.581,821.268,804.385,814.274,378279780,5060945500.0
2024-07-31,814.32,844.925,814.32,844.925,590011570,8487252500.0
2024-08-01,843.234,849.096,837.677,842.972,437679130,6331667000.0
2024-08-02,835.607,843.274,818.559,819.107,369906870,5342566900.0
2024-08-05,811.788,823.269,786.029,786.029,445173260,6518313100.0
2024-08-06,798.133,802.48,787.78,797.283,335993840,5440858800.0
2024-08-07,797.788,807.737,797.044,797.908,295660600,4485086100.0
2024-08-08,795.481,795.631,774.685,785.48,320975140,4590439300.0
2024-08-09,789.424,793.586,775.03,775.03,270414600,3567866000.0
2024-08-12,771.049,771.366,756.199,759.224,269045220,4043414100.0
2024-08-13,759.235,766.073,754.81,766.073,201394210,2796688400.0
2024-08-14,767.659,772.359,762.916,766.307,212698230,3038581300.0
2024-08-15,765.574,784.0,757.461,778.029,323037960,4309266600.0
2024-08-16,779.949,788.121,778.673,780.928,311958840,4316125000.0
2024-08-19,781.936,795.765,781.272,784.121,372186450,5475713900.0
2024-08-20,782.801,783.301,763.942,764.933,317312470,4434620000.0
2024-08-21,762.527,773.338,758.822,759.826,251971240,3539487400.0
2024-08-22,759.555,775.762,748.283,748.579,491726360,6564403800.0
2024-08-23,751.36,773.087,749.704,767.921,557763360,8602222100.0
2024-08-26,770.362,777.208,765.161,772.411,831063340,9629558600.0
2024-08-27,770.005,780.226,757.454,761.181,848472020,9918364500.0
2024-08-28,756.062,768.858,747.75,760.265,709274760,8057002300.0
2024-08-29,755.942,776.967,754.976,772.762,743756290,8352987100.0
2024-08-30,774.741,808.109,774.543,795.328,1092027350,13889128000.0
2024-09-02,793.477,798.797,777.302,777.971,799423230,9778342800.0
2024-09-03,777.885,798.409,777.757,798.409,844298510,11278908700.0
2024-09-04,789.766,796.0,783.745,788.764,760208860,9898654800.0
2024-09-05,790.802,803.644,790.802,797.335,672050890,8403365500.0
2024-09-06,795.393,797.867,778.414,779.242,621893730,7553729700.0
2024-09-09,773.972,780.308,764.727,772.189,537469900,5736736100.0
2024-09-10,773.255,797.414,760.9,794.461,826717870,9810062200.0
2024-09-11,788.794,790.612,780.155,784.239,715267330,8047451500.0
2024-09-12,787.707,803.018,787.707,795.333,846621440,9916495700.0
2024-09-13,795.257,795.862,776.059,776.059,980547100,10561288000.0
2024-09-18,774.378,783.234,760.152,773.081,909542000,9997460100.0
2024-09-19,777.573,800.619,771.382,795.488,1181958590,14010993000.0
2024-09-20,797.753,816.095,797.194,814.541,1122059460,15295889000.0
2024-09-23,822.046,837.494,817.829,828.149,1166217900,17586754000.0
2024-09-24,825.414,848.069,811.961,844.925,1826542400,24798890000.0
2024-09-25,846.595,873.955,846.595,856.697,1727448800,23876288000.0
2024-09-26,852.963,879.222,850.409,879.222,1869425300,27792988000.0
2024-09-27,890.523,950.134,890.523,944.38,2194458500,35313909000.0
2024-09-30,1009.025,1111.082,1002.184,1100.205,2334268600,41055222000.0
2024-10-08,1279.798,1279.798,1176.967,1268.973,2037294200,41707548000.0
