日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-22,997.67,1004.561,986.31,996.976,253722800,3390388100.0
2022-03-23,996.141,1007.156,984.748,994.728,230691170,3251757900.0
2022-03-24,988.93,988.93,964.87,966.454,223825070,3264597000.0
2022-03-25,977.365,985.484,960.34,960.34,203560150,3104445500.0
2022-03-28,962.645,997.202,956.994,981.514,293038560,5412912200.0
2022-03-29,977.963,979.407,947.716,950.746,256474830,4252633600.0
2022-03-30,953.607,961.542,949.936,959.158,194576580,3229412000.0
2022-03-31,956.406,967.12,952.345,962.136,265612800,3757450100.0
2022-04-01,959.147,964.439,952.593,957.605,199764770,3018391100.0
2022-04-06,958.112,970.621,956.907,965.319,221990440,3325796500.0
2022-04-07,960.178,966.135,928.261,928.261,231116920,3480991200.0
2022-04-08,929.748,932.147,899.025,904.857,216289580,3292757600.0
2022-04-11,899.374,901.473,857.836,864.67,205301090,3320706500.0
2022-04-12,865.123,883.56,860.111,883.56,149897330,2349312400.0
2022-04-13,881.664,881.664,853.276,853.276,172242690,2516321900.0
2022-04-14,863.316,871.771,856.693,866.542,160047320,2775946600.0
2022-04-15,847.241,847.241,820.517,825.211,191824260,2899107700.0
2022-04-18,819.019,831.295,805.35,828.764,134163670,2284527400.0
2022-04-19,827.418,840.861,822.313,828.672,123757842,1992325800.0
2022-04-20,839.222,844.965,815.098,818.365,178877820,2419944300.0
2022-04-21,807.637,815.047,779.038,781.279,186668660,2498188700.0
2022-04-22,776.157,781.438,763.109,763.263,153358450,2152780100.0
2022-04-25,749.894,749.894,693.695,693.695,226172540,2831131300.0
2022-04-26,699.945,714.073,676.412,678.812,205571450,2644415600.0
2022-04-27,671.746,707.839,664.756,707.717,231063930,2799061600.0
2022-04-28,700.093,701.619,679.325,685.878,187627330,2245869600.0
2022-04-29,700.253,735.128,698.088,733.342,233007150,3214060900.0
2022-05-05,729.602,745.874,722.854,739.018,187167180,2658155200.0
2022-05-06,721.819,797.136,716.547,768.555,343863580,4669745600.0
2022-05-09,761.653,776.875,756.645,762.576,233605940,3406047300.0
2022-05-10,750.171,782.436,749.522,780.918,211585480,2932904500.0
2022-05-11,779.695,805.012,779.695,782.295,262760040,3819580800.0
2022-05-12,776.83,796.109,776.073,789.988,175553010,2534331900.0
2022-05-13,794.675,798.397,781.95,788.67,156881610,2315214700.0
2022-05-16,792.428,797.589,780.111,783.139,156649310,2076882400.0
2022-05-17,783.442,785.728,770.674,785.568,146593780,2113097600.0
2022-05-18,799.548,810.104,789.399,789.406,227061600,3237463200.0
2022-05-19,775.578,788.115,773.762,788.011,161643230,2260647400.0
2022-05-20,791.919,797.862,787.002,794.838,157213830,2184222600.0
2022-05-23,797.405,809.988,794.712,809.908,174593570,2557583900.0
2022-05-24,809.013,809.013,761.917,761.917,210275070,3007323700.0
2022-05-25,770.493,792.692,770.493,786.722,211981550,3139905800.0
2022-05-26,787.249,795.6,769.413,789.086,213984910,2832055100.0
2022-05-27,792.669,795.848,776.659,783.735,175360060,2251349200.0
2022-05-30,788.274,794.821,781.64,792.555,139234280,1886701600.0
2022-05-31,793.86,813.046,781.117,810.868,222168620,2977088700.0
2022-06-01,808.498,838.001,807.87,834.218,232712390,3347158400.0
2022-06-02,831.398,867.931,827.034,867.501,262578250,3632134800.0
2022-06-06,868.131,895.38,862.628,887.458,365516830,5912840200.0
2022-06-07,883.095,886.961,862.294,873.189,287494220,4583528900.0
2022-06-08,872.778,911.211,872.362,890.185,343844250,5851731200.0
2022-06-09,887.416,887.428,851.02,856.037,251047440,4087536600.0
2022-06-10,851.417,869.43,851.417,868.208,203964890,3526940400.0
2022-06-13,862.424,887.858,860.344,883.598,238359010,3912031700.0
2022-06-14,874.345,876.167,840.467,875.767,242161260,3915467800.0
2022-06-15,875.516,892.33,872.19,879.571,296827260,4392779900.0
2022-06-16,881.603,895.08,877.598,880.447,248329920,3672613600.0
2022-06-17,873.111,882.675,861.785,876.042,198969580,2926442900.0
2022-06-20,886.114,892.817,874.646,887.546,278295030,4676627400.0
2022-06-21,890.405,898.527,873.872,887.714,274860820,4252809600.0
2022-06-22,890.583,891.157,862.897,863.232,226995420,3563797500.0
2022-06-23,866.099,883.628,862.174,883.123,215329310,4019830300.0
2022-06-24,889.555,898.328,886.047,890.685,231225960,3710521900.0
2022-06-27,892.266,894.999,884.353,890.9,224122480,3659146100.0
2022-06-28,892.029,909.439,877.68,908.626,313799910,4755842400.0
2022-06-29,904.239,918.228,892.106,892.106,295223480,4766138300.0
