日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-04-19,1162.128,1196.53,1153.618,1191.163,822668340,12433636800.0
2021-04-20,1213.245,1221.614,1192.455,1195.122,1365254700,19380577000.0
2021-04-21,1179.428,1193.104,1168.875,1180.653,1406636100,21823841000.0
2021-04-22,1187.537,1214.226,1187.537,1197.656,1272916310,18860797000.0
2021-04-23,1180.954,1205.317,1179.47,1199.532,1219937030,16195403000.0
2021-04-26,1204.058,1207.487,1189.35,1192.728,1397070500,18127647000.0
2021-04-27,1186.602,1186.602,1143.885,1151.478,1132027590,16354915000.0
2021-04-28,1134.334,1161.678,1132.834,1159.632,1084052550,16573121000.0
2021-04-29,1149.862,1151.4,1137.174,1138.133,974866750,14714441000.0
2021-04-30,1138.756,1141.3,1127.425,1132.995,1019520990,13896877000.0
2021-05-06,1131.495,1152.629,1131.495,1150.24,1055482680,16019251000.0
2021-05-07,1148.288,1149.711,1126.99,1127.697,948480810,14234009000.0
2021-05-10,1125.042,1156.037,1123.424,1147.83,1192506150,17401591000.0
2021-05-11,1142.12,1154.961,1123.892,1145.545,1405784900,24460215000.0
2021-05-12,1142.903,1203.354,1142.506,1202.771,1440337300,22469114000.0
2021-05-13,1205.646,1214.038,1185.373,1185.463,1792367300,28840006000.0
2021-05-14,1190.224,1214.124,1177.788,1209.071,1521760900,24445972000.0
2021-05-17,1205.079,1233.763,1199.486,1219.244,1795290300,28461857000.0
2021-05-18,1211.351,1220.082,1203.907,1219.65,1406336900,24119597000.0
2021-05-19,1214.514,1241.197,1203.829,1232.899,1665012800,27377202000.0
2021-05-20,1225.439,1240.527,1224.151,1227.602,1532258900,26523495000.0
2021-05-21,1226.14,1234.759,1217.438,1227.409,1485266500,25663960000.0
2021-05-24,1222.348,1225.654,1215.825,1220.549,1510353800,25023642000.0
2021-05-25,1217.37,1230.876,1205.006,1229.012,1304896230,21218799000.0
2021-05-26,1229.756,1244.101,1228.22,1233.295,1276111780,21515235000.0
2021-05-27,1233.995,1239.051,1228.914,1234.663,993206930,16414295000.0
2021-05-28,1233.22,1258.798,1230.335,1253.872,1315972490,22179583000.0
