日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-11-19,1000.476,1059.762,997.639,1059.711,896006070,16577691000.0
2024-11-20,1054.457,1105.079,1049.484,1097.445,1195294680,19879417000.0
2024-11-21,1087.511,1113.384,1079.078,1098.909,1157645570,21782012000.0
2024-11-22,1085.784,1133.238,1064.167,1064.84,1317875520,24085517000.0
2024-11-25,1078.07,1082.657,1035.479,1073.161,1408845200,27368020000.0
2024-11-26,1057.609,1073.164,1027.869,1028.183,1273227840,23051103000.0
2024-11-27,1014.79,1063.182,993.506,1063.182,1378120900,23281100000.0
2024-11-28,1062.445,1078.07,1043.121,1045.389,1366485800,25935484000.0
2024-11-29,1042.908,1096.147,1039.721,1084.984,1561105000,28344387000.0
2024-12-02,1080.271,1109.885,1077.822,1100.855,1566123500,28380837000.0
2024-12-03,1096.89,1107.795,1074.633,1096.949,1313960050,23868891000.0
2024-12-04,1087.146,1096.064,1064.309,1070.854,1082768700,18882938000.0
2024-12-05,1069.059,1110.102,1069.059,1102.862,1436727100,23281899000.0
2024-12-06,1112.37,1146.117,1101.186,1125.047,1766101500,28395978000.0
2024-12-09,1123.797,1132.877,1104.144,1114.986,1492459700,25312198000.0
2024-12-10,1151.706,1158.205,1128.791,1130.766,1770223000,33314313000.0
2024-12-11,1119.966,1133.219,1116.803,1130.8,1342513400,23744311000.0
2024-12-12,1131.085,1138.202,1108.743,1138.202,1268749740,22531199000.0
2024-12-13,1126.593,1136.717,1109.656,1109.698,1211766950,20712622000.0
2024-12-16,1105.322,1107.942,1079.076,1086.565,1215923570,20665291000.0
2024-12-17,1079.75,1080.356,1030.877,1032.627,964287700,15712359000.0
2024-12-18,1031.241,1061.468,1017.761,1044.88,804954800,12964590000.0
2024-12-19,1027.774,1076.542,1026.7,1074.123,858665900,14974455000.0
2024-12-20,1067.745,1093.255,1064.519,1085.827,963462990,15801027000.0
2024-12-23,1083.471,1083.529,1022.403,1024.069,902000060,13823617000.0
2024-12-24,1030.822,1037.032,1004.401,1024.158,664426520,10723038900.0
2024-12-25,1022.92,1022.92,983.632,997.857,693974820,11835417200.0
2024-12-26,996.453,1025.332,996.453,1012.53,621500820,10972006500.0
2024-12-27,1011.773,1030.445,1004.492,1008.471,660578790,11500009100.0
2024-12-30,1006.392,1018.889,987.621,1011.514,636316480,11111088700.0
2024-12-31,1016.759,1019.886,974.791,974.791,739589570,12474123600.0
2025-01-02,971.694,983.486,936.24,950.027,812838360,13181866500.0
2025-01-03,949.913,954.007,893.353,894.639,932366390,13155677700.0
2025-01-06,892.254,902.513,878.405,886.239,759029310,11174111700.0
2025-01-07,890.733,917.086,890.733,917.06,640837890,9711683300.0
2025-01-08,916.823,927.037,883.003,918.667,743552400,11907081400.0
2025-01-09,914.544,935.138,914.544,924.147,620939340,10397637800.0
2025-01-10,920.898,937.794,889.348,889.348,634657880,11152924700.0
2025-01-13,878.66,900.533,861.183,894.504,474428220,7358533300.0
2025-01-14,902.572,962.863,902.183,962.863,835093620,13635466000.0
2025-01-15,964.214,969.667,954.007,958.334,908480860,15669682000.0
2025-01-16,968.767,991.575,955.209,963.82,852042160,16515961000.0
2025-01-17,958.019,961.362,943.651,952.306,554054260,10173152500.0
2025-01-20,963.269,967.847,950.534,961.764,566853980,9645760300.0
2025-01-21,965.481,968.683,948.943,962.825,501190700,8791579100.0
2025-01-22,957.823,960.237,947.918,949.05,471826020,8370313500.0
2025-01-23,958.941,988.843,952.491,952.491,848518510,14448393000.0
2025-01-24,950.874,1010.775,950.874,1010.015,1116425920,17774256000.0
2025-01-27,1029.937,1035.289,1002.451,1004.151,1045466280,17915724000.0
2025-02-05,1046.736,1076.952,1044.989,1070.041,1329267180,23411454000.0
2025-02-06,1063.734,1115.293,1053.943,1111.161,1933187000,37014429000.0
2025-02-07,1103.877,1168.527,1103.877,1147.005,2321920200,47582395000.0
2025-02-10,1167.316,1208.626,1162.272,1208.626,2045529000,43917560000.0
2025-02-11,1195.147,1236.808,1179.835,1192.965,2089053000,44694614000.0
2025-02-12,1192.602,1236.483,1192.602,1229.193,2130379400,46647967000.0
2025-02-13,1238.525,1248.562,1202.604,1228.465,2605439800,61450204000.0
2025-02-14,1228.325,1274.501,1213.237,1261.81,2598836400,56921405000.0
2025-02-17,1298.052,1299.243,1243.341,1252.922,2620973300,59072166000.0
2025-02-18,1238.001,1247.795,1182.151,1184.616,2056643100,46009738000.0
2025-02-19,1186.633,1218.601,1175.44,1216.473,1655980900,40311820000.0
2025-02-20,1210.246,1221.245,1198.49,1215.629,1470273000,34693965000.0
2025-02-21,1229.702,1263.98,1212.183,1260.669,1908982600,45998792000.0
2025-02-24,1264.57,1273.73,1234.084,1253.747,1781393500,49685717000.0
2025-02-25,1221.35,1256.294,1217.512,1233.004,1816370700,49701713000.0
2025-02-26,1237.763,1250.936,1223.021,1244.638,1637369900,38728157000.0
2025-02-27,1243.388,1257.97,1214.068,1243.106,1747328000,42345515000.0
2025-02-28,1235.276,1235.276,1162.241,1165.315,1538437700,34678274000.0
2025-03-03,1181.078,1221.643,1168.356,1197.539,1397616400,32515139000.0
2025-03-04,1177.596,1221.918,1177.596,1221.86,1220815310,27960274000.0
2025-03-05,1226.095,1245.566,1208.22,1245.357,1509644000,36059099000.0
2025-03-06,1283.289,1333.651,1281.809,1314.697,2095880800,52582734000.0
2025-03-07,1334.584,1351.398,1293.596,1311.887,1961984600,47855289000.0
2025-03-10,1312.7,1315.943,1275.764,1288.874,1612570300,36173596000.0
2025-03-11,1263.791,1289.337,1263.791,1281.791,1391942900,29536755000.0
2025-03-12,1298.504,1320.385,1293.189,1299.718,1563127300,33979543000.0
2025-03-13,1288.919,1288.919,1250.941,1285.371,1592350300,35942920000.0
2025-03-14,1273.893,1301.902,1259.531,1294.409,1366117300,30446685000.0
2025-03-17,1293.103,1311.089,1285.732,1295.171,1229740560,28981359000.0
2025-03-18,1300.048,1315.855,1292.595,1297.668,1017234020,23264729000.0
2025-03-19,1291.047,1292.591,1265.108,1271.178,1038776010,22875320000.0
2025-03-20,1265.795,1285.702,1255.425,1256.497,1098997150,26135655000.0
2025-03-21,1246.123,1247.651,1207.452,1207.643,1138892860,25340336000.0
2025-03-24,1202.094,1203.166,1138.183,1168.975,1009070200,19970028000.0
2025-03-25,1169.793,1170.549,1140.901,1149.013,703390770,14313868000.0
2025-03-26,1148.933,1162.86,1148.428,1154.4,563326700,11063926200.0
2025-03-27,1150.288,1160.245,1133.563,1149.158,630644030,12897156200.0
2025-03-28,1149.103,1158.067,1136.361,1136.361,569424630,10456764400.0
2025-03-31,1117.978,1140.551,1091.584,1137.128,782924680,15342600000.0
2025-04-01,1134.925,1142.872,1124.845,1127.356,732049200,14068634000.0
2025-04-02,1122.348,1135.672,1119.477,1121.917,509094260,9576465800.0
2025-04-03,1106.942,1129.013,1099.494,1106.359,474127430,9049047500.0
2025-04-07,1014.616,1035.502,914.947,923.662,850226630,12726532400.0
2025-04-08,925.719,967.035,908.803,937.573,1018027240,15842291000.0
2025-04-09,918.347,985.617,867.323,977.429,1038053390,16888313000.0
2025-04-10,1005.323,1035.785,1005.323,1007.577,868135770,15168892000.0
2025-04-11,998.596,1035.358,997.821,1023.6,701335480,12479708800.0
2025-04-14,1039.721,1053.29,1038.425,1041.446,630349840,11281326300.0
2025-04-15,1040.971,1048.715,1030.847,1039.917,561945280,9979263500.0
2025-04-16,1039.056,1041.086,1001.567,1018.481,584807320,10276069700.0
2025-04-17,1014.002,1042.477,1014.002,1027.985,612895550,11964174400.0
2025-04-18,1028.507,1039.504,1021.004,1032.119,769537350,16992486000.0
2025-04-21,1031.595,1068.753,1023.912,1068.753,785863060,15953544000.0
2025-04-22,1070.527,1075.2,1060.438,1062.278,790326680,15499633000.0
2025-04-23,1071.126,1082.928,1063.211,1067.751,834042920,15273338000.0
2025-04-24,1065.82,1065.82,1030.148,1034.3,702800820,12606202900.0
2025-04-25,1035.69,1056.966,1029.874,1043.439,749662690,14724903000.0
2025-04-28,1047.881,1061.774,1041.435,1041.589,864130370,18503831000.0
2025-04-29,1033.998,1054.397,1025.289,1048.544,810569430,16825408000.0
2025-04-30,1050.208,1093.147,1050.208,1089.862,993547210,21391645000.0
2025-05-06,1108.236,1148.937,1106.58,1147.455,1373888200,29432660000.0
2025-05-07,1164.159,1166.358,1123.623,1137.71,1327771440,28012155000.0
2025-05-08,1131.625,1148.685,1130.441,1143.654,998904300,20660701000.0
2025-05-09,1142.609,1149.032,1122.582,1123.111,1096466860,24236792000.0
2025-05-12,1133.765,1147.15,1131.256,1147.15,951700270,20395119000.0
2025-05-13,1168.003,1170.104,1147.368,1149.412,1047964530,23163222000.0
2025-05-14,1147.674,1165.74,1141.935,1164.365,1125363610,21944217000.0
2025-05-15,1158.544,1158.544,1119.455,1120.625,891230070,17772539000.0
2025-05-16,1113.72,1134.374,1107.433,1122.033,580832940,12000457700.0
2025-05-19,1120.798,1121.628,1102.926,1119.987,538140510,10660957200.0
2025-05-20,1115.777,1126.143,1104.259,1121.515,611757060,12088745500.0
2025-05-21,1118.557,1118.557,1102.726,1104.067,547128710,10944963500.0
2025-05-22,1101.469,1111.464,1090.885,1095.473,613944430,10643107200.0
2025-05-23,1093.079,1104.896,1073.527,1073.527,662486770,11692500300.0
2025-05-26,1075.738,1089.256,1075.738,1089.177,500348380,8962884900.0
2025-05-27,1085.703,1085.943,1074.269,1081.662,486028740,8833111300.0
2025-05-28,1079.506,1085.858,1067.727,1071.752,530166910,8740485700.0
2025-05-29,1072.097,1113.933,1072.097,1113.933,804860700,13452800000.0
2025-05-30,1106.698,1109.03,1089.392,1093.128,610728330,10335691300.0
2025-06-03,1090.521,1113.154,1090.521,1096.805,651187930,10168468000.0
2025-06-04,1098.272,1103.549,1092.874,1102.095,506273250,8709951500.0
2025-06-05,1102.413,1124.649,1100.598,1122.437,868207090,16799968000.0
2025-06-06,1122.218,1128.115,1111.59,1119.813,725938630,12773914600.0
2025-06-09,1120.344,1139.071,1120.344,1136.428,646314320,11225155200.0
2025-06-10,1135.786,1136.431,1093.415,1109.199,672897290,11734798900.0
2025-06-11,1108.048,1120.374,1104.243,1113.887,569561410,9388436000.0
2025-06-12,1109.933,1125.279,1104.296,1122.196,628380200,10228667400.0
2025-06-13,1120.389,1120.389,1087.321,1087.321,770763670,13667712000.0
2025-06-16,1080.198,1113.098,1080.198,1113.098,724422980,11917583900.0
2025-06-17,1112.156,1113.906,1098.481,1103.458,607407630,10187009200.0
2025-06-18,1099.267,1105.717,1092.181,1100.588,689227950,12849887000.0
2025-06-19,1104.384,1117.415,1079.853,1082.486,852263700,12261136800.0
2025-06-20,1078.827,1080.653,1051.456,1052.142,712836180,10209173700.0
2025-06-23,1040.466,1084.554,1040.392,1082.984,713846640,11158015600.0
2025-06-24,1087.651,1111.01,1087.651,1111.01,770366140,12919953800.0
2025-06-25,1108.871,1137.096,1106.357,1136.684,1005889750,18453548000.0
2025-06-26,1141.078,1159.381,1132.179,1139.26,1092256760,20221690000.0
2025-06-27,1139.199,1155.352,1130.474,1132.536,813119910,14376883000.0
2025-06-30,1143.678,1161.138,1141.09,1157.457,756481010,13233039700.0
2025-07-01,1157.656,1157.656,1139.783,1148.624,780391600,14297908000.0
2025-07-02,1144.75,1144.75,1122.444,1129.492,618800840,11283201800.0
2025-07-03,1129.095,1135.172,1122.129,1130.282,466191160,7860474100.0
2025-07-04,1133.07,1143.016,1117.505,1124.183,679873500,11621848200.0
2025-07-07,1119.452,1134.805,1118.318,1129.345,589475620,9912018900.0
2025-07-08,1129.307,1154.045,1126.299,1151.421,802297830,14331693000.0
2025-07-09,1151.262,1161.796,1146.215,1152.161,874245190,14939157000.0
2025-07-10,1148.896,1154.85,1137.621,1146.01,759481050,12683064500.0
2025-07-11,1146.621,1170.755,1136.83,1164.994,1015609450,17104475000.0
2025-07-14,1168.162,1168.162,1146.721,1158.16,817190520,13310398800.0
2025-07-15,1154.021,1180.431,1140.968,1180.431,1041361900,18982027000.0
2025-07-16,1183.374,1194.945,1176.908,1184.141,983787580,17762631000.0
2025-07-17,1182.073,1217.234,1179.301,1207.65,1320033280,30658576000.0
2025-07-18,1213.197,1221.374,1207.6,1210.204,1285216390,27543808000.0
2025-07-21,1201.883,1211.778,1197.645,1205.956,879385730,17750055000.0
2025-07-22,1202.941,1203.466,1182.636,1187.194,815810480,15929613000.0
2025-07-23,1183.559,1197.83,1176.606,1185.434,742418110,14467588000.0
2025-07-24,1184.455,1199.644,1183.867,1199.644,644979870,12269045500.0
2025-07-25,1203.499,1222.767,1199.733,1221.364,1131203190,23315096000.0
2025-07-28,1227.587,1227.587,1210.67,1223.012,941537620,20852607000.0
2025-07-29,1217.214,1222.638,1202.083,1222.638,798754730,16124491000.0
2025-07-30,1218.638,1218.638,1191.266,1201.211,772669780,14583943000.0
2025-07-31,1204.901,1233.61,1204.901,1216.059,1053750260,22400659000.0
2025-08-01,1227.624,1236.41,1203.041,1231.832,1187665220,21646785000.0
2025-08-04,1219.551,1252.939,1219.033,1252.939,1147026870,19219121000.0
2025-08-05,1246.778,1249.793,1233.41,1243.221,920302770,16677372000.0
2025-08-06,1241.675,1266.716,1237.105,1266.648,1272095620,22807906000.0
2025-08-07,1264.056,1280.016,1254.845,1260.787,1104021320,21008515000.0
2025-08-08,1254.218,1254.218,1224.022,1224.224,902123720,17369921000.0
2025-08-11,1221.554,1252.036,1221.554,1249.201,753730280,14708032000.0
2025-08-12,1247.558,1247.558,1232.084,1242.742,788212420,14847338000.0
2025-08-13,1242.962,1250.883,1236.615,1248.572,967387230,19160027000.0
2025-08-14,1250.777,1258.134,1229.543,1230.453,1132885900,20139479000.0
2025-08-15,1225.648,1263.017,1225.038,1260.799,1075396370,18827661000.0
2025-08-18,1264.826,1308.379,1264.826,1300.664,1794980900,35660598000.0
2025-08-19,1300.642,1333.464,1296.957,1312.114,1746981000,39501460000.0
2025-08-20,1300.705,1305.689,1276.335,1304.823,1296059740,28142766000.0
2025-08-21,1304.431,1324.342,1303.983,1315.219,1503281100,26950394000.0
2025-08-22,1313.3,1332.466,1308.854,1331.962,1606132100,33308484000.0
2025-08-25,1344.521,1351.372,1329.16,1344.501,1783632500,37934330000.0
2025-08-26,1337.701,1367.897,1331.041,1349.541,1560308400,33460279000.0
2025-08-27,1370.046,1376.875,1322.078,1322.078,2004973600,46297795000.0
2025-08-28,1312.83,1329.766,1274.646,1327.394,1801158200,39981690000.0
2025-08-29,1321.472,1321.672,1296.082,1304.37,1237426250,27649444000.0
2025-09-01,1308.363,1322.608,1294.034,1297.546,1078809930,24796958000.0
2025-09-02,1294.69,1294.69,1243.925,1253.887,1128034740,24064429000.0
2025-09-03,1258.846,1262.874,1213.789,1217.773,775120610,16286314000.0
2025-09-04,1220.155,1233.245,1181.137,1203.122,795902180,16711237000.0
2025-09-05,1213.896,1231.443,1198.346,1230.719,694372690,14122243000.0
2025-09-08,1228.174,1242.246,1222.736,1239.083,648158630,13366831700.0
2025-09-09,1239.652,1239.652,1209.294,1210.776,601312410,12434110400.0
2025-09-10,1210.698,1223.856,1207.193,1212.055,477838130,10024923100.0
2025-09-11,1215.201,1241.541,1202.384,1241.541,806801030,18006227000.0
2025-09-12,1242.268,1257.512,1236.796,1241.672,764705210,17879285000.0
2025-09-15,1238.484,1248.52,1230.187,1240.22,805740090,15646621000.0
2025-09-16,1243.281,1261.623,1237.069,1261.623,790125080,18453482000.0
2025-09-17,1258.446,1262.214,1250.672,1258.044,734677260,15757942000.0
2025-09-18,1257.19,1280.366,1231.696,1242.765,1035455660,24324299000.0
2025-09-19,1242.252,1251.353,1226.793,1232.955,723618710,16961195000.0
2025-09-22,1235.092,1239.784,1223.32,1235.054,586954100,14129253000.0
2025-09-23,1224.136,1224.136,1166.841,1189.44,774021790,16825105000.0
2025-09-24,1180.328,1208.716,1174.799,1208.716,688048890,13798975000.0
2025-09-25,1205.616,1233.867,1203.96,1214.978,764281630,16739846000.0
2025-09-26,1214.528,1214.528,1182.68,1182.68,621968990,13707484000.0
2025-09-29,1179.411,1191.578,1165.286,1185.288,604485360,11387753300.0
2025-09-30,1194.801,1212.419,1194.642,1203.745,638268350,13789474000.0
2025-10-09,1208.437,1218.732,1196.657,1212.028,860041050,16405739000.0
2025-10-10,1208.159,1208.159,1187.143,1189.403,711301100,14476319000.0
2025-10-13,1143.98,1185.221,1142.923,1179.943,632300950,13001458300.0
2025-10-14,1182.425,1188.445,1148.797,1152.401,627342820,12365988400.0
2025-10-15,1154.668,1172.366,1142.965,1170.423,488280640,8807674900.0
2025-10-16,1166.811,1166.811,1150.001,1162.269,652008480,15027845000.0
