日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-18,991.935,999.327,984.493,995.753,451543860,6641956000.0
2022-03-21,995.256,1000.413,979.452,993.207,488685660,6741063500.0
2022-03-22,991.029,1000.187,980.943,992.83,465380630,6732369800.0
2022-03-23,989.51,996.514,981.217,984.746,403894150,5842087600.0
2022-03-24,978.488,978.488,954.643,957.372,399378480,5408007500.0
2022-03-25,968.069,976.795,947.625,948.26,361326830,4958530700.0
2022-03-28,943.305,966.88,936.672,956.799,430288170,5667866700.0
2022-03-29,955.605,956.729,934.793,937.042,469769000,5662098100.0
2022-03-30,941.696,953.103,937.304,953.103,412217670,5566213900.0
2022-03-31,949.877,963.145,944.47,961.799,571159190,7609735100.0
2022-04-01,957.016,960.941,949.371,955.793,439905050,6227048600.0
2022-04-06,959.019,970.167,957.342,964.956,475579070,6537219100.0
2022-04-07,960.644,962.007,925.155,925.155,454746080,5921474300.0
2022-04-08,926.401,927.748,895.696,906.157,398251010,5100468300.0
2022-04-11,902.548,903.301,863.801,870.316,393091440,4880714700.0
2022-04-12,870.36,889.142,865.374,889.142,303346800,3704332200.0
2022-04-13,885.629,885.629,857.181,857.181,298486820,3800027900.0
2022-04-14,865.69,873.026,862.857,867.376,281934100,3768357000.0
2022-04-15,856.649,856.649,837.641,843.043,338797450,4321529500.0
2022-04-18,838.511,850.162,821.177,847.859,265682310,3712049400.0
2022-04-19,846.796,859.097,841.458,849.158,243478190,3280379500.0
2022-04-20,866.094,872.515,836.717,838.884,377367960,4818613500.0
2022-04-21,829.202,835.962,800.691,803.231,400084260,4761117300.0
2022-04-22,797.195,801.268,780.533,780.533,331981290,4221558900.0
2022-04-25,766.146,766.146,706.244,706.244,464693720,4981471700.0
2022-04-26,709.411,717.846,682.255,682.653,436302570,5153205100.0
2022-04-27,675.989,712.333,666.951,712.284,459110890,4937390500.0
2022-04-28,709.241,709.241,681.653,689.12,381538060,4178095400.0
2022-04-29,699.623,730.221,697.921,727.351,415532670,4639101400.0
2022-05-05,725.305,741.65,718.985,734.616,341523600,3995190800.0
2022-05-06,716.899,766.057,712.32,743.889,515426870,5492968300.0
2022-05-09,738.638,754.928,738.283,745.303,344823780,3620837100.0
2022-05-10,735.553,760.29,732.874,758.136,343840900,3777423200.0
2022-05-11,758.974,779.851,756.577,756.577,422940150,4755240800.0
2022-05-12,751.442,769.204,751.134,762.521,277760340,3241328800.0
2022-05-13,766.577,769.265,757.849,763.679,241309970,2831660500.0
