日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1691.276,1722.43,1685.738,1720.622,886899280,9926843000.0
2020-01-03,1723.24,1750.59,1722.91,1748.826,1015319130,11425589200.0
2020-01-06,1764.635,1791.562,1764.284,1776.377,1199037800,14919214000.0
2020-01-07,1778.396,1797.117,1775.503,1797.117,998010080,12705876400.0
2020-01-08,1798.047,1822.211,1785.271,1795.37,1260527720,15266762000.0
2020-01-09,1795.693,1806.49,1792.461,1805.948,1075456860,12713931100.0
2020-01-10,1810.793,1814.042,1784.295,1792.699,908460160,10401633500.0
2020-01-13,1779.986,1805.7,1772.359,1805.7,897879650,11427481100.0
2020-01-14,1810.398,1810.654,1784.795,1786.149,802360690,10192260400.0
2020-01-15,1787.03,1789.456,1769.01,1786.944,706674170,8710840500.0
2020-01-16,1789.712,1817.704,1789.712,1798.439,883814730,13076743300.0
2020-01-17,1798.59,1803.717,1779.919,1784.006,727158590,10721551700.0
2020-01-20,1776.079,1822.739,1771.21,1822.739,1023811190,14142353000.0
2020-01-21,1813.307,1821.983,1801.59,1803.412,924944040,12551883000.0
2020-01-22,1783.614,1819.491,1758.26,1812.36,856946690,11854294600.0
2020-01-23,1792.373,1833.567,1750.858,1769.228,1150659990,16408097000.0
2020-02-03,1593.54,1596.63,1592.488,1593.752,237170500,4263346900.0
2020-02-04,1474.769,1578.613,1474.769,1565.59,1228270850,14984684000.0
2020-02-05,1569.207,1663.307,1569.207,1645.847,1190805200,15610105000.0
2020-02-06,1655.589,1723.949,1651.527,1718.07,1254919970,15505071000.0
2020-02-07,1735.87,1766.047,1717.28,1764.283,1575852300,22624562000.0
2020-02-10,1792.081,1816.864,1772.54,1800.314,1429334600,21130343000.0
2020-02-11,1809.488,1809.488,1761.271,1772.791,1361791700,19012635000.0
2020-02-12,1770.969,1850.663,1770.969,1850.094,1545529200,21585317000.0
2020-02-13,1850.544,1865.042,1819.487,1836.443,1668409500,23479057000.0
2020-02-14,1832.84,1879.139,1832.246,1862.629,1476115500,22446276000.0
2020-02-17,1884.2,1952.999,1884.2,1952.999,1713599800,24929296000.0
2020-02-18,1953.075,2011.943,1951.794,2011.943,1840510700,27118013000.0
2020-02-19,1998.379,2014.37,1973.33,1979.179,1732022400,24378711000.0
2020-02-20,1983.675,2035.453,1962.584,2031.157,1708209100,23549535000.0
2020-02-21,2035.319,2101.77,2031.293,2077.108,2163688400,32401356000.0
2020-02-24,2069.498,2146.566,2066.851,2140.362,2373898900,34701497000.0
