日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,974.091,982.024,972.141,977.933,2708849800,25024187000.0
2020-01-03,979.5,983.955,975.805,981.062,2415018400,22347644000.0
2020-01-06,973.077,989.46,970.81,981.615,2546870800,23295159000.0
2020-01-07,982.114,993.345,981.193,993.345,2344033000,20013657000.0
2020-01-08,988.578,988.578,970.861,972.776,2505488900,20907670000.0
2020-01-09,981.652,988.65,980.589,986.09,2002335500,19654873000.0
2020-01-10,990.232,991.738,980.717,983.87,1765111800,18620844000.0
2020-01-13,981.098,989.861,974.557,989.861,1769048600,18046291000.0
2020-01-14,991.333,995.233,990.707,991.419,1838761100,17555107000.0
2020-01-15,990.146,991.269,982.174,985.949,1735074900,15506906000.0
2020-01-16,987.233,988.002,977.292,978.083,1401538300,12816717900.0
2020-01-17,980.412,983.586,974.844,976.494,1437329700,12861296200.0
2020-01-20,977.661,986.381,973.81,986.381,1763190400,16439951000.0
2020-01-21,984.753,984.753,972.719,972.965,1880230000,18761074000.0
2020-01-22,967.826,973.469,954.008,968.947,1899774100,16637405000.0
2020-01-23,959.327,961.841,927.984,933.956,2207771300,19103261000.0
2020-02-03,849.108,854.305,848.57,851.161,1469855400,13616915000.0
2020-02-04,807.225,853.564,807.225,850.764,2840890700,24776563000.0
2020-02-05,854.438,878.044,852.171,868.771,2440686100,23290792000.0
2020-02-06,871.561,894.219,865.233,890.024,2702461200,25304588000.0
2020-02-07,889.179,896.208,881.569,896.031,2454612300,22889892000.0
2020-02-10,895.417,911.043,892.755,910.92,2287448500,21042289000.0
2020-02-11,912.319,912.684,901.23,904.946,2592613900,24908027000.0
2020-02-12,901.595,913.148,899.89,913.13,2220032200,20621766000.0
2020-02-13,912.907,916.093,901.064,903.19,2352103900,20828604000.0
2020-02-14,902.195,912.245,900.937,907.628,2250556800,19744189000.0
2020-02-17,910.267,934.68,910.267,934.68,2679086200,23200927000.0
2020-02-18,934.944,941.182,929.618,941.182,2676368500,23736746000.0
2020-02-19,939.743,948.12,936.07,938.154,2621915800,24013863000.0
2020-02-20,940.161,963.147,937.523,962.487,3144256500,28760100000.0
2020-02-21,963.047,977.475,962.243,968.052,3326131400,29867882000.0
2020-02-24,969.088,973.357,960.239,970.214,3289939900,29439243000.0
2020-02-25,953.611,968.241,937.917,967.119,3899853000,33084573000.0
2020-02-26,956.276,981.924,955.403,965.543,5366955000,41176011000.0
2020-02-27,967.461,975.054,962.032,964.918,3847430400,29898740000.0
2020-02-28,940.451,950.165,921.768,923.103,4026732800,32124263000.0
2020-03-02,930.254,965.36,930.254,962.788,4020205400,32781298000.0
2020-03-03,976.076,983.609,964.445,971.188,4418990600,36694064000.0
2020-03-04,965.021,986.222,964.27,986.222,3872245500,32651805000.0
2020-03-05,992.537,1011.021,989.016,1008.225,4791802100,41026294000.0
2020-03-06,996.729,1008.034,995.213,1001.101,3929296800,33242476000.0
2020-03-09,990.529,996.671,976.023,976.053,3788474200,30984554000.0
2020-03-10,963.969,991.934,954.116,991.934,3926476500,32800145000.0
2020-03-11,990.009,996.51,981.873,981.873,3400549000,27306923000.0
2020-03-12,969.961,976.222,958.276,964.986,2819622900,23206616000.0
2020-03-13,919.439,955.594,918.371,948.906,3215886400,25605983000.0
2020-03-16,957.233,959.485,918.884,920.226,3425183700,28207894000.0
2020-03-17,922.485,932.522,893.29,918.825,2936941400,23932139000.0
2020-03-18,923.212,932.465,898.841,898.841,2871643500,23118533000.0
2020-03-19,894.791,903.144,877.092,898.637,2605719700,21284346000.0
2020-03-20,905.4,912.545,897.506,911.681,2219859600,18214613000.0
2020-03-23,890.528,897.26,874.459,876.115,2159840400,16790726000.0
2020-03-24,889.283,893.657,873.439,892.717,2073184900,16399359000.0
2020-03-25,908.249,917.526,903.646,916.475,2463503800,19376936000.0
2020-03-26,911.244,920.464,908.479,911.607,2420886400,18837150000.0
2020-03-27,920.607,928.741,915.184,916.155,2434833200,19930081000.0
2020-03-30,907.76,908.871,897.932,903.417,2352911800,18746894000.0
2020-03-31,910.019,911.73,900.942,903.795,2123516600,16403927000.0
2020-04-01,901.323,908.894,893.203,894.716,2226152600,17143580000.0
2020-04-02,889.421,910.356,888.389,910.356,2045480800,15925768000.0
2020-04-03,909.578,914.283,904.898,909.817,2092900600,17398271000.0
2020-04-07,923.136,937.415,922.217,936.127,2809693800,24242792000.0
2020-04-08,933.437,939.892,931.512,937.74,2520573800,22488482000.0
2020-04-09,941.328,947.368,940.921,944.009,2408878000,20302849000.0
2020-04-10,943.656,943.885,926.098,928.376,2240667900,19084381000.0
2020-04-13,922.732,926.392,916.742,921.864,1939290600,16739159000.0
2020-04-14,924.748,935.562,923.137,935.562,1988357400,18344778000.0
2020-04-15,933.417,936.692,926.708,927.042,1922387800,16922457000.0
2020-04-16,922.395,928.223,920.48,927.03,1941835300,17100186000.0
2020-04-17,930.159,933.492,926.156,926.927,2257412700,19110778000.0
2020-04-20,928.449,932.808,926.828,932.808,1816196500,15005076000.0
2020-04-21,929.569,929.569,919.171,926.061,2028448400,16764881000.0
2020-04-22,920.708,932.361,917.845,932.361,1904791600,16342396000.0
2020-04-23,933.529,936.81,930.339,931.317,1906440800,16095879000.0
2020-04-24,929.97,929.97,911.517,913.971,2043370100,16386760000.0
2020-04-27,914.273,918.645,909.143,910.494,1779819600,14154036000.0
2020-04-28,912.454,913.907,880.182,899.088,2268243700,19501328000.0
2020-04-29,895.096,903.775,894.101,897.041,1654661600,16243795000.0
2020-04-30,899.808,914.803,899.807,913.556,1919586400,17307170000.0
2020-05-06,905.19,923.113,904.776,923.113,2070185000,18456912000.0
2020-05-07,921.501,924.231,918.541,920.32,1944486000,17036068000.0
2020-05-08,922.796,930.647,922.039,927.805,2145681900,18885483000.0
2020-05-11,930.516,934.563,925.316,930.302,2117658400,19183817000.0
2020-05-12,929.178,929.639,915.995,924.37,1562798400,13781612000.0
2020-05-13,921.338,929.963,919.797,928.871,1583597300,15146971000.0
2020-05-14,926.34,926.34,918.638,918.878,1664140800,14966815000.0
2020-05-15,925.473,927.741,921.856,923.932,1717700100,16218154000.0
2020-05-18,924.673,926.652,918.333,920.948,1903014200,17512064000.0
2020-05-19,927.109,928.641,924.17,927.397,1679777300,15707182000.0
2020-05-20,925.697,925.697,917.078,919.021,1802620100,15309203000.0
2020-05-21,920.86,923.944,913.694,914.961,1549188500,13448641000.0
2020-05-22,914.37,914.37,895.619,897.252,1653160200,14984248000.0
2020-05-25,896.059,901.395,894.438,899.016,1246980740,11519008900.0
2020-05-26,900.837,911.871,900.755,911.752,1366190000,12467532600.0
2020-05-27,911.56,911.56,905.067,907.339,1351126800,12302724000.0
2020-05-28,907.584,915.807,900.636,909.469,1548166800,13891995000.0
2020-05-29,906.885,914.412,904.989,913.231,1595154600,13483310000.0
2020-06-01,918.489,937.927,918.489,937.747,2114603900,19257162000.0
2020-06-02,940.904,943.194,937.147,941.258,2082256800,17728606000.0
2020-06-03,945.076,946.501,937.717,938.193,1963984300,21258618000.0
2020-06-04,941.368,942.122,935.293,941.345,1757834500,16998104000.0
2020-06-05,943.302,944.14,935.576,944.14,1805185900,19061358000.0
2020-06-08,947.009,948.351,943.626,944.896,2280405100,22953907000.0
2020-06-09,945.57,948.154,942.225,948.154,2088692800,20453150000.0
2020-06-10,948.723,948.723,941.508,945.17,2197139400,20874368000.0
2020-06-11,945.109,951.267,938.307,940.351,2192961400,23765356000.0
2020-06-12,924.593,945.653,923.986,942.789,2603727600,24847818000.0
2020-06-15,941.871,951.466,941.533,941.555,2645389900,28332275000.0
2020-06-16,946.418,954.096,944.275,954.096,2495265600,26449316000.0
2020-06-17,953.931,956.656,950.926,956.572,2403809900,25037359000.0
2020-06-18,954.797,959.114,952.611,956.805,2337988000,23225967000.0
2020-06-19,956.428,967.356,955.881,965.314,2354092800,27819770000.0
2020-06-22,967.5,973.94,964.911,966.787,2872044600,29258111000.0
2020-06-23,966.101,966.101,961.177,964.182,2228247100,25135238000.0
2020-06-24,964.754,966.52,959.915,961.35,1953318900,21542518000.0
2020-06-29,957.587,957.836,947.034,950.165,1922613600,21355756000.0
2020-06-30,953.156,966.493,953.156,963.977,1944526700,22191759000.0
