日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,898.994,908.661,898.48,907.374,2550728900,33806245000.0
2020-01-03,907.992,912.482,905.782,910.675,1975161300,24611965000.0
2020-01-06,906.66,921.644,904.157,916.135,2357211000,27714334000.0
2020-01-07,915.04,925.727,915.04,925.727,2138085300,24984610000.0
2020-01-08,923.535,924.961,911.114,913.1,2847976600,30232036000.0
2020-01-09,918.945,925.082,918.05,923.572,2167851300,24553099000.0
2020-01-10,925.811,926.991,918.117,922.764,1994293100,24012683000.0
2020-01-13,921.778,929.122,917.492,929.122,2181757700,26582750000.0
2020-01-14,930.823,936.527,930.775,932.594,2310940800,26699405000.0
2020-01-15,931.148,931.148,920.102,922.747,1972020200,22113365000.0
2020-01-16,922.379,923.33,917.79,919.339,1817952100,20461509000.0
2020-01-17,920.88,923.238,913.524,914.229,1744132400,20781032000.0
2020-01-20,917.682,926.971,916.267,926.971,2188741000,27493316000.0
2020-01-21,926.176,926.665,917.233,917.764,2174404600,26215788000.0
2020-01-22,913.658,914.779,897.732,910.439,2153381000,26635677000.0
2020-01-23,903.668,905.596,873.843,880.571,2524024500,32167197000.0
2020-02-03,802.322,809.435,801.681,805.614,2072341400,33064259000.0
2020-02-04,769.732,809.392,769.732,807.395,3606040300,39385397000.0
2020-02-05,809.256,831.738,808.165,828.13,3049157900,32644247000.0
2020-02-06,831.376,854.52,825.785,850.574,3211334200,34695942000.0
2020-02-07,852.884,858.514,843.368,857.983,3186322300,33053412000.0
2020-02-10,855.183,871.699,852.306,871.368,2734121800,30554787000.0
2020-02-11,871.318,871.594,861.868,864.613,2513781100,28047989000.0
2020-02-12,861.124,875.712,860.642,875.712,2274450200,25937202000.0
2020-02-13,875.258,877.592,862.236,867.219,2506084600,27320824000.0
2020-02-14,863.476,871.787,862.792,868.783,2157940500,27279485000.0
2020-02-17,871.277,894.562,871.277,894.562,2863785300,34233171000.0
2020-02-18,896.001,904.387,891.536,904.387,3121690100,33376481000.0
