日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-01-02,1062.237,1090.142,1061.23,1067.3,158881150,2674459500.0
2024-01-03,1072.384,1072.384,1041.035,1050.873,613848160,5751998500.0
2024-01-04,1042.13,1064.288,1040.957,1053.453,455903950,4335451500.0
2024-01-05,1049.133,1049.133,1009.268,1013.735,564068390,5630949700.0
2024-01-08,1007.933,1008.61,978.272,978.551,374911710,3546818800.0
2024-01-09,978.049,992.966,973.052,984.319,429765550,3968485400.0
2024-01-10,985.075,991.089,964.558,975.597,540640960,4449787000.0
2024-01-11,971.787,992.975,971.787,990.838,462718380,3887600300.0
2024-01-12,989.553,997.611,975.918,975.918,430749970,4207970500.0
2024-01-15,971.709,973.769,961.571,963.672,352883100,3627534400.0
2024-01-16,964.543,964.58,944.197,960.112,387864040,3684371400.0
2024-01-17,958.451,959.146,929.253,929.253,387207310,3635902200.0
2024-01-18,924.551,928.001,895.848,923.358,498241330,4083607700.0
2024-01-19,921.78,927.725,911.458,912.301,326062670,2830685700.0
2024-01-22,909.307,909.307,849.621,855.666,450468490,3518848500.0
2024-01-23,852.165,868.819,842.838,865.161,378632440,2841137300.0
2024-01-24,873.202,877.382,843.648,875.967,418173320,3129693700.0
2024-01-25,874.88,910.793,870.519,909.052,436332450,3455146700.0
2024-01-26,906.832,918.656,900.671,902.622,337035870,2775466100.0
2024-01-29,903.651,907.257,869.785,869.785,324411290,2553472900.0
2024-01-30,859.246,871.91,842.734,844.318,284889880,2198895600.0
2024-01-31,840.905,846.481,804.084,806.04,368655930,2752456300.0
2024-02-01,800.733,816.232,783.868,796.467,334732720,2453152700.0
2024-02-02,796.141,809.537,731.547,755.894,417133790,2965344600.0
2024-02-05,751.727,751.727,680.221,698.986,549540230,3620536100.0
2024-02-06,683.909,750.811,670.468,738.861,533944420,3532904200.0
2024-02-07,741.123,770.566,733.35,745.018,542012220,3959259500.0
2024-02-08,748.044,796.424,748.044,794.421,561148530,3948070400.0
2024-02-19,806.333,816.877,798.691,812.126,492226290,3694835900.0
2024-02-20,810.664,820.317,800.499,818.317,332905870,2549898600.0
2024-02-21,810.692,848.824,806.618,827.25,440162170,3382734200.0
2024-02-22,828.837,845.036,826.568,845.036,410780430,3233950400.0
2024-02-23,851.024,867.296,846.912,866.334,500167650,3885528700.0
2024-02-26,877.881,897.426,871.893,885.394,536393020,4232090100.0
2024-02-27,886.558,909.14,878.714,909.14,476681450,4011834800.0
2024-02-28,911.944,930.266,867.42,867.835,794969150,6389223900.0
2024-02-29,861.827,916.923,861.134,916.849,880756850,6982229500.0
2024-03-01,927.124,942.857,925.987,940.12,761701900,6547723800.0
2024-03-04,947.968,950.045,917.722,938.011,1066519640,8859653200.0
2024-03-05,926.039,942.011,923.899,933.84,948883250,7744852800.0
2024-03-06,935.135,965.81,935.135,952.702,974415870,8249778700.0
2024-03-07,959.7,969.954,947.362,947.574,878177130,7383670600.0
2024-03-08,947.095,954.718,938.204,952.416,758800190,6669130200.0
2024-03-11,953.775,967.837,950.603,967.837,666981310,6141218500.0
2024-03-12,973.275,981.28,967.219,971.594,741772700,6768227900.0
2024-03-13,967.137,983.053,963.563,974.033,763882300,7878125500.0
2024-03-14,973.382,981.372,951.23,959.623,756449940,7124827600.0
2024-03-15,960.511,980.248,958.17,980.206,655639770,5722051400.0
2024-03-18,987.434,1005.134,987.434,1005.134,769485250,7259710600.0
2024-03-19,1002.929,1010.392,996.266,996.509,937591360,9171180000.0
2024-03-20,995.51,1012.28,995.51,1012.28,807126950,7690110600.0
2024-03-21,1010.322,1019.7,1000.88,1016.145,901033300,8439820800.0
2024-03-22,1009.507,1010.975,991.764,1000.151,942172090,8110654800.0
2024-03-25,995.218,997.335,963.252,963.582,1007487450,7850728800.0
