日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,799.625,803.91,798.145,801.899,346604990,2048388300.0
2020-01-03,802.447,822.749,800.525,815.999,554805920,3202529800.0
2020-01-06,828.664,845.481,825.726,845.381,915499820,5597148100.0
2020-01-07,832.039,833.918,828.309,833.471,548322400,3281765300.0
2020-01-08,849.28,852.101,835.153,839.838,714248890,4403338200.0
2020-01-09,816.62,837.124,815.196,829.961,558359480,3434604600.0
2020-01-10,827.371,827.606,812.835,817.006,334302850,2235406200.0
2020-01-13,816.08,818.436,809.484,818.27,277977020,1739025600.0
2020-01-14,818.165,826.864,816.758,823.83,281816890,1782392500.0
2020-01-15,822.635,822.635,813.677,817.035,229585320,1469227500.0
2020-01-16,817.193,817.359,810.937,812.695,265310970,1456871400.0
2020-01-17,818.141,818.796,813.582,816.891,222175080,1230897220.0
2020-01-20,821.223,821.276,815.722,817.636,245777250,1432443000.0
2020-01-21,817.33,818.004,808.171,808.171,262350240,1556692200.0
2020-01-22,806.163,810.963,794.771,808.652,284021130,1655168000.0
2020-01-23,802.225,802.258,771.325,776.557,347939630,2138839600.0
2020-02-03,702.468,707.374,702.05,703.561,543422230,2736149000.0
2020-02-04,660.133,690.465,660.133,684.974,459121870,2471034400.0
2020-02-05,686.896,703.087,685.546,695.049,396831340,2113193600.0
2020-02-06,701.892,712.09,696.513,709.734,353234120,1914683100.0
2020-02-07,706.375,711.015,701.086,710.269,293609160,1601943700.0
2020-02-10,712.469,730.442,709.286,730.384,335074020,1855354800.0
2020-02-11,729.896,734.288,726.047,727.845,358786640,1968573900.0
2020-02-12,726.026,732.882,724.85,732.494,257347340,1413887800.0
2020-02-13,735.841,740.359,725.692,725.857,281668740,1621906300.0
2020-02-14,723.809,726.48,719.425,723.315,216396310,1227965900.0
2020-02-17,725.574,742.329,725.461,742.329,360060090,1987852100.0
2020-02-18,742.011,748.347,737.937,748.173,358016520,1984032700.0
2020-02-19,747.717,753.179,744.289,746.367,333516740,1905141900.0
2020-02-20,750.955,759.543,744.392,757.989,396535910,2236774300.0
2020-02-21,757.942,770.689,756.683,770.638,440565630,2507076700.0
2020-02-24,765.845,767.17,756.292,764.128,498630980,2985329200.0
2020-02-25,744.61,750.92,729.482,748.228,531168400,2982624600.0
2020-02-26,738.601,756.072,737.157,747.392,536970520,2832240400.0
2020-02-27,746.888,749.218,740.327,744.131,403751890,2188365500.0
2020-02-28,729.959,733.884,712.577,718.779,642509340,3434034400.0
2020-03-02,721.874,741.256,721.874,737.522,531378390,2680421300.0
2020-03-03,749.811,756.102,739.863,745.96,487186840,2615935000.0
2020-03-04,741.841,751.2,740.92,750.955,358307560,1871568600.0
2020-03-05,756.612,764.844,754.214,764.844,566204100,2880181000.0
2020-03-06,755.627,768.721,752.948,766.572,542076200,2710836300.0
2020-03-09,746.048,752.687,737.074,744.055,1160612780,5941771600.0
2020-03-10,732.012,745.497,718.139,745.356,697435220,3599290800.0
2020-03-11,746.224,756.868,745.51,745.58,495885880,2880197500.0
2020-03-12,736.971,736.971,720.584,726.725,476707460,2533356900.0
2020-03-13,692.29,720.467,691.01,713.52,558480720,2865805100.0
2020-03-16,717.86,724.426,696.924,697.328,587658080,3116708300.0
2020-03-17,698.084,704.844,678.077,692.391,417863740,2208964600.0
2020-03-18,695.46,701.417,678.824,679.03,388451880,2107556100.0
2020-03-19,678.047,683.928,665.999,680.401,447859600,2253505200.0
2020-03-20,690.069,694.865,684.801,692.75,335092080,1803931500.0
2020-03-23,678.727,688.527,672.894,676.361,391611850,1930174700.0
2020-03-24,690.137,694.846,676.63,691.01,404333490,2041268600.0
2020-03-25,700.769,702.657,695.371,702.107,464852910,2245227100.0
2020-03-26,698.276,701.159,693.573,695.245,428223030,2162460000.0
2020-03-27,706.562,707.744,690.998,691.263,551272550,2647419400.0
2020-03-30,682.515,682.515,669.532,673.099,517833470,2398355000.0
2020-03-31,677.817,683.125,673.757,675.741,527435620,2490425900.0
2020-04-01,672.488,677.047,668.384,669.177,462053040,2192867000.0
2020-04-02,667.607,702.838,667.572,702.116,957204870,4607354200.0
2020-04-03,702.149,705.038,689.467,694.485,739104750,3845899600.0
2020-04-07,701.629,714.381,699.348,711.347,728835360,3773583200.0
2020-04-08,704.917,710.477,701.853,706.113,541709820,2761140400.0
2020-04-09,711.685,712.892,705.111,708.163,410120680,2151236800.0
2020-04-10,702.378,702.378,687.566,690.535,465408360,2286093300.0
2020-04-13,693.497,694.777,686.531,687.852,356142940,1754828300.0
2020-04-14,687.709,695.674,686.32,695.674,381884060,1893803400.0
2020-04-15,692.275,693.885,688.25,688.884,319988840,1608666400.0
2020-04-16,684.036,689.834,682.952,687.143,326145130,1581356100.0
2020-04-17,691.333,693.065,687.296,688.682,482516320,2404109500.0
2020-04-20,685.476,689.373,682.829,688.903,376144160,1783821200.0
2020-04-21,683.793,688.394,678.615,682.769,417202160,2032794700.0
2020-04-22,677.135,683.308,675.107,682.841,374101720,1855659000.0
2020-04-23,685.287,697.055,682.878,691.36,529545640,2788932900.0
2020-04-24,692.246,692.246,668.382,669.897,367835910,1934706600.0
2020-04-27,668.213,668.389,660.192,660.573,270096300,1359557500.0
2020-04-28,658.329,659.264,628.778,638.548,428065380,1924100400.0
2020-04-29,639.249,643.585,636.294,637.078,253194250,1156849010.0
2020-04-30,643.328,656.116,643.075,654.61,372947450,1875505700.0
2020-05-06,656.527,663.364,654.287,663.157,353653200,1835802300.0
2020-05-07,664.792,664.824,659.719,660.826,292362910,1455203200.0
2020-05-08,663.522,669.443,662.41,668.2,278198580,1440961600.0
2020-05-11,668.373,669.755,662.99,665.661,255680400,1347100200.0
2020-05-12,665.566,665.566,654.533,659.481,248423160,1207522330.0
2020-05-13,658.6,660.778,655.487,660.142,238294800,1088585200.0
2020-05-14,657.178,657.178,649.652,652.009,226370830,1074970540.0
2020-05-15,655.657,658.745,653.138,653.697,185832080,1032657420.0
2020-05-18,658.638,659.516,654.443,656.744,210210830,1094035440.0
2020-05-19,663.853,666.0,658.792,661.456,289141910,1587524800.0
2020-05-20,657.771,659.764,653.109,653.932,186597280,1042104850.0
2020-05-21,657.224,657.821,650.894,651.3,231699510,1201997970.0
2020-05-22,650.473,650.473,636.721,637.944,334981060,1594604500.0
2020-05-25,637.331,638.86,632.79,633.17,218647840,997860200.0
2020-05-26,634.994,642.002,634.994,641.425,230784830,1064635250.0
2020-05-27,641.711,641.711,636.396,637.128,223663830,1043214930.0
2020-05-28,635.932,638.667,629.394,635.001,235210040,1085792540.0
2020-05-29,633.374,639.345,631.604,636.59,340884390,1494511600.0
2020-06-01,640.374,651.092,640.374,650.35,355847850,1635900000.0
2020-06-02,652.947,664.132,652.759,664.132,315828950,1540884200.0
2020-06-03,668.055,668.055,661.34,661.34,358171550,1959799500.0
2020-06-04,662.667,663.253,657.084,661.328,275271850,1428467400.0
2020-06-05,661.288,662.062,656.255,659.485,227507560,1110475110.0
2020-06-08,668.602,674.132,667.015,668.099,391242240,2070303400.0
2020-06-09,666.874,667.766,661.584,667.348,297248860,1533440500.0
2020-06-10,664.79,664.79,657.675,658.271,279050240,1329451550.0
2020-06-11,657.88,659.512,650.536,651.372,270119680,1313689040.0
2020-06-12,640.704,651.341,638.155,649.928,341294590,1614018600.0
2020-06-15,648.087,654.173,647.464,648.598,382994760,1579305800.0
2020-06-16,654.149,666.816,654.149,666.364,412780270,1778817900.0
2020-06-17,670.628,672.29,665.401,670.199,691559130,2823268300.0
2020-06-18,669.032,678.232,666.845,676.085,771441440,3176530500.0
2020-06-19,675.357,677.579,671.522,676.405,567710750,2387748100.0
2020-06-22,675.668,679.899,673.337,674.382,438122820,1933451300.0
2020-06-23,674.329,675.139,670.113,670.949,415102900,1891914600.0
2020-06-24,671.14,672.444,667.8,669.941,350550740,1535975400.0
2020-06-29,666.544,666.544,657.006,658.266,436848240,1858779400.0
2020-06-30,662.058,670.702,661.987,667.494,297924640,1495022800.0
2020-07-01,667.734,671.623,665.3,671.593,397954930,1895744000.0
2020-07-02,672.347,685.519,668.94,684.432,677334950,3026121200.0
2020-07-03,685.399,694.883,685.077,691.659,873129670,3836140200.0
2020-07-06,702.296,727.533,702.296,727.269,1378965600,6366772000.0
2020-07-07,738.067,743.777,725.293,730.437,1263983890,6060346800.0
2020-07-08,733.542,746.342,725.939,745.595,1073365470,5053935400.0
2020-07-09,744.226,767.744,740.842,764.446,1174018670,5571832000.0
2020-07-10,756.546,758.603,745.648,746.497,860887100,4211100900.0
2020-07-13,746.86,760.819,745.993,760.437,777950190,3815853700.0
2020-07-14,760.357,763.471,741.73,753.808,797532210,3872779200.0
2020-07-15,757.516,760.494,735.76,738.699,673309300,3209273000.0
2020-07-16,742.081,747.278,716.811,716.845,669214870,3207328900.0
2020-07-17,719.041,724.093,707.031,714.528,444425410,2087101500.0
2020-07-20,715.715,740.259,715.715,740.259,552790050,2547286800.0
2020-07-21,741.082,743.596,732.151,737.181,374179330,1806001700.0
2020-07-22,740.246,761.274,738.911,756.833,864158230,4523774800.0
2020-07-23,751.268,756.479,737.442,748.732,623107030,3475225700.0
2020-07-24,748.993,757.882,729.05,731.493,685099020,3603945000.0
2020-07-27,732.993,736.791,718.625,727.171,407469190,2140743300.0
2020-07-28,729.969,738.292,728.361,734.262,366154340,1878735200.0
2020-07-29,732.796,743.317,726.252,743.005,470088240,2212915000.0
2020-07-30,742.943,747.82,739.666,743.379,330812910,1757165300.0
2020-07-31,740.125,748.113,734.321,747.864,437041840,2174890300.0
2020-08-03,751.432,772.079,751.432,771.892,526256540,2671148400.0
2020-08-04,772.703,776.247,764.817,772.878,548223330,2767068000.0
2020-08-05,772.244,792.097,767.944,791.733,544478760,2898321100.0
2020-08-06,788.253,791.621,775.195,782.405,561151220,2899422700.0
2020-08-07,780.226,780.226,765.825,771.856,520843150,2608229700.0
2020-08-10,769.8,780.697,768.341,776.618,432322520,2070374800.0
2020-08-11,778.27,781.335,767.41,768.326,504955240,2409714700.0
2020-08-12,767.03,773.809,757.737,773.594,525276730,2530309000.0
2020-08-13,776.68,787.812,775.421,781.749,475605050,2151063000.0
2020-08-14,782.183,785.273,770.43,784.845,396862230,1819922800.0
2020-08-17,784.933,801.21,784.933,800.495,709573100,3220495100.0
2020-08-18,803.965,803.965,792.571,795.63,553265750,2577636600.0
2020-08-19,795.334,801.133,788.772,792.183,592753160,2676911100.0
2020-08-20,789.03,789.148,779.513,781.183,460863050,2061381000.0
2020-08-21,784.708,788.151,776.242,779.074,299658950,1358986000.0
2020-08-24,782.044,785.57,770.858,783.617,306172950,1403732600.0
2020-08-25,785.49,788.713,781.371,785.547,340079920,1536189700.0
2020-08-26,792.654,793.797,772.661,778.032,465209470,2260385400.0
2020-08-27,774.065,785.646,769.473,783.29,354536620,1816454200.0
2020-08-28,780.862,784.196,775.585,784.196,403154530,1926479700.0
2020-08-31,785.953,795.312,785.054,787.59,454438820,2151629000.0
2020-09-01,787.503,798.791,782.095,798.751,401149100,1972528700.0
2020-09-02,798.087,815.762,794.301,804.554,529824460,2702731300.0
2020-09-03,806.163,818.311,800.514,802.538,505316760,2659629600.0
2020-09-04,787.229,820.765,785.309,819.439,525761810,2704830900.0
2020-09-07,821.735,837.83,814.693,816.082,548761960,3183697600.0
2020-09-08,815.967,835.45,805.387,834.939,573024010,2990720500.0
2020-09-09,820.22,837.404,813.795,813.795,734346660,3551763800.0
2020-09-10,815.128,815.496,768.856,770.199,602634750,2816963000.0
2020-09-11,765.171,789.104,763.052,786.48,405582390,2059614700.0
2020-09-14,789.463,800.275,787.698,797.509,374397990,2018893800.0
2020-09-15,797.406,798.736,780.292,788.889,326740210,1776646400.0
2020-09-16,789.111,797.926,786.543,791.477,346269780,1818048100.0
2020-09-17,795.37,806.335,788.071,792.028,358796810,1904098200.0
2020-09-18,791.288,796.52,784.571,793.818,439802700,2109435200.0
