日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-08-05,1013.15,1013.15,983.391,1004.451,717265890,9989884600.0
2020-08-06,1007.857,1025.404,986.44,994.585,741917730,9955652700.0
2020-08-07,989.231,993.753,971.576,984.235,672861510,8414185000.0
2020-08-10,974.169,982.719,965.52,979.912,793209840,8933429100.0
2020-08-11,973.752,978.241,940.633,940.633,658105400,7559582400.0
2020-08-12,936.522,939.113,908.441,931.447,533365910,6360797100.0
2020-08-13,932.687,950.592,927.877,941.551,559448990,5875117600.0
2020-08-14,944.563,955.352,937.171,948.737,595273800,6101965000.0
2020-08-17,942.602,967.44,942.602,965.967,689091830,6548551300.0
2020-08-18,964.817,988.144,963.936,982.029,828059930,7466947800.0
2020-08-19,978.544,982.05,962.752,964.893,816318780,7424117800.0
2020-08-20,948.428,957.629,942.769,949.964,524447790,5063102500.0
2020-08-21,950.87,969.172,950.87,967.49,666707110,6174744500.0
2020-08-24,972.565,1000.303,968.31,993.074,726477960,6969458600.0
2020-08-25,997.08,1011.677,995.616,1005.764,1054135030,9663574700.0
2020-08-26,1004.978,1006.334,972.601,976.766,843810640,8068052500.0
2020-08-27,970.929,1001.968,968.724,1001.88,841737370,7813924800.0
2020-08-28,997.158,1001.905,986.502,999.128,687599260,6987342000.0
2020-08-31,1002.064,1013.664,1002.064,1004.272,719200170,7821425900.0
2020-09-01,1004.341,1016.199,999.054,1016.199,671170800,6423791700.0
2020-09-02,1017.598,1041.002,1016.454,1033.076,960328300,7654816700.0
2020-09-03,1032.582,1048.174,1027.293,1034.518,884159550,7307081800.0
2020-09-04,1010.594,1037.493,1007.947,1036.554,798794970,6543511200.0
2020-09-07,1036.603,1049.67,1020.189,1030.714,994077180,8273854000.0
2020-09-08,1029.192,1050.475,1015.319,1049.86,989964120,7776478000.0
2020-09-09,1035.439,1052.959,1004.482,1004.583,1080976980,8647697300.0
2020-09-10,1003.608,1006.857,949.612,951.121,796437960,6147761300.0
2020-09-11,941.362,975.33,939.39,969.501,551486190,4407786300.0
2020-09-14,974.837,994.221,972.953,990.396,648289750,5390514800.0
2020-09-15,992.672,998.955,986.622,995.773,714949900,5694158600.0
2020-09-16,991.326,992.561,971.532,978.774,531174160,4182630700.0
2020-09-17,979.091,987.689,968.505,978.137,469895210,4063025700.0
2020-09-18,975.864,993.719,973.648,989.658,514714580,4471378600.0
2020-09-21,991.798,995.348,985.687,989.185,442905080,4085178500.0
2020-09-22,979.878,990.663,966.096,969.44,488514360,4768871400.0
2020-09-23,972.203,978.266,963.574,975.605,498204010,4037319100.0
2020-09-24,967.684,967.684,942.156,942.861,486294900,4139481800.0
2020-09-25,947.38,949.109,931.797,936.422,329604210,2848021700.0
2020-09-28,938.35,940.187,919.827,921.573,308348320,2611954200.0
2020-09-29,923.936,938.251,921.471,931.622,322763790,2636384600.0
2020-09-30,935.495,935.495,918.964,924.749,266555520,2625762300.0
2020-10-09,937.616,955.599,937.616,954.164,382915530,4230987800.0
2020-10-12,961.763,983.721,960.069,983.175,494153550,5238560400.0
2020-10-13,981.777,993.222,975.718,992.138,525892850,4881834600.0
2020-10-14,989.413,997.422,986.263,990.127,462826150,5202998700.0
2020-10-15,989.932,990.384,977.44,978.601,455846940,5173371400.0
2020-10-16,976.823,980.201,969.424,978.524,370831330,3751885300.0
2020-10-19,985.674,990.527,971.378,976.402,493856010,4618353600.0
2020-10-20,974.14,985.293,964.595,985.293,429713330,3580528100.0
2020-10-21,986.607,988.189,978.762,981.014,518551920,4522147200.0
2020-10-22,977.706,993.625,968.757,986.84,607695190,5359041100.0
2020-10-23,984.641,995.462,976.379,977.878,560964950,4820062800.0
2020-10-26,980.81,983.963,968.817,982.977,492649920,4282182500.0
2020-10-27,978.105,980.345,963.192,972.077,519865960,4723381700.0
2020-10-28,974.157,1011.504,974.094,1010.664,994669430,7710427300.0
2020-10-29,991.458,1009.295,991.072,997.954,891357220,7095681300.0
2020-10-30,995.551,1000.938,972.096,972.096,817070020,6684779900.0
2020-11-02,973.093,986.818,972.965,980.846,665541230,5506605900.0
2020-11-03,981.568,994.586,975.035,994.586,695027510,5310873500.0
2020-11-04,991.508,999.4,985.195,999.4,643506570,4819195400.0
2020-11-05,1009.309,1013.393,1002.323,1013.393,591536810,4885376400.0
2020-11-06,1016.508,1016.508,988.712,996.706,553432190,4240331700.0
2020-11-09,1001.172,1021.14,1001.109,1016.852,632374630,6456346500.0
2020-11-10,1017.753,1017.786,995.428,999.772,596582910,5686784500.0
2020-11-11,999.991,1013.939,997.824,999.134,532277650,4976631000.0
2020-11-12,997.917,1011.593,996.088,1009.249,577500600,5974767000.0
2020-11-13,1005.945,1005.945,993.827,1000.26,456594230,4894939300.0
2020-11-16,1000.923,1036.605,1000.609,1036.521,575728640,6310729600.0
2020-11-17,1035.31,1036.498,1024.412,1034.576,603641500,6078175400.0
2020-11-18,1030.073,1036.135,1022.015,1033.441,517113630,5738392600.0
2020-11-19,1025.962,1031.285,1019.107,1029.052,527687840,4945485700.0
2020-11-20,1026.437,1033.262,1026.437,1030.101,435323280,4344942200.0
2020-11-23,1030.064,1048.456,1030.064,1043.69,556824570,6090976100.0
2020-11-24,1040.373,1049.866,1036.969,1044.841,555202250,5597141200.0
2020-11-25,1047.939,1049.5,1025.844,1025.844,599764440,5674869300.0
2020-11-26,1024.601,1027.639,1008.868,1018.849,530739910,5665443500.0
2020-11-27,1017.307,1017.821,1000.42,1010.533,465651040,4755843400.0
2020-11-30,1016.495,1043.656,1010.628,1036.152,722441620,7636442800.0
2020-12-01,1043.394,1061.224,1043.394,1060.544,752325370,8610235800.0
2020-12-02,1063.138,1097.954,1061.339,1095.301,1144516420,11538725100.0
2020-12-03,1096.736,1097.724,1079.478,1082.212,1065546010,11113879200.0
2020-12-04,1075.533,1097.493,1064.912,1085.603,1012266690,9140025800.0
2020-12-07,1085.282,1101.77,1084.124,1085.838,840450310,8280404200.0
2020-12-08,1077.405,1077.405,1065.851,1068.971,725682410,6930928000.0
2020-12-09,1065.488,1066.333,1043.318,1044.175,809575980,7391020900.0
2020-12-10,1037.489,1045.779,1032.496,1037.419,586819800,5577454100.0
2020-12-11,1038.242,1040.706,1006.142,1012.981,623413800,6121601300.0
2020-12-14,1012.51,1027.735,1004.825,1027.159,559736580,5763589900.0
2020-12-15,1024.013,1028.123,1016.543,1019.001,567406390,5761801000.0
2020-12-16,1015.426,1016.344,1005.254,1008.201,542390320,5502123000.0
2020-12-17,1007.199,1014.32,992.877,1012.674,590293780,5752037500.0
2020-12-18,1010.436,1014.156,999.758,1003.628,527331600,5358809200.0
2020-12-21,1002.612,1022.317,999.906,1022.251,637876590,7028168800.0
2020-12-22,1018.764,1030.219,1007.732,1009.097,775738220,8324326900.0
2020-12-23,1007.073,1016.405,1002.017,1007.461,663430200,7646808000.0
2020-12-24,1004.683,1004.701,976.628,984.162,660038630,7024902500.0
2020-12-25,980.532,995.511,978.057,994.315,625596650,6224293500.0
2020-12-28,996.098,1006.272,991.539,994.702,730551400,7989603700.0
2020-12-29,991.52,991.52,977.356,984.382,589536940,5991849100.0
2020-12-30,978.431,994.468,978.173,988.831,779391620,7362499700.0
2020-12-31,987.361,999.279,987.361,996.628,742700040,7226875000.0
2021-01-04,998.618,1020.646,998.58,1016.84,1002404670,10493663100.0
2021-01-05,1011.763,1018.217,1008.51,1016.309,948002550,10912543600.0
2021-01-06,1016.843,1021.654,1004.375,1011.547,907462060,10548786700.0
2021-01-07,1009.339,1010.69,980.177,986.751,919782500,10411701200.0
2021-01-08,985.373,992.374,967.832,986.464,892622840,10373284300.0
2021-01-11,989.468,990.616,979.217,982.132,954098310,12146045200.0
2021-01-12,980.439,997.961,977.146,992.481,875391270,10354448100.0
2021-01-13,991.007,991.691,974.68,981.879,935881200,11853209400.0
2021-01-14,978.624,986.196,970.509,972.102,828741870,10385274800.0
2021-01-15,969.375,994.494,969.375,993.228,1404512600,15117425000.0
2021-01-18,998.853,1052.741,998.329,1050.713,1652805400,18741989000.0
2021-01-19,1058.149,1065.42,1048.056,1052.447,2145088400,22608401000.0
