日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-04-30,1087.632,1112.504,1087.062,1107.752,463315030,5545237100.0
2024-05-06,1172.606,1213.181,1172.269,1211.544,599971700,8342135600.0
2024-05-07,1231.93,1258.992,1218.51,1249.342,1793075900,24327748000.0
2024-05-08,1238.584,1302.636,1238.584,1296.163,2456550900,34073145000.0
2024-05-09,1278.827,1311.802,1272.393,1290.335,2630002800,35340410000.0
2024-05-10,1289.447,1314.195,1269.023,1269.023,2940992400,38789939000.0
2024-05-13,1258.535,1282.334,1249.846,1254.446,3058084500,39237225000.0
2024-05-14,1246.039,1262.778,1241.221,1244.227,2784091400,35566172000.0
2024-05-15,1234.307,1234.785,1221.797,1226.251,2089247800,26034274000.0
2024-05-16,1226.157,1233.263,1219.182,1224.337,2152679300,26071611000.0
2024-05-17,1219.609,1229.122,1209.5,1226.913,1965850100,24436455000.0
2024-05-20,1224.334,1238.393,1224.334,1236.795,2081262400,26127032000.0
2024-05-21,1232.467,1232.467,1214.65,1219.665,1655232600,20455940000.0
2024-05-22,1226.625,1232.211,1211.169,1215.729,1630281600,21483461000.0
2024-05-23,1209.154,1209.355,1184.571,1187.38,1617117600,20055155000.0
2024-05-24,1196.376,1200.799,1184.62,1184.889,1514354500,19677745000.0
2024-05-27,1184.171,1187.606,1165.342,1185.447,1508653600,18485349000.0
2024-05-28,1181.362,1181.362,1163.819,1164.882,1224106270,15483958000.0
2024-05-29,1162.821,1170.766,1157.848,1162.896,1024696370,12989928300.0
2024-05-30,1159.76,1169.478,1153.138,1155.252,1128839830,13732007000.0
2024-05-31,1157.901,1163.526,1154.891,1155.861,1008290030,13025240200.0
2024-06-03,1154.202,1154.503,1126.856,1135.178,1311785840,16323295000.0
2024-06-04,1131.197,1134.584,1119.802,1133.942,1109605940,14682278000.0
2024-06-05,1132.074,1133.565,1114.656,1114.974,1032080950,13219594500.0
2024-06-06,1115.135,1120.358,1070.765,1077.339,1469060700,17345640000.0
2024-06-07,1085.511,1096.948,1078.205,1093.366,1112971020,13106751200.0
2024-06-11,1090.993,1103.807,1078.577,1103.012,949145970,12584631600.0
2024-06-12,1102.754,1121.807,1100.493,1115.758,1130924190,14664322000.0
2024-06-13,1115.236,1115.342,1098.73,1101.087,1208803580,16230428000.0
2024-06-14,1099.232,1099.27,1086.528,1096.727,1288890740,17950838000.0
2024-06-17,1091.981,1094.919,1085.443,1088.766,989149550,12643443100.0
2024-06-18,1091.039,1098.857,1088.049,1094.884,1047509350,13451129000.0
2024-06-19,1096.079,1099.691,1084.93,1086.176,926206280,11620720900.0
2024-06-20,1084.436,1099.196,1069.198,1070.067,1161410310,14019800000.0
2024-06-21,1065.704,1087.327,1061.032,1076.092,970547310,12922051900.0
2024-06-24,1069.474,1069.474,1034.446,1035.211,1176986520,13965337000.0
2024-06-25,1036.573,1048.867,1032.972,1040.638,1160279540,14537238000.0
2024-06-26,1038.161,1069.075,1036.245,1069.075,1247201850,15881289000.0
2024-06-27,1066.38,1066.38,1043.284,1043.284,1030876800,12704653800.0
2024-06-28,1042.523,1057.402,1038.514,1041.446,1066840700,13182874000.0
2024-07-01,1041.375,1058.641,1032.968,1057.298,1239446700,13868290000.0
2024-07-02,1058.125,1065.773,1053.027,1058.842,1354717000,14484390000.0
2024-07-03,1057.533,1062.836,1047.687,1048.693,1271087130,13994331000.0
2024-07-04,1047.964,1049.904,1015.53,1018.53,1228850960,14403972000.0
2024-07-05,1018.252,1046.239,1009.883,1044.318,1185675320,15037755000.0
2024-07-08,1042.27,1042.27,1011.438,1014.8,1207098950,14252862000.0
2024-07-09,1011.292,1021.852,992.019,1020.422,1332171890,15427722000.0
2024-07-10,1016.388,1029.221,1009.118,1013.659,1197088070,14519238000.0
2024-07-11,1028.532,1047.238,1026.436,1045.079,1527663200,18545707000.0
2024-07-12,1046.046,1052.711,1039.23,1042.983,1236149130,14858737000.0
2024-07-15,1040.545,1042.005,1022.692,1025.073,1031256960,12378118200.0
2024-07-16,1024.653,1027.018,1018.63,1025.344,935054050,11479893300.0
2024-07-17,1025.606,1034.513,1020.619,1028.183,1054738060,13659755000.0
2024-07-18,1023.895,1034.598,1012.703,1033.748,1153669090,14540028000.0
2024-07-19,1030.892,1044.189,1026.476,1037.994,1132924170,14048209000.0
2024-07-22,1036.011,1045.893,1030.947,1041.238,1074005560,13666938000.0
2024-07-23,1041.084,1043.928,1014.895,1014.895,1189576510,14657455000.0
2024-07-24,1012.12,1016.677,995.649,996.753,1092505380,12619241500.0
2024-07-25,992.89,1012.843,989.625,1002.117,896770010,10833968100.0
2024-07-26,1002.944,1015.45,1002.887,1010.188,838432880,10115742400.0
2024-07-29,1012.136,1012.305,998.19,1005.174,836806640,10361091600.0
2024-07-30,1006.837,1021.106,1005.008,1015.849,1184999360,13617720000.0
2024-07-31,1013.775,1056.203,1006.392,1056.203,1751733400,21428675000.0
2024-08-01,1055.076,1067.27,1050.459,1056.238,1446992000,17664807000.0
2024-08-02,1051.696,1083.109,1051.128,1065.563,1932716200,22144978000.0
2024-08-05,1059.403,1077.708,1041.732,1041.79,2018989000,23543850000.0
2024-08-06,1050.477,1072.556,1047.114,1072.556,1808898200,20498818000.0
2024-08-07,1067.783,1067.783,1055.102,1061.762,1477026500,17106195000.0
2024-08-08,1063.03,1085.077,1063.03,1076.492,1980528500,23039611000.0
2024-08-09,1080.015,1082.854,1055.383,1055.417,2194116400,22258665000.0
2024-08-12,1052.986,1072.541,1052.317,1062.173,1812728200,19681342000.0
2024-08-13,1056.609,1056.927,1042.141,1054.208,1442171700,15505195000.0
2024-08-14,1053.285,1053.285,1037.125,1037.659,1103386190,12057264100.0
2024-08-15,1038.986,1051.96,1032.325,1043.672,1278222420,14028461000.0
2024-08-16,1043.426,1052.988,1034.426,1049.695,1469950400,16249143000.0
2024-08-19,1047.064,1050.235,1036.841,1037.29,1368036800,16358217000.0
2024-08-20,1036.296,1036.921,1014.074,1016.094,1233140910,14331544000.0
2024-08-21,1012.61,1016.65,1005.905,1006.676,995726860,12275564900.0
2024-08-22,1007.299,1009.783,986.215,987.188,1026833160,12692435700.0
2024-08-23,985.777,986.95,972.321,975.954,986724760,11388107500.0
2024-08-26,974.372,985.542,969.829,983.497,937993380,10832296900.0
2024-08-27,983.066,993.306,981.458,983.143,1062112640,11939331200.0
2024-08-28,978.935,995.467,973.738,986.372,989524100,10635965700.0
2024-08-29,983.055,1002.238,979.405,999.676,1072250060,12458619300.0
2024-08-30,998.575,1024.389,993.734,1010.327,1417505300,17357138000.0
2024-09-02,1009.022,1016.12,994.456,994.456,1242699260,13611486000.0
2024-09-03,993.503,1009.228,989.76,998.861,974667610,11153158300.0
2024-09-04,994.577,1005.572,992.927,994.354,907208550,10324688100.0
2024-09-05,994.534,1007.139,994.534,1005.097,834508450,9553199500.0
2024-09-06,1005.156,1007.268,982.234,982.588,830847620,9644411800.0
2024-09-09,980.931,995.765,976.574,984.561,829093100,9688948400.0
2024-09-10,986.593,988.812,968.364,983.315,848913560,9696813700.0
2024-09-11,979.938,989.589,976.873,985.083,774862920,8860172300.0
2024-09-12,984.969,996.549,978.654,978.734,832873520,9515345600.0
2024-09-13,978.353,979.612,964.12,964.266,797006600,8953923900.0
2024-09-18,964.095,965.656,941.926,951.977,804508740,8856677900.0
2024-09-19,957.188,979.745,951.63,972.107,987514730,11250379500.0
2024-09-20,971.6,971.767,954.606,959.706,878780230,10679904200.0
2024-09-23,962.965,969.87,958.735,959.62,800067140,9340683200.0
2024-09-24,965.063,994.51,962.038,994.51,1490754300,17061209000.0
2024-09-25,1003.495,1023.174,1003.495,1004.701,1826457900,21160315000.0
2024-09-26,1002.366,1040.709,1000.09,1040.709,1737926600,20853213000.0
2024-09-27,1057.619,1108.444,1055.749,1098.909,2295675500,30686810000.0
2024-09-30,1145.012,1236.19,1126.737,1228.242,4175239000,59552122000.0
2024-10-08,1399.649,1399.708,1256.763,1332.825,5242359700,83457754000.0
2024-10-09,1292.895,1293.011,1199.83,1199.83,3759607500,58101179000.0
2024-10-10,1213.768,1241.825,1191.198,1201.252,2750510400,42985496000.0
2024-10-11,1196.67,1196.67,1136.371,1148.634,2090706900,30189529000.0
2024-10-14,1153.559,1171.214,1129.24,1169.178,1892324300,26877103000.0
2024-10-15,1166.055,1181.511,1148.975,1148.975,1890349000,25112697000.0
2024-10-16,1134.788,1162.277,1134.788,1149.903,1598286700,20363716000.0
2024-10-17,1154.52,1166.227,1145.978,1146.216,1817550300,23658658000.0
2024-10-18,1144.527,1204.405,1142.812,1182.603,2586214900,37059834000.0
2024-10-21,1188.333,1209.934,1177.154,1203.618,2600682000,36474225000.0
2024-10-22,1205.306,1223.773,1200.874,1222.004,2495723600,33019336000.0
2024-10-23,1218.915,1228.049,1211.099,1218.102,2211036700,29653902000.0
2024-10-24,1224.8,1247.58,1224.8,1232.851,2772311900,34008924000.0
