日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-05-05,1001.124,1012.822,994.603,1001.815,12556591200,122906928000.0
2023-05-08,1004.777,1036.686,1004.777,1032.916,17673256000,168194780000.0
2023-05-09,1040.027,1055.479,1026.081,1027.149,18395733000,186843320000.0
2023-05-10,1022.314,1024.613,1002.585,1010.08,15174525000,143253750000.0
2023-05-11,1007.754,1008.33,993.369,994.66,10537753500,101739295000.0
2023-05-12,990.172,998.653,976.116,976.154,10161312700,98047423000.0
2023-05-15,976.485,987.294,953.844,987.294,12516243300,115887819000.0
2023-05-16,984.686,988.922,969.027,970.77,9176777100,91022188000.0
2023-05-17,965.878,975.923,960.63,970.135,8120472000,81395990000.0
2023-05-18,970.692,982.922,969.097,974.833,8800434400,83416339000.0
2023-05-19,970.817,970.817,954.874,960.805,7635646600,73096088000.0
2023-05-22,958.022,965.321,954.033,959.59,6346994100,61154384000.0
2023-05-23,958.997,959.666,939.31,939.31,7574311900,67582733000.0
2023-05-24,936.589,936.589,923.206,923.284,8251930300,73228678000.0
2023-05-25,919.745,924.989,911.203,922.711,7117287500,66263746000.0
2023-05-26,922.099,929.818,915.81,927.172,5654496400,56644184000.0
2023-05-29,928.772,938.239,928.445,933.023,6942407100,67035534000.0
2023-05-30,930.37,943.297,927.751,941.156,7656005700,73777974000.0
2023-05-31,936.917,940.562,933.384,935.529,6879076600,71350503000.0
2023-06-01,932.325,942.765,928.598,935.916,7572106900,76120393000.0
2023-06-02,937.776,943.589,937.229,940.729,6543814200,71501964000.0
2023-06-05,940.194,946.835,938.874,941.139,6481656900,61385641000.0
2023-06-06,940.451,953.211,932.533,934.705,6954929900,70557407000.0
2023-06-07,934.19,941.602,932.234,939.665,5575795000,56660875000.0
2023-06-08,937.844,951.731,933.207,948.978,6575053800,64011212000.0
2023-06-09,948.049,951.575,944.315,950.911,6647416200,66848589000.0
2023-06-12,947.848,948.351,940.776,943.946,6380605000,63297978000.0
2023-06-13,942.107,944.711,936.172,941.447,5532834200,57753598000.0
2023-06-14,942.476,948.113,940.224,941.732,6323561600,67439545000.0
2023-06-15,942.267,946.416,938.316,945.989,5860039600,66143009000.0
2023-06-16,947.939,960.328,947.939,958.513,7406394200,78826989000.0
2023-06-19,956.937,956.937,949.18,950.752,7284680700,77273658000.0
2023-06-20,949.34,949.404,940.128,940.41,6223752800,71660923000.0
2023-06-21,937.691,940.172,927.937,927.937,6003530600,64508580000.0
2023-06-26,921.72,921.72,907.006,908.487,6069991000,61735278000.0
2023-06-27,909.564,934.299,908.904,932.16,6296885600,64085238000.0
2023-06-28,931.043,933.765,921.331,932.174,5118452500,55153512000.0
2023-06-29,930.582,934.137,926.733,930.432,4464561300,48686121000.0
2023-06-30,930.72,939.694,930.434,935.746,4462141700,46823386000.0
2023-07-03,937.819,956.299,937.819,954.94,6587013100,69800161000.0
2023-07-04,954.722,956.355,945.885,950.014,5234814600,54493999000.0
2023-07-05,948.949,954.238,945.205,946.499,4425554600,46795314000.0
2023-07-06,944.815,948.724,939.736,941.396,4245962700,44162173000.0
2023-07-07,939.401,948.046,936.489,943.28,4619607600,46430544000.0
2023-07-10,946.4,949.323,941.109,945.511,3898129800,43496858000.0
2023-07-11,947.5,948.53,941.755,947.024,3902446200,40809325000.0
2023-07-12,946.369,946.713,931.917,932.408,5256054100,54134117000.0
2023-07-13,937.046,947.855,937.046,947.274,5903334300,60529733000.0
2023-07-14,948.423,957.346,947.18,952.205,6015571700,59010297000.0
2023-07-17,949.085,949.085,941.877,948.758,4905731200,46802462000.0
2023-07-18,948.52,949.906,942.555,945.552,4352121300,40286491000.0
2023-07-19,944.875,949.923,942.59,949.745,3706022500,36673913000.0
2023-07-20,950.175,953.025,939.142,940.191,4246241100,42940337000.0
2023-07-21,938.984,942.859,934.194,937.676,3573711100,37615574000.0
2023-07-24,936.05,943.88,933.977,938.742,3531459300,37595337000.0
2023-07-25,951.03,962.877,951.03,962.877,7082158300,81539118000.0
2023-07-26,962.295,964.428,956.249,959.833,4484984600,49968319000.0
2023-07-27,959.275,967.76,956.931,958.677,5356456700,56841128000.0
2023-07-28,956.273,978.857,953.938,977.922,8067490900,92963350000.0
2023-07-31,981.743,993.965,981.743,988.606,9170034500,104067905000.0
2023-08-01,988.166,995.09,984.806,988.2,6340244700,69408777000.0
2023-08-02,985.482,988.83,975.742,978.992,6155706600,61494426000.0
2023-08-03,976.671,984.524,971.856,983.556,5226903300,57199257000.0
2023-08-04,988.49,994.309,985.374,985.716,8233539900,92820992000.0
2023-08-07,981.745,981.745,975.936,978.371,5563312200,57167141000.0
2023-08-08,976.708,981.22,972.763,976.437,4790311200,58249373000.0
2023-08-09,973.513,976.59,968.72,969.952,3983350500,45538386000.0
2023-08-10,970.351,977.069,969.981,975.708,4218441000,46483480000.0
2023-08-11,975.318,975.849,954.764,954.764,5918047700,61281116000.0
2023-08-14,945.281,961.147,943.006,958.731,5638922100,56480192000.0
2023-08-15,958.371,961.808,949.654,959.152,4687309700,45999398000.0
2023-08-16,956.042,958.81,947.225,949.898,4107746000,42577665000.0
2023-08-17,946.269,954.822,940.528,953.775,4349334600,45236149000.0
2023-08-18,953.414,961.779,943.572,943.572,4781472400,49826151000.0
2023-08-21,943.05,945.883,932.642,932.642,4847650400,52640523000.0
2023-08-22,934.772,947.082,933.728,945.882,6151951000,60295297000.0
2023-08-23,944.4,944.714,931.795,931.921,4861566800,47032052000.0
2023-08-24,934.294,937.715,920.462,920.462,6869300400,61834694000.0
2023-08-25,916.74,923.256,912.757,916.277,5180065000,50277078000.0
2023-08-28,962.187,962.485,926.873,930.015,8904156800,96755195000.0
2023-08-29,927.147,938.86,926.355,935.376,6745352700,66344618000.0
2023-08-30,934.995,936.368,924.93,928.101,5801085500,57893997000.0
2023-08-31,927.775,932.637,921.442,922.699,5266810900,50891662000.0
2023-09-01,924.612,935.871,924.612,932.942,5151223100,51801707000.0
2023-09-04,935.989,950.629,935.989,950.466,6700852200,69784914000.0
2023-09-05,947.521,947.521,939.014,940.29,4425121500,44850982000.0
2023-09-06,937.718,937.718,930.723,936.629,4077143800,41379268000.0
2023-09-07,934.66,936.942,926.774,927.295,4300406000,41595157000.0
2023-09-08,924.984,926.53,919.745,924.048,3255829800,32401584000.0
2023-09-11,925.544,934.988,923.361,932.583,4542854500,46655969000.0
2023-09-12,931.1,932.741,928.691,930.377,3670571800,35221157000.0
2023-09-13,930.083,934.862,925.61,929.815,4194065200,39800339000.0
2023-09-14,929.452,934.832,928.511,933.475,5373903400,48529665000.0
2023-09-15,935.708,939.939,927.18,930.389,5611950600,51555162000.0
2023-09-18,927.882,930.316,923.094,929.395,4228675800,40787543000.0
2023-09-19,928.721,935.371,927.748,932.837,4300565100,38306651000.0
2023-09-20,932.163,933.216,928.325,929.325,3966396000,34640857000.0
2023-09-21,927.828,932.789,921.923,922.093,4094357800,37320685000.0
2023-09-22,921.897,934.197,920.091,933.93,5241967800,51911456000.0
2023-09-25,932.735,935.455,925.984,926.799,4266302000,41321651000.0
2023-09-26,926.332,929.288,923.085,923.085,3943977600,38193839000.0
2023-09-27,923.517,929.966,923.512,923.825,4694812800,43242271000.0
2023-09-28,926.294,927.706,921.285,925.058,4096268500,39816363000.0
2023-10-09,921.129,921.942,911.315,920.021,4773017800,44631195000.0
2023-10-10,921.77,924.234,900.466,901.643,5459249100,45227169000.0
2023-10-11,902.917,904.803,896.835,898.595,4691956800,41604616000.0
2023-10-12,904.411,910.802,904.024,909.267,5736054500,47616333000.0
2023-10-13,904.627,904.627,896.854,898.707,4801614600,40917786000.0
2023-10-16,899.801,901.368,896.576,899.84,4189432800,37148658000.0
2023-10-17,901.81,905.942,898.49,904.412,4193697000,38304975000.0
