日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-12-31,1000.0,1000.0,1000.0,1000.0,0,0.0
2023-01-03,1000.78,1002.32,1000.78,1002.32,1301811850,25976500000.0
2023-01-04,1001.56,1003.85,1001.56,1003.85,1265786420,32172910000.0
2023-01-05,1007.71,1029.87,1007.71,1029.57,1368460900,39131620000.0
2023-01-06,1026.51,1041.33,1026.51,1040.78,1159517350,31760390000.0
2023-01-09,1045.99,1045.99,1039.17,1040.48,1526271100,33367770000.0
2023-01-10,1045.79,1059.7,1045.79,1059.7,1229886780,30515330000.0
2023-01-11,1059.98,1059.98,1047.79,1047.79,1066624370,25477890000.0
2023-01-12,1050.53,1050.53,1045.5,1046.46,967862000,22554280000.0
2023-01-13,1052.95,1065.05,1052.95,1065.05,1057417270,30311210000.0
2023-01-16,1063.09,1086.86,1063.09,1086.32,1437337100,39666010000.0
2023-01-17,1084.81,1092.56,1084.81,1092.55,1056144630,27254120000.0
2023-01-18,1096.05,1096.05,1090.85,1091.0,1023435570,21415960000.0
2023-01-19,1090.41,1093.1,1090.41,1093.1,909123390,23214710000.0
2023-01-20,1094.37,1094.83,1094.37,1094.56,1081768440,25112180000.0
2023-01-30,1126.05,1126.05,1117.49,1117.86,2053620900,44258520000.0
2023-01-31,1119.71,1119.71,1115.43,1115.43,1624121400,33663880000.0
2023-02-01,1120.71,1130.78,1120.71,1130.78,1857822400,34356790000.0
2023-02-02,1133.03,1133.03,1126.86,1126.91,1691608400,35196860000.0
2023-02-03,1121.84,1121.84,1120.29,1121.46,1464599400,30519830000.0
2023-02-06,1113.84,1113.84,1101.04,1101.33,1554277100,33551180000.0
2023-02-07,1102.94,1115.75,1102.94,1115.75,1469769700,28141120000.0
2023-02-08,1117.3,1117.3,1115.96,1115.96,1199962560,24844330000.0
2023-02-09,1113.31,1128.92,1113.31,1128.92,1468145300,28378110000.0
2023-02-10,1126.52,1126.52,1120.49,1120.51,1487963300,28090740000.0
2023-02-13,1120.91,1130.93,1120.91,1130.93,1973071300,36615150000.0
2023-02-14,1133.3,1133.3,1128.14,1128.15,1703532500,30913560000.0
2023-02-15,1126.78,1126.78,1119.81,1120.22,1586765800,28568270000.0
2023-02-16,1121.42,1121.42,1105.32,1105.32,1880779600,35642860000.0
2023-02-17,1103.75,1103.75,1085.03,1085.03,1424857200,32928580000.0
2023-02-20,1083.42,1115.6,1083.42,1115.6,2223876600,42948630000.0
2023-02-21,1113.24,1120.71,1113.24,1120.61,2465738000,39088280000.0
2023-02-22,1109.96,1110.56,1107.9,1110.56,1563285700,29886120000.0
