日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-01-20,1001.665,1023.371,999.165,1023.15,6767752900,262169140000.0
2021-01-21,1026.585,1052.733,1026.195,1048.703,8315759800,311180100000.0
2021-01-22,1049.669,1067.467,1046.315,1067.269,7611910000,306484340000.0
2021-01-25,1066.816,1093.239,1063.226,1078.118,8411790000,367830120000.0
2021-01-26,1073.552,1073.552,1049.121,1051.404,7207880700,293413320000.0
2021-01-27,1050.207,1057.517,1030.913,1056.229,6291138900,265331640000.0
2021-01-28,1037.114,1043.481,1015.486,1017.93,7222863400,266338990000.0
2021-01-29,1027.938,1030.527,995.826,1013.123,7674297800,279957810000.0
2021-02-01,1010.771,1024.004,1007.887,1020.963,6107377100,230818940000.0
2021-02-02,1025.752,1045.532,1017.588,1045.511,6388764800,262250140000.0
2021-02-03,1045.563,1052.564,1036.957,1038.869,7265839800,284316560000.0
2021-02-04,1031.198,1040.935,1017.836,1032.008,7012674800,276977690000.0
2021-02-05,1035.988,1043.837,1023.219,1023.482,6797511600,272643050000.0
2021-02-08,1028.391,1045.998,1017.638,1045.071,5990988900,255436110000.0
2021-02-09,1051.653,1077.027,1046.515,1077.027,6176666200,262837160000.0
2021-02-10,1081.977,1101.434,1073.584,1098.163,6142397400,285858990000.0
2021-02-18,1121.437,1123.834,1079.592,1084.018,7635949600,346959200000.0
2021-02-19,1076.786,1080.851,1049.297,1076.619,7983172900,302072840000.0
2021-02-22,1077.937,1077.937,1035.029,1035.029,9593405000,360083410000.0
2021-02-23,1018.442,1040.222,1018.006,1024.596,7391312500,270112180000.0
2021-02-24,1027.097,1029.987,980.445,991.068,7979419100,325427740000.0
2021-02-25,1003.51,1005.934,989.415,992.885,6933461000,261692900000.0
2021-02-26,966.397,982.383,957.587,969.303,6967205900,269873460000.0
2021-03-01,981.404,990.584,971.435,990.131,6224143000,239964190000.0
2021-03-02,998.441,1001.816,972.385,982.591,6653844600,252894700000.0
2021-03-03,977.579,993.989,970.642,993.989,6248888300,215436010000.0
2021-03-04,980.966,980.966,946.087,950.165,6877424800,261274030000.0
2021-03-05,927.272,955.031,924.643,946.071,6394940700,228892150000.0
2021-03-08,953.918,958.756,902.987,902.987,7324686100,270258230000.0
2021-03-09,899.597,909.573,867.014,883.336,8063821300,280577060000.0
2021-03-10,902.535,907.288,890.168,897.673,5841006500,212027720000.0
2021-03-11,899.94,924.068,896.752,919.648,6897911900,226868750000.0
2021-03-12,925.244,925.773,909.5,923.507,6580653000,208257180000.0
2021-03-15,914.351,914.351,881.967,891.008,6268002200,215606190000.0
2021-03-16,893.572,898.518,881.434,894.898,5327043100,175548390000.0
2021-03-17,892.278,910.537,883.367,908.715,5806342900,179530290000.0
2021-03-18,912.395,920.789,910.358,918.462,5002184800,168599040000.0
2021-03-19,900.935,908.589,887.096,892.323,5613270400,186047410000.0
2021-03-22,892.694,905.095,887.574,899.217,6026968400,172482390000.0
2021-03-23,898.621,901.027,878.716,886.419,5622460700,163915170000.0
2021-03-24,881.65,889.37,865.041,867.045,5261493400,166640410000.0
2021-03-25,860.001,878.157,856.278,873.369,4793847500,145235900000.0
2021-03-26,879.092,905.205,879.092,902.416,5590888500,193399200000.0
2021-03-29,905.895,910.997,894.246,902.457,5154811500,179422000000.0
2021-03-30,901.18,921.305,898.368,918.765,4962000300,171863880000.0
2021-03-31,918.079,918.11,900.421,907.034,4530430100,160551730000.0
2021-04-01,909.831,923.257,908.696,922.495,4046633300,141851490000.0
2021-04-02,926.252,938.875,923.976,935.479,5071843800,172723990000.0
2021-04-06,939.63,941.78,929.435,933.639,4390144800,146952290000.0
2021-04-07,935.889,935.889,915.79,925.47,5320593700,162975980000.0
2021-04-08,921.366,931.962,916.512,928.727,4931517000,143907940000.0
2021-04-09,926.554,927.985,909.008,912.017,5056237400,146360070000.0
2021-04-12,909.965,914.652,882.118,884.916,6389460600,179811440000.0
2021-04-13,884.842,899.224,884.842,887.943,5595585500,157246180000.0
2021-04-14,889.48,903.091,889.431,902.091,5523225600,161516780000.0
2021-04-15,900.476,900.476,888.291,897.936,4378688200,148011090000.0
2021-04-16,902.292,902.612,886.464,897.629,4422707500,145460510000.0
2021-04-19,897.652,928.335,892.802,928.285,6134034900,209928490000.0
2021-04-20,924.099,940.41,922.898,931.677,5387911800,195436860000.0
2021-04-21,925.347,937.92,920.113,936.25,4898672800,166794540000.0
2021-04-22,940.064,940.653,928.206,939.356,4726184900,164650850000.0
2021-04-23,939.209,954.507,938.66,951.187,5457622900,197941300000.0
2021-04-26,955.979,964.129,942.555,943.848,6858071200,232924500000.0
2021-04-27,943.049,950.151,938.238,949.859,5111314800,173746320000.0
2021-04-28,947.787,957.372,942.664,957.372,5058677100,190492240000.0
2021-04-29,959.759,966.823,952.819,964.15,5051976400,194549580000.0
2021-04-30,962.214,968.399,954.342,961.148,5434340200,211107730000.0
2021-05-06,956.951,961.673,937.213,947.627,6219336500,220920360000.0
2021-05-07,949.122,954.254,926.447,926.447,6722606700,205198700000.0
2021-05-10,926.882,933.708,920.127,928.083,5828138000,188837090000.0
2021-05-11,918.861,930.441,907.786,927.835,5556744200,179162790000.0
2021-05-12,923.621,934.581,921.174,933.201,4103402200,147392820000.0
2021-05-13,920.779,927.294,914.95,919.39,5045911800,158713310000.0
2021-05-14,921.949,939.73,913.614,939.532,5578071700,200757820000.0
2021-05-17,941.741,971.813,941.741,967.708,5939392100,231573860000.0
2021-05-18,968.591,970.648,960.858,967.723,4319275600,151855220000.0
2021-05-19,963.915,974.433,959.887,970.996,4410227300,168045300000.0
2021-05-20,968.504,975.313,966.581,971.447,5196910700,185509530000.0
2021-05-21,974.82,978.255,959.276,965.687,4903570400,182265640000.0
2021-05-24,965.323,969.379,953.942,969.379,5178638400,191922260000.0
2021-05-25,969.95,998.684,968.703,997.864,6441618600,266832580000.0
2021-05-26,997.914,1001.554,992.897,994.99,5377827500,212665550000.0
2021-05-27,993.95,1007.412,989.043,1004.42,4987436100,196129760000.0
2021-05-28,1004.114,1011.936,994.728,999.948,6117662900,219568600000.0
2021-05-31,1002.315,1012.748,998.337,1012.748,5098125300,213768890000.0
2021-06-01,1010.448,1017.095,998.118,1016.656,5218874400,215911540000.0
2021-06-02,1016.818,1017.843,995.755,999.989,4847426800,198030310000.0
2021-06-03,998.655,1005.277,990.086,992.185,4727301800,193604730000.0
2021-06-04,986.899,1008.599,983.676,998.984,5147088700,199390560000.0
2021-06-07,999.45,1000.294,989.638,997.046,4684766900,193842030000.0
2021-06-08,997.635,1008.078,982.375,989.467,4620970900,208480680000.0
2021-06-09,989.576,996.593,985.368,995.144,4210370900,168904710000.0
2021-06-10,995.336,1013.181,993.901,1008.666,5461629200,218395230000.0
2021-06-11,1010.495,1010.495,997.246,1005.435,6702014400,261998460000.0
2021-06-15,1005.485,1008.49,990.261,997.209,5329776800,217359230000.0
2021-06-16,996.576,996.576,967.821,968.635,5072514000,206998540000.0
2021-06-17,968.082,981.957,968.057,977.991,4894896400,185842210000.0
2021-06-18,980.063,989.157,974.187,984.854,6952802300,246194870000.0
2021-06-21,981.67,992.596,973.143,987.434,5532196800,223663020000.0
2021-06-22,989.926,995.253,983.676,994.765,5274929200,205496990000.0
2021-06-23,996.235,1009.124,992.135,1002.665,5550286500,234159820000.0
2021-06-24,1005.63,1005.764,993.64,999.494,4854967900,199185660000.0
2021-06-25,1001.609,1022.326,1000.255,1020.526,5776131500,231847260000.0
2021-06-28,1023.939,1029.252,1020.769,1026.628,4975030400,215890640000.0
2021-06-29,1027.931,1028.039,1017.349,1020.427,4945921600,210171840000.0
2021-06-30,1020.539,1030.165,1016.914,1030.011,4070957200,186380500000.0
2021-07-01,1033.222,1038.329,1022.802,1031.125,4911696700,214233280000.0
2021-07-02,1022.013,1022.013,996.768,998.279,5172522100,234564180000.0
2021-07-05,997.968,1006.906,995.067,1004.605,5617162600,229444430000.0
2021-07-06,1007.261,1009.533,986.516,1000.385,6269919200,254424060000.0
2021-07-07,992.915,1022.403,990.243,1020.069,6004839100,237293620000.0
2021-07-08,1022.319,1025.383,1011.268,1012.512,7138040100,270720280000.0
2021-07-09,1008.342,1012.911,991.566,1010.163,6371432500,245709960000.0
2021-07-12,1018.982,1034.996,1009.302,1030.45,7435133900,292091390000.0
2021-07-13,1030.582,1038.03,1026.379,1033.599,5898229300,239169510000.0
2021-07-14,1030.786,1032.911,1020.735,1022.671,7133251300,245888660000.0
2021-07-15,1020.05,1035.623,1015.614,1035.352,6870290700,247375470000.0
2021-07-16,1032.822,1032.822,1015.91,1016.557,6793316900,242313470000.0
2021-07-19,1012.47,1020.274,1006.75,1019.287,5862700800,228865940000.0
2021-07-20,1011.296,1020.779,1008.259,1020.494,4975808100,188722970000.0
2021-07-21,1024.767,1039.722,1024.767,1036.085,6809487500,268010430000.0
2021-07-22,1038.963,1042.229,1032.421,1036.98,6853806300,276038710000.0
2021-07-23,1035.099,1035.099,1012.432,1017.597,7577090600,275359880000.0
2021-07-26,1011.745,1011.745,967.538,986.262,7761682700,317914400000.0
2021-07-27,986.127,992.917,950.397,950.397,9164095100,351487480000.0
