日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-05-29,1066.105,1074.825,1010.643,1013.054,338803770,5280497600.0
2024-05-30,1000.703,1072.836,998.251,1063.818,808262740,11138196300.0
2024-05-31,1066.978,1116.406,1066.978,1106.964,1804007000,26170814000.0
2024-06-03,1106.839,1115.34,1082.314,1092.705,2218222500,29228814000.0
2024-06-04,1080.294,1081.521,1058.089,1073.646,1950811800,25801621000.0
2024-06-05,1064.709,1086.121,1059.805,1059.805,1859748800,26283224000.0
2024-06-06,1056.434,1060.071,1006.017,1013.123,2248582700,28689039000.0
2024-06-07,1021.692,1031.544,1005.398,1016.484,1790953900,24032870000.0
2024-06-11,1009.453,1039.895,994.327,1037.977,1652289400,22759593000.0
2024-06-12,1033.832,1052.714,1033.397,1044.595,1582545600,21865269000.0
2024-06-13,1043.197,1058.635,1036.973,1049.116,1812458700,25474000000.0
2024-06-14,1044.934,1044.934,1033.308,1041.907,1652568800,22817134000.0
2024-06-17,1036.672,1047.965,1036.07,1038.941,1630425400,22925643000.0
2024-06-18,1037.813,1057.067,1035.716,1057.021,1860658600,25558720000.0
2024-06-19,1055.364,1059.703,1050.399,1050.693,1961642200,26588321000.0
2024-06-20,1046.028,1047.438,1019.103,1019.103,1872275600,24096641000.0
2024-06-21,1015.442,1022.196,1006.467,1015.482,1326938330,16853528000.0
2024-06-24,1011.223,1014.447,972.321,973.012,1584767600,19605756000.0
2024-06-25,974.643,987.799,961.506,970.429,1489750900,19101284000.0
2024-06-26,966.495,998.202,955.184,997.987,1504415500,19063201000.0
2024-06-27,993.721,999.994,976.97,977.147,1425644300,17769488000.0
2024-06-28,973.759,1006.606,973.759,992.88,1768169000,22807135000.0
2024-07-01,989.521,993.666,970.841,987.341,1400365500,17812372000.0
2024-07-02,985.901,993.423,977.021,980.29,1389348100,16423726000.0
2024-07-03,978.744,978.744,961.423,962.097,1208594290,14400533000.0
2024-07-04,962.213,968.397,936.11,937.333,1269906550,15251140000.0
2024-07-05,935.605,949.681,925.091,946.022,1146177220,13675816000.0
2024-07-08,942.852,942.852,913.184,915.8,1126234600,13024681400.0
2024-07-09,913.584,937.401,901.098,935.788,1712903900,20629663000.0
2024-07-10,931.072,942.931,928.691,930.358,1414622500,16268766000.0
2024-07-11,945.927,958.999,941.141,958.252,1499768000,17772414000.0
2024-07-12,958.099,958.812,947.459,950.379,1143327960,13279320900.0
2024-07-15,951.518,958.678,936.625,939.071,1179927930,14671337000.0
2024-07-16,936.576,945.331,929.377,943.831,1246587310,15969516000.0
2024-07-17,941.013,941.874,926.468,926.468,1183385770,14344896000.0
2024-07-18,919.335,930.524,902.674,925.043,1323015700,16034783000.0
2024-07-19,922.094,946.162,919.758,938.841,1177710990,15176704000.0
2024-07-22,942.047,961.976,941.61,955.744,1311925140,17040860000.0
2024-07-23,954.006,955.771,931.691,931.762,1353942200,17085632000.0
2024-07-24,927.627,951.726,927.627,937.169,1650193800,20689549000.0
2024-07-25,933.559,960.12,931.553,950.001,1815256900,21765169000.0
2024-07-26,949.454,999.589,949.452,995.558,2509210700,32016664000.0
2024-07-29,1001.413,1019.727,1000.179,1010.324,2688700600,34445355000.0
2024-07-30,1004.789,1030.499,1001.145,1023.271,3251657300,39170692000.0
2024-07-31,1016.703,1054.757,1015.841,1051.53,3833978700,49093572000.0
2024-08-01,1052.148,1080.141,1052.148,1069.315,3970154700,51089880000.0
2024-08-02,1061.853,1086.053,1052.205,1053.14,4218328100,55127902000.0
2024-08-05,1046.051,1063.772,1011.25,1011.291,3858746300,50137507000.0
2024-08-06,1025.835,1045.035,1012.792,1035.288,3716454600,44964797000.0
2024-08-07,1032.886,1070.409,1032.886,1060.878,4221826700,52668485000.0
2024-08-08,1056.079,1056.079,1020.456,1022.165,4256191600,51191977000.0
