日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,933.529,939.256,928.62,937.663,90456249,912822470.0
2020-01-03,937.563,945.29,934.227,943.271,125997823,894129380.0
2020-01-06,938.41,947.194,930.402,940.703,113747678,976057850.0
2020-01-07,941.389,946.674,938.286,946.674,94496302,768581620.0
2020-01-08,943.093,945.383,933.794,936.74,85133258,743299720.0
2020-01-09,938.832,949.777,938.832,949.777,65336400,810501860.0
2020-01-10,950.948,956.458,948.093,951.59,74531195,918966260.0
2020-01-13,949.511,952.718,942.256,952.257,54897111,741675040.0
2020-01-14,952.251,952.702,944.15,944.968,68867751,993881190.0
2020-01-15,944.544,947.878,936.874,938.186,53627908,637438540.0
2020-01-16,938.788,942.179,935.246,936.671,45966411,558742680.0
2020-01-17,939.457,942.101,931.438,932.899,49504518,657044400.0
2020-01-20,928.997,933.743,926.468,932.039,57206502,830289400.0
2020-01-21,925.892,925.892,911.207,914.152,60734446,1043243070.0
2020-01-22,911.589,914.865,897.451,913.162,57173816,853036220.0
2020-01-23,907.926,912.344,880.408,885.63,73061813,880731290.0
2020-02-03,801.203,815.776,801.203,811.053,73280164,830419790.0
2020-02-04,773.962,807.075,773.962,803.498,107900330,1107917460.0
2020-02-05,801.76,820.705,801.76,814.152,99385524,964923520.0
2020-02-06,817.296,833.422,810.06,832.237,113513746,1011662340.0
2020-02-07,828.573,840.628,823.237,840.281,101691524,1067319600.0
2020-02-10,837.06,859.25,833.542,858.632,130803043,998021470.0
2020-02-11,861.865,863.73,853.446,854.609,110071865,926016540.0
2020-02-12,857.872,865.071,856.668,865.071,68303990,620214380.0
2020-02-13,866.6,868.366,854.21,855.619,109265386,750122360.0
2020-02-14,849.693,855.789,846.804,852.518,73344863,603265260.0
2020-02-17,857.499,874.344,856.862,874.344,122098008,915186720.0
2020-02-18,872.213,880.093,867.49,880.093,104895987,877329170.0
2020-02-19,877.88,885.111,874.607,881.199,91249124,1021546550.0
2020-02-20,879.983,894.858,879.983,894.571,91572642,1211419470.0
2020-02-21,894.286,897.404,889.549,893.957,82332236,1027564000.0
2020-02-24,890.874,890.874,877.731,887.453,108351576,1132364250.0
2020-02-25,868.213,880.076,858.178,877.881,118845794,1190238660.0
2020-02-26,871.477,881.959,865.305,868.069,122628909,1220940800.0
2020-02-27,869.096,876.245,866.602,872.27,76232116,754392920.0
2020-02-28,855.346,856.41,829.648,831.956,107361384,1255921640.0
2020-03-02,831.663,856.383,831.663,852.677,71769529,900123220.0
2020-03-03,859.748,867.775,854.418,862.44,97709048,951824380.0
2020-03-04,859.376,869.549,856.617,869.549,72726510,795321580.0
2020-03-05,873.229,897.485,873.229,896.204,140754510,1573894900.0
2020-03-06,888.431,894.619,884.629,893.113,100392738,911844040.0
2020-03-09,883.825,885.21,865.588,866.434,119733565,1078126960.0
2020-03-10,851.257,879.242,846.141,878.796,107552650,1041527630.0
2020-03-11,880.711,898.657,877.762,880.241,219765660,1399839000.0
2020-03-12,871.609,871.609,855.781,857.247,146123250,941524130.0
2020-03-13,823.221,865.341,818.317,865.341,219099390,1248819380.0
2020-03-16,874.251,880.18,841.357,844.979,307632010,1720661800.0
2020-03-17,840.945,851.062,818.412,837.953,217206840,1414017700.0
2020-03-18,840.043,843.981,814.376,814.534,200249980,1197490400.0
