日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2024-10-21,1065.076,1066.22,1047.658,1054.555,2430104800,30112558000.0
2024-10-22,1044.542,1047.867,1030.657,1042.061,1918645200,21999536000.0
2024-10-23,1047.888,1063.595,1044.764,1056.711,2006714000,24762038000.0
2024-10-24,1047.431,1049.196,1036.138,1041.067,1350577600,16386622000.0
2024-10-25,1041.768,1061.716,1041.768,1054.278,1381659700,21175479000.0
2024-10-28,1053.397,1062.717,1046.896,1062.717,1566455300,18975666000.0
2024-10-29,1062.078,1063.094,1034.789,1035.703,1552441500,19942404000.0
2024-10-30,1033.06,1041.034,1027.499,1037.147,1364601800,18234904000.0
2024-10-31,1038.322,1050.218,1032.083,1044.284,1846440100,21451122000.0
2024-11-01,1041.984,1049.035,1029.116,1035.89,2120542900,25690760000.0
2024-11-04,1036.694,1048.549,1032.08,1048.549,1625949300,17272429000.0
2024-11-05,1048.096,1072.97,1045.201,1072.97,2112693600,26504609000.0
2024-11-06,1078.44,1086.144,1067.93,1075.55,3836269700,49350176000.0
2024-11-07,1066.759,1097.084,1064.717,1097.084,4095468900,47939882000.0
2024-11-08,1106.137,1109.543,1084.744,1089.049,3819127300,47624346000.0
2024-11-11,1085.236,1109.83,1082.377,1109.812,3146141100,41234644000.0
2024-11-12,1112.611,1118.212,1091.354,1100.036,3371768300,43070464000.0
2024-11-13,1093.698,1104.298,1083.089,1100.149,2508944900,31364992000.0
2024-11-14,1098.768,1100.108,1070.321,1071.577,2771821800,35800120000.0
2024-11-15,1068.05,1082.776,1056.863,1056.863,3094257700,36771681000.0
2024-11-18,1064.655,1070.288,1040.937,1046.445,4027160300,43465450000.0
2024-11-19,1047.14,1065.54,1035.838,1065.54,3147364300,35996496000.0
2024-11-20,1061.815,1081.226,1060.764,1081.178,3814353800,40852072000.0
2024-11-21,1080.757,1086.475,1072.35,1082.105,3606584300,38937163000.0
2024-11-22,1079.709,1080.191,1041.117,1041.177,4249533000,44550354000.0
2024-11-25,1043.473,1055.551,1035.504,1051.274,3625420000,36632120000.0
2024-11-26,1050.711,1058.4,1044.526,1045.603,3129122200,31634347000.0
2024-11-27,1041.446,1062.461,1022.994,1062.461,3659501600,37024470000.0
2024-11-28,1062.489,1073.713,1062.178,1064.69,3914134800,39180497000.0
2024-11-29,1063.682,1083.727,1059.078,1078.711,4156060600,43364642000.0
2024-12-02,1078.317,1096.356,1077.433,1094.734,4853601600,47690748000.0
2024-12-03,1095.942,1097.48,1085.429,1093.716,4130292500,42971353000.0
2024-12-04,1093.06,1093.06,1074.672,1078.999,4014645700,41648056000.0
2024-12-05,1075.671,1086.922,1073.932,1085.433,3787008500,37273389000.0
2024-12-06,1085.106,1099.703,1079.797,1097.911,5497527200,44841055000.0
2024-12-09,1099.227,1102.682,1089.084,1097.356,6002694500,48036901000.0
2024-12-10,1125.763,1127.786,1099.966,1101.441,6807458800,63535406000.0
2024-12-11,1099.039,1114.613,1098.988,1114.613,6222816700,51335954000.0
2024-12-12,1114.194,1125.316,1109.753,1125.05,6036594100,54663999000.0
2024-12-13,1120.582,1120.582,1105.349,1105.891,7266703100,71070514000.0
2024-12-16,1106.085,1110.161,1093.675,1098.286,5094122200,54015065000.0
2024-12-17,1096.635,1097.409,1070.426,1072.137,5042854400,46291060000.0
2024-12-18,1073.763,1084.209,1067.12,1075.628,4388705900,42473665000.0
2024-12-19,1067.606,1077.276,1060.187,1075.257,4322103100,50037330000.0
2024-12-20,1075.175,1089.035,1075.175,1082.109,3984973100,47995097000.0
2024-12-23,1082.497,1082.497,1053.272,1054.656,4893621300,52175854000.0
2024-12-24,1057.616,1068.958,1054.736,1068.786,4505059800,49681240000.0
2024-12-25,1067.748,1067.895,1046.918,1058.615,4225718200,44560946000.0
2024-12-26,1056.18,1069.444,1056.18,1067.93,3806490300,43768584000.0
2024-12-27,1068.622,1081.675,1064.71,1075.447,4854635800,52278131000.0
2024-12-30,1073.817,1074.632,1062.673,1068.93,5141166200,51854860000.0
2024-12-31,1068.721,1071.793,1047.218,1048.299,5744023900,56592853000.0
2025-01-02,1047.536,1056.118,1020.036,1027.496,6529414500,61932891000.0
2025-01-03,1029.221,1032.019,999.664,1001.273,5943820900,56067696000.0
2025-01-06,999.11,1013.067,987.54,1001.104,5047169600,48623826000.0
2025-01-07,1001.725,1016.149,997.209,1016.069,5421118300,48640599000.0
2025-01-08,1013.107,1019.887,988.653,1013.654,6347310500,61205507000.0
2025-01-09,1008.518,1017.013,1006.059,1011.837,4947539800,54966027000.0
2025-01-10,1010.049,1018.414,989.53,989.53,4895248600,52853512000.0
2025-01-13,981.568,997.925,974.905,992.693,4598604100,48599631000.0
2025-01-14,995.925,1031.4,995.925,1031.4,5945932700,63292478000.0
2025-01-15,1030.93,1032.336,1022.727,1025.434,5141870100,59962257000.0
2025-01-16,1028.794,1042.342,1020.649,1029.533,5008459700,55591313000.0
2025-01-17,1025.853,1038.102,1021.72,1033.0,4482988800,52552293000.0
2025-01-20,1037.451,1044.408,1032.312,1040.048,5095076200,55864190000.0
2025-01-21,1043.9,1044.757,1028.996,1038.132,5391515900,59614034000.0
2025-01-22,1034.344,1034.344,1023.271,1027.589,4277908800,50210138000.0
2025-01-23,1035.577,1045.222,1026.57,1026.57,5326889500,58940478000.0
2025-01-24,1023.979,1037.277,1022.708,1036.269,4713155200,54052555000.0
2025-01-27,1038.979,1046.5,1030.535,1030.535,4363894100,45970821000.0
2025-02-05,1038.586,1039.339,1030.261,1035.395,4940707500,58855731000.0
2025-02-06,1034.39,1053.82,1031.835,1053.82,5473125100,65716244000.0
2025-02-07,1055.106,1075.13,1054.187,1067.524,7313801200,87701634000.0
2025-02-10,1071.135,1077.688,1066.298,1077.62,6423797700,77420400000.0
2025-02-11,1077.957,1078.01,1066.722,1074.567,5669491900,72631750000.0
2025-02-12,1073.08,1085.959,1072.425,1085.959,6451936200,83524028000.0
2025-02-13,1087.37,1090.272,1080.269,1080.269,7513424600,94625421000.0
2025-02-14,1079.154,1084.726,1077.633,1082.869,7047343800,85870514000.0
2025-02-17,1085.636,1089.978,1080.232,1088.118,7304688800,95983015000.0
2025-02-18,1086.729,1087.481,1064.368,1067.907,7058560000,88081126000.0
2025-02-19,1065.891,1085.72,1065.891,1085.72,6353109000,84490675000.0
2025-02-20,1085.253,1093.019,1082.32,1091.464,6137099900,79599564000.0
2025-02-21,1092.473,1100.894,1085.299,1100.117,7364710300,103039917000.0
2025-02-24,1101.307,1110.165,1098.372,1106.426,7975937000,105865480000.0
2025-02-25,1096.343,1109.783,1094.025,1103.284,6821373200,92552429000.0
2025-02-26,1104.801,1120.082,1104.801,1120.082,7840520900,100314865000.0
2025-02-27,1122.16,1125.017,1105.912,1121.475,8302707300,109732832000.0
2025-02-28,1118.475,1119.212,1092.687,1094.746,8149603900,106540141000.0
2025-03-03,1098.194,1114.448,1093.763,1099.083,7368555800,94074518000.0
2025-03-04,1092.988,1109.045,1091.971,1108.775,6099525000,80906395000.0
2025-03-05,1108.555,1111.671,1098.707,1111.457,6269071200,78327596000.0
2025-03-06,1115.03,1128.444,1112.675,1126.801,7472061600,100475972000.0
2025-03-07,1123.301,1134.674,1121.372,1127.175,7037786200,93174498000.0
2025-03-10,1129.7,1135.595,1125.491,1133.531,6378633800,79055806000.0
2025-03-11,1121.476,1139.397,1119.985,1139.397,6756857300,89482099000.0
2025-03-12,1142.304,1147.606,1139.077,1141.092,7166186400,91356240000.0
2025-03-13,1139.594,1143.299,1121.901,1131.462,7557167400,91036759000.0
2025-03-14,1131.64,1147.345,1126.617,1147.345,8360830700,102317578000.0
2025-03-17,1151.086,1156.498,1148.047,1153.573,7503318600,92952548000.0
2025-03-18,1156.495,1158.62,1151.876,1157.035,6954697100,88391056000.0
2025-03-19,1155.091,1155.737,1146.854,1151.24,6324628700,79028758000.0
2025-03-20,1150.029,1159.96,1149.091,1151.755,7595512700,88730776000.0
2025-03-21,1148.278,1154.236,1134.217,1138.613,8774540600,96217787000.0
2025-03-24,1138.401,1139.463,1108.815,1127.559,8234679900,87695989000.0
2025-03-25,1127.196,1133.172,1119.646,1127.834,7879176400,82335901000.0
2025-03-26,1124.799,1141.36,1124.799,1137.891,7292801300,78900527000.0
2025-03-27,1134.119,1140.305,1121.991,1132.323,7098600800,75221243000.0
2025-03-28,1130.733,1133.752,1116.66,1117.166,6322142500,67236723000.0
2025-03-31,1111.597,1113.004,1092.775,1104.296,6582432000,73480325000.0
2025-04-01,1106.254,1123.32,1106.254,1116.713,5856549200,65514637000.0
2025-04-02,1115.752,1125.922,1113.743,1119.605,5035868200,56123152000.0
2025-04-03,1109.8,1123.371,1105.467,1114.154,6571569600,80308545000.0
2025-04-07,1056.815,1062.018,985.28,994.204,11236768400,118076078000.0
2025-04-08,993.457,1017.312,987.803,1006.188,11243233200,120206710000.0
2025-04-09,990.629,1031.984,955.778,1027.03,11304228800,121808716000.0
2025-04-10,1044.192,1062.885,1044.192,1050.569,9992594300,112968198000.0
2025-04-11,1043.364,1065.605,1042.813,1056.68,7798012500,88384610000.0
2025-04-14,1067.309,1077.837,1067.309,1071.85,7574422600,84428075000.0
2025-04-15,1072.06,1073.109,1062.836,1070.648,6164096600,68434109000.0
2025-04-16,1067.519,1068.831,1043.429,1058.673,7031074400,75576059000.0
2025-04-17,1054.096,1070.46,1053.112,1063.38,6201014200,64904967000.0
2025-04-18,1061.769,1066.422,1055.012,1062.735,6074963800,64499051000.0
2025-04-21,1060.691,1078.89,1056.911,1078.858,7194601800,78521065000.0
2025-04-22,1077.402,1085.354,1075.975,1081.485,7668343200,80292520000.0
2025-04-23,1085.553,1091.375,1084.203,1088.012,8267242600,92477713000.0
2025-04-24,1087.697,1091.869,1077.325,1083.783,7956603500,83437184000.0
2025-04-25,1083.286,1092.162,1079.798,1086.169,8545251000,87302006000.0
2025-04-28,1086.103,1086.103,1072.124,1074.177,7982799100,86389964000.0
2025-04-29,1071.091,1085.521,1070.024,1083.073,7995312100,88002214000.0
2025-04-30,1084.956,1094.846,1084.956,1090.809,8544491200,96192400000.0
2025-05-06,1098.526,1116.901,1098.526,1116.901,10255295400,115483480000.0
2025-05-07,1127.775,1131.352,1116.007,1124.782,10678891300,120375433000.0
2025-05-08,1121.778,1134.814,1120.651,1134.298,9443094200,105360703000.0
2025-05-09,1135.114,1135.114,1119.338,1123.94,8556250900,96401889000.0
2025-05-12,1131.286,1138.581,1129.238,1138.581,9995393000,116501463000.0
2025-05-13,1147.924,1148.035,1136.499,1137.923,9956451600,115802688000.0
2025-05-14,1137.223,1143.724,1130.746,1139.193,10596135800,114434393000.0
2025-05-15,1138.416,1138.416,1129.257,1130.342,10061416900,102048924000.0
2025-05-16,1128.413,1139.338,1128.413,1136.067,9143808100,97905400000.0
2025-05-19,1137.584,1144.152,1128.905,1143.378,8931680100,97891069000.0
2025-05-20,1144.123,1151.764,1140.402,1150.823,9163859600,102369970000.0
2025-05-21,1149.431,1150.214,1143.659,1148.137,9142671400,105417208000.0
2025-05-22,1144.996,1150.933,1132.345,1132.93,8800673600,94871590000.0
2025-05-23,1132.501,1143.384,1123.044,1123.044,8851998100,102008892000.0
2025-05-26,1123.377,1132.633,1121.753,1131.314,7874273300,87337177000.0
2025-05-27,1132.056,1134.676,1123.876,1132.471,7942139900,88161194000.0
2025-05-28,1133.192,1137.084,1128.531,1130.989,8152651100,84524340000.0
2025-05-29,1130.226,1147.038,1130.226,1147.038,8647222100,98848652000.0
2025-05-30,1145.527,1145.581,1136.268,1137.813,9099078800,104453273000.0
2025-06-03,1133.618,1144.75,1133.618,1144.514,8613952000,105779920000.0
2025-06-04,1145.594,1155.378,1145.594,1155.378,9470275700,105838878000.0
2025-06-05,1155.925,1156.578,1149.965,1155.349,9748033500,114269944000.0
2025-06-06,1155.573,1157.229,1152.278,1156.926,8383318800,101707189000.0
2025-06-09,1158.796,1168.628,1158.594,1168.617,9259437500,114589861000.0
2025-06-10,1169.549,1169.549,1148.798,1160.176,10554094600,124559677000.0
2025-06-11,1160.328,1170.402,1160.328,1167.74,9815479300,113786955000.0
2025-06-12,1166.289,1168.236,1162.337,1167.9,9212428500,111423239000.0
2025-06-13,1165.28,1165.476,1149.614,1150.464,11483840200,133068386000.0
2025-06-16,1147.625,1158.847,1147.625,1157.81,9127949700,111673905000.0
2025-06-17,1159.787,1163.162,1153.698,1157.511,9539041100,113448884000.0
2025-06-18,1155.749,1156.844,1146.344,1154.436,9258811900,107254418000.0
2025-06-19,1153.005,1155.648,1133.938,1136.673,9354763700,109353115000.0
2025-06-20,1136.514,1143.953,1132.039,1132.429,8196057100,95556455000.0
2025-06-23,1127.398,1146.898,1127.389,1146.374,8935611700,99948984000.0
2025-06-24,1147.605,1167.004,1147.605,1167.004,10478903400,123700023000.0
2025-06-25,1168.52,1175.669,1164.44,1175.495,11218679300,136440370000.0
2025-06-26,1174.326,1179.861,1170.348,1171.124,11251750500,138606940000.0
2025-06-27,1174.904,1180.907,1174.904,1177.601,11032596800,134771940000.0
2025-06-30,1180.914,1190.825,1179.103,1190.54,10315177600,132245574000.0
2025-07-01,1190.402,1195.184,1184.065,1195.184,10216553000,125535316000.0
2025-07-02,1195.163,1195.574,1189.332,1194.657,12017054300,125254119000.0
2025-07-03,1194.767,1202.59,1193.928,1202.356,11157011500,124597692000.0
2025-07-04,1202.226,1202.543,1191.762,1192.53,10758938200,123983884000.0
2025-07-07,1191.353,1194.838,1190.268,1194.838,8963612800,99730034000.0
2025-07-08,1195.81,1209.337,1195.322,1209.336,11515924000,135764500000.0
2025-07-09,1210.306,1213.999,1203.905,1206.699,11056952300,129995798000.0
2025-07-10,1206.752,1213.98,1204.689,1211.531,12640500300,136760160000.0
2025-07-11,1213.183,1220.203,1208.579,1216.557,15024356000,160681610000.0
2025-07-14,1218.188,1225.165,1217.98,1223.776,14857907000,151231060000.0
2025-07-15,1221.834,1223.206,1204.567,1214.907,14752818000,168356870000.0
2025-07-16,1214.773,1221.006,1213.252,1219.493,11404852600,141064610000.0
2025-07-17,1219.964,1232.453,1219.234,1232.453,12275985300,159113820000.0
2025-07-18,1234.63,1238.564,1231.923,1238.554,13917423000,168102640000.0
2025-07-21,1242.056,1257.683,1242.056,1257.603,18376652000,192322240000.0
2025-07-22,1258.888,1269.226,1257.33,1269.226,19470996000,211865790000.0
2025-07-23,1270.907,1274.249,1260.498,1261.967,20619214000,211404470000.0
2025-07-24,1261.009,1281.016,1261.009,1281.016,19542022000,211727040000.0
2025-07-25,1282.92,1284.508,1277.768,1281.661,19004214000,211986160000.0
2025-07-28,1281.035,1283.453,1275.014,1280.957,15818731000,189286840000.0
2025-07-29,1280.372,1282.925,1271.224,1282.925,16254738000,194247540000.0
2025-07-30,1281.953,1285.85,1268.55,1277.927,17916193000,212729380000.0
