日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1328.013,1340.862,1328.013,1337.851,1238266570,7483331100.0
2020-01-03,1342.687,1349.013,1339.973,1347.038,1169774730,6498828000.0
2020-01-06,1343.274,1364.76,1337.359,1357.185,1687689900,9071979000.0
2020-01-07,1359.141,1376.98,1358.776,1376.98,1533314500,8712067800.0
2020-01-08,1372.169,1375.937,1354.32,1355.877,1635607400,9313335000.0
2020-01-09,1362.662,1372.899,1362.662,1372.82,1284999360,7348288900.0
2020-01-10,1375.775,1378.092,1364.331,1370.42,1142761540,6568190700.0
2020-01-13,1367.955,1376.47,1357.276,1376.47,1115279000,6904089600.0
2020-01-14,1377.302,1398.51,1376.87,1391.69,1634115200,10054556600.0
2020-01-15,1388.673,1389.624,1373.739,1380.198,1359640600,8252888700.0
2020-01-16,1382.655,1385.725,1369.345,1370.356,1159187250,7661596700.0
2020-01-17,1371.45,1374.06,1359.323,1359.737,1012500620,6570308300.0
2020-01-20,1361.666,1369.514,1353.925,1369.386,1042698290,6640004100.0
2020-01-21,1367.611,1367.611,1349.33,1349.777,1046054700,6598866900.0
2020-01-22,1344.945,1354.288,1325.955,1348.212,1228605250,7300397100.0
2020-01-23,1339.93,1344.439,1295.584,1307.084,1399478600,8144482000.0
2020-02-03,1184.42,1188.863,1183.035,1187.742,865710870,4946058900.0
2020-02-04,1115.002,1177.037,1115.002,1173.128,1721025500,9579731500.0
2020-02-05,1180.436,1216.487,1178.786,1205.463,1644894800,9716383000.0
2020-02-06,1212.459,1253.276,1203.777,1251.224,1791070300,11071411500.0
2020-02-07,1262.991,1300.349,1254.009,1300.349,2107114700,13657683000.0
2020-02-10,1316.807,1328.343,1303.397,1323.471,2382736500,16056212000.0
2020-02-11,1315.092,1315.092,1291.146,1292.345,2222519100,15903847000.0
2020-02-12,1286.962,1309.903,1286.455,1308.864,1869683400,12850404800.0
2020-02-13,1309.834,1322.165,1289.028,1312.656,2126809200,15043858000.0
2020-02-14,1308.479,1317.661,1300.502,1308.084,1833046200,13420302400.0
2020-02-17,1309.999,1342.093,1309.328,1342.093,1703216300,11937259000.0
2020-02-18,1344.951,1356.394,1338.514,1356.309,2118439000,14848733000.0
2020-02-19,1353.251,1359.901,1345.258,1346.84,2146776900,15329415000.0
2020-02-20,1347.95,1361.74,1338.014,1361.592,1804314500,12410718400.0
2020-02-21,1364.868,1378.018,1362.246,1369.678,1886529900,12781480500.0
2020-02-24,1375.737,1388.108,1365.069,1384.727,2000647200,13932165000.0
2020-02-25,1354.75,1366.872,1324.104,1364.341,2223994800,15572818000.0
