日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-17,1017.225,1035.791,1012.333,1016.699,487610620,10203310600.0
2022-03-18,1007.291,1013.485,996.066,1005.112,382265880,7520280100.0
2022-03-21,1000.235,1016.962,994.888,1007.845,359007650,6717981000.0
2022-03-22,1003.628,1017.626,993.633,1015.429,342877110,6786904300.0
2022-03-23,1011.696,1022.426,1004.474,1015.397,344757410,6515688600.0
2022-03-24,1008.847,1008.847,982.798,989.651,302697880,5457492900.0
2022-03-25,993.903,1000.152,971.559,971.948,259634490,4501119700.0
2022-03-28,969.625,981.844,961.404,970.366,249661020,4076824700.0
2022-03-29,971.162,972.208,954.397,954.73,320197050,4640165300.0
2022-03-30,960.144,972.689,955.981,972.246,282854790,4684784500.0
2022-03-31,968.038,979.238,962.623,978.778,331635790,5432189600.0
2022-04-01,970.784,974.067,964.343,970.239,292884990,4787373500.0
2022-04-06,967.593,977.269,965.807,971.346,261380200,4173839900.0
2022-04-07,966.937,970.262,935.088,935.088,262183250,4291669000.0
2022-04-08,932.634,933.752,906.644,917.509,249938210,4217090700.0
2022-04-11,913.625,913.625,872.545,879.071,224921570,3743595700.0
2022-04-12,880.703,901.174,875.16,901.174,217780360,3735673400.0
2022-04-13,896.381,896.381,872.182,872.764,185628070,3122134400.0
2022-04-14,879.838,885.389,875.346,879.175,174320810,2865519100.0
2022-04-15,872.507,882.312,860.096,871.011,259347550,3929196300.0
2022-04-18,864.48,882.568,851.961,880.927,208906760,3382055700.0
2022-04-19,882.517,892.474,874.166,880.008,181604540,2986937000.0
2022-04-20,899.055,906.366,873.269,877.325,259660560,4113549200.0
2022-04-21,866.089,871.968,835.375,837.521,239487820,3734627500.0
2022-04-22,828.898,829.655,811.552,812.54,203873700,3276743400.0
2022-04-25,795.892,795.892,742.209,742.209,266751770,3774935000.0
2022-04-26,742.025,750.639,701.917,704.053,305517130,4945446700.0
2022-04-27,698.848,738.22,696.5,738.22,295755690,4327505400.0
2022-04-28,732.784,733.242,709.255,718.151,254771950,3769844500.0
2022-04-29,728.981,761.979,725.983,759.02,288967080,4491121800.0
2022-05-05,758.956,778.689,753.217,768.194,246271240,3957634900.0
2022-05-06,749.644,808.672,745.435,789.078,310368590,4695932600.0
2022-05-09,784.727,803.06,784.079,789.804,272630250,3929454300.0
2022-05-10,779.167,806.317,776.573,800.772,339012760,4969842400.0
2022-05-11,800.102,826.09,800.102,800.926,350596570,5349209600.0
2022-05-12,794.391,811.896,793.622,804.643,247897540,3718626400.0
2022-05-13,807.447,812.223,797.99,803.682,183265340,2731983500.0
2022-05-16,808.867,814.898,797.903,802.965,204597490,3245239800.0
2022-05-17,805.232,806.441,789.142,804.579,189485950,2901997700.0
2022-05-18,820.103,834.738,810.518,812.597,282000920,4345421400.0
2022-05-19,796.047,809.784,794.022,809.579,198159380,2995377500.0
2022-05-20,810.573,820.62,808.231,817.995,204700750,3152421700.0
2022-05-23,822.168,829.643,818.229,828.396,214878750,3042116700.0
2022-05-24,828.491,828.491,779.135,779.135,283911840,4189092600.0
2022-05-25,785.11,800.202,785.11,798.041,190202130,2656989600.0
2022-05-26,800.178,815.225,785.15,808.512,283684920,4000635100.0
2022-05-27,813.066,817.664,801.843,810.996,248243190,3638547800.0
2022-05-30,813.012,822.84,807.912,820.261,238578230,3489501700.0
2022-05-31,822.455,834.065,811.019,833.508,274901310,4534846500.0
2022-06-01,829.608,841.699,827.104,835.734,283251460,4233305500.0
2022-06-02,836.348,847.989,825.236,846.744,257607100,3846241100.0
2022-06-06,848.183,865.689,848.183,862.687,291792880,4718112900.0
2022-06-07,861.739,862.348,846.565,858.621,275186760,4217835100.0
2022-06-08,855.856,879.637,852.513,866.95,399618140,6250855100.0
