日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1657.245,1673.293,1654.101,1668.942,925589100,6574407800.0
2020-01-03,1669.566,1694.918,1669.521,1692.509,1065163690,7269004000.0
2020-01-06,1688.79,1722.651,1684.513,1710.656,1169219270,7929204000.0
2020-01-07,1708.548,1730.399,1707.071,1730.399,1179317370,8739726000.0
2020-01-08,1725.66,1728.819,1691.27,1693.776,1142692470,8274984900.0
2020-01-09,1701.661,1716.343,1701.661,1716.343,796044870,5578291500.0
2020-01-10,1717.206,1719.19,1699.85,1711.204,655965450,4854820900.0
2020-01-13,1710.926,1711.378,1693.116,1711.378,569031740,4249559100.0
2020-01-14,1717.417,1730.505,1714.986,1725.214,851830960,5777378600.0
2020-01-15,1719.369,1719.962,1696.583,1702.38,813200850,5286402400.0
2020-01-16,1700.18,1701.86,1689.189,1690.243,606184100,3952812200.0
2020-01-17,1693.527,1697.924,1682.587,1682.944,493535710,3371465700.0
2020-01-20,1682.546,1695.919,1676.508,1695.919,653132400,4648137600.0
2020-01-21,1690.502,1690.502,1669.097,1669.518,637062710,4336779100.0
2020-01-22,1665.85,1678.135,1643.659,1672.427,591089450,4060980100.0
2020-01-23,1655.447,1659.437,1592.886,1604.182,762490800,5136612900.0
2020-02-03,1446.41,1453.763,1446.302,1451.121,301764190,1772794900.0
2020-02-04,1347.145,1416.239,1347.145,1414.482,996867850,5695328000.0
2020-02-05,1416.317,1469.616,1415.435,1454.088,884953610,5429398500.0
2020-02-06,1462.019,1500.615,1453.659,1500.166,1019303550,6363127200.0
2020-02-07,1500.819,1505.972,1479.193,1505.146,1006640500,6049919000.0
2020-02-10,1499.606,1568.422,1497.017,1567.613,1202952220,7840469700.0
2020-02-11,1573.321,1573.321,1536.302,1539.111,1021893150,6740241700.0
2020-02-12,1531.58,1562.637,1529.46,1561.956,809632030,5376152800.0
2020-02-13,1560.348,1578.688,1552.719,1554.168,979429280,6798565700.0
2020-02-14,1549.538,1569.635,1546.941,1564.994,1009928210,7026897600.0
