日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-02-18,989.072,1005.968,982.182,1003.009,2249407400,16147500000.0
2022-02-21,996.011,1009.17,993.429,1008.461,1691029100,12321391400.0
2022-02-22,1000.892,1003.043,987.364,994.861,1573994600,10388528600.0
2022-02-23,1004.886,1008.087,997.993,1004.154,1544176400,10452918900.0
2022-02-24,998.376,1005.872,956.268,967.341,2214549000,15849500000.0
2022-02-25,971.198,981.009,965.173,971.623,1497759800,9823429500.0
2022-02-28,970.505,970.719,952.527,969.86,1486620300,10361959500.0
2022-03-01,967.451,973.743,965.468,973.611,1319991230,10801755100.0
2022-03-02,966.89,983.226,965.833,982.569,1447505100,11755082900.0
2022-03-03,986.065,987.813,980.21,987.075,1571391400,12896634400.0
2022-03-04,983.548,986.401,969.129,971.141,1702541000,13557837000.0
2022-03-07,968.272,973.961,956.434,963.243,1529545600,12046352200.0
2022-03-08,959.1,960.365,931.207,932.77,1908414300,14948065000.0
2022-03-09,929.62,940.953,888.659,926.107,2111046400,15404938000.0
2022-03-10,940.655,952.155,935.256,943.436,1866494200,14127111000.0
2022-03-11,932.482,946.507,917.51,944.209,1717919800,13013818500.0
2022-03-14,935.837,942.319,911.699,911.699,1487810700,11777211000.0
2022-03-15,904.517,907.347,862.398,862.398,1784524700,11614246400.0
2022-03-16,877.098,890.829,848.723,888.257,1731868500,11290747200.0
2022-03-17,897.081,913.381,895.095,903.337,1660492900,10592691300.0
2022-03-18,899.811,924.076,897.626,922.585,1595269200,11739069900.0
2022-03-21,924.457,942.588,924.457,942.588,1857220500,15333155000.0
2022-03-22,939.615,941.868,930.96,936.13,1688052300,13897125000.0
2022-03-23,941.347,944.14,932.855,936.941,1683840200,13236122800.0
2022-03-24,931.733,931.733,922.054,923.282,1425871900,12725531300.0
2022-03-25,921.755,931.448,918.361,918.936,1528202000,12225598800.0
2022-03-28,912.314,926.097,905.518,919.396,1538129800,10992352800.0
2022-03-29,918.907,919.902,905.41,909.283,1410512300,11317734500.0
2022-03-30,910.019,920.623,907.148,919.739,1386493900,11586458600.0
2022-03-31,918.795,931.065,917.645,921.167,1562350300,12855384700.0
2022-04-01,914.53,918.146,911.61,916.244,1343215900,8226193300.0
2022-04-06,912.191,930.423,912.191,930.364,1563582000,11378923300.0
2022-04-07,925.746,925.746,903.23,903.23,1307048830,9478304900.0
2022-04-08,904.065,912.492,892.802,908.871,1595122100,11230851900.0
2022-04-11,907.458,909.577,884.719,890.546,1666459200,11506169500.0
2022-04-12,884.712,902.212,874.324,902.212,1380223400,10301321700.0
2022-04-13,897.774,897.774,877.556,877.57,1333249130,9673583000.0
2022-04-14,879.288,890.512,877.41,884.915,1266322340,8822360300.0
2022-04-15,882.367,882.369,854.959,856.776,1377741400,8977852100.0
2022-04-18,850.877,858.579,837.418,856.059,956720540,6181404800.0
2022-04-19,856.9,868.742,856.355,868.742,1085730300,7322032700.0
2022-04-20,866.924,874.221,856.238,867.317,1481630800,9092768800.0
2022-04-21,861.484,861.634,826.822,828.613,1508048900,8876983600.0
2022-04-22,821.072,827.652,810.909,816.864,1161820460,6756830100.0
2022-04-25,802.562,802.562,750.718,750.718,1608097200,8914213600.0
2022-04-26,753.662,761.33,728.42,731.669,1308777200,7315659800.0
2022-04-27,722.995,751.309,711.39,751.309,1382268400,8575843300.0
2022-04-28,744.202,752.058,724.606,735.17,1229097130,8922781300.0
2022-04-29,738.342,768.874,738.342,763.537,1426196000,9452666400.0
2022-05-05,761.963,785.385,759.621,779.915,1351214500,9621275100.0
2022-05-06,762.267,774.495,757.177,767.289,1310296980,9310054500.0
2022-05-09,775.39,801.238,775.39,800.877,1287260440,9259519200.0
2022-05-10,798.731,824.112,796.2,824.105,1787411800,12834575200.0
2022-05-11,833.532,843.325,824.655,825.53,1997719000,15865070000.0
2022-05-12,825.177,846.743,825.115,836.552,2022420300,14756596000.0
2022-05-13,837.893,838.291,828.843,834.437,2108915900,13540824000.0
2022-05-16,838.09,843.674,836.35,841.846,1593992000,11429605400.0
2022-05-17,840.348,840.459,818.902,832.428,1612368300,9230940300.0
2022-05-18,831.588,847.228,829.816,840.943,1598330100,11268922700.0
2022-05-19,831.44,853.18,830.084,852.689,1741791900,11298518700.0
2022-05-20,856.686,866.799,856.631,865.388,1800059600,11752350400.0
2022-05-23,860.486,872.025,859.032,871.772,1709928100,11406190800.0
2022-05-24,874.682,875.21,832.763,832.763,1950787100,12859372500.0
2022-05-25,829.871,849.711,829.871,849.711,1327334770,8675262600.0
2022-05-26,852.168,861.363,847.232,857.016,1470192800,9341519500.0
2022-05-27,858.083,861.399,848.57,856.634,1560722800,12086246400.0
2022-05-30,859.306,863.014,853.163,863.0,1476663400,12104199800.0
2022-05-31,862.385,866.471,851.45,865.715,1365823600,9691533500.0
2022-06-01,861.305,869.595,858.092,866.265,1363682300,8291539800.0
2022-06-02,864.264,869.527,857.332,868.505,1501604400,11375377900.0
2022-06-06,870.109,882.435,869.677,882.107,1493851700,11114925900.0
2022-06-07,885.731,885.731,869.579,877.51,1518412800,10694915300.0
2022-06-08,877.445,883.755,860.087,873.815,1539233900,11060939900.0
2022-06-09,872.209,872.209,860.793,862.029,1413451800,11115717000.0
