日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1812.708,1845.693,1807.644,1844.737,1316229860,12499370300.0
2020-01-03,1847.121,1869.851,1846.93,1860.968,1309439230,12768173000.0
2020-01-06,1852.821,1891.471,1843.595,1880.216,1457699600,16140161000.0
2020-01-07,1878.752,1919.459,1878.49,1919.441,1443063400,13988262000.0
2020-01-08,1905.389,1915.205,1877.678,1882.496,1394137600,13550387000.0
2020-01-09,1899.719,1924.954,1899.719,1924.954,1319071910,13672638000.0
2020-01-10,1932.102,1934.874,1911.62,1921.096,1042030080,12001917300.0
2020-01-13,1918.814,1939.825,1904.436,1939.825,962616800,10503718500.0
2020-01-14,1947.738,1954.954,1939.614,1939.614,973577620,10257520400.0
2020-01-15,1940.041,1956.338,1932.317,1951.465,1155221030,12697826000.0
2020-01-16,1950.029,1958.164,1932.582,1938.981,1034486560,11705240400.0
2020-01-17,1945.408,1951.383,1931.129,1935.245,1208382550,13736549000.0
2020-01-20,1927.736,1929.95,1903.106,1929.906,1145948590,13497124000.0
2020-01-21,1922.245,1923.399,1896.797,1896.797,1052760330,11051738100.0
2020-01-22,1880.104,1900.136,1851.02,1891.88,1147205370,12335883200.0
2020-01-23,1868.678,1879.316,1791.825,1810.184,1221356280,12975174800.0
2020-02-03,1653.983,1688.973,1653.983,1676.185,953115230,12094626600.0
2020-02-04,1619.433,1757.166,1619.433,1755.537,1738535900,17865560000.0
2020-02-05,1781.062,1855.114,1779.864,1849.263,1762934800,22099233000.0
2020-02-06,1893.216,1976.629,1892.37,1976.348,2086043900,25431702000.0
2020-02-07,2028.049,2045.927,1991.472,2041.661,3032971500,35531084000.0
2020-02-10,2059.104,2064.562,1986.516,2018.801,3184568200,36522980000.0
2020-02-11,2030.663,2037.077,1968.705,1981.732,2424299500,28015634000.0
2020-02-12,1968.215,2042.864,1967.904,2039.474,2510852500,29911880000.0
2020-02-13,2032.683,2032.683,1972.62,1973.833,2718492600,29514844000.0
2020-02-14,1959.349,1981.292,1934.91,1946.437,2061452600,22645797000.0
2020-02-17,1957.827,2013.768,1957.827,2013.768,2445663100,28227927000.0
2020-02-18,2014.231,2089.416,2011.795,2087.593,3055714300,35277609000.0
2020-02-19,2073.195,2077.573,2019.904,2019.904,2645098700,30333638000.0
2020-02-20,2018.505,2055.799,2003.595,2052.037,2236499200,24920337000.0
2020-02-21,2051.133,2110.2,2049.417,2088.42,3040446500,35759163000.0
2020-02-24,2087.657,2146.345,2085.145,2139.078,3121013900,35918203000.0
2020-02-25,2090.196,2149.153,2040.955,2143.751,3780781600,41677008000.0
2020-02-26,2124.432,2168.419,2098.992,2107.743,3578550600,39775986000.0
2020-02-27,2120.492,2167.322,2090.748,2152.838,3537715100,37846487000.0
2020-02-28,2086.515,2124.044,2032.188,2032.188,3738137900,40584845000.0
2020-03-02,2037.248,2101.987,2018.137,2090.276,2969276900,33259718000.0
2020-03-03,2116.524,2170.185,2087.988,2107.786,3419795700,41566276000.0
2020-03-04,2084.055,2119.834,2063.444,2104.412,2341829500,28085802000.0
2020-03-05,2143.916,2150.044,2100.002,2125.494,2375393200,27948765000.0
2020-03-06,2104.916,2128.546,2098.677,2115.532,2299793600,24233123000.0
2020-03-09,2081.524,2089.042,2014.763,2014.763,3197409300,30917945000.0
2020-03-10,1982.868,2079.133,1976.03,2079.133,2759162300,27551564000.0
2020-03-11,2083.746,2106.449,2043.415,2043.415,2753272700,25796234000.0
2020-03-12,2007.895,2032.88,1990.638,2010.361,2370802700,21810951000.0
2020-03-13,1907.915,2006.497,1906.627,1991.083,2563831500,23422822000.0
2020-03-16,2012.897,2023.988,1899.186,1903.531,2682888400,24980447000.0
2020-03-17,1922.104,1938.195,1835.796,1909.673,2218782200,19955431000.0
2020-03-18,1926.713,1956.26,1875.304,1875.516,2335781500,22823995000.0
2020-03-19,1871.994,1911.964,1847.381,1905.162,2123539700,20830597000.0
2020-03-20,1920.443,1929.353,1890.981,1922.159,1826151100,17887092000.0
2020-03-23,1873.028,1898.133,1837.843,1844.315,1733074800,15970042000.0
2020-03-24,1880.373,1888.777,1825.704,1883.132,2060585700,18428730000.0
2020-03-25,1919.259,1922.432,1899.687,1917.049,2045194100,18139695000.0
2020-03-26,1906.06,1914.911,1888.574,1892.557,1805788000,15496968000.0
2020-03-27,1912.17,1914.044,1867.498,1868.903,1602749600,14715957000.0
2020-03-30,1839.514,1839.514,1782.957,1799.146,1619496800,14257296000.0
2020-03-31,1817.349,1821.316,1784.976,1785.96,1198476350,10194360400.0
2020-04-01,1782.341,1807.817,1774.796,1777.8,1266157790,10781225000.0
2020-04-02,1771.771,1833.844,1770.203,1833.844,1518653800,13621075000.0
2020-04-03,1831.798,1835.064,1806.129,1816.36,1440706000,12275030100.0
2020-04-07,1849.588,1884.83,1849.124,1884.83,1851862800,16538974000.0
2020-04-08,1881.959,1903.645,1877.559,1894.637,2225086200,17585899000.0
2020-04-09,1909.782,1945.926,1909.782,1944.215,2335140500,20618365000.0
2020-04-10,1943.797,1943.797,1874.64,1879.396,2383399900,20654518000.0
2020-04-13,1859.445,1859.445,1836.269,1843.218,1923679900,15128577000.0
2020-04-14,1851.09,1886.16,1851.09,1886.16,1978543500,16860178000.0
2020-04-15,1882.462,1883.235,1856.563,1857.323,1894409900,15572209000.0
2020-04-16,1848.505,1882.682,1842.145,1879.076,1836500700,15627821000.0
2020-04-17,1888.028,1906.002,1880.128,1880.78,2193738400,18852791000.0
2020-04-20,1882.686,1903.12,1875.996,1903.12,1898370500,16157769000.0
