日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,811.049,819.698,810.402,818.544,934964950,6149524700.0
2020-01-03,819.226,824.147,817.493,821.712,711317230,4577355400.0
2020-01-06,828.459,839.33,824.261,834.997,869413260,5457627600.0
2020-01-07,839.454,843.724,837.111,843.724,781459360,6184784200.0
2020-01-08,844.772,845.996,831.293,833.291,794529860,6347351100.0
2020-01-09,836.454,844.16,836.116,844.077,642024440,5121041800.0
2020-01-10,848.235,849.365,838.928,841.567,547144590,4204328900.0
2020-01-13,843.096,847.359,837.45,847.359,500374310,3990160400.0
2020-01-14,852.442,856.277,850.532,853.604,681652540,5360657100.0
2020-01-15,850.5,850.5,838.247,841.966,548484820,4046930400.0
2020-01-16,842.711,842.879,833.505,834.756,476436140,4004444200.0
2020-01-17,835.52,838.757,830.744,831.141,388746410,3343299400.0
2020-01-20,830.965,837.061,828.194,836.812,446140280,3572579800.0
2020-01-21,837.95,838.432,831.41,831.41,515082740,3765642100.0
2020-01-22,828.854,831.758,817.183,829.312,465019820,3422310700.0
2020-01-23,825.573,825.883,796.986,804.554,637781210,4435165500.0
2020-02-03,727.824,729.415,724.63,727.56,617073730,3568635000.0
2020-02-04,673.531,716.725,673.531,714.389,822878750,4957685000.0
2020-02-05,715.988,741.67,715.988,734.863,605237500,4106997300.0
2020-02-06,741.063,757.946,738.924,755.923,684974160,4608395400.0
2020-02-07,760.561,760.561,746.859,759.29,648425860,4827427300.0
2020-02-10,758.523,769.697,755.527,769.697,673694720,5128883200.0
2020-02-11,769.705,776.1,765.171,770.095,591459860,4220731900.0
2020-02-12,767.538,781.622,767.288,781.557,511319020,3936627800.0
2020-02-13,782.79,784.398,769.796,774.317,653220090,4729266300.0
2020-02-14,772.637,778.738,768.982,773.487,617830880,4802033200.0
2020-02-17,777.891,797.939,777.891,797.939,725491690,5584769000.0
2020-02-18,799.829,804.071,793.282,804.071,673998620,4963878000.0
2020-02-19,803.286,805.143,795.469,795.615,639750050,4660240000.0
2020-02-20,797.778,811.267,795.136,811.199,757393410,5385340000.0
2020-02-21,811.424,823.367,810.372,818.037,784703020,6284212000.0
2020-02-24,816.141,819.167,809.758,816.856,779958600,6121756000.0
2020-02-25,799.61,810.759,779.993,810.187,926158870,6949470400.0
2020-02-26,802.111,820.905,799.59,810.289,1302997250,8734385100.0
2020-02-27,812.666,819.408,807.245,814.417,893591530,6358408400.0
2020-02-28,792.199,802.409,774.268,774.268,1064977820,7025595500.0
2020-03-02,779.49,819.346,779.49,818.019,1364096200,8873372400.0
2020-03-03,833.049,837.223,815.185,823.089,1343925800,9758714300.0
2020-03-04,818.133,834.397,816.886,834.338,989001210,6997573300.0
2020-03-05,840.403,850.165,836.863,848.986,1088374380,7828813400.0
2020-03-06,837.446,843.64,835.592,838.037,781447130,5607450400.0
2020-03-09,825.229,829.722,808.684,808.684,863759620,5764703900.0
2020-03-10,799.302,826.762,788.738,826.372,819882160,5792674100.0
2020-03-11,828.707,834.063,819.371,819.929,662235440,4751352500.0
2020-03-12,811.152,812.537,798.185,805.449,643253470,4264098600.0
2020-03-13,766.48,799.916,765.952,794.77,724657850,4718130900.0
2020-03-16,801.722,806.003,770.759,772.656,667123000,4509221400.0
2020-03-17,773.712,782.162,746.305,770.258,546628550,3647458900.0
2020-03-18,773.703,784.013,757.993,758.127,521026860,3523701400.0
2020-03-19,756.302,762.815,740.551,761.341,568807510,3677602200.0
2020-03-20,767.366,774.704,763.943,774.347,500815600,3161264800.0
2020-03-23,758.184,767.963,747.989,750.571,430861680,2702219600.0
2020-03-24,764.424,769.284,749.921,766.222,512044900,3101611100.0
2020-03-25,781.049,781.85,773.118,779.12,512953260,3185777700.0
2020-03-26,775.572,775.572,763.822,765.754,353545680,2281349300.0
2020-03-27,774.14,787.418,771.653,774.2,601954300,3873611100.0
2020-03-30,761.959,766.626,751.802,763.4,472989770,3168952700.0
2020-03-31,767.577,775.03,764.17,765.102,446037790,3153125400.0
2020-04-01,761.413,769.659,756.776,757.33,370213360,2588221400.0
2020-04-02,752.845,777.802,752.032,777.802,416613750,2655305100.0
2020-04-03,776.414,776.414,765.326,768.441,435051050,2667601400.0
2020-04-07,778.82,790.545,777.878,788.891,590713540,3698761100.0
2020-04-08,784.894,794.136,783.344,791.659,436768370,2919180000.0
2020-04-09,795.433,798.993,790.824,791.841,419565330,2940720500.0
2020-04-10,791.689,791.689,772.965,775.932,419627350,2748669700.0
2020-04-13,772.237,775.558,767.113,772.438,288646260,1899761700.0
2020-04-14,774.39,788.141,773.033,788.141,419544650,2650994500.0
2020-04-15,786.329,786.506,777.462,777.808,395292680,2543031400.0
2020-04-16,775.678,782.457,773.662,782.174,343101740,2386226000.0
2020-04-17,785.512,790.69,782.912,783.694,597026780,3978506300.0
