日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,965.389,974.826,964.239,974.205,784393310,5626131500.0
2020-01-03,976.242,985.846,974.878,984.133,814249290,5790011400.0
2020-01-06,981.214,1000.025,978.517,992.539,1314206670,8211007100.0
2020-01-07,991.197,1003.533,991.178,1003.533,1213141990,8128331200.0
2020-01-08,998.885,1003.729,985.358,987.701,1229669650,7985626800.0
2020-01-09,994.315,1002.322,994.315,1002.322,901086950,6484163700.0
2020-01-10,1005.308,1006.175,995.47,999.444,889297710,6284570300.0
2020-01-13,997.63,1005.973,990.398,1005.973,816290160,5936191400.0
2020-01-14,1007.818,1020.626,1006.687,1016.397,1162747650,8751468900.0
2020-01-15,1016.258,1018.002,1006.766,1011.484,895873220,6828664300.0
2020-01-16,1013.91,1016.371,1004.965,1006.229,831496200,6277586500.0
2020-01-17,1006.716,1007.517,996.389,996.895,746567890,5515657800.0
2020-01-20,995.542,1003.127,991.952,1003.104,747862720,5563374600.0
2020-01-21,999.893,999.893,987.121,987.121,731559400,5198575600.0
2020-01-22,983.778,987.025,967.855,983.076,649515510,4755625600.0
2020-01-23,977.215,980.265,943.58,951.984,860549050,6082233700.0
2020-02-03,858.647,861.888,858.13,859.964,383260720,2546007800.0
2020-02-04,800.497,850.334,800.497,848.351,1179943530,7166849100.0
2020-02-05,852.225,878.923,852.225,870.342,954882840,6247245800.0
2020-02-06,876.012,902.385,870.098,900.811,1130752550,7809124000.0
2020-02-07,908.152,930.402,898.481,930.402,1481778500,10718164500.0
2020-02-10,937.499,945.46,929.708,944.453,1665277600,11919364300.0
2020-02-11,940.857,940.857,925.648,926.405,1107897280,7760042900.0
2020-02-12,923.963,940.89,923.959,940.697,964020530,6706081600.0
2020-02-13,939.907,941.725,924.039,932.93,1220338410,8369558000.0
2020-02-14,929.54,937.16,926.039,931.959,1004088270,6959989200.0
2020-02-17,936.024,960.079,936.024,960.079,1234317660,8555605500.0
2020-02-18,959.311,970.148,955.498,970.148,1227456280,8524332800.0
2020-02-19,967.896,974.59,963.544,963.632,1133039030,7921959800.0
2020-02-20,965.611,979.618,961.522,979.581,1145510160,7947308200.0
2020-02-21,980.537,993.343,979.277,986.956,1447124500,9381115000.0
2020-02-24,984.919,994.824,976.244,992.065,1393000000,9940397800.0
2020-02-25,969.696,983.229,945.547,982.95,1580522100,10662129600.0
2020-02-26,969.675,1001.202,969.533,986.135,1684326100,11099577800.0
2020-02-27,991.141,1009.923,988.77,1003.822,1617605400,11341590400.0
2020-02-28,974.019,986.85,947.708,947.708,1789403800,11444030700.0
