日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1470.129,1497.457,1467.043,1492.485,324936340,2165194200.0
2020-01-03,1530.366,1566.655,1526.784,1555.52,496092940,4086001900.0
2020-01-06,1564.877,1614.192,1564.877,1596.84,527419750,4338976200.0
2020-01-07,1604.28,1649.81,1592.524,1631.441,458120780,4011613800.0
2020-01-08,1626.431,1639.346,1591.369,1591.56,569180190,4580477400.0
2020-01-09,1600.343,1606.78,1566.471,1583.449,1062360890,8171095000.0
2020-01-10,1596.245,1596.422,1555.84,1556.477,748575920,5292990000.0
2020-01-13,1560.814,1571.969,1550.969,1569.797,538736580,3701017400.0
2020-01-14,1571.232,1590.777,1551.155,1571.866,773020480,5556630000.0
2020-01-15,1549.51,1559.717,1536.03,1538.695,501204470,3623472400.0
2020-01-16,1536.98,1549.488,1532.194,1533.174,421486650,2999367500.0
2020-01-17,1530.277,1538.019,1521.559,1530.596,354117440,2515615300.0
2020-01-20,1530.505,1537.496,1504.397,1532.185,418641710,2524591700.0
2020-01-21,1548.161,1553.997,1537.685,1543.962,387317210,2466042500.0
2020-01-22,1559.29,1568.336,1540.84,1550.047,610213280,3169325900.0
2020-01-23,1520.786,1542.343,1481.579,1497.03,629010290,3320998000.0
2020-02-03,1396.085,1399.14,1394.558,1394.94,102963794,619660230.0
2020-02-04,1319.413,1403.383,1314.249,1402.738,752303730,3645834800.0
2020-02-05,1379.144,1474.681,1378.083,1446.567,793324450,4079342100.0
2020-02-06,1456.676,1513.086,1450.057,1502.441,855805400,4763912200.0
2020-02-07,1496.448,1503.128,1445.645,1471.502,660388560,3555644600.0
2020-02-10,1458.63,1554.024,1457.216,1551.915,663293500,3723346100.0
2020-02-11,1587.381,1587.381,1503.262,1506.421,954137190,6012602300.0
2020-02-12,1483.54,1563.604,1480.321,1547.905,843464940,5657661800.0
2020-02-13,1544.005,1584.909,1524.998,1556.357,967291620,6903213900.0
2020-02-14,1550.26,1585.394,1535.573,1574.453,801761550,6065895600.0
2020-02-17,1602.179,1648.778,1597.936,1646.509,886259750,7030532600.0
2020-02-18,1622.39,1634.376,1607.926,1634.34,757301270,5735662400.0
2020-02-19,1621.452,1638.586,1609.815,1619.621,726658470,5554871700.0
2020-02-20,1612.761,1642.995,1594.823,1636.685,597920200,4528334100.0
2020-02-21,1625.361,1648.093,1617.148,1629.986,528308170,3916040200.0
2020-02-24,1627.595,1688.455,1611.382,1675.659,776928680,5544939700.0
2020-02-25,1650.355,1686.615,1609.499,1680.498,763977780,5126810000.0
2020-02-26,1700.918,1746.439,1698.621,1713.875,1209753960,6999358000.0
2020-02-27,1710.765,1718.072,1670.157,1680.455,822215280,4804919400.0
2020-02-28,1633.139,1682.376,1615.903,1629.666,883957600,4745776400.0
2020-03-02,1644.068,1700.696,1632.654,1696.707,716512130,4221147300.0
