日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1394.905,1413.4,1393.846,1412.856,550312230,4989815600.0
2020-01-03,1415.529,1442.818,1415.185,1439.715,717428330,7317770600.0
2020-01-06,1448.917,1466.971,1445.262,1458.708,925067930,9290886200.0
2020-01-07,1455.28,1467.622,1454.002,1467.622,736479340,6314904300.0
2020-01-08,1476.405,1494.263,1467.378,1479.863,947937950,8802468600.0
2020-01-09,1472.966,1474.646,1466.653,1474.646,890257020,6959740900.0
2020-01-10,1474.585,1476.786,1449.503,1454.433,586106000,5082997600.0
2020-01-13,1453.073,1460.597,1440.35,1460.597,504255530,4373366100.0
2020-01-14,1463.388,1471.188,1460.471,1460.993,581513940,5286355000.0
2020-01-15,1457.816,1458.558,1444.904,1452.39,490728250,4656184600.0
2020-01-16,1454.692,1467.798,1451.758,1454.209,507476150,5634927100.0
2020-01-17,1456.608,1459.447,1442.867,1446.42,441226400,4894783500.0
2020-01-20,1446.833,1468.05,1442.989,1467.864,572667160,6346732800.0
2020-01-21,1465.508,1465.508,1444.418,1444.418,512151960,5463251100.0
2020-01-22,1430.717,1446.195,1410.631,1440.89,468118640,5490331800.0
2020-01-23,1429.969,1450.718,1387.141,1400.373,662370000,7731112500.0
2020-02-03,1262.328,1266.097,1262.161,1264.706,414465410,4686037000.0
2020-02-04,1182.388,1244.812,1182.388,1241.073,895096590,8754372300.0
2020-02-05,1240.413,1283.272,1240.095,1268.328,726851170,7087719000.0
2020-02-06,1271.377,1309.706,1263.357,1304.864,784096450,6705649700.0
2020-02-07,1306.761,1324.955,1298.12,1324.374,896848070,11565367200.0
2020-02-10,1318.427,1340.134,1316.825,1339.931,828379560,9988051500.0
2020-02-11,1338.624,1340.091,1324.596,1330.062,681072570,7535226300.0
2020-02-12,1324.961,1354.149,1324.185,1354.149,672539120,8222917500.0
2020-02-13,1347.762,1353.668,1334.131,1337.374,762765500,8147063500.0
2020-02-14,1334.218,1348.398,1329.835,1339.086,606040740,7481439500.0
2020-02-17,1349.369,1421.598,1349.369,1421.453,962466110,11718821400.0
2020-02-18,1451.666,1471.066,1447.877,1466.349,1066542020,13484805000.0
2020-02-19,1455.775,1486.268,1445.763,1460.045,1303103290,14726545000.0
2020-02-20,1459.159,1475.072,1443.933,1473.58,1136212890,12155278700.0
2020-02-21,1467.55,1497.063,1466.352,1488.796,1252039550,15052192000.0
2020-02-24,1480.88,1510.968,1475.32,1504.657,1257903140,13354897800.0
2020-02-25,1470.855,1514.413,1447.02,1510.787,1479243400,15037529000.0
2020-02-26,1487.052,1528.45,1485.416,1493.378,1499851800,15782447000.0
2020-02-27,1503.119,1521.7,1477.363,1507.121,1166243420,11975709400.0
2020-02-28,1451.291,1470.516,1407.725,1408.956,1403886100,12836165000.0
2020-03-02,1419.329,1478.531,1417.761,1474.0,1201629740,10918187000.0
2020-03-03,1498.021,1529.294,1483.932,1498.183,1338280180,13564104000.0
2020-03-04,1483.512,1524.555,1482.806,1516.819,1343568100,12032976000.0
2020-03-05,1537.944,1544.183,1523.341,1533.5,1307557710,12571900700.0
2020-03-06,1510.877,1539.993,1510.851,1527.527,1077502030,10452349300.0
2020-03-09,1500.915,1505.576,1447.307,1447.307,1185320640,10842330300.0
2020-03-10,1425.353,1491.854,1415.394,1491.49,1028842020,9915243700.0
2020-03-11,1500.092,1534.477,1496.059,1496.059,1224594730,15018545000.0
2020-03-12,1471.772,1487.74,1455.505,1469.678,916698400,10182612900.0
2020-03-13,1394.91,1467.14,1394.174,1456.136,996751510,9947643200.0
2020-03-16,1465.018,1468.055,1378.964,1381.662,916581010,9730959400.0
2020-03-17,1389.651,1403.506,1330.214,1378.151,792166550,7149858200.0
2020-03-18,1391.664,1405.278,1344.408,1344.509,754990740,7286840600.0
2020-03-19,1346.002,1365.289,1324.617,1357.67,730493820,7140001700.0
2020-03-20,1370.465,1374.174,1349.523,1369.538,619172500,6156542100.0
2020-03-23,1333.771,1339.335,1300.911,1305.344,585158910,5525372600.0
2020-03-24,1326.24,1332.85,1293.781,1327.9,543667950,5004252200.0
2020-03-25,1353.983,1359.778,1344.339,1356.362,576068550,5277097500.0
2020-03-26,1349.997,1355.987,1334.681,1336.758,438716580,3939178700.0
2020-03-27,1353.384,1357.353,1332.432,1332.782,463591090,4187003300.0
2020-03-30,1313.26,1315.26,1282.279,1299.532,462794970,4261370600.0
2020-03-31,1310.548,1312.441,1285.315,1285.903,399863950,3719948300.0
2020-04-01,1284.36,1300.155,1277.585,1279.167,361373190,3244988200.0
2020-04-02,1273.668,1310.494,1271.446,1310.494,384758820,3524970000.0
2020-04-03,1310.483,1315.559,1295.025,1301.551,452212490,3509746600.0
2020-04-07,1323.88,1351.165,1323.88,1349.686,606643060,6090593300.0
2020-04-08,1342.287,1375.167,1341.722,1372.139,626376890,6095231700.0
2020-04-09,1381.554,1394.011,1378.575,1383.006,537492770,5558423300.0
2020-04-10,1385.406,1385.897,1356.033,1359.851,525164490,5449632200.0
2020-04-13,1352.648,1352.648,1337.027,1346.515,448887640,4354094500.0
2020-04-14,1348.518,1366.265,1348.407,1366.265,450262420,4472069500.0
2020-04-15,1364.478,1368.988,1354.405,1355.181,496161040,4700439300.0
2020-04-16,1348.778,1368.931,1343.252,1362.347,472045760,4966304700.0
2020-04-17,1368.277,1373.349,1357.641,1359.193,534852400,5403788900.0
2020-04-20,1361.824,1375.83,1358.627,1375.83,498940170,5458724200.0
2020-04-21,1371.697,1371.892,1356.156,1368.288,537826750,5955812300.0
2020-04-22,1353.788,1378.341,1350.921,1378.294,490601710,4632551700.0
2020-04-23,1378.572,1389.739,1369.388,1378.716,534775170,5687709800.0
2020-04-24,1374.408,1375.105,1340.635,1353.921,550360180,5884706800.0
2020-04-27,1346.67,1348.889,1325.113,1325.425,461385470,4543495700.0
2020-04-28,1321.052,1323.822,1258.755,1289.636,501800960,4649135000.0
2020-04-29,1281.064,1301.315,1280.7,1294.133,368134100,3664023300.0
2020-04-30,1300.281,1329.374,1300.281,1324.017,520453540,5127538300.0
2020-05-06,1314.714,1350.603,1313.998,1350.603,525377450,5220513500.0
2020-05-07,1350.17,1357.589,1346.496,1349.782,445233290,4550232800.0
2020-05-08,1355.795,1370.084,1355.609,1365.619,456432800,5512568400.0
2020-05-11,1368.272,1377.107,1356.932,1366.773,499466170,5278416700.0
2020-05-12,1365.947,1370.033,1353.115,1370.02,404907880,4768414600.0
2020-05-13,1369.133,1372.818,1365.761,1372.692,336446780,3867632100.0
2020-05-14,1368.654,1387.683,1363.085,1373.4,395533320,4867285900.0
2020-05-15,1379.298,1386.706,1377.241,1379.876,360517290,4224391700.0
2020-05-18,1386.082,1415.078,1381.32,1404.038,624595970,7511727400.0
2020-05-19,1411.331,1414.451,1405.118,1413.49,553972560,7963411200.0
2020-05-20,1416.903,1425.163,1393.409,1399.545,574517690,8572082800.0
2020-05-21,1403.005,1404.386,1377.501,1380.157,509282640,6456691900.0
2020-05-22,1379.123,1385.559,1357.025,1367.546,507146330,6412850000.0
2020-05-25,1366.026,1372.696,1357.552,1361.576,426908160,5400064900.0
2020-05-26,1359.519,1386.359,1359.519,1386.359,455371690,5362003800.0
2020-05-27,1387.387,1391.518,1381.335,1385.815,492544830,6512816100.0
2020-05-28,1382.829,1387.225,1369.057,1387.225,474433860,5938645800.0
2020-05-29,1385.268,1390.895,1379.334,1387.417,446385550,5728524500.0
2020-06-01,1392.601,1423.499,1391.901,1422.402,629916920,7265156800.0
2020-06-02,1424.896,1441.517,1421.288,1430.899,610999850,7360517600.0
2020-06-03,1429.712,1434.292,1419.565,1419.565,614728150,6442668400.0
2020-06-04,1422.451,1425.571,1414.904,1420.919,491895450,5184195700.0
2020-06-05,1421.508,1423.609,1411.228,1420.967,592035490,5411065200.0
2020-06-08,1426.706,1434.992,1423.188,1425.695,670283170,6371699500.0
2020-06-09,1426.153,1426.33,1416.106,1422.045,539262170,5297528900.0
2020-06-10,1419.332,1419.998,1408.988,1419.624,469144780,5291856000.0
2020-06-11,1418.292,1433.945,1411.87,1421.373,559573780,6017341700.0
2020-06-12,1393.687,1422.103,1390.276,1415.757,551676620,6168419100.0
2020-06-15,1413.024,1425.442,1407.305,1407.413,557855050,5879843700.0
2020-06-16,1416.356,1425.112,1411.119,1425.112,452923610,5023209200.0
2020-06-17,1435.453,1445.692,1433.549,1444.857,573211340,7048678500.0
2020-06-18,1438.905,1438.905,1429.409,1433.054,503650790,5985524100.0
2020-06-19,1429.969,1442.103,1426.423,1440.76,523807950,5230074600.0
2020-06-22,1440.128,1456.244,1440.128,1451.538,544650310,6130837400.0
2020-06-23,1453.214,1453.214,1443.847,1451.492,501156920,6422737500.0
2020-06-24,1454.226,1454.47,1438.553,1440.41,483686600,6304711200.0
2020-06-29,1437.441,1447.336,1433.488,1438.535,464982800,5685376700.0
2020-06-30,1444.026,1458.589,1443.554,1456.813,440185540,7668394400.0
2020-07-01,1460.973,1464.679,1449.749,1464.679,582198000,11379646900.0
2020-07-02,1464.772,1483.636,1460.479,1482.893,751263810,9590902500.0
2020-07-03,1484.697,1501.214,1484.697,1501.214,907553000,14785728000.0
2020-07-06,1512.625,1578.967,1512.625,1578.967,1428416200,15588451000.0
2020-07-07,1597.408,1632.637,1574.237,1605.475,1497270800,17852290000.0
2020-07-08,1600.735,1690.106,1598.355,1689.797,1600247500,28039761000.0
2020-07-09,1714.512,1746.95,1710.019,1742.487,1695955700,29805047000.0
2020-07-10,1746.028,1751.533,1704.534,1711.788,1433584500,27322153000.0
2020-07-13,1715.039,1759.139,1710.834,1759.139,1335754080,23196244000.0
2020-07-14,1758.432,1805.101,1736.227,1771.056,1534354800,27194908000.0
2020-07-15,1772.249,1779.335,1697.598,1708.736,1313362240,21551698000.0
2020-07-16,1710.967,1726.762,1634.523,1639.515,1392312100,18869326000.0
2020-07-17,1640.729,1685.014,1620.239,1666.298,1120424600,17635454000.0
2020-07-20,1690.315,1776.971,1690.315,1776.971,1540839300,22661445000.0
