日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,788.927,795.937,787.864,794.043,116066269,504697120.0
2020-01-03,796.066,799.181,793.256,798.507,96321175,431749890.0
2020-01-06,793.913,806.619,790.651,801.396,115900485,538522430.0
2020-01-07,801.787,810.974,801.787,810.572,120123686,515673920.0
2020-01-08,808.125,810.086,796.617,798.434,146123110,648908240.0
2020-01-09,803.801,813.45,803.599,812.695,124448152,628530350.0
2020-01-10,814.34,814.852,803.782,808.863,90980888,447305200.0
2020-01-13,808.18,809.584,800.239,809.584,89286603,409511680.0
2020-01-14,810.685,813.757,807.195,807.733,97719008,457016500.0
2020-01-15,807.988,807.988,798.251,800.802,74663544,329767440.0
2020-01-16,801.619,805.205,793.684,793.812,78196905,348199920.0
2020-01-17,797.086,798.489,788.609,791.006,75165021,336119810.0
2020-01-20,790.303,795.346,785.24,794.817,69896744,307867690.0
2020-01-21,793.371,793.371,781.545,781.645,85629567,367916040.0
2020-01-22,772.938,776.806,761.147,771.752,107789972,400484470.0
2020-01-23,761.305,764.642,736.625,742.353,131473768,498443350.0
2020-02-03,671.374,672.209,671.374,671.374,54990660,207393760.0
2020-02-04,621.824,655.731,621.824,645.559,178493800,633247890.0
2020-02-05,646.291,668.831,646.291,663.422,139478490,490395850.0
2020-02-06,664.41,685.427,660.93,682.94,152508460,606892890.0
2020-02-07,681.741,693.29,678.33,693.219,153098150,564173330.0
2020-02-10,691.19,698.71,684.028,698.527,131207630,458700440.0
2020-02-11,698.0,708.888,696.47,703.88,109242662,403095580.0
2020-02-12,701.452,710.231,698.414,710.231,128773975,510780460.0
2020-02-13,706.592,710.049,698.197,699.187,146857320,537738960.0
2020-02-14,699.551,706.461,696.765,705.67,157025340,540893660.0
2020-02-17,706.281,726.352,706.281,726.162,167088710,629881850.0
2020-02-18,725.859,733.06,722.136,732.406,149122000,587932260.0
2020-02-19,732.378,735.744,727.342,727.342,119866444,479500560.0
2020-02-20,731.919,742.254,727.973,741.591,171364880,677060280.0
2020-02-21,743.404,751.282,740.398,745.943,163631260,674340890.0
2020-02-24,747.213,753.99,739.524,751.816,186240510,844204790.0
2020-02-25,741.137,743.728,716.077,741.639,251485940,1126437150.0
2020-02-26,730.651,753.972,728.797,740.94,221298830,895079600.0
2020-02-27,741.45,759.776,741.45,753.364,211988790,861938170.0
2020-02-28,729.08,740.03,715.783,720.018,227624350,891408630.0
2020-03-02,722.239,751.446,722.239,750.082,203130120,844840640.0
2020-03-03,757.497,773.745,757.403,767.649,279794230,1244044000.0
2020-03-04,759.896,780.726,758.643,777.997,317821980,1193658380.0
2020-03-05,784.845,796.658,779.028,796.19,414220630,1509819800.0
2020-03-06,788.396,800.506,784.993,793.042,319212430,1179888790.0
2020-03-09,782.108,788.423,765.58,766.926,249387400,955644720.0
2020-03-10,751.951,784.765,742.716,783.865,243047940,910563160.0
2020-03-11,783.27,793.943,776.703,776.703,241553610,955563730.0
2020-03-12,768.583,776.156,756.125,764.94,195762890,715051470.0
2020-03-13,729.623,758.731,727.197,756.417,208176270,753419900.0
2020-03-16,764.639,775.346,742.303,745.272,274014260,959795800.0
2020-03-17,750.473,759.819,726.185,744.505,239177290,868689100.0
2020-03-18,751.445,757.358,728.937,729.062,232659610,910208620.0
2020-03-19,722.403,732.879,713.8,728.718,208346370,782529090.0
2020-03-20,732.529,738.672,727.183,737.722,143612030,515903590.0
2020-03-23,726.351,733.279,714.029,715.489,194940610,847465260.0
2020-03-24,724.166,730.863,712.982,730.863,221033300,813575210.0
2020-03-25,738.583,747.862,730.564,743.18,259501250,925277010.0
2020-03-26,734.636,742.429,729.588,729.85,186805780,742237590.0
2020-03-27,734.253,737.749,723.971,724.547,154839320,576929610.0
2020-03-30,716.828,716.828,700.143,702.999,134226130,467641580.0
2020-03-31,707.233,710.586,695.896,698.729,120143247,455930060.0
2020-04-01,695.533,701.365,690.015,691.273,95526330,339871350.0
2020-04-02,687.957,700.077,686.197,700.077,97148744,339156990.0
2020-04-03,700.186,704.076,694.374,698.623,94966958,332607360.0
2020-04-07,705.62,712.835,704.741,710.657,127540847,449848080.0
2020-04-08,710.836,719.684,709.593,717.893,101013396,363347280.0
2020-04-09,725.782,728.373,721.445,725.221,149798970,614177190.0
2020-04-10,727.76,728.324,712.198,713.115,147007160,541429280.0
2020-04-13,708.133,708.133,700.742,702.237,87715891,300567480.0
2020-04-14,701.423,711.821,701.423,711.821,87239571,305559630.0
2020-04-15,713.844,716.679,708.8,710.923,160567720,520620810.0
2020-04-16,707.075,715.386,706.801,711.069,135191730,442917210.0
2020-04-17,711.8,715.768,708.523,712.749,122455676,412119210.0
2020-04-20,711.12,713.525,706.771,713.525,109188543,359941630.0
2020-04-21,710.11,711.228,705.518,708.923,111647419,366717750.0
2020-04-22,706.226,719.772,701.148,719.378,121841262,408154400.0
2020-04-23,720.585,721.424,713.014,717.47,93204638,339860020.0
2020-04-24,712.005,713.116,699.421,701.788,84132405,296574850.0
2020-04-27,699.403,708.141,697.292,706.485,92651612,374759510.0
2020-04-28,704.271,704.719,674.345,691.255,139672150,497795280.0
2020-04-29,681.23,686.768,679.669,681.096,102504498,356309970.0
2020-04-30,676.614,697.453,676.614,695.62,164207520,640251050.0
2020-05-06,693.545,702.071,693.049,701.442,171818880,699340680.0
2020-05-07,699.526,703.617,697.827,700.473,125772424,551829480.0
2020-05-08,701.546,704.891,698.797,703.13,97122525,404992520.0
2020-05-11,702.04,704.039,694.321,698.246,92696166,357089940.0
2020-05-12,696.931,697.913,686.295,689.098,76323737,283113600.0
2020-05-13,690.508,692.321,686.141,691.256,81009947,285435080.0
2020-05-14,691.119,691.119,685.845,686.48,73577691,251182150.0
2020-05-15,693.943,694.664,683.832,686.053,76199133,278910020.0
2020-05-18,687.921,689.454,681.859,682.908,98513787,340648860.0
2020-05-19,686.413,687.817,679.555,684.255,90364631,304722140.0
2020-05-20,683.43,685.996,678.07,682.594,132533870,433740880.0
2020-05-21,681.75,685.199,675.332,676.693,189860980,616159290.0
2020-05-22,671.777,675.07,663.776,669.174,138961430,436036680.0
2020-05-25,668.881,675.464,665.474,674.488,97533423,314324210.0
2020-05-26,677.097,684.846,676.56,684.665,85300338,286109750.0
2020-05-27,685.883,686.71,681.093,685.125,96624053,308838250.0
2020-05-28,684.828,691.328,682.302,687.715,110601231,375914960.0
2020-05-29,692.658,695.678,688.009,694.327,101058462,371270330.0
2020-06-01,694.046,704.226,689.192,703.776,142032000,510684090.0
2020-06-02,705.173,708.72,702.477,707.624,152062860,522637600.0
2020-06-03,704.17,709.22,701.462,702.837,118008601,406904090.0
2020-06-04,704.621,705.927,699.34,704.867,71558656,277945310.0
2020-06-05,710.717,711.838,705.915,709.118,73616730,287373740.0
2020-06-08,712.075,712.114,704.02,705.466,155329820,508918530.0
2020-06-09,703.489,704.918,700.214,703.116,101311112,334749160.0
2020-06-10,703.252,705.348,697.172,699.792,94139767,304251780.0
2020-06-11,699.277,705.011,697.034,698.532,113406498,382807490.0
2020-06-12,684.959,698.457,684.959,696.496,94310258,319695250.0
2020-06-15,695.646,701.78,692.019,693.154,94077052,322736590.0
2020-06-16,697.318,703.495,696.608,702.637,82871267,295752190.0
2020-06-17,702.799,706.302,700.215,705.891,96664285,319548410.0
2020-06-18,704.612,711.034,703.977,708.684,101897504,337794410.0
2020-06-19,708.269,713.305,706.129,710.689,107587293,365800050.0
2020-06-22,710.205,712.038,707.554,709.951,129438963,427218530.0
2020-06-23,708.864,709.088,703.193,703.902,95972598,317362200.0
2020-06-24,703.449,706.129,701.846,702.59,67544983,234938260.0
2020-06-29,703.108,703.108,693.262,694.428,84613666,271641600.0
2020-06-30,695.613,702.757,695.613,696.779,74338414,236223240.0
2020-07-01,697.737,702.226,695.326,699.567,100006074,332278070.0
2020-07-02,698.722,716.896,698.593,716.485,205313980,737291090.0
2020-07-03,714.927,723.952,714.927,721.985,233941180,811842230.0
2020-07-06,726.955,756.215,726.955,755.708,362749520,1357857300.0
2020-07-07,761.763,767.858,750.071,754.373,374582770,1488935200.0
2020-07-08,753.793,772.766,750.734,771.682,335519820,1381383100.0
2020-07-09,770.745,777.471,766.96,776.319,301929850,1215040150.0
2020-07-10,773.466,779.975,764.837,767.089,247766310,1011841140.0
2020-07-13,765.844,784.933,765.844,784.933,256227230,1023024440.0
2020-07-14,787.947,790.545,770.608,783.288,274403270,1054702560.0
2020-07-15,783.481,788.552,759.718,764.423,261575680,1034242920.0
2020-07-16,759.331,764.419,736.881,736.986,223349410,840780750.0
2020-07-17,735.479,739.771,724.499,729.96,221693280,758968960.0
2020-07-20,734.99,752.755,734.99,752.019,196993190,731668550.0
2020-07-21,760.674,763.834,755.954,759.725,169491350,659171650.0
2020-07-22,758.846,767.041,753.911,758.634,216238590,847988930.0
2020-07-23,759.043,766.846,749.449,765.492,258406190,939019660.0
2020-07-24,762.968,773.276,745.512,747.663,233653480,858703480.0
2020-07-27,745.991,749.675,729.225,734.786,138282190,505073960.0
2020-07-28,739.831,743.819,733.261,738.16,107058466,412199750.0
2020-07-29,736.504,751.417,731.391,751.149,123550389,480139520.0
2020-07-30,751.845,756.659,745.572,747.27,115792422,454664180.0
2020-07-31,744.597,756.285,743.729,756.285,136339800,538074950.0
2020-08-03,760.065,774.744,760.065,774.744,194236810,771804810.0
2020-08-04,773.982,778.052,767.606,771.795,198581860,799742130.0
2020-08-05,773.551,778.761,764.602,775.431,161299760,633100810.0
2020-08-06,776.033,779.597,763.83,774.089,140130610,588353430.0
2020-08-07,772.406,777.393,762.756,770.262,133814888,543025060.0
2020-08-10,775.196,779.538,769.644,772.452,151890730,842883680.0
2020-08-11,772.414,777.359,761.504,761.954,154552430,744224220.0
2020-08-12,757.501,759.356,744.51,759.007,142490360,620715990.0
2020-08-13,763.192,770.095,761.638,768.656,137822810,591067150.0
2020-08-14,767.928,770.775,759.228,769.554,115954767,480064590.0
2020-08-17,770.779,781.096,769.028,779.304,171953860,700776120.0
2020-08-18,780.545,781.701,775.053,779.656,135847050,545073800.0
2020-08-19,785.746,788.764,780.282,780.568,152310030,615414480.0
2020-08-20,781.28,792.246,777.441,788.502,246777500,845374530.0
2020-08-21,792.938,805.475,792.938,802.008,216188170,757870510.0
2020-08-24,809.515,809.515,795.198,798.933,358635030,1274670790.0
2020-08-25,796.021,813.104,796.021,804.954,246088780,937255110.0
2020-08-26,804.827,807.144,785.777,790.679,320080020,1188278950.0
2020-08-27,789.99,790.832,779.47,787.634,220056730,787704120.0
2020-08-28,785.404,792.02,782.032,792.02,208291280,748301400.0
2020-08-31,792.236,794.35,782.944,783.215,209046370,775670550.0
2020-09-01,781.008,781.789,773.483,778.266,169261850,595137320.0
2020-09-02,780.681,780.901,768.107,775.435,161014510,565611640.0
2020-09-03,775.369,775.369,764.491,766.299,145086640,508995670.0
2020-09-04,757.765,773.464,755.01,772.116,165745980,607902490.0
2020-09-07,770.958,777.516,762.203,763.793,153698060,573549620.0
2020-09-08,766.116,781.969,762.451,780.397,165144100,565409660.0
2020-09-09,774.433,790.369,773.017,781.628,279017730,969786360.0
2020-09-10,783.43,786.631,756.575,757.951,233452440,838539140.0
2020-09-11,752.75,760.748,748.483,759.323,127343544,459980500.0
2020-09-14,761.685,766.153,754.124,758.983,120018181,448230420.0
2020-09-15,758.363,758.363,750.53,755.481,100424037,356594910.0
2020-09-16,754.873,759.769,750.12,754.048,96659640,345621970.0
2020-09-17,753.831,759.713,750.133,755.82,90675989,314438400.0
2020-09-18,755.229,764.864,754.337,762.11,114269208,386117640.0
2020-09-21,765.047,765.832,755.238,757.098,99828930,362368670.0
2020-09-22,753.472,754.915,743.906,745.508,82436889,285516050.0
2020-09-23,748.954,748.954,742.244,745.276,67789115,260262690.0
2020-09-24,742.977,742.977,724.753,726.329,98287204,349007680.0
2020-09-25,727.972,729.919,720.431,724.858,59024761,211452740.0
2020-09-28,726.031,726.94,714.686,716.557,61003858,208123100.0
2020-09-29,717.117,722.463,714.282,716.903,65077585,217988580.0
2020-09-30,717.705,719.047,706.348,710.872,62570580,248306660.0
2020-10-09,715.208,724.781,715.208,723.278,67689854,249219200.0
2020-10-12,726.122,740.014,724.512,738.869,108664030,413794410.0
2020-10-13,739.93,739.93,731.904,735.718,79433201,309602790.0
2020-10-14,735.589,735.781,724.826,727.068,73685492,249336090.0
2020-10-15,723.266,723.832,716.309,718.612,70258996,256889590.0
2020-10-16,719.839,721.175,716.014,719.375,64729352,245938030.0
2020-10-19,720.714,727.151,716.305,716.609,68635637,267171350.0
2020-10-20,715.072,718.669,712.19,718.655,56190414,212070560.0
2020-10-21,719.315,719.396,706.74,709.33,64345992,224650660.0
2020-10-22,708.292,710.842,704.178,708.595,47678587,177167650.0
2020-10-23,707.915,713.279,702.862,704.13,55836239,201590320.0
2020-10-26,703.772,703.772,696.36,700.345,48417126,177825980.0
2020-10-27,699.997,701.362,695.678,699.109,69390577,226838980.0
2020-10-28,696.593,698.47,688.707,696.921,60273598,215149450.0
2020-10-29,691.283,695.958,687.518,693.329,54486453,196800950.0
2020-10-30,693.055,697.314,679.896,681.797,97201138,337519550.0
2020-11-02,680.769,681.003,673.29,674.882,86240581,286379510.0
2020-11-03,674.052,685.951,673.673,683.933,78881032,247849290.0
2020-11-04,683.56,684.351,673.921,679.476,65218414,212996370.0
2020-11-05,682.692,690.322,682.692,690.051,93077359,305149420.0
2020-11-06,690.174,690.191,683.431,688.497,78670333,270974790.0
2020-11-09,689.89,702.551,689.89,701.037,123989854,456527070.0
2020-11-10,710.192,711.5,701.904,705.002,130185134,479504160.0
2020-11-11,709.848,717.34,707.355,713.137,145403820,470696070.0
2020-11-12,717.751,717.751,706.917,714.065,161837520,632691320.0
2020-11-13,708.147,708.36,699.793,705.149,114519730,423983000.0
2020-11-16,705.567,713.995,704.097,712.796,130932589,484811390.0
2020-11-17,710.257,722.148,708.114,720.184,195635950,721951400.0
2020-11-18,717.443,722.414,715.323,720.358,132749557,494975770.0
2020-11-19,717.357,724.715,717.341,720.704,132051113,513587330.0
2020-11-20,720.651,729.008,717.128,728.065,118836939,476782380.0
2020-11-23,727.184,731.494,723.687,727.869,134451550,523854090.0
2020-11-24,729.407,735.018,729.407,731.81,94649666,389485040.0
2020-11-25,736.394,742.066,731.102,732.183,144696710,780036380.0
2020-11-26,728.325,728.586,721.69,724.386,102157625,497953520.0
2020-11-27,723.041,728.805,718.808,726.042,91003500,399850880.0
2020-11-30,727.081,731.908,721.24,721.24,140930180,519756590.0
2020-12-01,719.853,728.254,718.14,726.481,121002518,438007960.0
2020-12-02,725.429,732.683,722.284,727.731,140557310,483090570.0
2020-12-03,726.614,730.913,724.799,729.054,116984801,429705810.0
2020-12-04,726.61,733.94,725.992,731.11,127732435,519466320.0
2020-12-07,731.603,733.59,720.977,721.27,121883415,521444680.0
2020-12-08,720.377,728.486,719.644,724.761,89960383,394376590.0
2020-12-09,725.24,725.679,708.788,709.51,122571854,543052990.0
2020-12-10,707.82,714.976,704.395,710.066,84457567,352936740.0
2020-12-11,707.603,709.86,692.557,698.612,99586760,383703580.0
2020-12-14,699.251,701.584,694.031,700.392,71605653,293840680.0
2020-12-15,697.341,697.624,688.02,692.161,66054438,245174830.0
2020-12-16,690.166,690.166,681.95,683.194,70708459,274618190.0
2020-12-17,679.189,684.165,672.324,682.515,78438339,293745740.0
2020-12-18,678.368,685.37,676.75,680.101,84176893,291015640.0
