日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-04-20,1029.913,1038.662,1015.432,1018.45,437259340,5162630200.0
2023-04-21,1019.504,1047.437,1009.009,1009.009,1041532780,9891636200.0
2023-04-24,1002.448,1002.554,987.554,993.727,785754390,7361322100.0
2023-04-25,988.398,988.724,951.346,963.258,781618870,7474159500.0
2023-04-26,964.206,995.039,964.049,973.547,642670690,6110895700.0
2023-04-27,971.647,980.013,962.484,972.073,618053220,5552881500.0
2023-04-28,963.237,985.208,959.746,983.579,532550860,4784513500.0
2023-05-04,979.011,991.101,977.71,981.712,594154900,5265140200.0
2023-05-05,980.432,994.603,973.351,982.792,616515800,5631571600.0
2023-05-08,981.688,1019.293,978.333,1018.101,857542390,7610937500.0
2023-05-09,1013.071,1013.223,990.902,991.291,735006280,7032484900.0
2023-05-10,989.946,994.892,983.404,989.767,516348780,5040170000.0
2023-05-11,992.378,992.382,972.858,973.886,476745680,4612350500.0
2023-05-12,974.164,977.313,957.637,958.567,368341510,3288274600.0
2023-05-15,955.563,972.153,942.17,971.913,501541210,4465909500.0
2023-05-16,981.094,988.825,973.648,977.131,563548800,4622320800.0
2023-05-17,973.473,1008.081,971.73,1008.041,805338250,5713961600.0
2023-05-18,1005.23,1019.774,1005.23,1016.857,720130490,6030733800.0
2023-05-19,1011.432,1016.651,1007.881,1011.815,508485540,4270614200.0
2023-05-22,1007.743,1012.026,1002.768,1007.362,392149020,3370026800.0
2023-05-23,1006.812,1008.744,986.989,986.989,501778880,3733769900.0
2023-05-24,981.719,999.945,979.307,987.336,416983660,3359044200.0
2023-05-25,984.622,1002.718,981.629,995.889,442099050,3705865900.0
2023-05-26,993.62,999.873,980.455,997.475,398494900,3278323200.0
2023-05-29,997.291,1006.504,994.34,996.747,425968060,3591587700.0
2023-05-30,992.877,1002.973,985.387,1002.973,452527020,4020742500.0
2023-05-31,1000.987,1008.119,995.14,1006.667,409552800,3521176700.0
2023-06-01,1001.516,1022.174,996.025,1018.23,582155900,5053630900.0
2023-06-02,1018.735,1026.396,1014.166,1016.641,496612170,4544498000.0
2023-06-05,1017.214,1026.564,1014.817,1017.681,385854720,3486533900.0
2023-06-06,1014.996,1015.623,982.75,984.233,405028580,3607168200.0
2023-06-07,986.331,993.667,978.662,990.155,308947700,2941794500.0
2023-06-08,987.195,987.195,966.679,974.44,421581620,4115049100.0
2023-06-09,974.351,987.366,971.328,986.104,458107200,4430319100.0
2023-06-12,984.969,997.265,982.961,994.255,414319330,3681147400.0
2023-06-13,993.885,1007.27,986.938,1006.174,536250080,4654667400.0
2023-06-14,1006.421,1022.925,1005.019,1020.144,604993640,5230090900.0
2023-06-15,1020.375,1030.275,1017.14,1019.679,624566810,6496293100.0
2023-06-16,1022.22,1045.12,1020.747,1043.826,688918960,6793939600.0
2023-06-19,1043.944,1058.721,1043.944,1056.197,688582880,7197121900.0
2023-06-20,1051.569,1061.993,1047.484,1059.006,672295960,6372397500.0
2023-06-21,1060.348,1060.348,1034.96,1035.291,591515340,5546100100.0
2023-06-26,1031.069,1042.547,1006.317,1008.639,484736280,4595290800.0
2023-06-27,1010.438,1027.668,1006.254,1025.837,501259840,4115037200.0
