日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-04-13,990.422,992.45,965.453,967.738,657192110,23840912000.0
2023-04-14,972.419,982.61,937.782,979.653,676071890,27673202000.0
2023-04-17,979.425,994.016,968.957,974.762,540077390,20868442000.0
2023-04-18,965.684,968.301,943.816,960.374,462625190,17967345000.0
2023-04-19,958.901,981.118,958.449,961.107,521143220,20442229000.0
2023-04-20,958.241,988.898,954.889,988.898,645561930,27207391000.0
2023-04-21,983.755,983.787,928.511,928.511,723432510,27845381000.0
2023-04-24,921.89,932.988,895.596,901.501,489620540,19671173000.0
2023-04-25,891.344,892.35,853.8,860.076,491708080,17647511000.0
2023-04-26,851.18,859.377,830.467,840.033,487127790,17577824000.0
2023-04-27,839.418,862.966,826.558,835.283,425942800,15552436000.0
2023-04-28,829.964,855.323,829.908,853.611,382279760,15375730000.0
2023-05-04,845.532,846.286,824.169,829.252,363014470,13211703400.0
2023-05-05,829.724,841.027,817.238,819.748,300204960,11159206100.0
2023-05-08,815.87,827.353,811.727,815.327,286061280,10486119700.0
2023-05-09,812.628,820.81,799.963,800.284,318120950,11217143500.0
2023-05-10,799.276,805.261,786.297,795.522,263666070,10238065300.0
2023-05-11,800.946,812.274,796.262,806.982,312930620,10408582400.0
2023-05-12,807.699,819.43,791.929,793.275,358922980,13430646000.0
2023-05-15,788.714,798.852,781.76,798.852,288809500,9488316200.0
2023-05-16,802.49,829.411,793.878,816.85,368584940,14566974000.0
2023-05-17,812.287,843.366,812.287,832.786,464887430,16561128000.0
2023-05-18,828.917,845.892,828.234,840.883,372133290,12428430300.0
2023-05-19,847.418,888.545,847.418,883.229,577356230,19316740000.0
2023-05-22,905.789,913.281,879.461,883.595,653191820,19409210000.0
2023-05-23,874.719,882.468,865.313,867.642,477499480,13791967000.0
2023-05-24,865.223,900.148,857.908,885.012,461781860,14276826000.0
2023-05-25,889.754,902.414,876.964,899.877,615944210,16378128000.0
2023-05-26,899.733,947.568,897.045,936.545,841147160,22498839000.0
2023-05-29,947.452,955.993,931.377,932.172,726169930,20367238000.0
2023-05-30,930.249,940.877,916.845,940.877,645364960,18721895000.0
2023-05-31,935.828,970.215,925.323,961.248,827369920,24728769000.0
2023-06-01,943.725,967.451,940.467,947.547,717797490,21564211000.0
2023-06-02,942.646,946.518,931.064,936.74,606342150,17521385000.0
2023-06-05,933.986,944.456,929.974,930.444,501660460,15995690000.0
2023-06-06,927.014,927.722,901.973,906.377,547543880,16320248000.0
2023-06-07,907.301,920.574,901.331,916.28,487977390,13296365900.0
2023-06-08,915.202,915.202,897.523,902.425,612971980,15702060000.0
2023-06-09,903.544,923.224,894.911,922.173,717727120,20484403000.0
2023-06-12,917.543,927.797,917.528,920.676,587026030,15903855000.0
2023-06-13,919.547,955.385,916.477,951.921,835663770,25081955000.0
2023-06-14,950.462,955.264,937.875,949.079,703923520,19428307000.0
2023-06-15,947.244,955.109,932.435,933.216,610978360,18338827000.0
2023-06-16,929.452,947.877,922.844,944.698,583853270,16472203000.0
2023-06-19,940.834,973.61,936.295,968.12,827859500,23156199000.0
2023-06-20,962.297,965.56,952.821,961.498,697907850,19942227000.0
2023-06-21,957.601,958.15,922.992,922.992,704258790,18652460000.0
2023-06-26,911.847,919.738,890.153,893.041,580182450,13932950000.0
2023-06-27,893.439,910.852,892.478,905.913,508758500,11496719000.0
2023-06-28,905.429,905.747,869.875,897.674,572882530,13801461000.0
2023-06-29,903.205,934.828,903.205,915.379,558597590,15031217000.0
2023-06-30,906.578,924.402,902.578,921.965,527102690,14000875000.0
2023-07-03,923.474,927.651,912.646,920.483,474140640,12180811900.0
2023-07-04,917.344,945.243,914.0,943.271,607899970,16485921000.0
2023-07-05,941.524,964.279,938.415,945.167,647005400,18607384000.0
2023-07-06,939.758,971.789,937.886,965.728,698826400,18346509000.0
2023-07-07,964.19,964.19,941.143,951.576,668309900,17867804000.0
