日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,790.144,799.177,787.128,797.953,1602908800,17761437000.0
2020-01-03,797.1,799.953,793.544,798.296,1305667780,14132404000.0
2020-01-06,795.669,821.201,794.763,812.258,1879271300,21867506000.0
2020-01-07,813.245,818.809,809.374,818.809,1546849500,16170629000.0
2020-01-08,816.314,835.025,814.766,820.827,2369171800,22131324000.0
2020-01-09,829.532,833.871,827.582,833.871,1889551400,20809776000.0
2020-01-10,833.855,833.927,819.229,824.232,1427417800,15556866000.0
2020-01-13,827.019,837.997,820.357,837.997,1475738600,17769857000.0
2020-01-14,840.957,855.858,840.819,846.726,2113245000,22657789000.0
2020-01-15,843.216,843.463,827.834,835.293,1615382100,17647847000.0
2020-01-16,836.164,838.644,829.485,831.67,1405182700,15146367000.0
2020-01-17,832.995,834.378,823.037,824.05,1245944490,13936005000.0
2020-01-20,825.067,838.886,822.739,838.886,1786961200,19741553000.0
2020-01-21,835.558,835.558,822.761,823.142,1526006400,16865113000.0
2020-01-22,818.737,836.359,805.918,831.815,1665148300,21168677000.0
2020-01-23,819.226,828.592,793.085,801.418,1868586300,23362081000.0
2020-02-03,726.296,734.407,726.119,730.447,1363803900,19182727000.0
2020-02-04,693.211,739.354,693.211,735.06,2528681500,26564652000.0
2020-02-05,742.774,773.144,742.774,760.502,2518111300,32015128000.0
2020-02-06,753.006,780.997,750.479,778.615,2607684100,32904029000.0
2020-02-07,779.051,784.214,767.281,780.461,2469910200,30728459000.0
2020-02-10,779.938,804.885,779.159,804.885,2146411700,27301358000.0
2020-02-11,808.567,811.073,796.186,804.828,1940729200,24990723000.0
2020-02-12,798.844,829.07,797.673,828.45,2107164500,26212448000.0
2020-02-13,826.882,832.597,817.945,819.279,2211188200,26306049000.0
2020-02-14,819.207,827.039,811.1,819.361,1826090000,25388483000.0
2020-02-17,823.365,850.977,823.365,850.977,2164795100,27201578000.0
2020-02-18,852.264,867.86,849.587,867.86,2509263600,29302386000.0
2020-02-19,874.96,880.185,859.423,859.752,2663956500,34591000000.0
2020-02-20,863.312,884.055,860.79,883.901,2544971500,33473118000.0
2020-02-21,883.703,902.716,883.163,897.563,2903598800,37057935000.0
2020-02-24,896.724,915.573,891.848,913.398,2975075500,38363806000.0
2020-02-25,891.724,928.056,870.411,925.119,3497976700,46258872000.0
2020-02-26,912.222,928.87,897.585,900.793,3175143500,39430731000.0
2020-02-27,908.3,914.93,888.03,894.444,2458601100,32385370000.0
2020-02-28,856.201,868.6,834.929,834.968,3053348400,36613020000.0
2020-03-02,841.215,870.613,840.083,865.461,2627545700,30322772000.0
2020-03-03,884.607,896.007,863.721,872.452,2714301000,31131265000.0
2020-03-04,865.751,873.672,854.485,872.038,2121404500,23775018000.0
2020-03-05,887.54,890.826,876.528,886.151,2300428300,25613966000.0
2020-03-06,875.947,892.208,873.899,887.285,2181880600,22751216000.0
2020-03-09,875.163,881.072,852.113,852.173,2532693200,28608258000.0
2020-03-10,839.969,876.597,832.669,876.597,2591925900,27935122000.0
2020-03-11,880.448,885.714,863.826,863.89,2232684600,25713498000.0
2020-03-12,851.052,858.529,836.878,846.506,2341575600,23951103000.0
2020-03-13,800.842,838.289,799.327,829.457,2301847800,23372816000.0
2020-03-16,835.094,835.363,782.61,784.533,2406438700,27181038000.0
2020-03-17,787.508,798.02,753.494,780.11,2114926000,22124202000.0
2020-03-18,786.675,799.961,765.588,765.588,1914767700,21119768000.0
2020-03-19,765.192,776.912,751.012,773.002,1912503100,20807433000.0
2020-03-20,783.23,785.45,767.014,779.318,1564349300,17098552000.0
2020-03-23,757.119,760.852,733.029,736.437,1846583500,18851812000.0
2020-03-24,751.46,755.414,728.866,753.875,1814965300,18170072000.0
2020-03-25,771.34,776.322,767.032,775.143,2007230900,22135860000.0
2020-03-26,771.183,773.142,761.14,762.304,1351032400,13829468000.0
2020-03-27,772.923,774.082,757.461,758.101,1350627900,14117918000.0
2020-03-30,747.491,748.482,730.954,740.244,1595586100,16544828000.0
2020-03-31,748.07,749.187,733.985,734.615,1399238300,13661929000.0
2020-04-01,736.315,751.249,734.352,738.204,2019634400,19381690000.0
2020-04-02,732.366,757.239,731.668,757.239,1783659400,17327877000.0
2020-04-03,755.845,757.206,745.869,749.118,1462795900,14639332000.0
2020-04-07,763.726,771.156,761.336,771.156,1887192900,18272318000.0
2020-04-08,767.094,774.601,764.786,770.814,1578497900,15670837000.0
2020-04-09,774.088,775.036,769.07,772.887,1271338020,13707294000.0
2020-04-10,773.429,773.429,750.634,753.793,1402069000,14337710000.0
2020-04-13,747.947,749.572,740.007,746.52,1056370380,10263573400.0
2020-04-14,752.687,769.339,752.687,769.339,1447958000,17153050000.0
2020-04-15,769.483,772.463,762.625,763.259,1496631800,17183958000.0
2020-04-16,759.143,766.639,755.557,765.208,1177983560,13403106700.0
2020-04-17,771.738,775.29,767.943,769.234,1683828500,17959018000.0
2020-04-20,771.891,774.842,767.63,774.842,1193194420,12632425400.0
2020-04-21,770.698,770.943,756.363,764.46,1439760600,14665830000.0
2020-04-22,757.887,769.547,755.368,769.365,1179998880,12017235500.0
2020-04-23,771.761,771.761,758.282,758.282,1116067290,11275565800.0
2020-04-24,758.191,762.346,743.962,746.014,1184140970,12571219500.0
2020-04-27,747.085,748.875,738.976,739.165,951711270,10278182700.0
2020-04-28,740.223,740.341,703.269,725.21,1364219600,15600612000.0
2020-04-29,723.423,732.825,721.704,728.727,1127063830,12003535900.0
2020-04-30,735.409,761.087,735.409,758.737,2086152700,21762666000.0
2020-05-06,751.02,773.269,750.411,773.269,1980556200,21157741000.0
2020-05-07,773.818,774.922,767.561,770.042,1475635000,17012067000.0
2020-05-08,773.229,782.168,772.363,779.669,1556624000,16600754000.0
2020-05-11,782.275,785.779,771.878,776.478,1556770800,18411523000.0
2020-05-12,776.436,776.436,761.19,771.515,1172242560,13481581000.0
2020-05-13,767.562,773.612,765.572,772.909,1094172960,11758855400.0
2020-05-14,769.15,769.959,762.554,762.967,1281319860,13633065000.0
2020-05-15,767.671,774.05,762.253,768.995,1534419400,19113548000.0
2020-05-18,771.878,772.41,756.003,756.833,1580454400,17789371000.0
2020-05-19,763.41,766.479,759.996,766.479,1309227510,15078998000.0
2020-05-20,770.356,779.844,770.068,773.984,1738554000,23630164000.0
2020-05-21,777.333,777.457,759.053,760.203,1534835700,17954585000.0
2020-05-22,759.167,759.167,737.996,743.385,1430495400,15523698000.0
2020-05-25,741.232,742.584,734.68,738.504,936229610,10745025400.0
2020-05-26,741.981,758.456,741.712,758.456,1114822430,14765433000.0
2020-05-27,759.674,765.018,757.039,759.325,1178085210,16880014000.0
2020-05-28,759.047,762.117,745.554,757.673,1218437010,15019726000.0
2020-05-29,757.243,764.682,755.481,761.279,1549466300,16361325000.0
2020-06-01,765.227,784.534,765.227,784.256,1732145000,20198768000.0
2020-06-02,787.209,792.198,784.832,789.174,1921101200,20766569000.0
2020-06-03,791.621,797.086,787.73,790.23,1948140600,21319571000.0
2020-06-04,792.934,798.95,791.011,794.143,1679737500,20119000000.0
2020-06-05,795.64,795.64,787.174,793.227,1426535600,16147154000.0
2020-06-08,800.081,802.506,794.264,796.677,1805753200,19440515000.0
2020-06-09,801.862,804.823,800.269,803.075,1700655100,19234893000.0
2020-06-10,804.499,804.499,796.089,801.552,1551176500,19167424000.0
2020-06-11,805.123,818.802,800.912,804.81,1850568900,26560404000.0
2020-06-12,784.926,800.472,783.213,796.279,1628033400,22550328000.0
2020-06-15,795.225,803.393,790.515,790.515,1686048000,22881016000.0
2020-06-16,798.883,809.803,797.722,809.803,1815292400,24022309000.0
2020-06-17,809.837,809.837,800.403,806.562,1570726900,22227460000.0
2020-06-18,806.639,813.455,803.396,813.22,1838970700,22928248000.0
2020-06-19,814.5,829.704,814.011,828.31,1837122800,26852678000.0
