日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,2978.897,3039.647,2968.732,3036.362,1219120100,18911107000.0
2020-01-03,3039.869,3063.795,3027.489,3060.207,1155006380,17624139000.0
2020-01-06,3049.653,3128.782,3040.696,3105.474,1468121000,22565676000.0
2020-01-07,3108.594,3158.181,3108.594,3158.181,1284108570,19303853000.0
2020-01-08,3151.105,3176.502,3117.252,3126.491,1513142700,22851404000.0
2020-01-09,3157.137,3190.483,3155.367,3190.483,1482917900,21344642000.0
2020-01-10,3200.356,3205.761,3157.52,3175.046,1181948370,18143229000.0
2020-01-13,3167.168,3230.359,3162.989,3230.359,1229133740,20557938000.0
2020-01-14,3239.064,3243.492,3213.934,3216.667,1206602660,19574814000.0
2020-01-15,3219.111,3238.329,3199.463,3232.869,1220759030,18794572000.0
2020-01-16,3234.429,3249.694,3216.93,3231.094,1222079720,18701329000.0
2020-01-17,3238.575,3245.576,3196.725,3200.726,1131039760,17749478000.0
2020-01-20,3204.777,3263.95,3188.733,3263.95,1261444590,21783567000.0
2020-01-21,3259.221,3259.221,3226.579,3229.72,1241312740,19920303000.0
2020-01-22,3209.753,3276.897,3165.398,3259.077,1391963400,23289157000.0
2020-01-23,3204.419,3234.95,3088.38,3118.333,1624673600,24360101000.0
2020-02-03,2822.935,2841.202,2819.085,2829.597,689670600,13493316000.0
2020-02-04,2668.384,2825.182,2668.384,2814.7,1850342500,25581648000.0
2020-02-05,2829.238,2956.376,2829.238,2909.851,1665374500,25400396000.0
2020-02-06,2922.452,3031.275,2912.683,3024.152,1795378300,26472406000.0
2020-02-07,3038.619,3109.564,3017.934,3102.142,2021391500,30177670000.0
2020-02-10,3107.401,3135.015,3073.494,3122.53,1822926400,27524843000.0
2020-02-11,3124.026,3134.442,3074.906,3111.068,1509655700,24089321000.0
2020-02-12,3107.958,3205.22,3105.312,3204.117,1669233200,25670069000.0
2020-02-13,3211.029,3233.362,3171.366,3186.023,1738610300,28999612000.0
2020-02-14,3171.197,3238.756,3160.636,3193.411,1633451100,26966349000.0
2020-02-17,3228.539,3343.143,3228.539,3343.143,2044375300,32056270000.0
2020-02-18,3353.353,3448.582,3352.373,3448.582,2237872500,34507138000.0
2020-02-19,3445.641,3467.866,3410.106,3414.389,2328998300,36985860000.0
2020-02-20,3414.51,3481.232,3381.289,3473.284,2251084900,34866727000.0
2020-02-21,3469.599,3587.02,3469.329,3546.557,2629474200,41740224000.0
2020-02-24,3553.478,3681.633,3543.066,3667.254,2750584500,44480955000.0
2020-02-25,3570.765,3696.186,3470.968,3693.364,3188447100,51822602000.0
2020-02-26,3628.021,3688.54,3549.048,3567.421,2963490300,46347645000.0
2020-02-27,3584.28,3623.968,3478.549,3556.004,2315276400,36456102000.0
2020-02-28,3411.268,3461.145,3301.468,3308.064,2461862600,38710482000.0
2020-03-02,3363.32,3476.33,3342.701,3457.563,2031020200,34820526000.0
2020-03-03,3521.54,3618.172,3467.075,3500.273,2516263100,40304900000.0
2020-03-04,3471.644,3534.005,3425.186,3507.662,1902788200,30688339000.0
2020-03-05,3584.564,3594.16,3486.757,3534.764,1904807900,30630733000.0
2020-03-06,3482.566,3542.172,3472.926,3511.146,1524507300,22665862000.0
2020-03-09,3438.784,3457.979,3327.168,3327.168,1873134900,28831370000.0
2020-03-10,3280.718,3450.591,3253.779,3450.591,1933661800,29616672000.0
2020-03-11,3473.074,3513.212,3383.705,3385.991,1807883600,26960090000.0
2020-03-12,3329.517,3373.673,3291.892,3340.465,1582722600,23502117000.0
2020-03-13,3170.879,3343.558,3164.339,3307.965,1950681500,27502800000.0
2020-03-16,3341.551,3343.643,3095.313,3106.891,1944483900,29516567000.0
2020-03-17,3139.513,3166.001,2986.754,3105.645,1565632400,23791515000.0
2020-03-18,3138.31,3192.271,3040.337,3040.337,1597366700,24657261000.0
2020-03-19,3046.028,3111.789,2988.691,3095.341,1492774900,22236029000.0
2020-03-20,3135.216,3139.813,3064.28,3128.608,1302279420,19408427000.0
2020-03-23,3042.111,3087.007,2974.766,2990.663,1377305600,20674017000.0
2020-03-24,3060.779,3071.905,2945.482,3062.784,1438110100,20714616000.0
2020-03-25,3130.294,3145.491,3094.861,3124.72,1473114900,22483825000.0
2020-03-26,3108.801,3122.361,3066.278,3074.55,1161101850,17235517000.0
2020-03-27,3113.123,3118.605,3035.101,3037.477,1138846690,17143102000.0
2020-03-30,2981.35,2981.555,2886.555,2919.355,1207259490,18124525000.0
2020-03-31,2959.759,2962.485,2891.941,2894.709,910619990,13971677000.0
2020-04-01,2890.295,2952.904,2875.746,2897.647,1052373860,16499823000.0
2020-04-02,2886.648,3019.444,2885.963,3019.444,1185957930,19419501000.0
2020-04-03,3020.582,3034.75,2984.033,3000.364,987537390,16535007000.0
2020-04-07,3069.53,3111.252,3069.53,3108.35,1287379790,19792241000.0
2020-04-08,3105.81,3151.298,3095.504,3141.569,1666401500,24430693000.0
2020-04-09,3155.179,3176.351,3141.67,3166.876,1709931700,23615470000.0
2020-04-10,3153.916,3154.167,3046.638,3058.336,1463332600,20858514000.0
2020-04-13,3030.448,3030.448,2973.519,2987.621,1115154620,14976580000.0
2020-04-14,3008.907,3058.829,3006.846,3058.829,1081301950,16415509000.0
2020-04-15,3063.691,3078.21,3030.123,3030.929,1256160560,18513458000.0
2020-04-16,3005.904,3059.838,2989.801,3055.5,1248193650,16330361000.0
2020-04-17,3075.459,3101.343,3045.015,3049.713,1583211300,22025819000.0
2020-04-20,3051.45,3088.855,3036.66,3088.855,1343984600,18995541000.0
2020-04-21,3074.944,3094.033,3051.549,3089.462,1563641000,22190358000.0
2020-04-22,3058.592,3112.121,3049.664,3111.798,1418747200,18193330000.0
2020-04-23,3110.058,3113.659,3067.218,3067.953,1379720300,19447967000.0
2020-04-24,3059.96,3070.24,2977.092,2987.853,1316678420,18075858000.0
2020-04-27,2979.869,2986.62,2949.013,2957.651,1228908780,17915354000.0
2020-04-28,2946.959,2950.759,2791.854,2879.993,1456058300,20332868000.0
2020-04-29,2863.504,2912.841,2863.504,2874.598,997912950,13213440300.0
2020-04-30,2887.928,3005.775,2887.928,2993.626,1552493700,22544206000.0
2020-05-06,2957.767,3074.678,2956.652,3074.678,1470444800,22732770000.0
2020-05-07,3083.311,3097.39,3048.769,3052.818,1243420640,18627338000.0
2020-05-08,3071.44,3112.443,3070.852,3092.536,1349300700,19661784000.0
2020-05-11,3104.05,3115.057,3061.639,3084.77,1314871890,18916112000.0
2020-05-12,3085.945,3086.408,3023.214,3073.159,1149223100,16460652000.0
2020-05-13,3061.474,3081.989,3050.398,3078.503,996155310,14959184000.0
2020-05-14,3063.067,3079.936,3050.567,3052.119,1144710430,17071015000.0
2020-05-15,3068.664,3093.023,3054.585,3060.663,1205672600,17947217000.0
2020-05-18,3064.704,3064.704,2970.924,2976.211,1414828700,21590003000.0
2020-05-19,2997.568,3012.347,2985.469,3012.253,996954640,15281539000.0
2020-05-20,3019.395,3019.395,2967.269,2978.038,1149000970,16976491000.0
2020-05-21,2997.755,3002.787,2941.376,2950.143,1078642350,15177758000.0
2020-05-22,2951.399,2977.489,2901.648,2913.232,1092494230,15158059000.0
2020-05-25,2899.437,2900.576,2859.501,2874.315,936864130,13225709100.0
2020-05-26,2883.784,2965.004,2883.784,2963.223,1072721250,14382948000.0
