日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-08-26,1007.456,1025.714,1004.459,1014.28,57564308,1275631020.0
2022-08-29,1014.76,1033.84,1012.625,1033.795,55106035,1248806750.0
2022-08-30,1034.609,1070.636,1034.609,1066.813,95690530,2286658200.0
2022-08-31,1063.574,1076.359,1053.912,1070.434,147356020,3450038300.0
2022-09-01,1061.727,1072.33,1052.967,1065.62,138999010,2851497500.0
2022-09-02,1060.802,1082.202,1060.046,1076.483,131246464,2824879600.0
2022-09-05,1079.449,1083.191,1066.922,1075.36,108427247,2246676400.0
2022-09-06,1078.5,1078.583,1066.648,1078.268,121671868,2700376300.0
2022-09-07,1077.333,1078.263,1071.617,1074.278,154527160,3182314700.0
2022-09-08,1075.66,1081.597,1055.06,1057.276,141634890,2798253000.0
2022-09-09,1056.834,1057.683,1048.646,1048.839,106959704,1860890800.0
2022-09-13,1053.089,1082.883,1053.089,1082.122,159778780,3024019900.0
2022-09-14,1066.807,1079.812,1065.278,1075.062,135645760,2490391800.0
2022-09-15,1075.977,1077.059,1043.982,1053.027,136528720,2346089100.0
2022-09-16,1053.334,1062.127,1037.39,1037.589,147380300,2496094700.0
2022-09-19,1032.066,1038.097,1019.538,1027.541,115836254,2095357900.0
2022-09-20,1030.955,1047.03,1030.894,1041.437,119761183,1842557700.0
2022-09-21,1042.202,1044.517,1030.067,1038.6,116051900,1865054700.0
2022-09-22,1036.229,1056.769,1036.229,1042.892,110007415,1821397600.0
2022-09-23,1044.117,1044.99,1012.117,1018.005,126953048,2488072300.0
2022-09-26,1010.87,1017.621,997.59,1000.218,135274620,2311264200.0
2022-09-27,1003.353,1049.212,1003.353,1048.761,168015250,2986685500.0
2022-09-28,1049.401,1052.574,1031.376,1031.376,208673990,4236361800.0
2022-09-29,1032.988,1043.18,1017.605,1021.812,162541570,2856315000.0
2022-09-30,1018.259,1025.495,1003.633,1003.633,138554100,2492984500.0
2022-10-10,1012.123,1029.568,1002.839,1005.921,179654530,3034617400.0
2022-10-11,1003.615,1012.656,992.13,1012.656,143147000,2479492800.0
2022-10-12,1008.885,1026.236,992.15,1026.236,146047510,2476232500.0
2022-10-13,1021.573,1057.917,1019.787,1052.291,205131130,3449424400.0
2022-10-14,1054.651,1070.251,1053.632,1066.943,244709260,4238499800.0
2022-10-17,1062.018,1077.976,1058.169,1077.68,240454580,3801934300.0
2022-10-18,1076.984,1087.299,1069.867,1085.605,240719310,4273198300.0
2022-10-19,1083.739,1085.045,1055.187,1055.666,219767690,4218381900.0
2022-10-20,1049.299,1067.931,1048.532,1050.533,198154850,3674082200.0
2022-10-21,1052.386,1058.289,1039.179,1045.771,220504510,4101985100.0
2022-10-24,1049.308,1052.104,1018.274,1023.082,204566020,3562153200.0
2022-10-25,1019.832,1022.916,981.78,996.679,199001020,3370755100.0
2022-10-26,995.716,1031.093,995.716,1018.714,201957310,3639347900.0
2022-10-27,1017.891,1026.123,1008.638,1014.707,202999170,3560375400.0
2022-10-28,1008.355,1008.355,971.683,974.932,205216310,3361026600.0
2022-10-31,972.561,994.99,972.516,986.487,168732860,2834995100.0
2022-11-01,989.336,1016.925,989.184,1016.719,205698270,3512488600.0
2022-11-02,1015.037,1039.384,1013.625,1031.545,239677310,4751201700.0
2022-11-03,1025.443,1044.882,1024.465,1042.859,183361030,3885445200.0
2022-11-04,1045.026,1056.469,1041.25,1051.545,192607550,4003379900.0
2022-11-07,1052.65,1073.75,1048.25,1072.55,209472630,3987455100.0
2022-11-08,1072.539,1073.918,1063.201,1066.599,180873480,3675961600.0
2022-11-09,1066.138,1076.455,1063.643,1071.056,167384820,3162004900.0
2022-11-10,1065.966,1076.372,1064.322,1069.865,166816200,3163437400.0
2022-11-11,1084.056,1089.95,1066.968,1067.432,274022150,4833925000.0
2022-11-14,1070.789,1086.008,1063.989,1080.52,256087610,4191829800.0
2022-11-15,1081.341,1088.18,1075.292,1088.062,216970320,3868550900.0
2022-11-16,1089.06,1095.339,1083.241,1088.189,188928110,3782370900.0
2022-11-17,1085.981,1095.4,1081.803,1095.4,177466570,3315749200.0
2022-11-18,1094.903,1101.245,1083.845,1084.367,202537880,3853141200.0
2022-11-21,1080.436,1093.256,1070.843,1092.732,212045930,4040888300.0
