日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-21,1009.383,1011.0,993.439,1008.179,916796660,16087669000.0
2022-03-22,1000.476,1000.476,987.109,991.708,838657330,16540126000.0
2022-03-23,987.029,987.442,976.347,983.066,698899960,12304684000.0
2022-03-24,974.963,981.399,964.976,975.872,611254360,11934201600.0
2022-03-25,975.99,981.506,961.403,961.888,560727330,9724117100.0
2022-03-28,955.911,967.978,947.1,953.051,435227890,7186725000.0
2022-03-29,956.421,957.988,943.017,946.602,439841170,9436530100.0
2022-03-30,948.956,968.036,944.134,967.689,495079270,11417760900.0
2022-03-31,963.074,976.405,961.437,964.84,534191170,11279588800.0
2022-04-01,957.677,960.531,950.187,956.876,480241140,10234094400.0
2022-04-06,957.653,979.637,957.493,975.962,546090670,11113173300.0
2022-04-07,971.752,972.777,937.307,937.307,509151440,9215353600.0
2022-04-08,936.31,939.445,909.764,922.089,428517360,7103730000.0
2022-04-11,916.621,916.917,879.664,886.523,441654330,8350125200.0
2022-04-12,882.797,902.856,877.662,902.56,353789420,6671246600.0
2022-04-13,897.779,897.779,870.711,870.711,318205280,5882401700.0
2022-04-14,876.876,888.789,875.056,875.731,280285910,5724041500.0
2022-04-15,871.144,871.239,855.529,858.576,304079770,5346199200.0
2022-04-18,854.027,856.199,837.145,852.859,276265510,5206465800.0
2022-04-19,853.683,860.612,846.97,853.547,246497560,4933646000.0
2022-04-20,859.508,864.399,842.825,845.676,316308720,4959408900.0
2022-04-21,841.763,849.136,815.77,819.568,376978000,6436318600.0
2022-04-22,819.158,827.946,811.73,821.867,316383110,5387999900.0
2022-04-25,820.282,820.282,757.142,757.352,538127710,9089212000.0
2022-04-26,758.027,768.785,743.643,744.039,549010200,10456659600.0
2022-04-27,727.94,759.708,722.568,759.708,465003140,8335739500.0
2022-04-28,753.837,755.541,734.36,740.918,378894870,6825539900.0
2022-04-29,745.131,784.116,745.131,781.353,519060690,8100255100.0
2022-05-05,776.499,790.662,767.457,785.342,438511670,7515594900.0
2022-05-06,763.35,788.74,759.577,785.689,402784100,6023278600.0
2022-05-09,780.903,793.851,780.903,786.213,342663410,5021029100.0
2022-05-10,773.124,791.303,772.515,791.303,381323310,6140193600.0
2022-05-11,791.605,810.95,788.907,789.164,550116730,10864493600.0
2022-05-12,780.942,799.379,780.942,795.639,412712180,7514123700.0
2022-05-13,802.337,806.804,793.011,802.89,447838280,6740865800.0
2022-05-16,804.442,809.676,793.534,799.703,382184230,5908940800.0
2022-05-17,799.783,799.783,778.999,790.315,324651020,5223722700.0
2022-05-18,792.047,802.891,792.047,797.646,315567150,4727447000.0
2022-05-19,785.425,800.256,782.275,800.256,313880390,4236070500.0
2022-05-20,803.265,811.683,799.12,811.205,378974820,6114786100.0
2022-05-23,812.198,820.885,811.252,820.465,291190190,4832050400.0
2022-05-24,819.78,820.384,781.29,781.29,356286290,5648051400.0
2022-05-25,785.317,798.954,784.837,796.995,260015330,4107177400.0
2022-05-26,801.135,802.835,782.954,798.589,302337560,4525372100.0
2022-05-27,802.695,809.239,795.265,801.169,321191580,4568522000.0
2022-05-30,803.841,807.075,797.824,806.413,310687030,5899548700.0
2022-05-31,805.624,812.752,796.08,811.4,299073200,5510649700.0
2022-06-01,810.758,822.273,808.075,813.431,280445480,4134064600.0
2022-06-02,811.091,811.467,798.921,810.947,297794450,4315079800.0
2022-06-06,811.371,825.887,811.362,825.481,331825920,6404289500.0
2022-06-07,826.874,827.416,814.151,826.689,318351220,5675992600.0
2022-06-08,825.393,829.329,811.162,821.313,348880990,6340426700.0
2022-06-09,820.376,820.562,798.587,800.822,305820620,5692101000.0
2022-06-10,795.831,807.596,795.14,807.596,317902790,5626889100.0
2022-06-13,802.314,810.137,801.719,810.137,300739240,5128646000.0
2022-06-14,804.452,807.803,783.181,807.678,302929330,5639641000.0
2022-06-15,810.998,826.101,810.785,816.937,521548930,13083432900.0
2022-06-16,816.414,832.987,815.893,826.831,455333800,7639414900.0
2022-06-17,819.366,824.426,807.319,822.947,347449830,6391219200.0
2022-06-20,823.093,835.354,822.015,835.354,360173020,7496807000.0
2022-06-21,838.868,846.604,830.874,840.942,399448470,8451997700.0
2022-06-22,843.787,845.975,833.504,834.861,386311590,7658095400.0
2022-06-23,836.559,844.158,827.622,843.525,412243490,6939709100.0
2022-06-24,847.319,850.021,841.019,844.77,389974310,6777480100.0
2022-06-27,846.008,848.205,839.281,842.974,381350690,6856966200.0
2022-06-28,842.553,852.926,834.26,852.926,419049080,6565620400.0
2022-06-29,851.915,862.53,848.792,854.994,584795380,7241036200.0
2022-06-30,854.554,864.299,853.699,857.434,585025230,8473548100.0
2022-07-01,857.37,857.37,846.769,849.491,416633920,7510937600.0
2022-07-04,854.171,860.145,848.922,859.228,415067480,7900310300.0
2022-07-05,859.229,859.487,838.532,846.476,417082410,7701020000.0
2022-07-06,844.589,848.881,831.199,837.131,332628180,6312584800.0
2022-07-07,838.226,838.54,829.272,830.614,275627810,5101440200.0
2022-07-08,832.714,847.484,832.714,845.507,388469480,6896180500.0
2022-07-11,845.111,845.111,830.088,835.086,407757150,6005136500.0
2022-07-12,835.208,835.208,819.44,819.655,364504520,5904325200.0
2022-07-13,819.538,827.849,819.538,827.425,279953870,4544883300.0
2022-07-14,826.959,835.688,824.336,830.446,362191520,8462209100.0
2022-07-15,827.086,827.086,803.13,803.13,399534970,7798136000.0
2022-07-18,803.857,828.268,803.857,828.175,341221180,6720629700.0
2022-07-19,827.914,840.687,826.453,840.536,324023490,5678435800.0
2022-07-20,843.369,854.593,842.232,851.855,344322920,5011431700.0
2022-07-21,848.422,857.404,847.384,849.721,293664740,4879424500.0
2022-07-22,850.139,856.763,832.954,840.036,278099900,4361734100.0
2022-07-25,840.029,846.767,836.921,839.59,374252440,4297117500.0
2022-07-26,843.107,846.359,838.696,846.003,354056840,7269003300.0
2022-07-27,846.295,852.498,843.028,848.809,280632120,5341207400.0
2022-07-28,852.329,859.198,850.655,853.992,358556520,5337454900.0
2022-07-29,854.36,854.36,843.509,844.435,351595610,6183318100.0
2022-08-01,843.418,854.416,838.094,853.088,312030430,4430556300.0
2022-08-02,847.066,847.066,810.549,814.716,494972990,7207539600.0
2022-08-03,815.342,834.122,815.342,817.815,386740640,5596252300.0
2022-08-04,824.214,836.876,823.374,836.716,464384600,4609387500.0
2022-08-05,840.785,857.502,840.128,857.361,489470430,5256893400.0
2022-08-08,860.556,868.271,856.654,867.572,400502500,5152421000.0
2022-08-09,868.515,868.561,853.481,859.83,360779500,4478025600.0
2022-08-10,857.393,861.999,853.111,859.249,322307040,4902085400.0
2022-08-11,864.969,875.453,863.014,872.713,369759840,5758471700.0
2022-08-12,871.82,877.272,867.269,874.464,338744810,5380085600.0
2022-08-15,871.944,871.944,863.973,871.499,294445390,4519243700.0
2022-08-16,872.259,874.999,869.221,873.782,261303730,4023819700.0
2022-08-17,877.61,877.723,867.261,874.569,290495140,4422817200.0
2022-08-18,872.966,873.034,864.265,869.107,251709370,3656334300.0
2022-08-19,870.77,879.383,868.094,868.094,303743250,4084579200.0
2022-08-22,866.076,873.254,860.548,872.282,247887230,3736471800.0
2022-08-23,873.724,878.343,868.77,875.381,258665690,4353009700.0
2022-08-24,875.773,876.941,850.717,852.309,391744070,8090862000.0
2022-08-25,853.544,857.094,839.542,847.36,313629490,7233327000.0
2022-08-26,848.775,858.806,845.17,846.153,263326500,5325633300.0
2022-08-29,835.981,847.539,826.611,847.037,252272300,4112598800.0
2022-08-30,846.272,855.811,843.856,849.685,244732520,3870792600.0
2022-08-31,850.676,853.974,833.087,835.35,339537460,6408139000.0
2022-09-01,834.807,844.046,827.431,829.315,241985410,4187986400.0
2022-09-02,831.884,843.486,831.884,843.057,228601840,3935710000.0
2022-09-05,839.989,845.22,828.443,834.111,248426820,5278333800.0
2022-09-06,835.345,835.785,827.877,835.785,242707520,4583745000.0
2022-09-07,833.975,834.224,824.541,829.02,235889680,3866967700.0
2022-09-08,828.215,829.664,817.225,817.279,212820000,4005406300.0
2022-09-09,819.089,828.213,818.197,826.746,228713580,4903217800.0
2022-09-13,827.566,834.171,826.091,827.426,243704750,4706636200.0
2022-09-14,818.722,829.353,815.613,827.998,239769660,4424864200.0
2022-09-15,829.054,831.526,807.909,816.333,283872660,5447621500.0
2022-09-16,814.854,818.585,799.0,799.344,267137730,5182567700.0
2022-09-19,800.212,800.557,781.121,786.23,207885120,3706938400.0
2022-09-20,788.667,795.675,784.174,787.031,155758280,2985045300.0
2022-09-21,786.258,795.9,772.006,793.034,188149560,3052209600.0
2022-09-22,787.089,793.538,784.274,784.603,191682570,3715387700.0
2022-09-23,786.132,786.557,764.867,768.313,198562700,3676205800.0
2022-09-26,764.698,764.698,749.697,750.042,189192640,3032049500.0
2022-09-27,751.76,771.459,751.76,771.409,225746930,3721917800.0
2022-09-28,772.497,773.66,753.599,753.599,219184060,3923864300.0
2022-09-29,761.232,765.802,747.064,750.144,229222220,4137709300.0
2022-09-30,752.781,766.167,752.781,757.525,291117210,4136403900.0
2022-10-10,757.651,761.25,735.034,736.25,273725340,4412767200.0
2022-10-11,740.357,740.821,724.813,737.247,214459280,3155422300.0
2022-10-12,736.688,762.218,728.946,762.218,248748930,4035295600.0
2022-10-13,764.454,790.621,762.147,785.384,362145690,5173989200.0
2022-10-14,788.121,829.794,788.038,824.085,513044260,7633308600.0
2022-10-17,820.592,852.691,819.913,849.91,500988190,7443133100.0
2022-10-18,853.063,859.394,840.038,852.747,467815910,7077256500.0
2022-10-19,851.63,852.691,840.505,843.61,401915880,5665807500.0
2022-10-20,838.455,860.755,836.528,845.526,434398260,6619593100.0
2022-10-21,844.972,856.917,838.547,851.729,425721240,7301064200.0
2022-10-24,855.214,863.248,828.411,830.996,511591070,9730678800.0
2022-10-25,827.223,838.709,819.738,828.357,472798830,7017260200.0
2022-10-26,828.949,876.592,828.949,867.367,620376150,8766289200.0
2022-10-27,869.204,881.593,861.44,874.867,520136770,7796318300.0
2022-10-28,866.471,875.825,847.234,849.931,468621940,6959378500.0
2022-10-31,848.42,887.318,848.42,880.11,644181250,10001464100.0
2022-11-01,883.266,894.765,875.71,894.765,577716740,9601259400.0
2022-11-02,893.79,909.198,892.943,907.202,675700450,11778635100.0
2022-11-03,900.075,905.017,889.178,894.417,504116510,7512816400.0
2022-11-04,898.556,906.851,888.577,901.649,660928320,10043446600.0
2022-11-07,898.7,915.135,894.82,899.859,544929830,9010426100.0
2022-11-08,900.09,906.473,882.308,906.329,501384750,7176500100.0
2022-11-09,902.4,910.674,893.116,903.757,443352230,5731037100.0
2022-11-10,900.664,926.391,900.664,913.621,619697730,7181760100.0
2022-11-11,932.406,935.673,915.363,915.363,923003360,13294890200.0
