日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1686.972,1715.688,1686.962,1712.945,1148189100,14327828000.0
2020-01-03,1718.648,1723.68,1710.772,1720.512,991480030,12242212400.0
2020-01-06,1712.447,1739.198,1706.133,1726.023,1198309360,15392524000.0
2020-01-07,1724.289,1749.9,1724.289,1748.008,1130040740,13284979700.0
2020-01-08,1741.882,1763.008,1729.32,1735.433,1701212500,16961434000.0
2020-01-09,1753.64,1771.477,1753.548,1766.596,1407625600,15728361000.0
2020-01-10,1770.579,1772.518,1748.672,1757.481,1116557200,12035844500.0
2020-01-13,1753.86,1770.843,1745.386,1770.843,959070570,11476126100.0
2020-01-14,1771.394,1783.32,1769.379,1771.706,1148899390,12324039300.0
2020-01-15,1767.884,1770.811,1754.674,1768.311,1019736670,11547197400.0
2020-01-16,1771.744,1773.55,1752.634,1758.068,962861620,12208577200.0
2020-01-17,1759.351,1764.885,1744.166,1748.885,838070170,10556942600.0
2020-01-20,1740.589,1757.145,1731.867,1756.999,1156176350,12213624100.0
2020-01-21,1748.964,1748.964,1723.955,1724.76,863540600,11390020800.0
2020-01-22,1716.233,1732.688,1693.73,1725.623,965296180,12791158500.0
2020-01-23,1712.761,1718.117,1653.869,1667.711,1327331390,17004953000.0
2020-02-03,1507.308,1521.772,1507.308,1517.91,1107959230,17965304000.0
2020-02-04,1448.965,1528.08,1448.965,1526.586,1593892800,17986440000.0
2020-02-05,1531.412,1576.5,1531.412,1561.145,1361771300,16355388000.0
2020-02-06,1573.139,1606.536,1554.842,1601.783,1585976800,17193065000.0
2020-02-07,1606.955,1624.945,1592.268,1624.808,1473373900,15609406000.0
2020-02-10,1628.638,1659.865,1620.656,1658.529,1685549000,17315460000.0
2020-02-11,1655.798,1667.765,1644.792,1654.742,1617886900,18203942000.0
2020-02-12,1649.817,1683.99,1646.529,1683.197,1320674130,13856422000.0
2020-02-13,1683.282,1691.457,1659.714,1662.114,1778907900,18432953000.0
2020-02-14,1659.879,1675.966,1652.321,1667.431,1262739980,13303267800.0
2020-02-17,1670.421,1707.439,1670.421,1707.378,1494381500,16906951000.0
2020-02-18,1708.883,1737.486,1702.655,1737.482,1793465600,19117361000.0
2020-02-19,1736.436,1750.722,1727.047,1728.15,1585894500,17526865000.0
2020-02-20,1735.207,1778.167,1734.287,1778.167,1841084900,20796394000.0
2020-02-21,1783.84,1806.697,1776.651,1791.213,2396728600,28215630000.0
2020-02-24,1781.451,1805.187,1766.689,1802.527,2151789600,27842033000.0
2020-02-25,1767.406,1795.24,1737.036,1791.779,2502322200,29360278000.0
2020-02-26,1775.309,1808.234,1767.922,1772.233,2909974900,28834223000.0
2020-02-27,1777.78,1795.86,1761.298,1790.875,2163351200,21067655000.0
2020-02-28,1739.807,1755.764,1708.067,1708.538,2844990000,26432142000.0
2020-03-02,1718.711,1788.226,1718.711,1782.941,2582880200,25883091000.0
2020-03-03,1803.854,1824.048,1781.763,1800.008,2536743000,25940415000.0
2020-03-04,1789.022,1811.462,1781.529,1811.462,2276172200,21250878000.0
2020-03-05,1827.308,1858.846,1820.355,1858.302,2419159900,29401461000.0
2020-03-06,1833.315,1864.774,1828.15,1846.092,2229139700,23253320000.0
2020-03-09,1819.584,1828.498,1788.818,1788.818,2161065200,24018042000.0
2020-03-10,1764.862,1829.709,1751.768,1829.709,2357980600,24481900000.0
2020-03-11,1831.657,1842.247,1808.993,1808.993,2149721100,21141736000.0
2020-03-12,1779.844,1785.88,1752.374,1767.094,2103760900,21450491000.0
2020-03-13,1676.436,1752.3,1672.897,1734.974,2017695700,21152308000.0
2020-03-16,1744.053,1746.968,1657.307,1661.243,2044141900,20503297000.0
2020-03-17,1664.656,1683.381,1607.186,1656.32,1879260600,18903413000.0
2020-03-18,1667.439,1687.388,1626.287,1626.304,1764985300,19260598000.0
2020-03-19,1621.579,1635.255,1587.43,1625.063,1786359600,20918602000.0
2020-03-20,1639.21,1645.436,1614.086,1643.945,1442604600,15493588000.0
2020-03-23,1606.134,1610.091,1568.88,1572.371,1599353600,15723877000.0
2020-03-24,1596.746,1609.748,1563.262,1606.278,1569350200,15910900000.0
2020-03-25,1641.023,1656.513,1632.791,1654.614,1681937000,17378287000.0
2020-03-26,1646.644,1664.428,1643.207,1648.101,1309565570,12571721100.0
2020-03-27,1671.108,1688.553,1659.963,1662.778,1275521740,13589788000.0
2020-03-30,1642.373,1642.373,1603.388,1617.731,1374858600,13116772200.0
2020-03-31,1625.115,1634.054,1616.27,1617.949,1218190420,11072039700.0
2020-04-01,1604.315,1635.688,1602.734,1611.014,1682982600,13645938000.0
2020-04-02,1596.539,1636.354,1591.705,1636.354,1505455300,12868416600.0
2020-04-03,1634.737,1648.062,1628.901,1635.778,1272590360,11516017800.0
2020-04-07,1660.123,1677.79,1653.79,1677.79,1671506100,16021416000.0
2020-04-08,1663.555,1683.702,1661.281,1677.323,1436900700,13209021800.0
2020-04-09,1677.522,1692.892,1677.148,1686.458,1132383040,10948577200.0
2020-04-10,1680.776,1687.712,1647.895,1654.081,1277134050,15063156000.0
2020-04-13,1639.16,1649.183,1628.653,1640.195,955204120,12959449800.0
2020-04-14,1649.512,1664.307,1646.988,1664.307,1022754260,12391939200.0
2020-04-15,1665.198,1667.46,1644.648,1647.214,1365942500,16833746000.0
2020-04-16,1641.291,1657.022,1635.182,1656.172,1037653640,11459871500.0
2020-04-17,1661.413,1671.024,1652.379,1654.483,1605723200,14496862000.0
2020-04-20,1654.21,1671.368,1651.084,1670.775,966812130,10036716800.0
2020-04-21,1665.668,1665.668,1646.509,1661.207,1059142400,10467803700.0
