日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1086.669,1108.164,1082.213,1106.371,826531950,10691261300.0
2020-01-03,1107.495,1112.688,1101.452,1108.35,791975910,10046871800.0
2020-01-06,1099.531,1129.036,1095.787,1119.976,919290400,11044628000.0
2020-01-07,1122.348,1133.976,1119.301,1133.976,788667420,10740076100.0
2020-01-08,1126.989,1147.718,1123.606,1128.008,978159550,11575777200.0
2020-01-09,1139.91,1151.691,1139.747,1151.691,994352640,12654944300.0
2020-01-10,1149.726,1157.355,1141.325,1151.322,812416880,10529959200.0
2020-01-13,1150.179,1171.845,1143.148,1171.69,751262660,11506598200.0
2020-01-14,1176.842,1179.867,1168.126,1169.175,809239750,11957584900.0
2020-01-15,1162.829,1168.93,1152.243,1166.272,608513800,8549363400.0
2020-01-16,1166.637,1177.126,1165.304,1172.465,1009093960,12271740300.0
2020-01-17,1173.618,1176.73,1161.445,1168.615,859458940,11157993300.0
2020-01-20,1172.469,1197.026,1167.138,1196.545,959587520,13487907000.0
2020-01-21,1192.006,1193.93,1177.191,1177.191,759256720,10659087800.0
2020-01-22,1169.686,1205.458,1153.274,1199.691,969290560,14576475000.0
2020-01-23,1182.982,1197.516,1130.747,1144.668,985178090,13708154000.0
2020-02-03,1036.342,1038.447,1033.823,1036.906,478492460,4520630800.0
2020-02-04,968.899,1036.726,968.899,1029.186,1213129120,13983726000.0
2020-02-05,1034.322,1076.508,1034.072,1052.951,1121871410,13374676100.0
2020-02-06,1051.55,1077.073,1043.997,1073.011,1133586980,13226977900.0
2020-02-07,1073.793,1093.037,1065.718,1092.133,1157530540,14333317000.0
2020-02-10,1085.478,1103.632,1082.641,1103.632,1062591160,13014159900.0
2020-02-11,1105.075,1120.277,1093.663,1109.593,1177887660,14593696000.0
2020-02-12,1107.734,1135.921,1105.048,1135.65,1057488790,13589284000.0
2020-02-13,1131.516,1140.864,1120.091,1126.381,1018917050,13598349000.0
2020-02-14,1124.387,1148.539,1122.723,1138.083,1041281220,13864112000.0
2020-02-17,1146.088,1186.776,1146.088,1186.776,1189109930,16215713000.0
2020-02-18,1190.255,1228.382,1187.791,1228.382,1329510750,18905525000.0
2020-02-19,1224.969,1254.619,1222.315,1235.411,1295541190,17996810000.0
2020-02-20,1240.297,1266.749,1228.254,1263.999,1537361600,19622788000.0
2020-02-21,1266.21,1305.293,1265.856,1292.252,1698540200,21672590000.0
2020-02-24,1294.962,1348.229,1293.704,1343.169,1736786500,23755335000.0
2020-02-25,1313.13,1363.875,1285.359,1360.769,2086763200,27917613000.0
2020-02-26,1334.758,1353.991,1298.434,1304.774,2042812200,25579290000.0
2020-02-27,1308.719,1323.648,1277.927,1300.649,1701611800,20234638000.0
2020-02-28,1247.204,1262.563,1210.869,1212.229,1548126000,19244335000.0
2020-03-02,1228.866,1272.399,1223.43,1267.342,1561644000,18150289000.0
2020-03-03,1294.133,1319.667,1271.015,1287.102,1619814400,20641525000.0
2020-03-04,1274.852,1293.284,1253.502,1283.677,1310941840,16373136000.0
2020-03-05,1309.143,1314.236,1280.66,1300.04,1235865950,15177407000.0
2020-03-06,1280.479,1307.817,1279.859,1295.373,1057085050,12583498000.0
2020-03-09,1274.542,1285.309,1236.906,1236.906,1245050690,15489553000.0
2020-03-10,1217.995,1287.888,1212.793,1287.888,1459294400,19960358000.0
2020-03-11,1288.221,1297.661,1255.178,1255.392,1206405370,16872994000.0
2020-03-12,1229.951,1240.205,1205.692,1221.573,1017614530,15675290000.0
2020-03-13,1154.544,1223.819,1154.544,1208.552,1101982060,15761784000.0
2020-03-16,1220.799,1221.936,1133.136,1140.131,1255628550,18441178000.0
2020-03-17,1148.526,1158.993,1094.774,1141.471,1141113380,14586368000.0
2020-03-18,1152.04,1173.263,1119.586,1119.919,1117989670,14523128000.0
