日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1027.632,1056.114,1023.436,1054.529,3044830500,31121832000.0
2020-01-03,1055.607,1068.473,1055.015,1062.716,3082417500,30730030000.0
2020-01-06,1056.534,1083.383,1051.096,1075.793,3289335900,34441301000.0
2020-01-07,1077.999,1086.812,1074.507,1086.812,2678194200,28269088000.0
2020-01-08,1081.079,1091.985,1067.492,1068.784,4901120700,40215990000.0
2020-01-09,1082.504,1098.419,1082.504,1098.419,3311387600,32040954000.0
2020-01-10,1105.999,1108.17,1093.26,1102.623,2857386900,30350644000.0
2020-01-13,1099.514,1125.387,1091.773,1125.387,2863699900,32153361000.0
2020-01-14,1131.207,1133.55,1117.845,1118.184,2882889600,32226257000.0
2020-01-15,1112.34,1121.525,1107.528,1118.88,2580205400,28090122000.0
2020-01-16,1115.688,1122.294,1111.842,1118.803,2527663100,29780228000.0
2020-01-17,1118.948,1120.728,1107.347,1108.45,2210073100,25829940000.0
2020-01-20,1111.054,1142.433,1108.755,1142.433,3255510600,36202103000.0
2020-01-21,1139.292,1140.825,1124.159,1124.159,2677145600,31102147000.0
2020-01-22,1114.543,1151.68,1098.497,1147.296,3151283300,37337499000.0
2020-01-23,1129.53,1149.263,1086.055,1102.395,3525739400,41732807000.0
2020-02-03,993.474,1001.939,993.474,997.145,1198959090,12265007000.0
2020-02-04,934.158,1002.215,934.158,995.536,4465338200,42372184000.0
2020-02-05,1003.082,1041.531,1003.082,1016.609,3526991400,36628278000.0
2020-02-06,1013.654,1045.724,1007.811,1042.794,4202853500,41958450000.0
2020-02-07,1040.348,1061.188,1034.716,1059.859,3944012000,43122627000.0
2020-02-10,1050.888,1068.609,1046.798,1068.609,3774349600,41780028000.0
2020-02-11,1071.407,1082.484,1054.6,1070.536,3672331700,42956971000.0
2020-02-12,1064.909,1094.567,1062.241,1093.615,3389648600,39752347000.0
2020-02-13,1089.439,1099.865,1075.805,1081.229,3610902600,40519271000.0
2020-02-14,1078.906,1103.487,1075.278,1088.507,3229283300,38818192000.0
2020-02-17,1099.938,1138.044,1099.938,1138.044,4228452900,46353060000.0
2020-02-18,1145.929,1176.265,1144.671,1176.265,4992776900,54479320000.0
2020-02-19,1175.235,1191.988,1166.438,1166.438,4227388300,50004704000.0
2020-02-20,1170.71,1202.772,1159.847,1200.753,5518973500,56890925000.0
2020-02-21,1203.836,1236.468,1202.238,1224.311,6078448600,66810836000.0
2020-02-24,1221.537,1265.938,1217.45,1262.675,6000230600,68858955000.0
2020-02-25,1227.279,1274.518,1192.749,1268.441,6763291100,79449721000.0
2020-02-26,1245.7,1262.484,1206.432,1211.256,6311197300,72220503000.0
2020-02-27,1222.054,1230.156,1183.922,1202.566,4156876800,49272900000.0
2020-02-28,1146.554,1166.942,1116.702,1117.351,5658870300,56725209000.0
2020-03-02,1133.97,1173.664,1126.165,1166.502,4909094500,50575909000.0
