日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-12-28,1004.813,1030.745,999.42,1022.368,257361290,3514426400.0
2023-12-29,1013.578,1029.947,1011.535,1028.891,269527010,3787111700.0
2024-01-02,1027.954,1028.946,1012.716,1012.716,228871220,6228323800.0
2024-01-03,1010.159,1011.471,992.918,999.775,245641300,7254912000.0
2024-01-04,1000.051,1001.866,993.668,998.494,260441780,8451726300.0
2024-01-05,1003.006,1009.563,983.008,987.63,272586560,8039861500.0
2024-01-08,988.63,989.887,972.518,972.518,245206300,7584110100.0
2024-01-09,973.033,984.488,964.776,970.085,266041970,8440553500.0
2024-01-10,965.937,968.131,947.556,952.277,244294500,8254671900.0
2024-01-11,951.11,976.354,948.415,973.826,280463480,10196311700.0
2024-01-12,972.328,979.35,963.439,963.439,241053030,8905307600.0
2024-01-15,961.152,964.854,949.375,957.327,209831880,6896477300.0
2024-01-16,956.961,957.805,939.525,952.948,256650500,9040310000.0
2024-01-17,953.398,953.398,922.763,922.763,234784290,8293639400.0
2024-01-18,916.754,921.842,893.734,920.638,333104270,10508338000.0
2024-01-19,918.474,922.226,903.257,903.257,218023660,8056253000.0
2024-01-22,902.764,903.643,848.974,853.785,306100410,11153636300.0
2024-01-23,853.112,865.532,844.354,860.879,271009630,9454980500.0
2024-01-24,866.566,874.237,843.266,872.534,308258980,8650023400.0
2024-01-25,871.777,902.859,863.553,902.723,365537510,10797542100.0
2024-01-26,899.448,907.841,894.745,896.276,335786550,10268436000.0
2024-01-29,898.89,905.672,869.764,869.764,288700730,8413845300.0
2024-01-30,862.657,879.081,847.738,848.831,269408840,9431362100.0
2024-01-31,838.189,847.036,808.474,808.474,344911710,14382241000.0
2024-02-01,803.376,817.23,786.675,798.625,301727550,9249950400.0
2024-02-02,803.963,813.218,741.775,765.425,365873380,9988905100.0
2024-02-05,757.69,757.891,684.731,699.649,466146440,13751080000.0
2024-02-06,684.425,741.803,663.087,727.764,479872040,13770742000.0
2024-02-07,730.365,752.08,715.14,724.643,517455540,13363454600.0
2024-02-08,727.895,769.598,714.155,768.995,545037610,12978334300.0
2024-02-19,776.302,799.13,776.302,793.268,483323450,11786072300.0
2024-02-20,787.721,802.92,777.389,801.895,386874030,10037927000.0
2024-02-21,792.792,836.69,788.657,814.87,485617920,12575643700.0
2024-02-22,811.697,829.48,811.231,829.48,367147110,9484714500.0
2024-02-23,835.628,859.503,832.0,857.71,460687300,11716853000.0
2024-02-26,863.617,885.583,858.691,871.488,558101980,14900223000.0
2024-02-27,873.626,911.684,871.379,911.684,530346850,13379107700.0
2024-02-28,917.705,919.107,849.818,849.818,653229310,17098229000.0
2024-02-29,835.272,889.397,835.272,889.397,535072370,15017929000.0
2024-03-01,890.042,903.284,887.196,901.764,574061460,14960657000.0
2024-03-04,901.653,906.284,878.427,898.097,540422670,13839264000.0
2024-03-05,889.485,896.528,879.104,887.532,575281100,14455874000.0
2024-03-06,884.941,903.525,884.298,899.917,523006720,12524401300.0
2024-03-07,902.356,913.302,889.648,890.72,554346910,13369547400.0
2024-03-08,889.663,895.442,879.816,893.605,455069500,11101394500.0
2024-03-11,891.315,915.212,891.245,915.212,505370640,21870015000.0
2024-03-12,922.302,944.612,914.234,943.617,636090540,21958188000.0
2024-03-13,942.499,960.945,939.876,950.275,681156570,17292669000.0
2024-03-14,944.125,954.142,930.302,943.479,580859800,15162726000.0
2024-03-15,938.397,958.752,936.101,958.629,555115460,15757537000.0
2024-03-18,963.563,984.25,963.563,984.25,612211420,19837885000.0
2024-03-19,979.212,987.291,975.065,975.939,503505720,14418485000.0
2024-03-20,974.149,982.243,969.353,981.244,897959590,15715257000.0
2024-03-21,980.213,984.5,966.965,980.376,821177860,15273928000.0
2024-03-22,975.293,977.986,960.374,970.881,865483150,14997598000.0
2024-03-25,968.29,996.563,962.181,983.357,1356194600,19258729000.0
2024-03-26,979.006,1037.138,978.485,1036.517,1412615300,23035803000.0
2024-03-27,1021.445,1021.445,969.152,969.152,1374083700,19204825000.0
2024-03-28,961.093,1011.178,961.093,1005.578,1317435980,21039575000.0
2024-03-29,1063.222,1064.812,1037.202,1041.965,1489660500,24127625000.0
2024-04-01,1045.875,1079.949,1045.875,1070.321,1631980800,27820060000.0
2024-04-02,1064.69,1066.586,1045.138,1051.136,1412464100,24533402000.0
2024-04-03,1036.367,1036.367,1008.647,1012.648,1320941930,22370367000.0
2024-04-08,1002.268,1007.963,983.402,983.402,1088240900,18893472000.0
2024-04-09,977.872,988.653,975.149,987.124,1064051230,16535092000.0
2024-04-10,985.357,985.582,958.071,970.213,1065300980,16989314000.0
2024-04-11,958.853,974.734,956.711,961.245,898451860,15091378000.0
2024-04-12,961.355,967.322,941.707,942.217,962411960,15433745000.0
2024-04-15,937.82,947.373,911.807,924.568,1179522180,21114365000.0
2024-04-16,917.558,917.915,869.409,869.834,1284163020,21938906000.0
2024-04-17,881.984,928.977,881.984,928.977,1063051890,18720081000.0
2024-04-18,929.558,947.913,919.675,931.715,1201359860,20596514000.0
2024-04-19,925.085,929.661,910.039,919.557,964017300,16868765000.0
2024-04-22,913.232,922.33,899.487,912.734,817216090,13927662000.0
2024-04-23,913.595,923.954,912.551,920.412,754774540,12945007600.0
2024-04-24,921.119,943.344,921.119,943.344,861009580,15908016000.0
2024-04-25,939.642,950.27,935.421,939.025,931517230,16119693000.0
2024-04-26,941.541,966.511,941.541,962.496,1191255240,21859757000.0
2024-04-29,969.399,986.601,969.101,985.955,1366093500,29212580000.0
2024-04-30,990.542,994.426,973.257,977.622,1161154190,21381750000.0
2024-05-06,991.498,1002.307,991.498,997.482,1128217800,23344875000.0
2024-05-07,997.096,998.229,986.961,993.312,1103861280,17310176000.0
2024-05-08,989.396,989.396,971.435,972.361,840256540,14555070000.0
2024-05-09,970.062,987.086,970.062,983.964,797678820,15674794000.0
2024-05-10,984.027,984.802,964.228,965.704,897530850,17140399000.0
2024-05-13,955.038,955.038,940.126,942.49,905828650,17476310000.0
2024-05-14,942.366,952.343,942.366,949.291,834022710,12532255200.0
2024-05-15,945.323,950.335,937.344,937.812,664814430,11041153300.0
2024-05-16,940.727,950.139,938.942,941.425,783036830,13300149500.0
2024-05-17,941.349,952.781,936.553,952.775,840910100,14590250000.0
2024-05-20,954.461,961.638,950.737,954.996,899034350,15619854000.0
2024-05-21,954.015,954.015,939.748,944.266,912971410,13459172000.0
2024-05-22,943.878,952.247,941.97,947.96,868241260,15436865000.0
2024-05-23,946.236,946.236,930.358,932.74,882950370,14086185000.0
2024-05-24,932.578,937.04,921.956,922.357,698805900,12499723100.0
2024-05-27,923.789,927.712,909.076,927.669,821766250,13804567000.0
2024-05-28,924.468,928.197,918.67,920.627,919234760,13087681000.0
2024-05-29,918.723,933.526,918.723,930.994,742447830,11784562500.0
2024-05-30,927.829,937.144,923.611,928.79,872990540,13050993800.0
2024-05-31,929.56,943.477,929.56,939.19,782296650,13262325800.0
2024-06-03,942.334,944.414,922.733,930.653,1018696770,17684838000.0
2024-06-04,927.771,927.853,912.193,922.549,797105810,15087757000.0
2024-06-05,920.21,926.412,912.782,912.782,781752100,13418957800.0
2024-06-06,910.883,913.345,875.252,877.634,869942930,14790821000.0
2024-06-07,885.714,894.25,873.662,889.636,686927050,18978572000.0
2024-06-11,885.067,899.67,873.034,898.982,662033350,17104838000.0
2024-06-12,897.393,910.421,896.578,909.569,665149070,13419160400.0
2024-06-13,908.57,915.501,908.0,910.142,778665180,15787508000.0
2024-06-14,906.757,913.222,898.271,911.622,812879650,18800474000.0
2024-06-17,909.487,922.479,908.933,916.627,794204890,17368303000.0
2024-06-18,916.8,936.874,915.672,936.874,950354190,16516897000.0
2024-06-19,936.984,939.093,927.59,927.641,848169650,14793900000.0
2024-06-20,925.383,926.735,904.83,905.41,775475010,13493835000.0
2024-06-21,900.957,911.965,895.356,908.194,736279950,13248550400.0
