日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2025-01-15,1218.172,1248.459,1214.543,1228.715,1411746500,15680423000.0
2025-01-16,1254.915,1295.169,1241.236,1264.992,2909908100,31360071000.0
2025-01-17,1257.747,1261.476,1219.701,1220.392,3175529300,31394473000.0
2025-01-20,1224.4,1231.065,1191.78,1203.437,3770762300,29216683000.0
2025-01-21,1201.384,1204.945,1168.445,1198.63,3574164100,27060308000.0
2025-01-22,1173.637,1173.985,1153.569,1156.754,3427936700,24690950000.0
2025-01-23,1170.205,1194.967,1156.011,1156.011,3925036100,31625867000.0
2025-01-24,1146.325,1198.593,1140.779,1197.46,3973252300,33303796000.0
2025-01-27,1216.317,1219.714,1180.038,1180.038,3011777900,25429330000.0
2025-02-05,1204.284,1228.062,1201.106,1225.061,4017826600,32907935000.0
2025-02-06,1228.383,1273.089,1219.412,1272.989,5013722700,42915058000.0
2025-02-07,1268.459,1315.003,1266.513,1291.262,5781375700,54539782000.0
2025-02-10,1298.888,1351.6,1297.12,1351.6,5338590300,51936156000.0
2025-02-11,1351.387,1397.355,1337.668,1382.507,6946192600,70356878000.0
2025-02-12,1365.192,1392.322,1359.195,1392.141,5218676400,57803678000.0
2025-02-13,1413.218,1450.781,1402.473,1427.246,6092532200,70325489000.0
2025-02-14,1414.463,1429.735,1388.497,1420.2,5774330300,64350695000.0
2025-02-17,1441.686,1445.213,1419.963,1438.4,4971466000,53516131000.0
2025-02-18,1421.308,1421.308,1355.54,1357.908,4721709700,56122521000.0
2025-02-19,1354.957,1394.371,1349.244,1394.336,3882429300,49278271000.0
2025-02-20,1383.997,1399.407,1374.165,1387.096,3697214500,44806105000.0
2025-02-21,1391.152,1421.062,1369.065,1414.572,4348079700,51326611000.0
2025-02-24,1403.093,1408.474,1384.01,1399.488,4151705900,46330629000.0
2025-02-25,1368.181,1397.089,1362.486,1378.848,3234734400,38176553000.0
2025-02-26,1385.373,1391.483,1372.913,1391.353,2949370600,35539321000.0
2025-02-27,1387.419,1402.88,1359.546,1385.896,3196291600,38765062000.0
2025-02-28,1372.749,1372.749,1292.165,1296.067,2957544800,36051072000.0
2025-03-03,1301.321,1323.866,1282.521,1298.955,2222488900,28414159000.0
2025-03-04,1283.548,1317.225,1281.109,1316.664,2004914400,24239928000.0
2025-03-05,1317.446,1336.2,1299.733,1336.2,2730142300,31900687000.0
2025-03-06,1350.482,1406.931,1350.482,1399.169,3905496200,47579708000.0
2025-03-07,1398.68,1413.705,1373.99,1382.762,5914287000,60262320000.0
2025-03-10,1377.337,1379.344,1357.458,1369.795,3385788900,32615732000.0
2025-03-11,1347.326,1377.356,1345.896,1375.748,2832067000,29471486000.0
2025-03-12,1388.171,1408.581,1385.388,1390.826,3158601800,37923028000.0
2025-03-13,1385.738,1385.96,1335.333,1353.773,2858767500,32901717000.0
2025-03-14,1348.827,1379.964,1340.521,1379.758,2264643100,27739266000.0
2025-03-17,1379.29,1384.495,1369.513,1381.079,2163907800,26099840000.0
2025-03-18,1383.541,1391.875,1373.714,1383.582,1994829000,25635754000.0
2025-03-19,1376.484,1376.484,1355.919,1361.628,2030441900,24830327000.0
2025-03-20,1356.916,1375.545,1350.066,1352.595,2287507500,33329812000.0
2025-03-21,1342.773,1349.731,1323.87,1325.306,2276409400,29181665000.0
2025-03-24,1322.239,1324.857,1261.461,1292.596,2416137600,27694478000.0
2025-03-25,1289.902,1289.902,1252.994,1257.116,1695106600,21388554000.0
2025-03-26,1256.356,1280.3,1256.356,1273.967,1483261800,16730160000.0
2025-03-27,1272.63,1283.313,1254.698,1273.108,1648206700,17900271000.0
2025-03-28,1268.522,1277.253,1255.755,1258.803,1476789200,15972279000.0
2025-03-31,1246.852,1249.073,1216.789,1246.496,1678433900,17823745000.0
2025-04-01,1248.067,1255.621,1236.958,1237.761,1254624370,13452911000.0
2025-04-02,1234.255,1252.524,1233.79,1241.777,1102991620,11647101400.0
2025-04-03,1225.585,1247.055,1222.013,1229.038,1117139400,11461668600.0
2025-04-07,1133.591,1148.007,1054.458,1056.774,1284632750,12817854900.0
2025-04-08,1032.638,1080.127,1013.751,1045.848,2205026100,18102358000.0
2025-04-09,1025.913,1089.519,956.402,1080.908,2299781800,18593692000.0
2025-04-10,1105.93,1139.621,1105.93,1119.544,1891329800,17599326000.0
2025-04-11,1111.269,1142.188,1109.946,1127.569,1467342600,14076618000.0
