日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1105.194,1124.864,1104.618,1123.736,1647362000,22026716000.0
2020-01-03,1125.477,1131.334,1120.632,1128.247,1418108100,19054628000.0
2020-01-06,1122.647,1145.361,1118.798,1135.866,1890057200,23934882000.0
2020-01-07,1137.424,1151.304,1135.899,1151.304,1592789900,21137539000.0
2020-01-08,1145.82,1154.317,1132.689,1136.276,1693066100,21565094000.0
2020-01-09,1146.707,1158.99,1146.663,1158.921,1669814800,22646399000.0
2020-01-10,1161.982,1163.296,1148.626,1155.042,1466202000,18729906000.0
2020-01-13,1155.316,1167.111,1145.557,1167.111,1510084200,20796656000.0
2020-01-14,1171.233,1171.769,1160.802,1161.485,1456528500,19004002000.0
2020-01-15,1160.01,1160.953,1148.064,1156.894,1240505290,16712603000.0
2020-01-16,1157.95,1162.012,1152.116,1153.003,1216120780,18433642000.0
2020-01-17,1156.674,1163.493,1149.135,1153.012,1256431020,18272836000.0
2020-01-20,1151.962,1167.131,1143.152,1167.131,1371726600,19967834000.0
2020-01-21,1163.139,1163.139,1147.904,1148.986,1548909600,20048229000.0
2020-01-22,1141.219,1164.986,1126.658,1160.14,1509070600,21865272000.0
2020-01-23,1144.324,1155.371,1103.551,1116.147,1732999900,25302408000.0
2020-02-03,1007.994,1015.871,1007.141,1011.788,953136380,19775948000.0
2020-02-04,958.027,1019.897,958.027,1014.491,2157496300,26506549000.0
2020-02-05,1020.913,1055.05,1020.753,1038.643,1853764700,24942544000.0
2020-02-06,1039.951,1080.712,1033.111,1076.542,1945026700,26441968000.0
2020-02-07,1083.078,1106.238,1079.031,1106.118,2128789900,30498620000.0
2020-02-10,1106.57,1118.397,1099.39,1118.371,2050947200,28914498000.0
2020-02-11,1118.334,1118.334,1101.693,1108.643,1741683300,25805720000.0
2020-02-12,1105.241,1137.32,1103.796,1136.892,1945104800,28613752000.0
2020-02-13,1132.603,1140.893,1121.0,1125.473,1902450500,28863986000.0
2020-02-14,1122.673,1139.851,1113.47,1124.049,1552218500,23213308000.0
2020-02-17,1133.029,1166.385,1132.883,1166.385,2059679800,29805158000.0
2020-02-18,1170.434,1192.692,1168.493,1192.692,2293300800,33422754000.0
2020-02-19,1189.034,1205.721,1184.337,1187.682,2432227400,33584336000.0
2020-02-20,1188.6,1205.7,1175.829,1204.527,2453683300,34559648000.0
2020-02-21,1203.187,1236.715,1202.826,1224.651,2639422600,37473373000.0
2020-02-24,1237.708,1269.991,1236.333,1266.387,2753939800,41666779000.0
2020-02-25,1237.175,1284.568,1212.452,1281.412,3492625600,48417626000.0
2020-02-26,1264.759,1287.763,1247.586,1252.914,4179607900,46885140000.0
2020-02-27,1261.259,1279.474,1232.425,1260.679,3461627700,39664946000.0
2020-02-28,1203.962,1227.553,1183.803,1184.131,3376962100,40094245000.0
2020-03-02,1202.225,1249.494,1201.166,1242.582,3132177600,38876555000.0
2020-03-03,1271.541,1296.958,1251.625,1265.123,3555571200,44282361000.0
2020-03-04,1255.319,1282.224,1247.444,1276.953,3172870800,40360286000.0
2020-03-05,1305.916,1309.994,1276.684,1288.771,3167488700,46334476000.0
2020-03-06,1267.26,1321.269,1266.344,1311.161,3023595900,36625482000.0
2020-03-09,1290.851,1301.369,1257.844,1257.844,3379990000,41731976000.0
2020-03-10,1239.156,1299.617,1222.011,1299.617,3476635900,42170203000.0
