日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2020-01-02,1088.238,1098.722,1084.628,1098.163,1153979420,8809115900.0
2020-01-03,1096.841,1100.515,1090.873,1098.012,967846970,7340402100.0
2020-01-06,1091.003,1104.792,1085.615,1098.129,1021378320,7540876000.0
2020-01-07,1099.624,1110.35,1098.377,1110.35,1011878020,7424113800.0
2020-01-08,1104.168,1109.463,1088.639,1089.444,1032033850,7503624500.0
2020-01-09,1099.126,1110.732,1099.126,1110.732,878224390,6660438600.0
2020-01-10,1115.612,1117.891,1105.923,1109.604,986890340,7457761600.0
2020-01-13,1107.796,1115.517,1099.946,1115.517,929820260,7020781100.0
2020-01-14,1116.73,1118.778,1111.809,1112.551,989007850,7463556900.0
2020-01-15,1110.599,1110.793,1097.914,1101.882,841031840,5997289700.0
2020-01-16,1102.299,1104.111,1095.989,1096.899,727970580,5472744800.0
2020-01-17,1099.201,1100.904,1092.0,1092.954,711423050,5272166200.0
2020-01-20,1101.201,1113.052,1100.195,1113.052,944768070,7438858700.0
2020-01-21,1124.549,1138.852,1123.1,1134.871,1709653500,12858270000.0
2020-01-22,1135.839,1135.839,1105.361,1110.817,1552873600,11900416400.0
2020-01-23,1103.695,1112.85,1067.747,1081.502,1380467400,10082021900.0
2020-02-03,1014.052,1024.296,1008.939,1016.374,1331813180,10469516300.0
2020-02-04,981.038,1023.007,981.038,1020.924,2036449100,14341338000.0
2020-02-05,1030.07,1072.943,1026.376,1071.101,1943628600,14420762000.0
2020-02-06,1078.796,1118.715,1070.488,1106.824,2271394500,17729389000.0
2020-02-07,1114.145,1125.589,1084.422,1102.49,2490860600,19237095000.0
2020-02-10,1102.523,1102.523,1079.426,1093.473,1691485300,13434835000.0
2020-02-11,1086.381,1086.381,1067.256,1078.057,1252998010,9089479400.0
2020-02-12,1070.606,1083.423,1067.987,1083.423,1262241530,9203107100.0
2020-02-13,1085.332,1085.462,1057.961,1064.26,1344099100,9763592500.0
2020-02-14,1061.286,1068.117,1052.973,1059.955,1127033230,8053051600.0
2020-02-17,1065.874,1089.591,1065.525,1089.591,1289015450,9402328200.0
2020-02-18,1093.716,1105.007,1085.918,1105.007,1525556800,11116069800.0
2020-02-19,1104.354,1104.354,1089.831,1090.283,1288545300,9551115800.0
2020-02-20,1091.489,1103.813,1081.137,1102.215,1217701540,8888354500.0
2020-02-21,1102.483,1115.844,1100.737,1112.229,1163913560,8899114000.0
2020-02-24,1121.048,1134.495,1118.736,1132.522,1478287900,11763069900.0
2020-02-25,1113.076,1139.458,1098.876,1139.458,1933991800,15321060000.0
2020-02-26,1128.73,1139.405,1117.628,1120.999,1699425500,13270696100.0
2020-02-27,1122.212,1126.968,1104.42,1117.065,1236308720,8987442800.0
2020-02-28,1089.673,1107.688,1073.834,1076.298,1540443500,10876549600.0
2020-03-02,1085.318,1112.886,1085.318,1110.944,1287317280,9992608200.0
2020-03-03,1122.283,1139.939,1119.606,1129.553,1702310900,12745748500.0
2020-03-04,1123.864,1132.484,1117.891,1132.484,1541599600,11525221700.0
2020-03-05,1140.959,1146.991,1136.129,1145.642,1468228200,10834238400.0
2020-03-06,1139.69,1167.887,1138.378,1162.95,1581459200,11574812800.0
2020-03-09,1154.978,1166.458,1145.6,1146.013,2083928200,15689586000.0
2020-03-10,1124.489,1147.32,1105.119,1147.32,1717072400,13047696800.0
2020-03-11,1148.017,1157.782,1138.899,1139.454,1377555500,10843721900.0
2020-03-12,1127.21,1132.222,1112.571,1120.08,1254173030,10314110600.0
2020-03-13,1064.605,1104.764,1061.74,1094.37,1415015000,11042515600.0
2020-03-16,1108.037,1119.641,1070.044,1073.371,1427200100,10854258700.0
2020-03-17,1073.535,1084.487,1022.872,1054.295,1217126200,8590955400.0
2020-03-18,1065.315,1070.46,1032.193,1032.225,1160639580,8133003600.0
2020-03-19,1024.008,1031.463,997.909,1017.613,1059532590,7218006100.0
2020-03-20,1028.319,1051.592,1020.66,1051.52,1041801860,7272465900.0
2020-03-23,1031.938,1046.158,1020.1,1022.694,1107280580,7651718400.0
2020-03-24,1036.372,1039.401,1007.713,1033.224,954468820,6457347900.0
2020-03-25,1049.388,1062.697,1042.468,1061.165,1082717500,7446648600.0
2020-03-26,1051.307,1065.746,1046.659,1057.374,1066116670,7425661900.0
2020-03-27,1065.904,1067.577,1046.43,1048.1,874763620,6258996100.0
2020-03-30,1035.436,1036.875,1021.641,1028.935,816323220,5789378300.0
2020-03-31,1034.161,1035.643,1022.969,1026.894,741348080,5675071500.0
2020-04-01,1023.051,1027.705,1017.622,1019.201,722373430,5056172300.0
2020-04-02,1012.991,1033.014,1008.663,1033.014,701719210,4744813300.0
2020-04-03,1034.802,1044.945,1031.842,1036.632,830763100,5958982500.0
2020-04-07,1055.329,1072.245,1051.667,1070.54,1031716820,7543788300.0
2020-04-08,1070.47,1080.006,1066.97,1075.961,1233112580,8818553300.0
2020-04-09,1079.919,1088.993,1074.918,1086.205,1079334270,8103667300.0
2020-04-10,1083.805,1090.93,1066.131,1070.717,1121628070,8147049100.0
2020-04-13,1066.764,1079.031,1062.429,1071.472,1004100200,7149553300.0
2020-04-14,1072.199,1082.82,1065.336,1082.82,1012717950,7801375300.0
2020-04-15,1079.294,1094.791,1079.294,1091.958,1225111870,9229335200.0
2020-04-16,1085.763,1100.932,1083.626,1094.123,1224050390,10274812400.0
2020-04-17,1096.488,1096.865,1078.278,1080.68,1073138390,8942695500.0
2020-04-20,1080.444,1091.47,1075.628,1091.462,818814230,7009823600.0
2020-04-21,1087.152,1088.211,1079.649,1086.223,943513600,7889776100.0
2020-04-22,1079.814,1092.238,1075.098,1091.845,940025160,7578226000.0
2020-04-23,1095.525,1107.167,1094.698,1096.912,1149758090,10124399000.0
2020-04-24,1094.757,1095.039,1065.85,1068.646,1009826180,8231515500.0
2020-04-27,1066.264,1073.389,1056.381,1061.654,787983540,6508018700.0
2020-04-28,1059.851,1060.273,1005.417,1029.178,836118120,6239551500.0
2020-04-29,1024.717,1032.793,1018.905,1019.312,639940100,4752206400.0
2020-04-30,1020.492,1038.33,1020.492,1036.231,637833580,5115619300.0
2020-05-06,1030.577,1053.625,1028.562,1053.625,645692430,5091862700.0
2020-05-07,1056.602,1061.539,1052.742,1055.768,691360080,5696217800.0
2020-05-08,1060.911,1067.573,1060.103,1066.064,623079250,5305403600.0
2020-05-11,1071.749,1072.336,1057.915,1062.821,692743820,5586142200.0
