日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-08-24,1058.647,1065.166,1019.136,1020.173,1180547830,24601732000.0
2021-08-25,1015.56,1025.396,997.057,1018.472,1127179160,21368140000.0
2021-08-26,1012.405,1087.424,1003.64,1069.405,1269444340,23923235000.0
2021-08-27,1048.437,1143.107,1043.601,1101.762,1407787600,27720611000.0
2021-08-30,1088.15,1171.442,1087.711,1153.612,1459493600,28148385000.0
2021-08-31,1144.086,1172.087,1132.408,1139.382,1221035860,22864981000.0
2021-09-01,1135.381,1135.773,1076.554,1085.9,1207067240,21263906000.0
2021-09-02,1070.276,1130.592,1070.167,1116.406,1017064080,17308177000.0
2021-09-03,1108.903,1152.899,1088.233,1098.119,972459110,18521742000.0
2021-09-06,1093.934,1094.023,1057.089,1092.743,776770140,15694284000.0
2021-09-07,1084.181,1098.716,1078.785,1098.054,748440670,15377778000.0
2021-09-08,1093.41,1093.41,1062.696,1064.743,813113040,15033174000.0
2021-09-09,1066.789,1075.98,1045.951,1064.617,749307450,14135721000.0
2021-09-10,1067.26,1067.26,1040.997,1043.854,869588860,14159184000.0
2021-09-13,1042.522,1058.989,1029.226,1049.504,802131450,14185669000.0
2021-09-14,1045.641,1102.435,1039.633,1087.993,1097880820,18639004000.0
2021-09-15,1072.661,1106.183,1056.695,1076.827,983020670,17868269000.0
2021-09-16,1070.009,1091.587,1062.046,1063.19,794894240,15116096000.0
2021-09-17,1054.667,1056.873,1014.463,1018.022,771749940,13979195000.0
2021-09-22,995.375,1023.464,994.54,1013.469,696062180,10545678100.0
2021-09-23,1017.575,1023.525,1009.467,1009.467,691505340,11391530800.0
2021-09-24,1009.076,1009.076,987.404,987.404,725925720,11068890000.0
2021-09-27,984.156,987.666,933.535,942.731,749304210,10348208000.0
2021-09-28,947.167,976.812,947.167,967.392,541015110,9345521800.0
2021-09-29,952.567,958.763,927.671,927.719,611502360,9301768600.0
2021-09-30,937.961,954.638,937.961,952.162,468121140,7418805100.0
2021-10-08,960.973,966.117,944.086,950.675,445112920,7747230800.0
2021-10-11,948.842,949.54,930.863,941.886,505151590,9643786600.0
2021-10-12,938.544,939.442,903.314,912.966,498153090,9287627400.0
2021-10-13,913.838,929.833,906.257,928.562,413486550,7848432100.0
2021-10-14,930.025,990.985,929.098,987.517,624922940,12947181700.0
2021-10-15,972.025,983.355,965.297,968.588,708034950,13017199300.0
2021-10-18,963.417,995.972,961.436,986.317,636265530,12146286200.0
2021-10-19,983.611,998.381,977.391,994.37,630764140,11679482900.0
2021-10-20,992.649,1007.36,989.236,998.076,578798240,11945521700.0
2021-10-21,991.051,991.051,970.515,972.868,565105910,10206094300.0
2021-10-22,970.645,984.359,953.432,969.263,638885290,13404056700.0
2021-10-25,961.209,978.557,955.321,974.433,510937960,10836577400.0
2021-10-26,974.538,1003.664,974.452,976.725,618907710,15510327000.0
2021-10-27,971.022,976.403,949.137,952.499,627819240,12691370600.0
2021-10-28,949.9,949.986,922.147,925.311,522176220,11421686000.0
2021-10-29,927.577,942.064,920.383,939.812,505145700,10766862000.0
2021-11-01,938.634,956.699,928.694,952.193,529530970,11996091100.0
2021-11-02,951.54,956.377,928.046,933.342,544629110,13179343900.0
2021-11-03,932.535,941.125,921.753,933.808,409207550,8962189500.0
2021-11-04,936.409,959.795,936.409,959.683,552533370,10819233400.0
2021-11-05,961.067,965.566,950.479,952.378,586493540,10178276700.0
2021-11-08,948.72,988.621,940.668,977.029,620342170,12617900500.0
2021-11-09,972.711,975.659,967.881,973.798,489130790,9890682000.0
2021-11-10,972.414,989.906,969.537,989.74,615362030,11851006100.0
2021-11-11,987.413,1013.871,984.321,1010.517,655327990,12938124000.0
2021-11-12,1006.865,1025.918,1004.824,1019.54,638335350,13071680400.0
2021-11-15,1019.057,1030.474,1015.222,1020.186,613162550,11938448400.0
2021-11-16,1022.029,1022.22,997.591,998.52,575091910,11433263100.0
2021-11-17,1002.151,1048.388,1002.151,1048.388,717451480,12908315500.0
2021-11-18,1051.31,1055.067,1041.021,1042.059,731877010,12916810300.0
2021-11-19,1044.835,1071.441,1041.805,1066.705,930331180,17668286000.0
2021-11-22,1065.525,1076.62,1059.781,1074.493,755770400,14907390000.0
2021-11-23,1075.317,1081.935,1066.623,1069.758,777710610,15841381000.0
2021-11-24,1071.185,1071.986,1061.172,1066.897,671645000,12499075300.0
2021-11-25,1067.388,1074.297,1055.138,1064.947,590464240,11174363500.0
2021-11-26,1065.12,1074.882,1054.102,1059.047,507214110,9773342300.0
2021-11-29,1037.727,1063.128,1035.347,1052.208,528736060,10657603100.0
2021-11-30,1054.395,1079.342,1054.395,1065.631,595301090,11578360700.0
