日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2022-03-17,1027.092,1038.969,1026.382,1030.874,1136305530,11923046100.0
2022-03-18,1047.355,1166.699,1047.355,1159.493,530373950,6399776000.0
2022-03-21,1212.372,1217.061,1185.928,1202.221,1138723740,14184935000.0
2022-03-22,1205.081,1213.697,1179.429,1194.616,1723419200,15738961000.0
2022-03-23,1193.192,1194.884,1168.759,1173.671,1626447800,14716343000.0
2022-03-24,1165.283,1167.84,1145.593,1163.088,1704550400,14736291000.0
2022-03-25,1156.695,1161.725,1139.553,1139.553,1515332500,13479645000.0
2022-03-28,1121.075,1143.247,1108.751,1131.252,1207583250,10132689700.0
2022-03-29,1129.283,1131.098,1093.815,1099.927,1061964490,9189174000.0
2022-03-30,1106.017,1132.723,1106.017,1129.388,1159309540,10742415700.0
2022-03-31,1132.736,1155.745,1132.11,1146.292,1341319100,13242574600.0
2022-04-01,1130.128,1130.647,1116.343,1117.202,946978800,7302668200.0
2022-04-06,1112.185,1138.513,1111.921,1136.056,1090773550,9892307100.0
2022-04-07,1131.459,1148.833,1112.528,1112.528,1064802040,9512662200.0
2022-04-08,1115.293,1138.094,1113.887,1128.95,1015173360,10027548600.0
2022-04-11,1126.256,1130.378,1093.29,1102.406,1187959850,10438992300.0
2022-04-12,1088.293,1112.069,1070.965,1110.427,1113488010,10308949800.0
2022-04-13,1100.092,1100.092,1059.026,1059.085,971359310,8724434300.0
2022-04-14,1057.086,1068.311,1054.5,1059.196,741558680,6816484300.0
2022-04-15,1052.427,1052.427,1022.708,1025.738,707621630,6273238200.0
2022-04-18,1017.979,1038.809,1005.741,1034.127,574596310,5019897000.0
2022-04-19,1033.251,1044.653,1028.221,1039.799,500943530,4659414800.0
2022-04-20,1040.867,1043.666,1018.089,1024.136,568333000,4993674000.0
2022-04-21,1020.994,1021.198,973.742,976.848,623734420,5183611200.0
2022-04-22,971.582,985.232,959.731,970.911,539955520,4766315600.0
2022-04-25,954.495,956.538,901.142,901.142,759554100,6218827200.0
2022-04-26,901.3,912.729,868.813,872.825,765731450,6262253700.0
2022-04-27,868.576,905.761,861.808,905.761,872183510,7518380800.0
2022-04-28,895.881,902.792,872.056,889.181,749630630,7356356100.0
2022-04-29,898.69,935.791,898.659,931.336,868944030,7935219400.0
2022-05-05,935.817,969.97,935.801,962.652,928576770,8559886300.0
2022-05-06,943.625,971.483,939.495,957.408,941977600,8116121800.0
2022-05-09,974.079,996.384,974.079,992.311,880146640,8717227700.0
2022-05-10,984.7,1037.934,981.486,1037.934,1096067010,11961164800.0
2022-05-11,1048.264,1062.349,1032.68,1032.68,1309820610,15118229000.0
2022-05-12,1031.603,1054.555,1030.069,1054.346,1281822810,13735199000.0
2022-05-13,1062.046,1063.569,1049.71,1058.373,1194616200,12370589200.0
2022-05-16,1063.697,1066.828,1046.635,1051.243,1134038900,11860791200.0
2022-05-17,1049.018,1049.12,1020.073,1046.714,1093824430,8314107800.0
2022-05-18,1044.2,1065.42,1041.588,1054.702,1104802090,10640925600.0
2022-05-19,1041.849,1075.06,1041.293,1074.262,1218895650,11270332900.0
2022-05-20,1079.329,1082.191,1068.181,1075.873,1172824510,11373214700.0
2022-05-23,1073.932,1080.165,1065.824,1080.165,792328720,7640377000.0
2022-05-24,1079.439,1079.48,1015.843,1015.843,1128397580,10347553100.0
2022-05-25,1014.583,1031.874,1012.303,1031.874,769001760,6835697000.0
2022-05-26,1035.362,1044.801,1027.853,1037.702,719432060,6502786100.0
2022-05-27,1041.511,1056.433,1038.471,1051.337,909660100,10171386000.0
2022-05-30,1054.148,1055.066,1042.227,1052.744,824807200,9933273300.0
2022-05-31,1056.433,1059.366,1039.114,1054.594,900068110,8188298000.0
2022-06-01,1048.331,1057.438,1039.269,1049.694,852296350,6235650700.0
2022-06-02,1046.817,1055.872,1036.004,1053.904,887980900,8969927700.0
2022-06-06,1053.557,1077.039,1053.299,1077.039,997028940,9813114200.0
2022-06-07,1083.784,1088.363,1065.978,1078.797,1300490880,10485081900.0
2022-06-08,1076.156,1081.954,1051.94,1069.072,1433734100,10979385200.0
2022-06-09,1064.71,1064.824,1042.493,1047.66,1486957200,10516628700.0
2022-06-10,1040.831,1062.502,1037.481,1060.146,1336262170,9116495900.0
2022-06-13,1053.151,1060.44,1044.996,1056.728,1831455000,11491115600.0
2022-06-14,1047.964,1052.125,1024.427,1052.076,1592484700,10386178900.0
2022-06-15,1055.253,1071.315,1055.23,1058.134,1613175700,12165004600.0
2022-06-16,1057.1,1069.78,1056.321,1061.181,1300818840,9771632900.0
2022-06-17,1056.939,1069.631,1049.384,1065.303,1163197740,8958449000.0
2022-06-20,1070.581,1092.0,1070.581,1091.931,1263777120,10047797400.0
2022-06-21,1093.505,1108.768,1088.736,1100.738,1396987600,12028622100.0
2022-06-22,1098.538,1102.568,1087.021,1089.449,1443271800,10896877300.0
2022-06-23,1085.059,1106.239,1079.133,1106.239,1181664800,9003489100.0
2022-06-24,1111.365,1131.567,1110.805,1130.623,1355518900,11812968400.0
2022-06-27,1138.712,1153.67,1138.352,1150.538,1704624800,14110603000.0
2022-06-28,1151.436,1166.366,1146.411,1166.366,1403454900,13227938300.0
2022-06-29,1164.168,1169.062,1146.445,1146.445,1535203900,15425398000.0
2022-06-30,1144.611,1156.302,1141.659,1150.727,1431802900,13351125100.0
2022-07-01,1150.231,1160.276,1141.219,1154.639,1306004270,11534873700.0
2022-07-04,1153.319,1156.515,1140.13,1156.019,1192225520,10953576100.0
2022-07-05,1154.896,1157.039,1133.691,1149.71,1384676800,11275451100.0
2022-07-06,1147.636,1147.874,1124.69,1134.044,1182598420,9522388100.0
2022-07-07,1134.194,1145.943,1129.17,1141.857,987809280,8907447500.0
2022-07-08,1143.401,1156.057,1143.401,1149.626,1257432590,10844000100.0
2022-07-11,1146.225,1146.225,1132.274,1141.476,1226243310,10938237600.0
2022-07-12,1140.929,1151.924,1135.696,1143.165,1173127210,13144219600.0
2022-07-13,1142.301,1178.667,1140.869,1174.566,1620460700,18035359000.0
2022-07-14,1172.361,1172.913,1158.17,1163.831,1511052000,16707125000.0
2022-07-15,1151.634,1154.017,1125.488,1125.488,1575053200,16073041000.0
2022-07-18,1126.437,1174.16,1126.437,1174.16,1430929000,13940185000.0
2022-07-19,1179.823,1185.537,1172.205,1179.274,1462518200,16724545000.0
2022-07-20,1178.859,1179.708,1171.693,1179.628,1162385050,11132283300.0
2022-07-21,1176.051,1179.879,1167.074,1167.102,1392671000,12741372800.0
2022-07-22,1167.241,1180.746,1159.743,1173.789,1343002800,13162424900.0
2022-07-25,1174.325,1177.282,1151.255,1152.463,1249223800,12296402500.0
2022-07-26,1148.772,1170.294,1133.471,1170.294,1149141400,10832864700.0
2022-07-27,1168.56,1174.178,1166.932,1173.291,972162480,9627772700.0
2022-07-28,1179.867,1187.609,1179.46,1185.376,1118349210,10609796600.0
2022-07-29,1192.131,1199.522,1189.472,1190.892,1511059800,13689920000.0
2022-08-01,1196.087,1198.433,1186.483,1191.892,1430638000,13146895500.0
2022-08-02,1178.919,1178.919,1120.847,1127.248,1896776600,16649790000.0
2022-08-03,1128.993,1155.218,1113.138,1117.05,1674833500,15482832000.0
2022-08-04,1123.354,1140.059,1114.9,1140.059,1461932100,12449139600.0
2022-08-05,1141.898,1142.881,1125.732,1139.329,1223722900,10384270600.0
2022-08-08,1138.754,1164.181,1132.534,1164.115,1245285620,11662089100.0
2022-08-09,1163.792,1181.656,1162.508,1178.96,1512752500,13536892000.0
2022-08-10,1176.457,1186.255,1174.051,1186.255,1714583300,15661311000.0
2022-08-11,1190.592,1199.399,1190.551,1194.67,1464675000,14434988000.0
2022-08-12,1194.826,1200.507,1190.626,1193.465,1479728400,14819362000.0
2022-08-15,1190.499,1206.453,1186.079,1206.453,1408167500,13546788000.0
2022-08-16,1210.337,1233.365,1209.282,1231.701,1736502500,16485195000.0
2022-08-17,1235.097,1241.766,1229.419,1233.187,1886331500,17256629000.0
2022-08-18,1229.207,1231.334,1224.04,1229.931,1618896800,15105594000.0
2022-08-19,1229.76,1232.297,1208.081,1208.081,1410958500,13368417300.0
2022-08-22,1205.594,1211.989,1198.358,1211.989,1200106440,10738908300.0
2022-08-23,1208.312,1216.304,1203.486,1215.261,1240527900,11160294100.0
2022-08-24,1215.676,1215.676,1172.743,1174.367,1449148600,13523938000.0
2022-08-25,1178.565,1181.272,1148.406,1163.28,1018901460,9676733600.0
2022-08-26,1165.559,1172.719,1154.553,1157.239,1021451860,9410012500.0
2022-08-29,1144.653,1176.832,1137.298,1176.783,1004461960,9087671000.0
2022-08-30,1178.271,1185.95,1167.687,1174.484,1173908870,9816536500.0
2022-08-31,1170.417,1170.417,1135.987,1137.624,1157648540,9821247200.0
2022-09-01,1137.933,1148.926,1128.759,1132.482,971237880,7936468600.0
2022-09-02,1134.401,1146.508,1127.857,1145.473,855488420,6969884100.0
2022-09-05,1145.225,1162.839,1144.933,1162.839,852081840,7380107500.0
2022-09-06,1169.286,1187.624,1162.591,1187.624,1201665280,10064138000.0
2022-09-07,1185.978,1196.174,1181.839,1192.312,1431090800,12306372800.0
2022-09-08,1194.107,1195.281,1179.82,1181.315,1204261990,10145681800.0
2022-09-09,1183.105,1186.675,1172.92,1184.138,1281328990,11250284800.0
2022-09-13,1183.74,1192.674,1178.59,1182.238,1142559230,9459688500.0
