日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2021-01-26,999.018,1023.38,987.05,1015.82,650059370,4045756800.0
2021-01-27,1026.765,1096.187,1024.736,1077.79,952386120,5918564500.0
2021-01-28,1084.714,1106.945,1063.367,1064.263,1140086480,7527361300.0
2021-01-29,1048.545,1055.463,1013.925,1023.944,833560090,5223605000.0
2021-02-01,1010.93,1033.301,1001.86,1010.58,988689630,5106562300.0
2021-02-02,1004.358,1028.67,985.817,1011.13,785748770,4317983300.0
2021-02-03,1002.542,1005.141,975.343,975.363,704008200,4069401100.0
2021-02-04,971.053,1003.44,952.834,1000.611,818543530,4902514200.0
2021-02-05,1013.178,1027.887,968.54,968.61,752708460,4739425800.0
2021-02-08,951.858,956.69,935.938,938.683,540297660,3248753300.0
2021-02-09,940.744,956.375,936.627,951.264,485023270,2904625600.0
2021-02-10,951.986,961.533,943.542,945.197,429428230,2587320800.0
2021-02-18,964.227,984.565,964.014,977.362,549964470,3228237500.0
2021-02-19,976.874,1020.368,971.327,1019.52,719999690,3957778400.0
2021-02-22,1019.023,1049.506,1019.023,1023.968,840910710,4914092800.0
2021-02-23,1017.486,1022.751,998.833,1002.07,556301830,3308249800.0
2021-02-24,1000.211,1013.735,998.231,1008.547,602951230,3450697800.0
2021-02-25,1011.154,1013.649,995.471,997.146,507324350,2940350000.0
2021-02-26,982.675,1004.033,979.944,995.529,462640040,2629297700.0
2021-03-01,1001.958,1020.607,1001.958,1020.607,564390330,3313991400.0
2021-03-02,1021.983,1023.164,1004.888,1009.938,463925850,3072589500.0
2021-03-03,1008.773,1020.904,1003.135,1020.163,414575230,2629693700.0
2021-03-04,1014.31,1017.806,1006.822,1008.884,428440420,2752639700.0
2021-03-05,1006.387,1043.513,1005.735,1039.535,539651750,3458892500.0
2021-03-08,1041.237,1053.299,1027.445,1028.043,550052740,3902601600.0
2021-03-09,1025.434,1028.307,983.625,1008.559,565894790,3592954000.0
2021-03-10,1017.449,1018.991,983.059,985.772,429075810,2610396100.0
2021-03-11,982.105,1000.935,972.739,998.863,391188820,2486097100.0
2021-03-12,999.44,999.751,986.866,989.922,352965150,2189635900.0
2021-03-15,988.09,994.535,978.022,983.79,312064850,2058196900.0
2021-03-16,983.859,1006.375,983.496,1005.165,315361010,2137602700.0
2021-03-17,1004.26,1009.708,1001.603,1008.311,297466000,2034309200.0
2021-03-18,1007.73,1008.912,997.356,999.539,352228250,2299577700.0
2021-03-19,993.914,1005.673,991.064,996.279,318911280,2217588300.0
2021-03-22,995.678,1012.913,995.678,1012.591,301427170,2214007600.0
2021-03-23,1012.983,1018.659,1001.658,1004.755,363086080,2348767800.0
2021-03-24,1005.079,1017.538,1003.068,1010.125,467876540,3115005300.0
2021-03-25,999.504,1014.66,995.177,1003.683,418121780,2590185900.0
2021-03-26,1003.445,1011.175,1000.742,1009.081,395963610,2737364700.0
2021-03-29,1009.435,1011.136,998.535,1001.087,379281960,2531771600.0
2021-03-30,1000.585,1001.068,979.643,979.643,378282270,2274781000.0
2021-03-31,978.555,985.297,974.436,978.849,241955020,1542692900.0
2021-04-01,981.781,993.456,975.327,987.256,254387860,1702428200.0
2021-04-02,987.026,1016.606,984.039,1008.747,382523340,2716810500.0
2021-04-06,1012.234,1025.081,1007.926,1016.405,361643770,2625296700.0
2021-04-07,1013.811,1020.677,1011.367,1020.416,373620080,2558973800.0
2021-04-08,1019.403,1019.403,1005.617,1005.731,310715550,2271881800.0
2021-04-09,1005.199,1037.747,1001.619,1033.96,489419840,3258670800.0
2021-04-12,1039.136,1039.136,1016.872,1016.872,457339440,3383892800.0
2021-04-13,1013.139,1017.182,1000.106,1007.698,405445010,2574454200.0
2021-04-14,1004.604,1044.116,998.192,1039.454,494800600,3349649200.0
2021-04-15,1025.204,1026.658,1016.032,1019.023,614901030,3515524100.0
2021-04-16,1015.881,1033.903,1011.014,1032.767,468013660,2975322100.0
2021-04-19,1027.389,1036.815,1026.52,1034.464,406743610,2641056100.0
2021-04-20,1033.275,1050.473,1029.847,1030.797,457397700,2971853400.0
2021-04-21,1025.462,1026.646,1017.118,1019.827,409637610,2287659400.0
2021-04-22,1019.681,1029.722,1018.482,1027.423,575641670,3018301400.0
2021-04-23,1027.429,1027.429,1005.833,1010.149,513546100,2860519700.0
2021-04-26,1000.679,1008.735,993.384,993.451,385034770,2416523800.0
2021-04-27,990.976,997.799,970.834,977.067,338088800,2115733500.0
2021-04-28,973.512,979.931,970.546,975.914,268725460,1647463200.0
2021-04-29,974.59,989.523,973.996,985.871,340922510,2548376100.0
2021-04-30,975.561,977.327,955.341,958.027,479969840,2586543800.0
2021-05-06,957.411,959.825,953.181,954.113,419193410,2337840900.0
2021-05-07,953.981,968.311,952.291,961.267,419927920,2268656200.0
2021-05-10,961.081,974.39,958.532,971.243,465045920,2565532100.0
2021-05-11,964.303,977.647,961.028,977.252,407315370,2374724000.0
2021-05-12,975.192,992.232,967.696,991.429,407520670,2457372400.0
2021-05-13,985.467,1008.891,984.948,997.959,513522170,3202792500.0
2021-05-14,1001.945,1010.079,999.963,1004.825,463818480,3278273200.0
2021-05-17,996.85,996.85,967.074,967.598,454999850,2960212700.0
2021-05-18,967.722,976.571,965.226,976.321,344358240,2822934900.0
2021-05-19,972.866,975.314,968.73,969.78,315577930,2377232300.0
2021-05-20,965.819,970.23,957.113,967.098,375463910,2503477600.0
2021-05-21,970.237,981.763,970.07,978.798,366231700,2448936100.0
2021-05-24,975.399,992.088,974.949,987.627,373235150,2607765700.0
2021-05-25,989.593,989.798,975.475,984.557,375170340,2509100600.0
2021-05-26,984.015,995.473,981.502,993.36,483934580,3043534600.0
2021-05-27,996.3,1004.445,994.934,1001.743,580361320,3307711400.0
2021-05-28,1001.693,1003.204,988.71,992.622,467589750,3045015200.0
2021-05-31,994.065,1013.619,984.249,1011.266,479392570,3678191900.0
2021-06-01,1009.967,1033.88,1005.162,1033.88,633455690,4695216200.0
2021-06-02,1033.973,1034.012,1008.79,1010.26,479196640,3484248400.0
2021-06-03,1011.409,1024.662,1007.914,1009.407,448978420,3005830700.0
2021-06-04,1007.866,1012.459,1003.837,1007.975,381914370,2562213100.0
2021-06-07,1003.718,1015.051,1003.312,1015.051,412254800,2815674200.0
2021-06-08,1015.485,1020.753,1008.664,1016.646,439173090,2899445600.0
2021-06-09,1018.948,1022.75,1013.313,1018.674,543324910,2935333200.0
2021-06-10,1050.392,1063.05,1041.456,1048.883,930825320,6456202200.0
2021-06-11,1046.7,1052.726,1033.197,1035.564,902318050,5670388500.0
2021-06-15,1034.618,1035.723,1013.409,1015.775,603380540,3704181900.0
2021-06-16,1018.722,1026.352,1012.248,1015.767,563491850,3588300400.0
2021-06-17,1017.649,1018.945,1005.817,1013.517,599922650,3916433200.0
2021-06-18,1010.181,1013.971,1002.707,1013.583,563637130,3467077400.0
2021-06-21,1005.942,1025.217,1002.302,1024.642,524368330,3554126800.0
2021-06-22,1024.29,1030.169,1015.167,1021.751,516861310,3303580600.0
2021-06-23,1019.19,1019.58,1010.381,1014.041,481555350,3113017900.0
