日期,开盘价,最高价,最低价,收盘价,成交量,成交额
2023-01-30,1043.905,1097.868,1029.125,1097.058,689096170,7199097200.0
2023-01-31,1075.51,1095.309,1068.711,1093.335,1024639630,9503809100.0
2023-02-01,1088.169,1127.28,1088.169,1127.28,1054985240,10474876000.0
2023-02-02,1146.07,1146.07,1107.558,1108.117,1306215770,13775953000.0
2023-02-03,1111.999,1128.435,1111.999,1122.914,1184710640,11922352800.0
2023-02-06,1124.006,1126.493,1106.028,1113.48,1097548350,10713003000.0
2023-02-07,1119.336,1124.013,1109.807,1120.361,924243380,9320898100.0
2023-02-08,1126.179,1126.314,1118.982,1120.706,702858710,7988773500.0
2023-02-09,1122.571,1141.03,1122.443,1137.833,784929150,8880729300.0
2023-02-10,1137.918,1139.703,1122.723,1127.386,735804560,8573576300.0
2023-02-13,1134.067,1147.031,1134.067,1143.524,651756060,9364477600.0
2023-02-14,1145.011,1146.882,1136.681,1138.447,749717870,14693156000.0
2023-02-15,1137.686,1151.562,1136.264,1146.357,672953090,11165149000.0
2023-02-16,1144.172,1144.172,1105.07,1113.715,717902400,10549177200.0
2023-02-17,1114.682,1120.544,1101.386,1111.731,480703200,7699100300.0
2023-02-20,1109.199,1115.994,1099.761,1115.994,484509170,7350198800.0
2023-02-21,1119.105,1134.353,1118.301,1129.718,529699080,8586506800.0
2023-02-22,1123.391,1132.862,1120.787,1130.002,438505870,6873176600.0
2023-02-23,1129.644,1133.012,1122.454,1126.231,552798310,7858939600.0
2023-02-24,1126.922,1135.104,1125.929,1131.047,469546320,8083226100.0
2023-02-27,1128.966,1137.78,1118.071,1119.214,466404860,7215698000.0
2023-02-28,1119.148,1124.059,1111.904,1124.059,424519950,6368286300.0
2023-03-01,1123.905,1131.054,1119.45,1131.054,521473510,7401619600.0
2023-03-02,1131.065,1135.422,1123.926,1126.029,508869590,8054849200.0
2023-03-03,1125.827,1131.629,1120.975,1126.37,648336140,8341901500.0
2023-03-06,1131.831,1140.196,1129.353,1139.891,752174950,11996743800.0
2023-03-07,1135.99,1136.118,1110.284,1110.797,637713610,9760622800.0
2023-03-08,1104.652,1133.343,1104.652,1133.343,501023720,9404791000.0
2023-03-09,1133.746,1134.489,1119.082,1126.796,460164820,7348086900.0
2023-03-10,1120.658,1126.052,1106.301,1107.013,531640030,10887493900.0
2023-03-13,1100.379,1108.109,1092.758,1105.524,475479710,7915470400.0
2023-03-14,1102.486,1105.459,1077.15,1088.893,525596900,8240424500.0
2023-03-15,1090.513,1098.699,1088.509,1093.625,389839260,6865388600.0
2023-03-16,1089.386,1091.15,1063.964,1065.04,443232580,7673376100.0
2023-03-17,1071.296,1082.293,1069.771,1077.601,437121030,6551202400.0
2023-03-20,1081.993,1081.993,1064.042,1072.178,466776050,7002596700.0
2023-03-21,1082.626,1100.44,1082.614,1100.396,505885110,8737397500.0
2023-03-22,1098.216,1104.959,1095.569,1104.959,448887390,7914627100.0
2023-03-23,1102.026,1112.29,1095.508,1112.281,440381890,7812437800.0
2023-03-24,1113.364,1117.391,1108.953,1115.153,472848860,8598934500.0
2023-03-27,1116.285,1120.636,1109.477,1117.924,527747830,9111667800.0
2023-03-28,1117.136,1117.136,1091.252,1093.761,486444270,7944628000.0
2023-03-29,1092.785,1094.114,1085.013,1087.49,526730550,7446436900.0
2023-03-30,1086.683,1087.52,1076.655,1082.387,440154410,6430731500.0
2023-03-31,1082.943,1089.519,1081.011,1089.142,346015280,4866908700.0
2023-04-03,1088.713,1106.038,1088.699,1105.415,446370590,6441593200.0
2023-04-04,1102.838,1103.43,1087.436,1091.236,442405970,7432002500.0
